EpLenMean,J_sample_variance,MinIWNorm,EmpiricalD2,MeanEntropy,OptimizationReturnMin,ReturnStepMax,MinIW,EpThisIter,OptimizationReturnMax,StdIWNorm,TimestepsSoFar,Weights,InitialReturnMax,TimeElapsed,MeanIWNorm,VarianceInit,Bound,InitialBound,LearnableVariance,InitialReturnStd,MeanIW,InitialReturnMin,EpisodesSoFar,StdIW,MaxIW,ESSClassic,EpRewMean,ReturnMeanIW,Iteration,ESSRenyi,InitialReturnMean,ReturnStepMaxmin,OptimizationReturnMean,MaxIWNorm
61.63,118189.94,0.0058169737,1.0456496,0.4189424,,10.0,0.5816974,100,1509.7584,0.0020273628,41977,[-0.613  0.515 -1.02  -1.059],1579.6626,25.037795066833496,0.010281235,-1.0,443.39084,412.5926,,238.23174,1.0281235,69.90418,1100,0.20273629,1.7668191,96.25711,606.0610055408101,641.2258,11,95.63432,606.061,10.0,536.1568,0.017668191
58.51,331203.97,0.002106176,1.4052697,0.4189424,,10.0,0.2106176,100,1109.6721,0.0068056677,47828,[-0.638  0.53  -1.073 -1.091],1139.6267,28.22537112236023,0.010787528,-1.0,494.4447,435.30603,,190.77232,1.0787528,29.954548,1200,0.6805668,3.561113,71.530075,574.8812627661029,659.90283,12,71.16071,574.8813,10.0,544.9267,0.03561113
59.66,141765.77,0.00511582,1.1091307,0.4189424,,10.0,0.511582,100,1589.439,0.003611207,53794,[-0.643  0.558 -1.126 -1.165],1609.4009,31.08244776725769,0.010527318,-1.0,411.53662,389.26404,,255.27715,1.052732,19.961975,1300,0.3611207,2.3756857,89.47179,586.3745845817463,619.12415,13,90.1607,586.37463,10.0,566.4126,0.023756856
63.01,120753.17,0.0047354167,1.0986003,0.4189424,,10.0,0.4735417,100,1479.5082,0.0040120925,60095,[-0.611  0.548 -1.111 -1.134],1489.4883,33.32582926750183,0.010528164,-1.0,456.72244,437.42566,,232.91513,1.0528163,9.980091,1400,0.40120926,3.438642,87.31919,619.8500191344338,647.9289,14,91.02492,619.85004,10.0,609.86993,0.03438642
57.05,645353.44,0.00020341191,1.4469571,0.4189424,,10.0,0.020341191,100,1269.5476,0.008627162,65800,[-0.602  0.518 -1.138 -1.1  ],1269.5476,36.40020179748535,0.011606896,-1.0,510.04108,404.79895,,249.89053,1.1606896,,1500,0.8627162,5.482488,64.41374,560.2861669207085,697.07587,15,69.11055,560.2862,10.0,560.2862,0.05482488
63.12,760388.2,0.0008193271,2.084867,0.4189424,,10.0,0.08193271,100,1239.6243,0.011482015,72112,[-0.671  0.591 -1.198 -1.111],1269.5726,39.32653880119324,0.01247004,-1.0,590.4906,465.46402,,230.90395,1.2470039,29.948423,1600,1.1482016,5.796088,54.118,620.9542744432651,815.004,16,47.96469,620.9543,10.0,591.00586,0.05796088
63.11,215186.27,0.0034834628,1.1564925,0.4189424,,9.999999,0.3483463,100,1329.6257,0.0043666577,78423,[-0.687  0.572 -1.209 -1.194],1339.609,43.02735233306885,0.010128627,-1.0,484.70416,456.80035,,249.88797,1.0128628,9.983295,1700,0.43666577,2.6125996,84.32664,620.8682700773438,661.1434,17,86.46835,620.8682,9.999999,610.885,0.026125995
65.44,7258698.5,0.0006589963,5.3128757,0.4189424,,9.999999,0.06589963,100,1459.6854,0.038428098,84967,[-0.698  0.586 -1.226 -1.256],1499.6274,46.66571593284607,0.016794454,-1.0,757.1337,460.49625,,258.224,1.6794454,39.94203,1800,3.8428097,23.393192,16.036963,644.1623593473291,1180.4781,18,18.822199,644.16235,9.999999,604.22034,0.23393191
66.38,3015434.2,0.001425966,2.7244425,0.4189424,,10.0,0.1425966,100,1379.8076,0.019454557,91605,[-0.627  0.583 -1.254 -1.309],1409.7568,49.65921688079834,0.012107828,-1.0,618.2942,480.91248,,218.03157,1.2107828,29.94917,1900,1.9454557,14.4594345,27.919493,653.571750797088,903.28357,19,36.704758,653.5718,10.0,623.62256,0.14459434
71.89,458702600.0,1.4218388e-05,40.136147,0.4189424,,10.0,0.0014218389,100,1539.5776,0.21568668,98794,[-0.538  0.543 -1.239 -1.296],1539.5776,53.60793375968933,0.034156993,-1.0,1910.1234,520.0947,,256.8163,3.4156995,,2000,21.568668,215.65875,2.4465563,708.6537511850265,3104.703,20,2.4915197,708.65375,10.0,708.65375,2.1565874
78.74,1566335.5,0.0017821806,1.417537,0.4189424,,10.0,0.17821807,100,1909.2673,0.008357507,106668,[-0.398  0.451 -1.195 -1.348],1919.2483,58.21439242362976,0.010803315,-1.0,590.91187,542.0636,,352.16,1.0803313,9.980994,2100,0.83575076,6.4093833,62.559975,777.1225502647617,870.77386,21,70.5449,777.12256,10.0,767.14154,0.06409383
79.48,113023.734,0.005996797,1.0268778,0.4189424,,10.0,0.5996797,100,1769.4882,0.0014809588,114616,[-0.352  0.411 -1.185 -1.351],1789.4524,60.915119886398315,0.01011361,-1.0,572.4238,565.39923,,301.05093,1.011361,19.964222,2200,0.14809589,1.2930294,97.90077,784.5615610462067,794.51184,22,97.382576,784.56146,10.0,764.5973,0.012930294
80.29,521169.0,0.0019093922,1.3125746,0.4189424,,10.0,0.19093922,100,2239.4907,0.006430678,122645,[-0.367  0.423 -1.188 -1.368],2249.4766,65.05244541168213,0.010591998,-1.0,556.8992,517.14575,,338.83,1.0591998,9.985812,2300,0.64306784,3.9778974,73.06727,792.6492287298992,872.53705,23,76.18614,792.64923,10.0,782.66345,0.039778974
74.78,181631470.0,5.8184636e-05,25.470379,0.4189424,,10.0,0.005818464,100,1669.6537,0.16788866,130123,[-0.343  0.418 -1.208 -1.386],1669.6537,68.84219169616699,0.024541631,-1.0,843.52844,533.0698,,280.7591,2.454163,,2400,16.788866,168.33075,2.0920973,737.5597966996346,1875.5524,24,3.9261293,737.55975,10.0,737.55975,1.6833074
92.24,37038320.0,0.0001082911,8.684458,0.4189424,,10.0,0.01082911,100,2409.2725,0.08301217,139347,[-0.294  0.454 -1.199 -1.36 ],2409.2725,73.02745270729065,0.02456292,-1.0,927.01605,617.0327,,363.12524,2.456292,,2500,8.301218,73.48813,8.050551,912.1071839198561,1796.5828,25,11.514824,912.1072,10.0,912.1072,0.7348813
76.75,23932363000.0,4.2267697e-05,495.3139,0.4189424,,10.0,0.00422677,100,1519.6558,1.2316939,147022,[-0.286  0.365 -1.207 -1.208],1519.6558,77.6555848121643,0.12792651,-1.0,11576.096,571.1249,,298.13083,12.79265,,2600,123.169395,1238.2764,1.0672241,757.244004400542,15718.296,26,0.20189217,757.2441,10.0,757.2441,12.382764
74.58,205698.7,0.0056141648,1.0503604,0.4189424,,10.0,0.5614165,100,1699.4489,0.0021491856,154480,[-0.334  0.468 -1.235 -1.054],1709.4299,81.25374984741211,0.00990314,-1.0,543.4243,526.1527,,335.7961,0.990314,9.981038,2700,0.21491855,1.5770539,95.50205,735.5142387099252,757.99286,27,95.205414,735.5142,10.0,725.53326,0.015770538
81.6,1139033.9,0.0018359706,1.5190622,0.4189424,,10.0,0.18359706,100,1839.4661,0.007996411,162640,[-0.333  0.47  -1.253 -1.08 ],1849.4487,84.69613242149353,0.010458884,-1.0,652.07007,579.1901,,362.55203,1.0458884,9.982712,2800,0.799641,5.2525744,63.10952,805.7003846562541,931.24457,28,65.83009,805.7004,10.0,795.71765,0.052525744
87.52,17393046000.0,6.5040706e-07,873.83453,0.4189424,,10.0,6.504071e-05,100,2209.7097,1.2042263,171392,[-0.329  0.466 -1.261 -1.149],2259.6265,88.42751550674438,0.12993413,-1.0,6600.279,588.1649,,408.81763,12.993412,49.916832,2900,120.42262,1210.9226,1.1508094,864.9115360662158,14781.1,29,0.11443814,864.91156,10.0,814.9947,12.109226
103.26,501193.66,0.0030248507,1.2709591,0.4189424,,10.0,0.30248508,100,1969.1392,0.005019718,181718,[-0.373  0.609 -1.405 -1.482],1979.1213,93.71166253089905,0.010831567,-1.0,851.8572,779.927,,357.07272,1.0831567,9.982191,3000,0.5019718,3.1702516,82.320015,1022.3188793507641,1125.1221,30,78.68073,1022.31885,10.0,1012.3367,0.031702515
105.97,802424.9,0.0027890317,1.4245869,0.4189424,,10.0,0.2789032,100,2149.6187,0.007280743,192315,[-0.354  0.599 -1.397 -1.507],2169.5833,98.32730841636658,0.011281269,-1.0,864.64294,783.68115,,374.07178,1.1281269,19.96449,3100,0.7280743,4.201957,70.59555,1049.3998668697025,1181.7942,31,70.195786,1049.3999,10.0,1029.4354,0.042019572
116.19,11857638.0,0.00025121841,4.320937,0.4189424,,10.0,0.025121842,100,2399.3728,0.021364627,203934,[-0.37   0.638 -1.412 -1.491],2429.3179,104.0223023891449,0.013757914,-1.0,1229.0564,854.0556,,442.09384,1.3757912,29.945,3200,2.136463,13.594689,29.312695,1151.585100364351,1847.5269,32,23.143127,1151.585,10.0,1121.6401,0.13594688
123.35,481940.44,0.005554249,1.0858486,0.4189424,,10.0,0.5554249,100,2599.3442,0.0025888241,216269,[-0.361  0.692 -1.438 -1.494],2609.3252,110.59088945388794,0.010337817,-1.0,956.94574,903.5569,,463.88208,1.0337818,9.980892,3300,0.2588824,1.9201881,94.09892,1223.1327708999386,1289.9567,33,92.09387,1223.1328,10.0,1213.152,0.01920188
122.92,6578165.0,0.0008535367,1.939959,0.4189424,,10.0,0.08535367,100,2869.0986,0.0104714725,228561,[-0.343  0.674 -1.433 -1.48 ],2869.0986,116.8212685585022,0.011435124,-1.0,1064.7742,867.44434,,528.59784,1.1435125,,3400,1.0471473,7.9050517,54.390423,1218.8358472862558,1554.2006,34,51.54748,1218.8358,10.0,1218.8358,0.07905052
122.17,739226.8,0.0067926887,1.0225675,0.4189424,,10.0,0.6792689,100,4279.3374,0.0015286289,240778,[-0.347  0.711 -1.447 -1.454],4289.3203,122.43904423713684,0.009942152,-1.0,721.5844,685.9943,,672.9292,0.9942152,9.982993,3500,0.15286289,1.5048982,97.69062,1211.3267493645294,1252.8114,35,97.79305,1211.3267,10.0,1201.3436,0.015048982
120.23,51227260.0,0.0005117589,3.446416,0.4189424,,10.0,0.051175892,100,3448.943,0.02131812,252801,[-0.346  0.715 -1.477 -1.467],3468.9082,128.57716035842896,0.010900574,-1.0,958.10986,767.0786,,538.0715,1.0900574,19.96501,3600,2.131812,20.755339,20.726608,1191.9313471267133,1746.8289,36,29.01565,1191.9313,10.0,1171.9663,0.20755339
129.74,11011254.0,0.00018468847,3.4027653,0.4189424,,10.0,0.018468847,100,2429.5984,0.019384328,265775,[-0.307  0.711 -1.478 -1.502],2439.5784,135.50130581855774,0.013704518,-1.0,1479.2117,988.2333,,530.2354,1.3704518,9.979915,3700,1.9384327,10.728252,33.32597,1287.0193811272022,2030.3701,37,29.387863,1287.0194,10.0,1277.0396,0.10728252
157.08,98061690.0,0.00020453335,6.785795,0.4189424,,10.0,0.020453336,100,3239.2507,0.04659615,281483,[-0.309  0.786 -1.587 -1.559],3249.2344,144.3300075531006,0.015477203,-1.0,1653.2572,1162.3746,,644.48065,1.5477203,9.983737,3800,4.659615,45.3846,9.936504,1560.3230007152563,2689.895,38,14.736667,1560.323,10.0,1550.3392,0.453846
152.17,29026476000.0,5.2312666e-06,348.6532,0.4189424,,10.0,0.0005231267,100,3658.7139,0.8238792,296700,[-0.285  0.824 -1.619 -1.56 ],3888.6084,154.1162712574005,0.1014559,-1.0,13134.672,1034.9673,,685.9208,10.14559,229.8945,3900,82.387924,825.16455,1.4937953,1511.2226602594478,22027.434,39,0.28681797,1511.2227,10.0,1281.3281,8.251645
129.1,1173568.0,0.0040369444,1.1615533,0.4189424,,10.0,0.40369445,100,2879.23,0.0037870132,309610,[-0.338  0.905 -1.643 -1.507],2879.23,163.16933798789978,0.0104114665,-1.0,1060.481,927.9503,,710.68445,1.0411468,,4000,0.3787013,2.1006641,88.31558,1280.5825692032147,1440.5316,40,86.09162,1280.5825,10.0,1280.5825,0.02100664
144.01,1145979100.0,0.00018087146,5.965003,0.4189424,,10.0,0.018087147,100,4448.791,0.07572002,324011,[-0.337  0.903 -1.678 -1.536],4458.7734,174.6710488796234,0.017086022,-1.0,3409.8193,883.54205,,682.6454,1.7086018,9.982464,4100,7.5720015,76.25152,4.8449802,1429.6280246493384,4743.5444,41,16.76445,1429.6279,10.0,1419.6456,0.7625152
148.15,25053396.0,0.00068897964,2.9198475,0.4189424,,10.0,0.06889796,100,3159.059,0.01836267,338826,[-0.358  1.011 -1.745 -1.583],3159.059,187.32384085655212,0.011313932,-1.0,1439.178,1084.1144,,827.11847,1.1313932,,4200,1.8362669,12.652106,27.51657,1471.0184940883698,2100.3027,42,34.248363,1471.0184,10.0,1471.0184,0.12652107
145.36,1211964.6,0.0039026828,1.2160827,0.4189424,,10.0,0.3902683,100,3418.789,0.005448466,353362,[-0.367  1.013 -1.775 -1.66 ],3448.7397,200.00592303276062,0.010523882,-1.0,1060.6497,1020.7455,,637.12,1.0523881,29.950584,4300,0.54484665,3.969874,78.86198,1443.1281429615317,1526.437,43,82.23125,1443.1279,10.0,1413.1775,0.03969874
161.16,23394324.0,0.00040764507,2.0260394,0.4189424,,10.0,0.040764507,100,3759.4,0.014933249,369478,[-0.374  0.998 -1.76  -1.664],3759.4,212.15918278694153,0.011514403,-1.0,1580.4719,1140.6931,,746.76886,1.1514404,,4400,1.4933249,12.554957,37.285625,1601.123736340008,2235.8442,44,49.357384,1601.1235,10.0,1601.1235,0.12554957
170.55,701824.56,0.0058048223,1.0277177,0.4189424,,10.0,0.58048224,100,3359.1802,0.0017707305,386533,[-0.407  1.093 -1.916 -1.781],3359.1802,227.27601981163025,0.010216472,-1.0,1343.1707,1283.6614,,658.7836,1.0216473,,4500,0.17707306,1.6021891,97.0836,1695.075304449364,1760.2472,45,97.302986,1695.0753,10.0,1695.0753,0.01602189
178.17,2261774.8,0.0024632912,1.2348478,0.4189424,,10.0,0.24632913,100,3419.3328,0.005123876,404350,[-0.407  1.094 -1.963 -1.77 ],3429.3147,239.93913531303406,0.010526793,-1.0,1496.8142,1351.2686,,745.03265,1.0526794,9.981828,4600,0.5123876,3.0002031,80.845856,1771.2721316477005,1963.5377,46,80.98164,1771.2722,10.0,1761.2903,0.030002031
174.94,1508120.6,0.0039466405,1.1394275,0.4189424,,10.0,0.39466405,100,4949.14,0.0040970133,421844,[-0.395  1.092 -2.    -1.788],4949.14,254.23489594459534,0.010461,-1.0,1199.0012,1132.8265,,761.4735,1.0461001,,4700,0.40970135,2.6967926,86.70117,1738.9699926291814,1846.0227,47,87.76337,1738.97,10.0,1738.97,0.026967926
182.78,2750317.5,0.0016561614,1.4713517,0.4189424,,10.0,0.16561614,100,3289.0461,0.0070514143,440122,[-0.392  1.104 -2.027 -1.779],3289.0461,267.40743470191956,0.010904959,-1.0,1580.9261,1414.516,,607.74536,1.0904958,,4800,0.7051415,3.555903,70.515724,1817.3402318698493,2069.549,48,67.964714,1817.3402,10.0,1817.3402,0.03555903
197.06,826869.06,0.003176317,1.1234767,0.4189424,,10.0,0.31763172,100,4268.5117,0.0035925184,459828,[-0.373  1.097 -2.04  -1.794],4278.497,282.72804164886475,0.010488475,-1.0,1477.512,1436.1223,,681.6241,1.0488476,9.98554,4900,0.35925186,1.9823964,89.49985,1960.1291881152324,2032.9286,49,89.00941,1960.1293,10.0,1950.1434,0.019823963
201.89,4138732.5,0.0023131738,1.6099766,0.4189424,,10.0,0.2313174,100,4068.8914,0.0089640785,480017,[-0.378  1.086 -2.052 -1.798],4078.873,297.2690134048462,0.011390853,-1.0,1684.0122,1508.8638,,710.4897,1.1390854,9.981572,5000,0.8964079,5.664077,61.755215,2008.4217054744183,2317.8755,50,62.1127,2008.4219,10.0,1998.44,0.056640767
186.55,89196010.0,0.00027477715,7.079685,0.4189424,,10.0,0.027477717,100,3759.3599,0.034375306,498672,[-0.391  1.069 -2.047 -1.796],3759.3599,314.9146087169647,0.01635561,-1.0,2277.171,1394.6705,,708.17786,1.6355611,,5100,3.4375305,25.480377,18.459284,1855.0962473108957,3502.2566,51,14.124922,1855.0964,10.0,1855.0964,0.25480378
199.01,548400.06,0.0059735077,1.0467981,0.4189424,,10.0,0.5973508,100,4419.467,0.0020253134,518573,[-0.361  1.021 -2.058 -1.848],4669.2554,332.7987356185913,0.01028215,-1.0,1446.5432,1407.821,,632.1091,1.028215,249.78853,5200,0.20253135,1.6772647,96.26506,1979.6857502008402,2031.636,52,95.5294,1979.6858,10.0,1729.897,0.016772646
186.48,4696470.5,0.0012979669,1.7296149,0.4189424,,10.0,0.1297967,100,4358.878,0.0102822725,537221,[-0.37   1.04  -2.06  -1.855],4358.878,351.9565978050232,0.011558193,-1.0,1435.8248,1320.5608,,632.9664,1.1558192,,5300,1.0282273,5.8892536,55.82212,1854.4123185416981,2137.9185,53,57.81634,1854.4124,10.0,1854.4124,0.058892533
189.52,345425250000.0,2.8817979e-06,1619.5444,0.4189424,,10.0,0.00028817978,100,3998.7249,2.554432,556173,[-0.374  1.007 -2.057 -1.864],4008.7056,371.3068616390228,0.26245946,-1.0,40300.22,1393.8518,,654.4613,26.245949,9.9808035,5400,255.4432,2567.8184,1.0446606,1884.816038638351,60058.367,54,0.06174576,1884.8159,10.0,1874.8352,25.678183
197.9,1971255.6,0.003831261,1.2910566,0.4189424,,10.0,0.3831261,100,4828.841,0.005204024,575963,[-0.377  1.099 -2.042 -1.802],4998.7544,401.5389087200165,0.011018178,-1.0,1542.189,1356.4006,,737.18524,1.101818,169.91362,5500,0.5204024,2.537576,81.76087,1968.6204759430125,2237.8218,55,77.45593,1968.6205,10.0,1798.7069,0.02537576
207.93,14069388.0,0.00088193885,2.5549874,0.4189424,,10.0,0.088193886,100,4269.144,0.013885582,596756,[-0.365  1.094 -2.048 -1.825],4439.04,436.0687782764435,0.012355498,-1.0,1882.5334,1525.1545,,741.4772,1.2355498,169.89584,5600,1.3885583,8.290414,44.188873,2068.8237808708463,2751.552,56,39.139137,2068.824,10.0,1898.9279,0.08290414
209.39,3486950.2,0.0029794406,1.3398998,0.4189424,,10.0,0.29794407,100,4039.2744,0.0056417594,617695,[-0.356  1.137 -2.069 -1.83 ],4039.2744,468.7305691242218,0.010710808,-1.0,1768.2993,1588.719,,798.65857,1.0710808,,5700,0.56417596,2.940186,78.28096,2083.427023655958,2340.9438,57,74.63245,2083.427,10.0,2083.427,0.02940186
202.94,1481062.5,0.0056339353,1.0730425,0.4189424,,10.0,0.56339353,100,3609.231,0.0034467957,637989,[-0.341  1.103 -2.076 -1.83 ],3609.231,502.73216915130615,0.010674634,-1.0,1728.8489,1576.8927,,780.39404,1.0674635,,5800,0.3446796,2.3457322,90.55823,2018.9312851506684,2186.7468,58,93.192955,2018.9314,10.0,2018.9314,0.023457322
212.86,1608732.2,0.0044928365,1.101468,0.4189424,,10.0,0.44928366,100,4989.2275,0.0035169541,659275,[-0.326  1.069 -2.078 -1.799],4999.2085,532.1903355121613,0.010253212,-1.0,1550.7461,1506.0277,,865.1517,1.0253212,9.980888,5900,0.35169545,2.704007,89.472984,2118.3034375116304,2193.3345,59,90.78793,2118.3035,10.0,2108.3225,0.027040068
215.41,1102426.6,0.0043023187,1.0760216,0.4189424,,10.0,0.43023187,100,4409.2144,0.0028719301,680816,[-0.32   1.05  -2.083 -1.8  ],4798.8794,563.7763178348541,0.0101839015,-1.0,1608.7295,1555.8892,,754.91486,1.0183903,389.66516,6000,0.287193,2.2139685,92.63311,2143.6293089338524,2218.4011,60,92.934944,2143.6292,10.0,1753.9642,0.022139685
217.63,1476619400.0,0.00010250037,16.917233,0.4189424,,10.0,0.010250038,100,4978.6787,0.08691214,702579,[-0.312  1.041 -2.105 -1.804],4998.6426,601.0919599533081,0.017044768,-1.0,3101.3193,1553.7109,,942.38245,1.7044768,19.963741,6100,8.6912155,86.848785,3.7036593,2165.91725697417,5619.358,61,5.9111323,2165.9172,10.0,2145.9536,0.86848783
240.98,1989932.9,0.002630055,1.2148098,0.4189424,,10.0,0.2630055,100,4989.1646,0.004471109,726677,[-0.265  1.023 -2.11  -1.827],4999.146,637.6350240707397,0.010929534,-1.0,1906.158,1787.1218,,867.54694,1.0929534,9.981514,6200,0.44711086,2.3306556,85.66408,2399.3896733397078,2580.9897,62,82.31741,2399.3896,10.0,2389.4082,0.023306556
244.01,5713340.0,0.0024273857,1.3959905,0.4189424,,10.0,0.24273856,100,4829.566,0.0061966255,751078,[-0.271  1.008 -2.122 -1.829],4999.4277,682.0465340614319,0.01023637,-1.0,1955.6511,1817.5787,,970.7613,1.0236372,169.86188,6300,0.6196626,3.1497643,73.18217,2429.88123623038,2679.0989,63,71.63373,2429.8813,10.0,2260.0195,0.031497642
259.72,131169096.0,6.129973e-05,5.9303074,0.4189424,,10.0,0.006129973,100,4969.2686,0.031184379,777050,[-0.257  1.009 -2.129 -1.812],4999.219,731.5282022953033,0.013673696,-1.0,2550.585,1974.4705,,831.2289,1.3673697,29.950844,6400,3.118438,25.84935,16.12595,2586.74726598157,4041.6152,64,16.862532,2586.7473,10.0,2556.7961,0.25849348
243.48,1643176.6,0.006367117,1.0378419,0.4189424,,10.0,0.6367117,100,4819.289,0.0018447024,801398,[-0.243  1.053 -2.134 -1.8  ],4999.1426,771.1130554676056,0.0102699185,-1.0,1901.6445,1812.1808,,1079.9683,1.0269918,179.85362,6500,0.18447025,1.7898188,96.87444,2424.4485015527785,2525.3892,65,96.35379,2424.4482,10.0,2244.595,0.017898187
266.67,1612761.4,0.0066132173,1.0265304,0.4189424,,10.0,0.66132176,100,4989.147,0.0017660854,828065,[-0.244  1.058 -2.167 -1.794],4999.128,817.3534908294678,0.010202025,-1.0,2112.3054,2044.3171,,990.42834,1.0202028,9.981058,6600,0.17660853,1.7045219,97.090454,2656.5827662214188,2732.6396,66,97.41553,2656.5828,10.0,2646.6018,0.017045218
272.38,1241087.9,0.0063578733,1.034697,0.4189424,,10.0,0.63578737,100,4808.9277,0.0017771507,855303,[-0.238  1.042 -2.173 -1.771],4998.726,865.5347602367401,0.010267138,-1.0,2167.4224,2101.1382,,976.6612,1.0267137,189.79831,6700,0.17771508,1.4404224,97.09108,2713.3545726320503,2790.1692,67,96.646645,2713.3547,10.0,2523.5562,0.014404224
269.52,43581588.0,0.00047402145,2.615402,0.4189424,,10.0,0.047402147,100,4999.136,0.015253197,882255,[-0.241  1.037 -2.197 -1.761],4999.136,917.1988799571991,0.012422354,-1.0,2627.4763,2072.7454,,1127.1713,1.2422354,,6800,1.5253197,8.482238,39.877228,2685.0120825060085,3617.6465,68,38.23504,2685.0122,10.0,2685.0122,0.08482238
244.41,29377432.0,0.0007248172,2.3997917,0.4189424,,10.0,0.07248172,100,4989.0337,0.012696533,906696,[-0.231  1.051 -2.205 -1.723],4999.014,964.19824051857,0.012675333,-1.0,2456.3933,1821.5898,,1272.7931,1.2675334,9.980677,6900,1.2696534,8.4255,49.916443,2433.841632668825,3404.8484,69,41.670284,2433.8416,10.0,2423.8608,0.084254995
299.75,2737548.2,0.005842546,1.0545051,0.4189424,,10.0,0.5842546,100,4809.3,0.002371362,936671,[-0.209  1.061 -2.204 -1.724],4999.1245,1010.706013917923,0.010427049,-1.0,2588.9438,2374.9985,,1222.3801,1.042705,189.8247,7000,0.23713619,1.9178921,95.082184,2987.2639469897895,3217.6733,70,94.831215,2987.2637,10.0,2797.4395,0.019178921
