EpisodesSoFar,OptimizationReturnMin,OptimizationReturnMax,InitialBound,EpLenMean,TimeElapsed,VarianceInit,InitialReturnMean,ReturnMeanIW,StdIW,EpRewMean,OptimizationReturnMean,Weights,ESSRenyi,ReturnStepMax,InitialReturnMax,ReturnStepMaxmin,EmpiricalD2,StdIWNorm,J_sample_variance,InitialReturnStd,MinIW,LearnableVariance,EpThisIter,MaxIWNorm,MeanIWNorm,InitialReturnMin,ESSClassic,MeanEntropy,MeanIW,Bound,MinIWNorm,TimestepsSoFar,Iteration,MaxIW
3800,,2259.6558,909.00385,119.85,305.4812695980072,-1.0,1188.199,1532.4143,1.4896554,1188.1990228095287,1168.2361,[-0.886  1.127 -2.303 -1.629],38.058815,10.0,2279.6187,10.0,2.6275122,0.014896552,4258165.5,357.92157,0.058993135,,100,0.078784615,0.012816917,19.962936,42.53796,0.4189424,1.2816918,1079.8501,0.0005899313,267795,38,7.878462
3900,,1859.6018,744.0338,106.41,321.0594072341919,-1.0,1053.8271,1059.277,0.050107997,1053.8271076266537,383.97794,[-0.907  1.099 -2.304 -1.611],99.75652,10.0,2529.451,10.0,1.0024407,0.0005010799,537976.5,268.22845,0.89073265,,100,0.0118873995,0.010040006,669.8492,99.751526,0.4189424,1.0040004,749.10596,0.0089073265,278436,39,1.18874
4000,,2389.702,758.4502,106.14,338.1572344303131,-1.0,1051.1278,1182.7844,0.6448529,1051.127672154455,1051.1278,[-0.905  1.098 -2.286 -1.613],72.34529,10.0,2389.702,10.0,1.38226,0.0064485283,515163.0,350.9466,0.13509654,,100,0.034039263,0.011534847,,76.18849,0.4189424,1.1534847,838.6848,0.0013509654,289050,40,3.4039264
4100,,1759.8292,768.499,103.96,354.6363911628723,-1.0,1029.3263,1141.2931,0.6331915,1029.326331120644,659.5095,[-0.921  1.086 -2.287 -1.596],72.79416,10.0,2129.646,10.0,1.3737366,0.006331915,565304.4,283.61722,0.19292904,,100,0.036173467,0.010748113,369.8168,74.235695,0.4189424,1.0748112,835.58655,0.0019292904,299446,41,3.6173468
4200,,2389.7466,767.1741,109.34,373.5118827819824,-1.0,1083.1156,1093.3878,0.10410318,1083.115545211832,893.2114,[-0.896  1.087 -2.285 -1.581],98.71368,10.0,2579.651,10.0,1.0130309,0.0010410318,152860.89,328.511,0.67943704,,100,0.012524249,0.010080534,189.90417,98.94476,0.4189424,1.0080534,775.39453,0.0067943702,310380,42,1.252425
4300,,1789.9258,794.33307,109.36,394.0815181732178,-1.0,1083.3254,1089.8866,0.07805729,1083.3254170305977,513.6394,[-0.905  1.093 -2.29  -1.593],99.35148,10.0,2359.6118,10.0,1.0065275,0.0007805728,426424.78,287.6928,0.7595389,,100,0.01249027,0.009988577,569.68604,99.39303,0.4189424,0.9988578,799.95264,0.0075953887,321316,43,1.249027
4400,,2069.9268,768.30725,110.8,413.53511667251587,-1.0,1097.717,1176.9613,0.5924939,1097.7170360795064,478.02515,[-0.912  1.103 -2.31  -1.606],78.69481,10.0,2689.6187,10.0,1.2707318,0.005924939,778067.8,305.2806,0.27461785,,100,0.038699225,0.010375763,619.6919,75.410095,0.4189424,1.0375763,805.62854,0.0027461785,332396,44,3.8699226
4500,,2799.5532,778.9448,114.68,434.0890996456146,-1.0,1136.5051,1664.4778,1.8692858,1136.5051261783603,1016.59143,[-0.918  1.121 -2.308 -1.574],30.82853,10.0,2919.4668,10.0,3.2437487,0.01869286,18261902.0,351.23273,0.021698736,,100,0.1479435,0.012555707,119.91368,31.089628,0.4189424,1.2555709,1020.4972,0.00021698735,343864,45,14.79435
4600,,1659.6849,877.36487,109.09,459.03146958351135,-1.0,1080.6339,1773.7604,5.219612,1080.6339271905993,1080.6339,[-0.877  1.094 -2.322 -1.637],9.944749,10.0,1659.6849,10.0,10.055558,0.05219612,33397062.0,274.6882,0.019497827,,100,0.36365733,0.0159229,,8.513803,0.4189424,1.5922902,1129.184,0.00019497826,354773,46,36.365734
4700,,2589.6758,837.4238,116.61,479.2223961353302,-1.0,1155.8154,2122.6738,7.8396535,1155.8154675797,1145.835,[-0.851  1.143 -2.315 -1.64 ],10.959801,10.0,2599.6562,10.0,9.124253,0.07839654,63355252.0,356.79822,0.012095362,,100,0.76634216,0.018915458,9.9804945,5.5013065,0.4189424,1.891546,1160.9282,0.00012095362,366434,47,76.63422
4800,,1999.7316,942.6289,119.78,500.81225752830505,-1.0,1187.545,2371.088,8.35751,1187.5450618052166,1187.545,[-0.779  1.094 -2.297 -1.698],6.0055494,10.0,1999.7316,10.0,16.651266,0.08357509,124610200.0,318.99927,0.007404903,,100,0.7976947,0.018424211,,4.634629,0.4189424,1.8424214,1371.6841,7.404903e-05,378412,48,79.76947
4900,,2929.5205,988.5031,135.88,527.089661359787,-1.0,1348.5175,1417.8334,0.35100362,1348.5175339438981,1338.5334,[-0.721  1.104 -2.308 -1.697],90.14416,10.0,2939.5046,10.0,1.1093342,0.0035100363,529663.3,399.92654,0.47181034,,100,0.0280794,0.0103154145,9.984189,89.623055,0.4189424,1.0315416,1038.6484,0.0047181034,392000,49,2.80794
5000,,3139.51,886.5641,136.83,547.3465623855591,-1.0,1358.0111,3865.5632,12.448764,1358.0111546493863,648.1725,[-0.73   1.132 -2.32  -1.7  ],6.904862,10.0,3849.3486,10.0,14.482549,0.12448764,321295070.0,414.4756,0.003242649,,100,1.2502743,0.020594884,709.8387,2.664033,0.4189424,2.0594885,2071.4272,3.2426487e-05,405683,50,125.027435
5100,,3259.0645,981.8546,139.38,573.5195405483246,-1.0,1383.4515,1698.8026,1.2852981,1383.4515946623694,1363.49,[-0.717  1.168 -2.293 -1.616],48.430946,10.0,3279.0261,10.0,2.0647955,0.012852981,8561360.0,487.51974,0.09047356,,100,0.096694246,0.011247968,19.961662,43.369858,0.4189424,1.1247969,1121.7319,0.0009047356,419621,51,9.669425
5200,,2649.4556,980.71826,133.51,595.9873623847961,-1.0,1324.7913,1670.8235,1.5249419,1324.7912573105764,1164.9036,[-0.676  1.123 -2.266 -1.633],41.60849,10.0,2809.3433,10.0,2.4033556,0.015249419,4455428.0,407.22873,0.093473114,,100,0.08097009,0.011877604,159.88766,37.759388,0.4189424,1.1877605,1137.4155,0.0009347311,432972,52,8.09701
5300,,2789.0774,1070.1873,142.33,618.3001346588135,-1.0,1413.0005,1460.5834,0.4126418,1413.0005256643938,1403.021,[-0.703  1.179 -2.192 -1.767],87.00074,10.0,2799.0571,10.0,1.1494155,0.004126418,641347.75,459.80438,0.37568104,,100,0.025278892,0.010248303,9.979664,86.04947,0.4189424,1.0248303,1093.0508,0.0037568104,447205,53,2.5278893
5400,,2789.692,1009.31775,138.33,641.3007004261017,-1.0,1373.011,1390.6307,0.19460253,1373.010907741916,1193.1609,[-0.688  1.174 -2.198 -1.778],96.49361,10.0,2969.5417,10.0,1.0363381,0.0019460253,299345.94,414.30518,0.51849693,,100,0.01655373,0.01004534,179.84993,96.38285,0.4189424,1.0045341,1020.3887,0.0051849694,461038,54,1.655373
5500,,3179.4673,973.49,137.44,664.1844403743744,-1.0,1364.1162,1742.9686,1.3963226,1364.1162320532408,1354.134,[-0.686  1.18  -2.21  -1.79 ],46.588455,10.0,3189.4495,10.0,2.1464546,0.013963225,2731071.0,398.66583,0.062436923,,100,0.089181125,0.013523285,9.982206,48.399845,0.4189424,1.3523287,1170.6707,0.00062436925,474782,55,8.918113
5600,,3309.6826,967.8828,138.35,689.498250246048,-1.0,1373.2345,3151.4004,14.577617,1373.2345643822525,1373.2345,[-0.698  1.154 -2.22  -1.814],4.700233,10.0,3309.6826,10.0,21.275541,0.14577617,286161600.0,462.6819,0.004378415,,100,1.4366134,0.025060287,,2.8704524,0.4189424,2.5060287,1281.6989,4.378415e-05,488617,56,143.66135
5700,,2789.5706,1096.1896,144.81,717.1693642139435,-1.0,1437.841,1547.2742,0.49321002,1437.8409581159701,1437.841,[-0.622  1.121 -2.321 -1.825],80.36606,10.0,2789.5706,10.0,1.2443064,0.0049321004,959617.7,425.93915,0.3501563,,100,0.027024621,0.01056942,,82.11855,0.4189424,1.0569421,1166.1675,0.003501563,503098,57,2.7024622
5800,,2569.7124,1077.0918,140.33,736.7292890548706,-1.0,1393.0385,1746.3761,1.5438614,1393.0384335225885,1383.0574,[-0.632  1.145 -2.331 -1.804],43.87068,10.0,2579.6934,10.0,2.2794266,0.0154386135,5324957.5,388.9318,0.063037515,,100,0.106301636,0.012397302,9.981051,39.203037,0.4189424,1.2397304,1269.3672,0.0006303751,517131,58,10.630164
5900,,2929.605,1041.4995,141.06,760.4770720005035,-1.0,1400.3018,1433.033,0.17171584,1400.3015318131525,1400.3018,[-0.649  1.127 -2.327 -1.743],97.31674,10.0,2929.605,10.0,1.0275724,0.0017171584,282907.56,453.88528,0.72419643,,100,0.01561953,0.010237688,,97.26365,0.4189424,1.0237687,1069.3182,0.0072419643,531237,59,1.5619531
6000,,2339.6028,1071.4774,145.89,786.4910426139832,-1.0,1448.6143,1522.3291,0.36817506,1448.6143090809564,708.9071,[-0.636  1.109 -2.309 -1.736],88.088684,10.0,3079.31,10.0,1.1352196,0.0036817505,1042062.1,440.48102,0.30193976,,100,0.020878272,0.010198999,739.7072,88.47094,0.4189424,1.0199,1120.5022,0.0030193974,545826,60,2.0878272
6100,,3169.5874,1147.4098,154.59,809.857349395752,-1.0,1535.6034,1650.2379,0.48891947,1535.603348059884,1535.6034,[-0.628  1.109 -2.325 -1.759],80.33794,10.0,3169.5874,10.0,1.2447419,0.0048891944,1162878.9,460.05493,0.28031212,,100,0.03127029,0.010495952,,82.17024,0.4189424,1.0495952,1217.1381,0.0028031212,561285,61,3.1270292
6200,,4839.1895,856.725,146.09,831.1904315948486,-1.0,1450.6246,1503.1896,0.33446655,1450.6245970054829,1440.6439,[-0.609  1.091 -2.323 -1.775],92.893326,10.0,4849.1704,10.0,1.0765036,0.0033446655,1437062.5,544.7468,0.42579347,,100,0.024752507,0.010117159,9.980733,90.14758,0.4189424,1.0117159,886.9908,0.0042579346,575894,62,2.4752507
6300,,3109.588,1014.345,140.67,854.8184230327606,-1.0,1396.4125,6541.939,28.846037,1396.4126068736916,1386.4314,[-0.625  1.11  -2.332 -1.776],1.2232875,10.0,3119.569,10.0,81.74693,0.2884604,2998953500.0,481.85837,0.00075817556,,100,2.9003897,0.037794426,9.981152,1.6876836,0.4189424,3.7794428,3087.5125,7.5817557e-06,589961,63,290.03897
6400,,1950.0114,987.582,131.99,878.8265981674194,-1.0,1309.6495,2746.6655,9.6772,1309.6494857108507,629.99115,[-0.638  1.001 -2.316 -1.694],6.962529,10.0,2629.6697,10.0,14.3625965,0.09677202,100251816.0,405.72275,0.005032273,,100,0.97205657,0.016974226,679.6583,2.9848332,0.4189424,1.6974227,1526.0938,5.0322727e-05,603160,64,97.20566
