InitialReturnStd,InitialReturnMean,OptimizationReturnMin,EpLenMean,ReturnMeanIW,MaxIW,MeanIW,OptimizationReturnMax,EpRewMean,Iteration,StdIWNorm,ESSClassic,InitialReturnMax,EpThisIter,ReturnStepMaxmin,EpisodesSoFar,ESSRenyi,OptimizationReturnMean,MeanEntropy,TimeElapsed,Bound,MinIW,LearnableVariance,InitialReturnMin,MaxIWNorm,Weights,StdIW,TimestepsSoFar,ReturnStepMax,MinIWNorm,J_sample_variance,EmpiricalD2,MeanIWNorm,VarianceInit,InitialBound
1552.3665,3388.1409,,339.59,4945.926,9.092643,1.193721,4679.713,3388.1405955165205,26,0.01611057,35.44282,4999.449,100,10.0,2600,34.669746,3068.404,0.4189424,128.0180332660675,3906.0237,0.041045845,,319.7365,0.09092642,[-0.02   0.368 -1.864 -1.369],1.611057,393627,10.0,0.00041045842,61771172.0,2.8843591,0.011937209,-1.0,2775.8357
1378.3533,4226.8325,,423.17,4725.7534,3.7708058,1.1061137,4999.434,4226.832559171749,27,0.0060105617,77.20354,4999.434,100,10.0,2700,73.955,4226.8325,0.4189424,145.59517693519592,4013.749,0.26837194,,,0.03770806,[-0.008  0.384 -1.902 -1.438],0.60105616,435944,10.0,0.0026837194,10944275.0,1.3521736,0.011061137,-1.0,3614.5293
1806.2637,3490.5122,,349.66,4325.3726,11.123139,1.153998,4999.416,3490.512278154734,28,0.015830385,34.70056,4999.416,100,10.0,2800,44.88078,3490.5122,0.4189424,160.2144434452057,3411.3967,0.15722898,,,0.111231394,[-0.01   0.401 -1.928 -1.431],1.5830386,470910,10.0,0.0015722897,61693276.0,2.2281253,0.01153998,-1.0,2878.2112
1571.2771,3881.2124,,388.68,4174.186,4.6232862,1.0731583,4999.3364,3881.212168765182,29,0.007979976,64.39412,4999.3364,100,10.0,2900,65.025185,3881.2124,0.4189424,182.01148104667664,3414.8794,0.13543352,,,0.04623286,[-1.819e-03  3.577e-01 -1.940e+00 -1.405e+00],0.7979976,509778,10.0,0.0013543352,15906838.0,1.5378656,0.0107315825,-1.0,3268.921
1532.2738,4038.873,,404.33,18257.129,257.02243,3.7582047,4999.431,4038.873269146501,30,0.2574475,2.0865355,4999.431,100,10.0,3000,0.5973921,4038.873,0.4189424,206.42940378189087,10335.098,0.0001580983,,,2.5702243,[ 1.255e-04  3.832e-01 -1.969e+00 -1.411e+00],25.744751,550211,10.0,1.5809829e-06,16743752000.0,167.39426,0.037582044,-1.0,3426.5706
1396.654,4133.9873,,413.87,6252.959,15.261408,1.3513517,4749.572,4133.987378751262,31,0.023235654,25.275078,4999.3784,100,10.0,3100,31.816923,3884.1807,0.4189424,239.26297569274902,5167.452,0.2182124,,249.80647,0.15261407,[ 0.007  0.484 -2.071 -1.504],2.3235655,591598,10.0,0.002182124,121945064.0,3.1429815,0.013513518,-1.0,3521.691
1260.1152,4317.9326,,432.2,31741.352,582.1848,6.417493,4989.467,4317.932527286997,32,0.5790018,1.2135792,4999.4478,100,10.0,3200,0.22202857,4307.9517,0.4189424,269.1721796989441,18746.742,0.00015730556,,9.980792,5.821848,[-0.013  0.466 -2.076 -1.51 ],57.90019,634818,10.0,1.5730556e-06,84284480000.0,450.3925,0.06417492,-1.0,3705.6274
1333.7244,4313.522,,431.72,4372.6875,1.4267225,1.009423,4999.458,4313.522066255363,33,0.0014010184,98.11003,4999.458,100,10.0,3300,97.59446,4313.522,0.4189424,297.52690529823303,3752.8813,0.69699067,,,0.014267225,[ 0.009  0.427 -2.087 -1.585],0.14010184,677990,10.0,0.0069699064,2305901.5,1.0246483,0.01009423,-1.0,3701.2158
1178.8683,4552.721,,455.57,13770.449,190.5421,2.8630786,4719.577,4552.721094856865,34,0.1924739,2.1648006,4999.3823,100,10.0,3400,1.9350402,4272.9155,0.4189424,331.79810428619385,9368.784,0.006133344,,279.805,1.9054209,[ 0.01   0.419 -2.094 -1.571],19.24739,723547,10.0,6.133344e-05,8329628000.0,51.678513,0.028630786,-1.0,3940.4238
1488.435,4287.672,,429.09,4803.248,6.8651557,1.098494,4989.536,4287.671788131742,35,0.010329228,53.073505,4999.518,100,10.0,3500,52.413185,4277.69,0.4189424,371.95408749580383,3957.4756,0.07313368,,9.981758,0.06865156,[ 0.019  0.337 -2.104 -1.523],1.0329227,766456,10.0,0.00073133677,28534960.0,1.9079169,0.0109849395,-1.0,3675.3584
