InitialReturnMin,EpRewMean,EpLenMean,LearnableVariance,EpisodesSoFar,ReturnStepMaxmin,StdIWNorm,Bound,Iteration,InitialReturnMax,InitialReturnStd,InitialReturnMean,OptimizationReturnMin,InitialBound,ReturnMeanIW,MeanIW,MeanIWNorm,ESSClassic,OptimizationReturnMax,MaxIW,MinIWNorm,MeanEntropy,VarianceInit,ReturnStepMax,EmpiricalD2,OptimizationReturnMean,EpThisIter,J_sample_variance,StdIW,MinIW,MaxIWNorm,TimeElapsed,ESSRenyi,TimestepsSoFar,Weights
,719.3146140694719,72.96,,1100,10.0,0.0025910796,536.7876,11,1579.6074,267.97305,719.3147,,525.85297,735.87024,1.0076276,0.010076276,93.79768,1579.6074,1.8238893,0.0059299115,0.4189424,-1.0,10.0,1.0589546,719.3147,100,145793.5,0.25910795,0.5929912,0.018238893,16.916524410247803,94.432755,40492,[-0.348  0.456 -0.898 -1.161]
9.980446,727.8218394053532,73.81,,1200,9.999999,0.0055467472,521.34937,12,1959.3584,336.0544,727.8219,,487.8504,792.5796,1.0300221,0.01030022,77.519966,1949.3779,3.3806975,0.0022760902,0.4189424,-1.0,9.999999,1.2774888,717.84143,100,632566.8,0.5546747,0.22760902,0.033806976,18.922128438949585,78.27857,47873,[-0.333  0.44  -0.911 -1.165]
29.948536,708.5422082000753,71.88,,1300,10.0,0.0042545656,488.98972,13,1919.5408,323.4648,708.54224,,473.44745,740.5654,1.005951,0.010059509,84.826416,1889.5923,2.526185,0.0039925417,0.4189424,-1.0,10.0,1.1451213,678.5937,100,324520.53,0.42545658,0.39925417,0.02526185,21.299828052520752,87.32699,55061,[-0.322  0.423 -0.923 -1.206]
29.960667,763.6200992988867,77.39,,1400,10.0,0.0052693975,574.71106,14,1979.1956,312.3351,763.62006,,521.2191,843.77795,1.0759848,0.010759848,80.65599,1949.2349,3.3950644,0.0017996198,0.4189424,-1.0,10.0,1.2321168,733.6594,100,321331.47,0.52693975,0.17996198,0.03395064,23.229337215423584,81.16113,62800,[-0.302  0.411 -0.936 -1.22 ]
19.965906,773.6312846062926,78.39,,1500,10.0,0.013541494,634.1696,15,1679.4044,319.90097,773.63135,,567.947,930.294,1.1787637,0.011787636,43.108772,1659.4385,7.7738667,0.0008019866,0.4189424,-1.0,10.0,2.0727477,753.6654,100,1725702.2,1.3541493,0.08019866,0.077738665,25.841134548187256,48.24514,70639,[-0.31   0.44  -0.959 -1.21 ]
19.961784,756.8337014845475,76.71,,1600,10.0,0.0069105034,600.7562,16,1819.2185,292.72806,756.83374,,534.0258,863.4917,1.0723109,0.010723108,70.65564,1799.2567,4.0969424,0.0016062856,0.4189424,-1.0,10.0,1.3905175,736.87195,100,607597.56,0.6910503,0.16062856,0.040969424,27.936794757843018,71.91567,78310,[-0.311  0.394 -0.972 -1.22 ]
,790.2386528263298,80.05,,1700,10.0,0.019882865,699.174,17,1919.3938,372.1251,790.23865,,555.16187,1096.1023,1.2503911,0.012503911,28.340504,1919.3938,16.057709,0.00019584066,0.4189424,-1.0,10.0,2.851049,790.23865,100,4984722.5,1.9882865,0.019584067,0.16057709,30.435751914978027,35.07481,86315,[-0.306  0.421 -1.004 -1.258]
9.983929,797.2021991765281,80.75,,1800,10.0,0.005088374,561.3297,18,2409.109,410.525,797.2022,,502.14777,887.4237,1.049372,0.01049372,80.963455,2399.125,3.3208826,0.003560038,0.4189424,-1.0,10.0,1.2214662,787.2182,100,554727.7,0.5088374,0.35600382,0.033208825,32.69197106361389,81.86882,94390,[-0.299  0.457 -1.01  -1.198]
9.981958,872.3790067121269,88.27,,1900,10.0,0.0026056198,632.87695,19,2139.4036,368.77567,872.37897,,610.3567,903.007,0.99669504,0.009966949,93.602844,2129.4216,1.8425568,0.0043816892,0.4189424,-1.0,10.0,1.0628428,862.3971,100,280564.5,0.260562,0.43816894,0.018425567,35.699331283569336,94.08729,103217,[-0.288  0.466 -1.029 -1.234]
249.89432,887.7879462160735,89.81,,2000,10.0,0.0033064978,653.4301,20,2469.337,391.8995,887.788,,585.3572,972.0303,1.0453523,0.010453523,90.90507,2219.4426,1.9754751,0.0039795535,0.4189424,-1.0,10.0,1.109788,637.8937,100,450187.03,0.3306498,0.39795536,0.01975475,38.72166347503662,90.10731,112198,[-0.282  0.469 -1.069 -1.252]
9.980809,928.9841704360531,93.93,,2100,10.0,0.0032661678,617.94855,21,2999.348,421.84637,928.9842,,561.6405,1003.2163,1.0579541,0.01057954,91.29827,2989.3672,2.0229583,0.0034610766,0.4189424,-1.0,10.0,1.099969,919.0033,100,333735.16,0.32661676,0.34610766,0.020229582,41.8187370300293,90.91165,121591,[-0.305  0.502 -1.098 -1.276]
9.982693,958.7684626187439,96.91,,2200,9.999999,0.011513886,738.89276,22,2759.186,470.8973,958.76843,,620.8386,1191.7692,1.1139566,0.011139567,48.34807,2749.2034,8.490717,0.0018444678,0.4189424,-1.0,9.999999,1.7959993,948.7859,100,3493071.5,1.1513886,0.18444678,0.08490717,45.92837882041931,55.67931,131282,[-0.299  0.511 -1.134 -1.291]
,964.1530509525275,97.45,,2300,10.0,0.01266984,775.40845,23,3228.6584,439.73993,964.1531,,568.72473,1275.3104,1.0787587,0.010787589,42.027206,3228.6584,10.241432,0.001022803,0.4189424,-1.0,10.0,1.5982115,964.1531,100,11253797.0,1.2669842,0.102280304,0.10241432,49.09938097000122,62.56994,141027,[-0.268  0.49  -1.128 -1.328]
19.9691,966.8785596045849,97.72,,2400,10.0,0.0034633274,668.28357,24,2689.139,511.93384,966.87854,,637.5276,1016.53564,1.0302294,0.010302294,89.84643,2669.17,2.670872,0.004981747,0.4189424,-1.0,10.0,1.1180718,946.90936,100,539090.0,0.34633276,0.4981747,0.026708718,53.498234033584595,89.4397,150799,[-0.274  0.527 -1.171 -1.428]
,1175.5356318338804,118.59,,2500,10.0,0.003333143,836.79834,25,3019.178,509.23917,1175.5356,,805.76337,1226.0508,1.0173554,0.010173555,90.30648,3019.178,2.1420116,0.0034055065,0.4189424,-1.0,10.0,1.1081383,1175.5356,100,705758.3,0.33331427,0.34055066,0.021420116,56.47440457344055,90.24144,162658,[-0.262  0.506 -1.172 -1.435]
9.97992,1094.2621501714912,110.46,,2600,10.0,0.003940016,814.79456,26,2689.293,571.76074,1094.2622,,764.89233,1164.4946,1.0206543,0.010206543,87.030846,2679.313,2.7128243,0.003796322,0.4189424,-1.0,10.0,1.1272599,1084.2822,100,845123.25,0.3940016,0.3796322,0.027128242,60.20756530761719,88.71069,173704,[-0.253  0.511 -1.187 -1.448]
9.980497,1107.3711669859476,111.77,,2700,10.0,0.0029002568,729.6398,27,3278.803,515.6811,1107.3712,,705.8015,1147.6622,1.0258932,0.010258932,92.59924,3268.8225,1.880005,0.0042042728,0.4189424,-1.0,10.0,1.083621,1097.3906,100,452062.47,0.29002568,0.42042726,0.01880005,64.46640157699585,92.28319,184881,[-0.241  0.496 -1.228 -1.462]
9.981063,1151.5579856570762,116.19,,2800,10.0,0.01397602,967.2481,28,3408.5876,521.74695,1151.558,,734.09283,1563.9785,1.2566097,0.012566097,44.702923,3398.6067,11.311154,0.0010041499,0.4189424,-1.0,10.0,2.043225,1141.5769,100,5181842.0,1.3976018,0.10041499,0.11311154,70.11887383460999,48.942234,196500,[-0.236  0.487 -1.243 -1.482]
9.984726,1242.9441942133062,125.33,,2900,10.0,0.0056728167,987.0977,29,3169.5808,531.26526,1242.9442,,854.7514,1434.9943,1.1147674,0.011147673,79.43079,3159.5962,3.5428085,0.0025996894,0.4189424,-1.0,10.0,1.3312527,1232.9595,100,1136374.1,0.56728166,0.25996894,0.035428084,75.35731482505798,75.11722,209033,[-0.238  0.528 -1.258 -1.466]
9.98101,1226.656968371445,123.7,,3000,10.0,0.013826404,1189.252,30,2839.4028,614.8554,1226.6569,,878.90247,1718.3221,1.1656593,0.011656592,41.546555,2829.4219,7.6419296,0.0006025408,0.4189424,-1.0,10.0,2.3146286,1216.6759,100,8023810.0,1.3826402,0.06025408,0.076419294,80.25915503501892,43.203476,221403,[-0.225  0.516 -1.259 -1.503]
9.980193,1461.081638315253,147.15,,3100,10.0,0.004564706,1137.8447,31,4038.9224,689.19995,1461.0817,,966.4167,1692.7935,1.102943,0.011029431,85.376305,4028.9421,2.704396,0.0013104472,0.4189424,-1.0,10.0,1.2585872,1451.1014,100,1670603.5,0.4564706,0.13104473,0.02704396,85.61835098266602,79.45416,236118,[-0.198  0.512 -1.296 -1.542]
,1315.7862142996705,132.62,,3200,10.0,0.23811403,3281.0938,32,3348.9956,732.87885,1315.7863,,905.6195,5999.3774,3.3628173,0.033628173,1.9555086,3348.9956,239.70642,7.116812e-05,0.4189424,-1.0,10.0,43.92069,1315.7863,100,2406540300.0,23.811403,0.0071168123,2.3970642,92.08587074279785,2.2768314,249380,[-0.189  0.529 -1.303 -1.562]
219.7956,1355.0227282572707,136.55,,3300,10.0,0.019377476,1108.5609,33,3279.5256,703.5988,1355.0228,,953.3646,1776.0377,1.2131103,0.012131103,28.157202,3059.73,14.234427,0.0005718455,0.4189424,-1.0,10.0,2.761589,1135.227,100,14555877.0,1.9377475,0.057184555,0.14234427,99.38426470756531,36.211037,263035,[-0.17   0.577 -1.314 -1.487]
279.7874,1416.2596734958092,142.67,,3400,10.0,0.0030354331,971.337,34,4149.3965,712.8142,1416.2596,,908.06445,1501.7045,1.038197,0.010381971,92.12485,3869.6091,2.1050591,0.0044348235,0.4189424,-1.0,10.0,1.0891625,1136.4723,100,919308.1,0.30354333,0.44348234,0.021050591,104.7987916469574,91.81367,277302,[-0.188  0.55  -1.332 -1.5  ]
49.91658,1395.2981964151393,140.57,,3500,10.0,0.015878303,1406.3756,35,4478.6924,644.418,1395.2981,,846.7725,2274.7542,1.330348,0.01330348,41.244774,4428.776,11.339209,0.0006857618,0.4189424,-1.0,10.0,2.5062501,1345.3816,100,17940002.0,1.5878303,0.06857618,0.113392085,111.03217267990112,39.900246,291359,[-0.201  0.567 -1.359 -1.515]
19.96339,1598.5384051344454,160.89,,3600,10.0,0.004795897,1142.0409,36,4998.1665,883.6365,1598.5385,,986.39044,1807.868,1.0723829,0.010723828,83.33302,4978.203,3.1712198,0.003270453,0.4189424,-1.0,10.0,1.1830696,1578.5752,100,2868711.0,0.4795897,0.32704532,0.031712197,118.04564619064331,84.52588,307448,[-0.189  0.606 -1.434 -1.584]
9.983888,1666.192656633621,167.67,,3700,10.0,0.03926718,1887.521,37,3658.8953,824.55414,1666.1926,,1218.0713,2875.7847,1.4774677,0.014774676,12.401476,3648.9114,36.74594,0.00028369925,0.4189424,-1.0,10.0,4.863562,1656.2087,100,82018950.0,3.926718,0.028369926,0.36745942,124.96311140060425,20.561062,324215,[-0.173  0.591 -1.463 -1.558]
19.964836,1936.4027874761086,194.69,,3800,10.0,0.002068029,1396.486,38,4998.4775,916.89545,1936.4027,,1324.2166,2020.6705,0.9964201,0.0099642,95.87036,4978.5127,1.6658454,0.005487311,0.4189424,-1.0,10.0,1.0395832,1916.4379,100,1676918.0,0.2068029,0.54873115,0.016658453,132.56205534934998,96.1924,343684,[-0.132  0.551 -1.474 -1.55 ]
19.96062,1749.2818561815193,175.96,,3900,10.0,0.01478998,1531.6273,39,4998.697,857.6405,1749.2819,,1137.0691,2560.4917,1.1911817,0.011911817,39.34488,4978.7363,9.564014,0.00015949541,0.4189424,-1.0,10.0,2.8243039,1729.321,100,31378488.0,1.4789981,0.015949542,0.095640145,140.38691544532776,35.406956,361280,[-0.135  0.565 -1.506 -1.567]
9.97966,2073.4854858088497,208.41,,4000,10.0,0.009049618,1898.8434,40,4828.8135,1063.9968,2073.4854,,1482.0789,2651.5908,1.208065,0.012080652,64.0553,4818.834,4.7010036,0.0011690637,0.4189424,-1.0,10.0,1.6200424,2063.5059,100,7554690.0,0.9049619,0.116906375,0.047010034,148.58212637901306,61.726776,382121,[-0.118  0.6   -1.542 -1.613]
19.966648,2280.921930855837,229.14,,4100,10.0,0.005175265,1795.0508,41,4998.5693,1005.75745,2280.9219,,1668.7246,2476.774,1.0129619,0.010129618,79.300674,4978.6025,3.7411113,0.0034888901,0.4189424,-1.0,10.0,1.2400336,2260.9553,100,4920864.5,0.5175265,0.34888902,0.037411112,158.2715346813202,80.642975,405035,[-0.122  0.558 -1.613 -1.562]
,2131.6900933083834,214.22,,4200,10.0,0.08131421,4733.0444,42,4998.7686,1121.803,2131.6902,,1519.4683,7135.1377,2.4644196,0.024644194,8.412632,4998.7686,64.30722,9.947328e-05,0.4189424,-1.0,10.0,15.394387,2131.6902,100,808227260.0,8.131421,0.009947329,0.6430722,167.28565502166748,6.495874,426457,[-0.114  0.573 -1.624 -1.578]
,2526.2712296081468,253.67,,4300,10.0,0.013631081,2308.4595,43,4999.2407,1301.4155,2526.2712,,1913.9917,3236.6135,1.1123471,0.011123471,39.972992,4999.2407,11.138664,0.0008387484,0.4189424,-1.0,10.0,2.2979515,2526.2712,100,34107644.0,1.3631082,0.083874844,0.11138664,177.53701519966125,43.51702,451824,[-0.081  0.536 -1.63  -1.615]
,2985.897741426319,299.57,,4400,10.0,0.0027094947,2530.2886,44,4999.17,1367.2723,2985.8977,,2373.6267,3164.987,1.028425,0.01028425,93.50938,4999.17,2.0847435,0.0063262223,0.4189424,-1.0,10.0,1.0746022,2985.8977,100,3816877.5,0.27094948,0.63262224,0.020847434,190.14698696136475,93.057686,481781,[-0.064  0.535 -1.644 -1.652]
,3107.9891221715498,311.7,,4500,10.0,0.008237367,3004.0986,45,4999.147,1560.0903,3107.989,,2495.721,3845.629,1.1687603,0.011687604,66.81204,4999.147,5.6874685,0.0015239087,0.4189424,-1.0,10.0,1.8891058,3107.989,100,18875426.0,0.8237366,0.15239087,0.056874685,205.14591193199158,52.935097,512951,[-0.058  0.525 -1.663 -1.636]
,2929.635270715571,293.82,,4600,10.0,0.0013253235,2396.6194,46,4999.1987,1659.1306,2929.6357,,2317.3608,3013.6575,0.9971095,0.009971093,98.264,4999.1987,1.4969447,0.0075900946,0.4189424,-1.0,10.0,1.0156217,2929.6357,100,3699618.0,0.13253236,0.7590095,0.014969447,217.58363342285156,98.46186,542333,[-0.04   0.525 -1.679 -1.641]
9.982036,3191.389933670526,319.96,,4700,10.0,0.016099913,3381.007,47,4999.3154,1646.6742,3191.3896,,2579.1013,4441.91,1.2230043,0.012230043,36.590225,4989.3335,9.927674,0.00051789556,0.4189424,-1.0,10.0,3.002196,3181.4077,100,59696212.0,1.6099914,0.051789556,0.099276744,231.4124836921692,33.30895,574329,[-0.041  0.528 -1.706 -1.641]
269.7981,3211.5639669872953,322.02,,4800,10.0,0.063244656,3882.9526,48,4999.1704,1450.4756,3211.5637,,2599.293,5585.031,1.3751372,0.013751371,4.5142226,4729.372,63.734196,0.00033773095,0.4189424,-1.0,10.0,7.7280827,2941.7656,100,908003840.0,6.3244653,0.033773094,0.6373419,242.8067045211792,12.93982,606531,[-0.038  0.492 -1.725 -1.652]
,3265.4009487548296,327.28,,4900,10.0,0.027686264,3295.1284,49,4999.371,1715.0007,3265.401,,2653.1055,4579.8325,1.2750641,0.01275064,17.498379,4999.371,24.975927,0.00029859963,0.4189424,-1.0,10.0,4.402346,3265.401,100,143889220.0,2.7686265,0.029859964,0.24975927,255.37368392944336,22.71516,639259,[-0.021  0.438 -1.719 -1.639]
,3863.4667050733597,386.95,,5000,10.0,0.017223665,4344.5874,50,4999.3794,1515.322,3863.4666,,3251.1704,5436.358,1.2496377,0.012496376,34.486435,4999.3794,11.608041,0.00037953682,0.4189424,-1.0,10.0,3.179356,3863.4666,100,77447920.0,1.7223666,0.037953682,0.1160804,271.4290053844452,31.45291,677954,[-0.013  0.404 -1.733 -1.66 ]
,3834.1367225886293,383.94,,5100,10.0,0.0055577843,3471.42,51,4999.456,1651.2281,3834.137,,3221.831,4161.8354,1.0717124,0.010717124,78.806274,4999.456,3.6596525,0.0011083942,0.4189424,-1.0,10.0,1.2714057,3834.137,100,9969433.0,0.5557784,0.11083943,0.036596525,286.1467180252075,78.6531,716348,[-0.014  0.435 -1.844 -1.65 ]
309.76807,3795.2225650994656,380.1,,5200,10.0,0.43795055,14926.354,52,4999.452,1543.3699,3795.2224,,3182.9172,23817.547,4.9833574,0.049833585,1.2782235,4689.684,440.5797,5.4231173e-06,0.4189424,-1.0,10.0,210.85506,3485.4546,100,42623525000.0,43.79506,0.00054231175,4.405797,300.75547099113464,0.47425944,754358,[-0.015  0.445 -1.873 -1.633]
9.980067,3748.3927299322845,375.32,,5300,10.0,0.0074726315,3405.034,53,4999.451,1790.1486,3748.3928,,3136.0874,4141.7324,1.0333631,0.010333631,65.66302,4989.471,4.5679092,0.0011239913,0.4189424,-1.0,10.0,1.4475837,3738.4128,100,16424740.0,0.7472632,0.11239914,0.045679092,316.41465735435486,69.080635,791890,[ 0.013  0.37  -1.879 -1.616]
,4069.4043678087246,407.37,,5400,10.0,0.00431641,3767.1704,54,4999.4487,1557.3884,4069.4043,,3457.0994,4424.5977,1.0512795,0.010512795,85.573845,4999.4487,2.885189,0.0036730212,0.4189424,-1.0,10.0,1.1528163,4069.4043,100,7727877.0,0.43164104,0.36730212,0.02885189,332.09516072273254,86.74409,832627,[ 0.002  0.391 -1.899 -1.639]
19.966228,4323.042519757846,432.7,,5500,10.0,0.015242527,3961.5032,55,4999.495,1254.76,4323.0425,,3710.7324,4835.7217,1.191721,0.011917208,37.937267,4979.529,9.26706,0.0020281503,0.4189424,-1.0,10.0,2.0384333,4303.076,100,29650364.0,1.5242528,0.20281503,0.0926706,348.5451593399048,49.05728,875897,[ 0.004  0.408 -1.927 -1.664]
29.949453,4173.844101282728,417.85,,5600,10.0,0.013683912,3880.801,56,4999.428,1325.4807,4173.844,,3561.5417,4787.4253,1.0777483,0.010777483,38.283707,4969.479,10.805796,0.000801516,0.4189424,-1.0,10.0,2.1924148,4143.895,100,48016760.0,1.3683913,0.0801516,0.10805795,364.86688232421875,45.61181,917682,[-0.011  0.402 -1.939 -1.676]
9.980434,4281.4826038342135,428.56,,5700,10.0,0.0066608232,4124.999,57,4999.4844,1386.3363,4281.4824,,3669.173,4828.974,1.1143806,0.011143806,73.67765,4989.504,4.6173024,0.0021299236,0.4189424,-1.0,10.0,1.3218225,4271.502,100,11634746.0,0.6660823,0.21299237,0.046173025,381.1996400356293,75.65312,960538,[-0.009  0.435 -1.947 -1.68 ]
,4234.58888880457,423.85,,5800,10.0,0.005066348,3797.2573,58,4999.464,1448.5977,4234.589,,3622.282,4486.4224,1.0384961,0.010384961,80.77533,4999.464,2.785585,0.0026354133,0.4189424,-1.0,10.0,1.2668005,4234.589,100,8321448.5,0.5066348,0.26354134,0.027855849,396.7621920108795,78.939026,1002923,[-0.01   0.459 -1.955 -1.726]
9.979922,4221.602744957022,422.56,,5900,10.0,0.009789265,4136.8413,59,4999.569,1480.9858,4221.603,,3609.283,4956.828,1.151409,0.01151409,58.043766,4989.589,6.7739453,0.00067527394,0.4189424,-1.0,10.0,1.7933174,4211.623,100,26571926.0,0.9789265,0.0675274,0.06773945,411.86297821998596,55.762577,1045179,[-0.007  0.448 -1.961 -1.74 ]
,4565.57310080323,456.81,,6000,10.0,0.0053808694,4255.2324,60,4999.472,1233.7805,4565.573,,3953.265,4947.7334,1.0823627,0.010823625,80.18287,4999.472,2.7662365,0.0036199002,0.4189424,-1.0,10.0,1.2790893,4565.573,100,8846943.0,0.53808695,0.36199003,0.027662365,429.56791067123413,78.180626,1090860,[ 0.006  0.442 -1.972 -1.766]
9.981159,4514.28948281617,451.69,,6100,10.0,0.15638347,7056.5225,61,4999.4575,1291.0656,4514.2896,,3901.9834,9678.888,2.3931205,0.023931205,2.2882032,4989.4766,157.28871,0.001319426,0.4189424,-1.0,10.0,18.342113,4504.3086,100,3433470700.0,15.638346,0.1319426,1.5728871,447.6955552101135,5.4519343,1136029,[ 0.013  0.439 -1.999 -1.788]
9.980909,4096.131028431771,410.04,,6200,10.0,0.0041988133,3677.747,62,4999.465,1534.9307,4096.131,,3483.824,4366.5,1.0419431,0.010419431,86.02948,4989.484,2.154358,0.0024478168,0.4189424,-1.0,10.0,1.265286,4086.1504,100,7085147.0,0.41988134,0.24478167,0.02154358,465.8653757572174,79.033516,1177033,[-0.019  0.434 -1.993 -1.786]
,4198.579218083227,420.29,,6300,10.0,0.0793837,7346.133,63,4999.42,1425.3942,4198.579,,3586.2778,10088.084,2.108346,0.02108346,6.588993,4999.42,73.346275,2.3764846e-05,0.4189424,-1.0,10.0,20.053444,4198.579,100,1597648400.0,7.93837,0.0023764847,0.73346275,482.344202041626,4.986675,1219062,[-0.01   0.439 -1.994 -1.798]
279.79825,4489.59330606296,449.27,,6400,10.0,0.011651969,4769.173,64,4999.527,1187.4906,4489.5933,,3877.2783,5658.6377,1.2325962,0.012325963,52.80867,4719.7285,6.8554554,0.00100295,0.4189424,-1.0,10.0,2.1101263,4209.795,100,31597982.0,1.1651968,0.100295,0.06855455,501.95822763442993,47.39053,1263989,[ 0.006  0.385 -1.995 -1.801]
1449.3845,4708.084613196451,471.09,,6500,10.0,0.009024335,4366.3916,65,4999.479,768.8826,4708.085,,4095.7754,5170.603,1.0970877,0.010970878,59.64364,3550.0945,4.4691176,0.001204287,0.4189424,-1.0,10.0,1.7250412,3258.7,100,12076279.0,0.90243345,0.12042871,0.044691175,521.3899099826813,57.96963,1311098,[ 0.011  0.359 -2.009 -1.73 ]
9.98019,4357.502490399159,436.07,,6600,10.0,0.13676916,6759.1367,66,4999.503,1429.1447,4357.503,,3745.191,9927.353,2.3098304,0.023098305,2.7731287,4989.523,135.90904,0.00018670663,0.4189424,-1.0,10.0,26.772234,4347.523,100,3961579000.0,13.676916,0.018670663,1.3590904,538.3212206363678,3.735213,1354705,[ 0.016  0.376 -2.028 -1.714]
39.93319,4286.68119739278,429.17,,6700,10.0,0.002879921,3791.8032,67,4999.459,1103.0686,4286.681,,3674.375,4437.6196,1.0239148,0.0102391485,92.668915,4959.526,1.9593458,0.0032881096,0.4189424,-1.0,10.0,1.1124512,4246.748,100,3370091.2,0.28799212,0.32881096,0.019593459,557.7531154155731,89.89159,1397622,[-0.015  0.386 -2.041 -1.776]
,4362.32832557717,436.72,,6800,10.0,0.028028965,4957.7046,68,4999.527,1128.898,4362.3286,,3750.0137,6488.2373,1.3544258,0.013544259,18.930208,4999.527,19.323137,7.080614e-05,0.4189424,-1.0,10.0,6.2479277,4362.3286,100,200323520.0,2.8028965,0.007080614,0.19323137,576.1170833110809,16.005306,1441294,[-0.015  0.394 -2.055 -1.766]
,4570.598887866451,457.32,,6900,10.0,0.015996149,4577.436,69,4999.4966,1194.5769,4570.599,,3958.2883,5626.47,1.2117273,0.012117274,36.460506,4999.4966,10.433146,0.0008522079,0.4189424,-1.0,10.0,2.935185,4570.599,100,66629404.0,1.5996149,0.08522079,0.10433146,591.7636964321136,34.069405,1487026,[-0.006  0.443 -2.073 -1.788]
29.953392,4630.243400403031,463.25,,7000,10.0,0.13715428,6952.625,70,4999.4805,1168.1719,4630.2437,,4017.9343,10950.761,2.27276,0.0227276,2.6725368,4969.527,136.45782,3.2267726e-05,0.4189424,-1.0,10.0,42.63576,4600.2896,100,4695709700.0,13.715428,0.0032267726,1.3645782,609.5626604557037,2.345449,1533351,[-0.004  0.478 -2.081 -1.778]
