eRenyi2,J,VarVanillaIw,VarDiscRet,AvgDiscRet,VarNormIw,ESSRenyi,AvgRet,AvgVanillaIw,BatchSize,IterType,VanillaAvgRet,EpsThisIter,AvgEpLen,VarRet,AvgNormIw,Delta,ESSClassic,VarJ,MaxVanillaIw,MaxNormIw,MinNormIw,Bound,MinVanillaIw
8.82422e+09,-50.6716,,2594.79356489,-66.0540498063,0.0025,4.53297715496e-08,-66.0540498063,8.01688e-29,400,1,-66.0540498063,100,95.1,2594.79356489,0.0025,1.0,inf,6.69088e-06,3.20675e-26,1.0,,-50.6716,
1.0,-60.8335,,1341.8075993,-60.8335191666,3.50449e-18,400.0,-60.8335191666,1.0,400,2,-60.8335191666,100,87.99,1341.8075993,0.01,1.0,100.0,36.4471,1.0,0.01,0.01,-60.8335,1.0
1.0,-59.8854,,43.0435963024,-58.9372132851,2.1793e-19,400.0,-58.9372132851,1.0,400,2,-58.9372132851,100,86.39,43.0435963024,0.005,1.0,200.000000102,26.1992,1.0,0.005,0.005,-59.8854,1.0
1.0,-59.2783,,57.2698175364,-58.0640990585,5.43914e-20,400.0,-58.0640990585,1.0,400,2,-58.0640990585,100,85.09,57.2698175364,0.00333333,1.0,299.999969474,21.8457,1.0,0.00333333,0.00333333,-59.2783,1.0
1.46678e-25,nan,nan,1337.03877792,-62.3261736557,nan,3.40882380536e+27,-66.0540498063,inf,500,,-66.0540498063,100,95.1,2594.79356489,nan,1.0,nan,nan,inf,nan,nan,nan,3.11842e+25
38732.3,-51.4254,,59.7967952248,-60.2504901603,0.002,0.0129091325154,-60.2504901603,2.05236e-29,500,1,-60.2504901603,100,88.42,59.7967952248,0.002,1.0,inf,,1.02618e-26,1.0,,-51.4254,
1.0,-61.8426,,1329.03580649,-61.842587346,3.50449e-18,500.0,-61.842587346,1.0,500,2,-61.842587346,100,89.84,1329.03580649,0.01,1.0,100.0,36.2732,1.0,0.01,0.01,-61.8426,1.0
1.0,-62.4117,,1319.42722811,-62.9807342015,2.1793e-19,500.0,-62.9807342015,1.0,500,2,-62.9807342015,100,91.38,1319.42722811,0.005,1.0,200.000000102,36.2121,1.0,0.005,0.005,-62.4117,1.0
1.0,-62.1696,,1330.04980851,-61.6854519264,5.43914e-20,500.0,-61.6854519264,1.0,500,2,-61.6854519264,100,89.15,1330.04980851,0.00333333,1.0,299.999969474,36.2387,1.0,0.00333333,0.00333333,-62.1696,1.0
1.0,-63.3935,,2565.38305555,-67.065189696,5.4346e-20,500.0,-67.065189696,1.0,500,2,-67.065189696,100,96.36,2565.38305555,0.0025,1.0,400.0,40.3033,1.0,0.0025,0.0025,-63.3935,1.0
inf,-61.267,2.51306,1318.26127269,-62.9934878089,9.04152e-06,,-62.9934878089,1.05441,500,1,-62.9934878089,100,91.79,1318.26127269,0.002,1.0,153.569232262,31.8584,28.5122,0.0540818,2.59063e-05,-61.267,0.013658
1.0,-69.4415,,3823.21463003,-69.4414679861,3.50449e-18,500.0,-69.4414679861,1.0,500,2,-69.4414679861,100,98.27,3823.21463003,0.01,1.0,100.0,61.5222,1.0,0.01,0.01,-69.4415,1.0
1.0,-63.4791,,37.3247897565,-57.5166854735,2.1793e-19,500.0,-57.5166854735,1.0,500,2,-57.5166854735,100,84.19,37.3247897565,0.005,1.0,200.000000102,44.1194,1.0,0.005,0.005,-63.4791,1.0
1.0,-64.0968,,2591.49027971,-65.3322689432,5.43914e-20,500.0,-65.3322689432,1.0,500,2,-65.3322689432,100,93.69,2591.49027971,0.00333333,1.0,299.999969474,46.4073,1.0,0.00333333,0.00333333,-64.0968,1.0
1.0,-65.3225,,3825.52199568,-68.9995239024,5.4346e-20,500.0,-68.9995239024,1.0,500,2,-68.9995239024,100,97.74,3825.52199568,0.0025,1.0,400.0,50.6611,1.0,0.0025,0.0025,-65.3225,1.0
59815.0,-52.5158,4.06598e-37,1322.14771522,-62.1687153642,0.002,0.00835910506376,-62.1687153642,2.85166e-20,500,1,-62.1687153642,100,89.95,1322.14771522,0.002,1.0,1.0,1.64313e-12,1.42583e-17,1.0,,-52.5158,
1.0,-59.7711,,57.1903421622,-59.7711399072,3.50449e-18,500.0,-59.7711399072,1.0,500,2,-59.7711399072,100,87.83,57.1903421622,0.01,1.0,100.0,7.52452,1.0,0.01,0.01,-59.7711,1.0
1.0,-61.6821,,1318.38863053,-63.5931548828,2.1793e-19,500.0,-63.5931548828,1.0,500,2,-63.5931548828,100,92.4,1318.38863053,0.005,1.0,200.000000102,26.1642,1.0,0.005,0.005,-61.6821,1.0
1.0,-60.7671,,48.9316995583,-58.9370635223,5.43914e-20,500.0,-58.9370635223,1.0,500,2,-58.9370635223,100,86.85,48.9316995583,0.00333333,1.0,299.999969474,21.7761,1.0,0.00333333,0.00333333,-60.7671,1.0
1.0,-61.5892,,1330.58624382,-64.0553057009,5.4346e-20,500.0,-64.0553057009,1.0,500,2,-64.0553057009,100,93.31,1330.58624382,0.0025,1.0,400.0,26.2106,1.0,0.0025,0.0025,-61.5892,1.0
76930.8,-51.12,1.38462e-41,38.6981365926,-58.3002625309,0.002,0.00649935168967,-58.3002625309,1.66407e-22,500,1,-58.3002625309,100,85.0,38.6981365926,0.002,1.0,1.0,,8.32037e-20,1.0,,-51.12,
1.0,-65.2964,,2587.58307271,-65.2964361303,3.50449e-18,500.0,-65.2964361303,1.0,500,2,-65.2964361303,100,94.04,2587.58307271,0.01,1.0,100.0,50.6133,1.0,0.01,0.01,-65.2964,1.0
1.0,-65.7591,,2571.75804067,-66.2217202672,2.1793e-19,500.0,-66.2217202672,1.0,500,2,-66.2217202672,100,95.18,2571.75804067,0.005,1.0,200.000000102,50.538,1.0,0.005,0.005,-65.7591,1.0
1.0,-63.3066,,46.3034836921,-58.4017770575,5.43914e-20,500.0,-58.4017770575,1.0,500,2,-58.4017770575,100,85.59,46.3034836921,0.00333333,1.0,299.999969474,41.5937,1.0,0.00333333,0.00333333,-63.3066,1.0
1.0,-63.1406,,1337.15587995,-62.6426042637,5.4346e-20,500.0,-62.6426042637,1.0,500,2,-62.6426042637,100,91.06,1337.15587995,0.0025,1.0,400.0,40.3554,1.0,0.0025,0.0025,-63.1406,1.0
inf,-61.6188,0.425721,1323.5979889,-62.7008230731,1.74809e-06,,-62.7008230731,0.986985,500,1,-62.7008230731,100,90.93,1323.5979889,0.002,1.0,348.153465567,27.4577,7.62445,0.01545,0.00119743,-61.6188,0.590923
1.0,-62.4832,,1332.20104551,-62.4832001497,3.50449e-18,500.0,-62.4832001497,1.0,500,2,-62.4832001497,100,90.84,1332.20104551,0.01,1.0,100.0,36.3164,1.0,0.01,0.01,-62.4832,1.0
1.0,-60.9589,,43.1812154365,-59.434610679,2.1793e-19,500.0,-59.434610679,1.0,500,2,-59.434610679,100,87.34,43.1812154365,0.005,1.0,200.000000102,26.1369,1.0,0.005,0.005,-60.9589,1.0
1.0,-60.6029,,42.5177931691,-59.8908312383,5.43914e-20,500.0,-59.8908312383,1.0,500,2,-59.8908312383,100,88.4,42.5177931691,0.00333333,1.0,299.999969474,21.6728,1.0,0.00333333,0.00333333,-60.6029,1.0
1.0,-61.1057,,1330.8521981,-62.6142911994,5.4346e-20,500.0,-62.6142911994,1.0,500,2,-62.6142911994,100,91.03,1330.8521981,0.0025,1.0,400.0,26.1233,1.0,0.0025,0.0025,-61.1057,1.0
357.075,-61.1592,1.24338,2577.20571736,-66.4314899275,4.51844e-06,1.4002673191,-66.4314899275,1.04915,500,1,-66.4314899275,100,95.49,2577.20571736,0.002,1.0,235.033925819,24.3992,11.7428,0.0223853,0.00052862,-61.1592,0.277301
1.0,-62.7014,,1320.9164577,-62.7014037302,3.50449e-18,500.0,-62.7014037302,1.0,500,2,-62.7014037302,100,91.06,1320.9164577,0.01,1.0,100.0,36.1622,1.0,0.01,0.01,-62.7014,1.0
1.0,-62.7844,,1331.73781676,-62.8674189244,2.1793e-19,500.0,-62.8674189244,1.0,500,2,-62.8674189244,100,91.42,1331.73781676,0.005,1.0,200.000000102,36.2363,1.0,0.005,0.005,-62.7844,1.0
1.0,-64.9353,,3822.59507333,-69.2371817088,5.43914e-20,500.0,-69.2371817088,1.0,500,2,-69.2371817088,100,98.69,3822.59507333,0.00333333,1.0,299.999969474,46.3259,1.0,0.00333333,0.00333333,-64.9353,1.0
1.0,-63.209,,44.4474016558,-58.029886578,5.4346e-20,500.0,-58.029886578,1.0,500,2,-58.029886578,100,85.32,44.4474016558,0.0025,1.0,400.0,40.3672,1.0,0.0025,0.0025,-63.209,1.0
inf,-61.0351,2.93668,1331.54890303,-62.3090314433,9.42011e-06,,-62.3090314433,1.11668,500,1,-62.3090314433,100,90.51,1331.54890303,0.002,1.0,149.239594529,34.1223,18.9987,0.034027,1.13947e-11,-61.0351,6.36216e-09
1.0,-58.5781,,41.3408253325,-58.5781000575,3.50449e-18,500.0,-58.5781000575,1.0,500,2,-58.5781000575,100,86.08,41.3408253325,0.01,1.0,100.0,6.39745,1.0,0.01,0.01,-58.5781,1.0
1.0,-59.3103,,42.6071774576,-60.0425909464,2.1793e-19,500.0,-60.0425909464,1.0,500,2,-60.0425909464,100,88.62,42.6071774576,0.005,1.0,200.000000102,6.48772,1.0,0.005,0.005,-59.3103,1.0
1.0,-60.6533,,1314.42825445,-63.3391790248,5.43914e-20,500.0,-63.3391790248,1.0,500,2,-63.3391790248,100,92.43,1314.42825445,0.00333333,1.0,299.999969474,21.5738,1.0,0.00333333,0.00333333,-60.6533,1.0
1.0,-60.3521,,53.2474648337,-59.4487022193,5.4346e-20,500.0,-59.4487022193,1.0,500,2,-59.4487022193,100,87.77,53.2474648337,0.0025,1.0,400.0,19.04,1.0,0.0025,0.0025,-60.3521,1.0
inf,-60.9377,1.15941,2575.91512103,-67.0798859259,5.48562e-06,,-67.0798859259,0.919467,500,1,-67.0798859259,100,96.74,2575.91512103,0.002,1.0,211.089621272,15.0465,13.0721,0.0284341,0.000395416,-60.9377,0.181786
1.0,-59.0151,,46.8476026699,-59.015109552,3.50449e-18,500.0,-59.015109552,1.0,500,2,-59.015109552,100,86.22,46.8476026699,0.01,1.0,100.0,6.81022,1.0,0.01,0.01,-59.0151,1.0
1.0,-64.14,,3811.02091064,-69.2649096183,2.1793e-19,500.0,-69.2649096183,1.0,500,2,-69.2649096183,100,98.02,3811.02091064,0.005,1.0,200.000000102,43.999,1.0,0.005,0.005,-64.14,1.0
1.0,-62.4187,,39.8204958797,-58.9762034312,5.43914e-20,500.0,-58.9762034312,1.0,500,2,-58.9762034312,100,86.47,39.8204958797,0.00333333,1.0,299.999969474,36.1894,1.0,0.00333333,0.00333333,-62.4187,1.0
1.0,-61.555,,47.0468174125,-58.9637431276,5.4346e-20,500.0,-58.9637431276,1.0,500,2,-58.9637431276,100,86.41,47.0468174125,0.0025,1.0,400.0,31.5616,1.0,0.0025,0.0025,-61.555,1.0
inf,-60.561,2.09052,1344.36221545,-62.9130522183,7.78815e-06,,-62.9130522183,1.03619,500,1,-62.9130522183,100,91.55,1344.36221545,0.002,1.0,169.886420406,25.7318,14.2641,0.0275317,0.000602774,-60.561,0.312295
1.0,-66.459,,2586.80840273,-66.4589660087,3.50449e-18,500.0,-66.4589660087,1.0,500,2,-66.4589660087,100,95.26,2586.80840273,0.01,1.0,100.0,50.6057,1.0,0.01,0.01,-66.459,1.0
1.0,-66.1429,,2582.87037502,-65.8268360551,2.1793e-19,500.0,-65.8268360551,1.0,500,2,-65.8268360551,100,94.28,2582.87037502,0.005,1.0,200.000000102,50.5875,1.0,0.005,0.005,-66.1429,1.0
1.0,-65.8576,,2598.40487996,-65.2869453949,5.43914e-20,500.0,-65.2869453949,1.0,500,2,-65.2869453949,100,93.58,2598.40487996,0.00333333,1.0,299.999969474,50.633,1.0,0.00333333,0.00333333,-65.8576,1.0
1.0,-64.0384,,54.0998166354,-58.580798381,5.4346e-20,500.0,-58.580798381,1.0,500,2,-58.580798381,100,85.98,54.0998166354,0.0025,1.0,400.0,44.1145,1.0,0.0025,0.0025,-64.0384,1.0
inf,-60.8176,3.44546,2594.81376005,-64.7186972484,1.15905e-05,,-64.7186972484,1.09044,500,1,-64.7186972484,100,92.75,2594.81376005,0.002,1.0,128.474084328,33.6215,29.7568,0.0545776,0.000248619,-60.8176,0.135552
1.0,-59.8095,,44.0352125314,-59.8095450655,3.50449e-18,500.0,-59.8095450655,1.0,500,2,-59.8095450655,100,88.16,44.0352125314,0.01,1.0,100.0,6.60264,1.0,0.01,0.01,-59.8095,1.0
1.0,-63.5157,,2549.90191207,-67.2218592069,2.1793e-19,500.0,-67.2218592069,1.0,500,2,-67.2218592069,100,97.17,2549.90191207,0.005,1.0,200.000000102,36.0241,1.0,0.005,0.005,-63.5157,1.0
1.0,-62.9682,,1324.02212769,-61.8731116709,5.43914e-20,500.0,-61.8731116709,1.0,500,2,-61.8731116709,100,89.36,1324.02212769,0.00333333,1.0,299.999969474,36.0927,1.0,0.00333333,0.00333333,-62.9682,1.0
1.0,-63.8744,,2567.56048877,-66.5931946509,5.4346e-20,500.0,-66.5931946509,1.0,500,2,-66.5931946509,100,96.03,2567.56048877,0.0025,1.0,400.0,40.1864,1.0,0.0025,0.0025,-63.8744,1.0
524621.0,-52.0697,,1332.06068441,-61.8351163235,0.002,0.000953069204499,-61.8351163235,3.48897e-40,500,1,-61.8351163235,100,89.93,1332.06068441,0.002,1.0,inf,,1.74448e-37,1.0,,-52.0697,
1.0,-59.6952,,41.60690794,-59.6952280934,3.50449e-18,500.0,-59.6952280934,1.0,500,2,-59.6952280934,100,88.34,41.60690794,0.01,1.0,100.0,6.41801,1.0,0.01,0.01,-59.6952,1.0
1.0,-58.9422,,38.3364112094,-58.1892114486,2.1793e-19,500.0,-58.1892114486,1.0,500,2,-58.1892114486,100,85.6,38.3364112094,0.005,1.0,200.000000102,6.33553,1.0,0.005,0.005,-58.9422,1.0
1.0,-59.7052,,1325.69640824,-61.2312421532,5.43914e-20,500.0,-61.2312421532,1.0,500,2,-61.2312421532,100,88.72,1325.69640824,0.00333333,1.0,299.999969474,21.5732,1.0,0.00333333,0.00333333,-59.7052,1.0
1.0,-60.3943,,1343.01467459,-62.4615135066,5.4346e-20,500.0,-62.4615135066,1.0,500,2,-62.4615135066,100,90.74,1343.01467459,0.0025,1.0,400.0,26.1318,1.0,0.0025,0.0025,-60.3943,1.0
10060.8,-51.5619,1.43042e-20,1326.16184336,-62.4540024471,0.002,0.0496976451567,-62.4540024471,5.34868e-12,500,1,-62.4540024471,100,90.94,1326.16184336,0.002,1.0,1.0,,2.67434e-09,1.0,,-51.5619,
1.0,-61.1026,,1329.51928645,-61.102570626,3.50449e-18,500.0,-61.102570626,1.0,500,2,-61.102570626,100,88.64,1329.51928645,0.01,1.0,100.0,36.2798,1.0,0.01,0.01,-61.1026,1.0
1.0,-60.1412,,46.2793466925,-59.1799135247,2.1793e-19,500.0,-59.1799135247,1.0,500,2,-59.1799135247,100,86.73,46.2793466925,0.005,1.0,200.000000102,26.1141,1.0,0.005,0.005,-60.1412,1.0
1.0,-60.8084,,1331.75758821,-62.1428265971,5.43914e-20,500.0,-62.1428265971,1.0,500,2,-62.1428265971,100,90.14,1331.75758821,0.00333333,1.0,299.999969474,29.9165,1.0,0.00333333,0.00333333,-60.8084,1.0
1.0,-60.3569,,45.3193552432,-59.0021838842,5.4346e-20,500.0,-59.0021838842,1.0,500,2,-59.0021838842,100,87.01,45.3193552432,0.0025,1.0,400.0,26.1358,1.0,0.0025,0.0025,-60.3569,1.0
33249.5,-41.0547,4.4201e+06,2594.47809129,-65.9404341671,0.002,0.0150378254177,-65.9404341671,94.0223,500,1,-65.9404341671,100,94.83,2594.47809129,0.002,1.0,1.0,,47011.2,1.0,,-41.0547,
1.0,-58.665,,50.5510924635,-58.664973875,3.50449e-18,500.0,-58.664973875,1.0,500,2,-58.664973875,100,86.09,50.5510924635,0.01,1.0,100.0,7.07429,1.0,0.01,0.01,-58.665,1.0
1.0,-60.6148,,1333.30955815,-62.5646192366,2.1793e-19,500.0,-62.5646192366,1.0,500,2,-62.5646192366,100,90.94,1333.30955815,0.005,1.0,200.000000102,26.2452,1.0,0.005,0.005,-60.6148,1.0
1.0,-62.4855,,2586.84134363,-66.2269187336,5.43914e-20,500.0,-66.2269187336,1.0,500,2,-66.2269187336,100,94.79,2586.84134363,0.00333333,1.0,299.999969474,36.3299,1.0,0.00333333,0.00333333,-62.4855,1.0
1.0,-62.3544,,1342.72538349,-61.9609096272,5.4346e-20,500.0,-61.9609096272,1.0,500,2,-61.9609096272,100,89.65,1342.72538349,0.0025,1.0,400.0,36.3631,1.0,0.0025,0.0025,-62.3544,1.0
1.0,-62.4913,,1324.07837984,-63.0391538036,5.43187e-20,500.0,-63.0391538036,1.0,500,1,-63.0391538036,100,91.88,1324.07837984,0.002,1.0,500.000006643,36.3327,1.0,0.002,0.002,-62.4913,1.0
1.0,-70.3682,,3807.71542861,-70.3682310234,3.50449e-18,500.0,-70.3682310234,1.0,500,2,-70.3682310234,100,100.51,3807.71542861,0.01,1.0,100.0,61.3974,1.0,0.01,0.01,-70.3682,1.0
1.0,-64.2565,,33.2867790383,-58.1448447791,2.1793e-19,500.0,-58.1448447791,1.0,500,2,-58.1448447791,100,85.17,33.2867790383,0.005,1.0,200.000000102,44.0301,1.0,0.005,0.005,-64.2565,1.0
1.0,-63.7058,,1315.75104416,-62.6043797714,5.43914e-20,500.0,-62.6043797714,1.0,500,2,-62.6043797714,100,90.93,1315.75104416,0.00333333,1.0,299.999969474,41.56,1.0,0.00333333,0.00333333,-63.7058,1.0
1.0,-62.3612,,47.818394463,-58.3272536531,5.4346e-20,500.0,-58.3272536531,1.0,500,2,-58.3272536531,100,85.82,47.818394463,0.0025,1.0,400.0,36.231,1.0,0.0025,0.0025,-62.3612,1.0
1.0,-61.8644,,44.455340168,-59.8772060837,5.43187e-20,500.0,-59.8772060837,1.0,500,1,-59.8772060837,100,88.04,44.455340168,0.002,1.0,500.000006643,32.5567,1.0,0.002,0.002,-61.8644,1.0
1.0,-62.947,,1323.20641338,-62.9469845508,3.50449e-18,500.0,-62.9469845508,1.0,500,2,-62.9469845508,100,91.76,1323.20641338,0.01,1.0,100.0,36.1936,1.0,0.01,0.01,-62.947,1.0
1.0,-62.7747,,1331.03829056,-62.6024106649,2.1793e-19,500.0,-62.6024106649,1.0,500,2,-62.6024106649,100,90.76,1331.03829056,0.005,1.0,200.000000102,36.2475,1.0,0.005,0.005,-62.7747,1.0
1.0,-61.265,,27.3410847682,-58.2455420168,5.43914e-20,500.0,-58.2455420168,1.0,500,2,-58.2455420168,100,85.61,27.3410847682,0.00333333,1.0,299.999969474,29.8245,1.0,0.00333333,0.00333333,-61.265,1.0
1.0,-60.6319,,36.8228695581,-58.7326609713,5.4346e-20,500.0,-58.7326609713,1.0,500,2,-58.7326609713,100,86.39,36.8228695581,0.0025,1.0,400.0,26.0277,1.0,0.0025,0.0025,-60.6319,1.0
1.0,-60.2076,,37.2656076369,-58.5101693676,5.43187e-20,500.0,-58.5101693676,1.0,500,1,-58.5101693676,100,86.13,37.2656076369,0.002,1.0,500.000006643,23.4532,1.0,0.002,0.002,-60.2076,1.0
1.0,-72.8442,,5028.4147284,-72.8442432424,3.50449e-18,500.0,-72.8442432424,1.0,500,2,-72.8442432424,100,102.54,5028.4147284,0.01,1.0,100.0,70.5559,1.0,0.01,0.01,-72.8442,1.0
1.0,-69.7265,,2571.86962917,-66.6087961161,2.1793e-19,500.0,-66.6087961161,1.0,500,2,-66.6087961161,100,95.74,2571.86962917,0.005,1.0,200.000000102,61.4155,1.0,0.005,0.005,-69.7265,1.0
1.0,-66.0732,,42.277088279,-58.766653441,5.43914e-20,500.0,-58.766653441,1.0,500,2,-58.766653441,100,86.33,42.277088279,0.00333333,1.0,299.999969474,50.5492,1.0,0.00333333,0.00333333,-66.0732,1.0
1.0,-65.2641,,1324.82340666,-62.8367330849,5.4346e-20,500.0,-62.8367330849,1.0,500,2,-62.8367330849,100,91.3,1324.82340666,0.0025,1.0,400.0,47.3948,1.0,0.0025,0.0025,-65.2641,1.0
1.0,-64.9506,,1306.00138338,-63.6964763615,5.43187e-20,500.0,-63.6964763615,1.0,500,1,-63.6964763615,100,92.76,1306.00138338,0.002,1.0,500.000006643,45.3431,1.0,0.002,0.002,-64.9506,1.0
1.0,-57.8171,,34.3190910547,-57.8171017486,3.50449e-18,500.0,-57.8171017486,1.0,500,2,-57.8171017486,100,85.02,34.3190910547,0.01,1.0,100.0,5.82889,1.0,0.01,0.01,-57.8171,1.0
1.0,-57.9503,,52.1632987224,-58.0834457979,2.1793e-19,500.0,-58.0834457979,1.0,500,2,-58.0834457979,100,85.18,52.1632987224,0.005,1.0,200.000000102,6.5442,1.0,0.005,0.005,-57.9503,1.0
1.0,-61.9247,,3806.61547357,-69.8735506225,5.43914e-20,500.0,-69.8735506225,1.0,500,2,-69.8735506225,100,99.69,3806.61547357,0.00333333,1.0,299.999969474,36.2812,1.0,0.00333333,0.00333333,-61.9247,1.0
1.0,-61.3085,,39.9005509761,-59.4597197373,5.4346e-20,500.0,-59.4597197373,1.0,500,2,-59.4597197373,100,87.35,39.9005509761,0.0025,1.0,400.0,31.5952,1.0,0.0025,0.0025,-61.3085,1.0
1.0,-61.1514,,1329.37100768,-60.5229930989,5.43187e-20,500.0,-60.5229930989,1.0,500,1,-60.5229930989,100,87.36,1329.37100768,0.002,1.0,500.000006643,32.5871,1.0,0.002,0.002,-61.1514,1.0
1.0,-61.8818,,1323.73268665,-61.8818391851,3.50449e-18,500.0,-61.8818391851,1.0,500,2,-61.8818391851,100,89.48,1323.73268665,0.01,1.0,100.0,36.2008,1.0,0.01,0.01,-61.8818,1.0
1.0,-60.4944,,42.2854465552,-59.1068838432,2.1793e-19,500.0,-59.1068838432,1.0,500,2,-59.1068838432,100,86.47,42.2854465552,0.005,1.0,200.000000102,26.0404,1.0,0.005,0.005,-60.4944,1.0
1.0,-61.1814,,1321.63502582,-62.555354559,5.43914e-20,500.0,-62.555354559,1.0,500,2,-62.555354559,100,90.61,1321.63502582,0.00333333,1.0,299.999969474,29.8187,1.0,0.00333333,0.00333333,-61.1814,1.0
1.0,-63.6586,,3772.75296315,-71.0904182875,5.4346e-20,500.0,-71.0904182875,1.0,500,2,-71.0904182875,100,101.41,3772.75296315,0.0025,1.0,400.0,40.2372,1.0,0.0025,0.0025,-63.6586,1.0
1.0,-62.7494,,63.6200704258,-59.1126733755,5.43187e-20,500.0,-59.1126733755,1.0,500,1,-59.1126733755,100,86.97,63.6200704258,0.002,1.0,500.000006643,36.2095,1.0,0.002,0.002,-62.7494,1.0
1.0,-62.3959,,1335.55914637,-62.395902428,3.50449e-18,500.0,-62.395902428,1.0,500,2,-62.395902428,100,90.59,1335.55914637,0.01,1.0,100.0,36.3621,1.0,0.01,0.01,-62.3959,1.0
1.0,-61.9026,,1328.05057669,-61.4092808901,2.1793e-19,500.0,-61.4092808901,1.0,500,2,-61.4092808901,100,88.9,1328.05057669,0.005,1.0,200.000000102,36.3143,1.0,0.005,0.005,-61.9026,1.0
1.0,-60.8164,,29.6545730445,-58.6439754459,5.43914e-20,500.0,-58.6439754459,1.0,500,2,-58.6439754459,100,86.33,29.6545730445,0.00333333,1.0,299.999969474,29.8546,1.0,0.00333333,0.00333333,-60.8164,1.0
1.0,-60.1897,,44.7522280373,-58.3095024389,5.4346e-20,500.0,-58.3095024389,1.0,500,2,-58.3095024389,100,86.02,44.7522280373,0.0025,1.0,400.0,26.0908,1.0,0.0025,0.0025,-60.1897,1.0
1.0,-60.5214,,1319.40014683,-61.8484445013,5.43187e-20,500.0,-61.8484445013,1.0,500,1,-61.8484445013,100,89.7,1319.40014683,0.002,1.0,500.000006643,28.3948,1.0,0.002,0.002,-60.5214,1.0
1.0,-63.5845,,1315.84969948,-63.5844950591,3.50449e-18,500.0,-63.5844950591,1.0,500,2,-63.5844950591,100,92.73,1315.84969948,0.01,1.0,100.0,36.0928,1.0,0.01,0.01,-63.5845,1.0
1.0,-63.327,,1332.21717861,-63.0694973244,2.1793e-19,500.0,-63.0694973244,1.0,500,2,-63.0694973244,100,91.5,1332.21717861,0.005,1.0,200.000000102,36.2058,1.0,0.005,0.005,-63.327,1.0
1.0,-64.7125,,2574.74922291,-67.4834575115,5.43914e-20,500.0,-67.4834575115,1.0,500,2,-67.4834575115,100,97.14,2574.74922291,0.00333333,1.0,299.999969474,41.5622,1.0,0.00333333,0.00333333,-64.7125,1.0
1.0,-64.1271,,1325.61159253,-62.3709539144,5.4346e-20,500.0,-62.3709539144,1.0,500,2,-62.3709539144,100,90.55,1325.61159253,0.0025,1.0,400.0,40.3073,1.0,0.0025,0.0025,-64.1271,1.0
1.0,-63.723,,1329.32955168,-62.1067225765,5.43187e-20,500.0,-62.1067225765,1.0,500,1,-62.1067225765,100,90.14,1329.32955168,0.002,1.0,500.000006643,39.5424,1.0,0.002,0.002,-63.723,1.0
