AvgNormIw,ESSRenyi,IterType,MinNormIw,VarDiscRet,VarNormIw,Delta,MinVanillaIw,VarVanillaIw,VanillaAvgRet,Bound,AvgEpLen,J,MaxNormIw,VarJ,ESSClassic,AvgRet,EpsThisIter,MaxVanillaIw,eRenyi2,VarRet,BatchSize,AvgVanillaIw,AvgDiscRet
0.002,397.936874367,1,2.7149e-05,61719.8005127,1.0647e-06,0.8,0.0137291,0.272272,4584.47996011,4496.35,495.29,4613.45,0.00477817,118.227,395.055984572,4584.47996011,100,2.41629,1.25648,61719.8005127,500,1.01139,4584.47996011
0.01,500.0,2,0.01,40472.738681,3.50449e-18,0.8,1.0,,4591.34978827,4357.85,495.77,4591.35,0.01,200.17,100.0,4591.34978827,100,1.0,1.0,40472.738681,500,1.0,4591.34978827
0.005,500.0,2,0.005,212696.886837,2.1793e-19,0.8,1.0,,4512.09429214,4386.61,487.96,4551.72,0.005,356.215,200.000000102,4512.09429214,100,1.0,1.0,212696.886837,500,1.0,4512.09429214
0.00333333,500.0,2,0.00333333,21383.4161167,5.43914e-20,0.8,1.0,,4613.70307977,4437.55,497.93,4572.38,0.00333333,304.143,299.999969474,4613.70307977,100,1.0,1.0,21383.4161167,500,1.0,4613.70307977
0.0025,500.0,2,0.0025,12736.1872404,5.4346e-20,0.8,1.0,,4623.62833347,4468.43,498.9,4585.19,0.0025,270.226,400.0,4623.62833347,100,1.0,1.0,12736.1872404,500,1.0,4623.62833347
0.002,423.406098584,1,0.000239441,19491.6420952,7.16506e-07,0.8,0.119396,0.178157,4610.88323907,4499.94,498.12,4613.49,0.00699838,132.782,424.171688069,4610.88323907,100,3.48971,1.1809,19491.6420952,500,0.997291,4610.88323907
0.01,500.0,2,0.01,4442.01374723,3.50449e-18,0.8,1.0,,4624.15118949,4390.9,499.33,4624.15,0.01,66.3143,100.0,4624.15118949,100,1.0,1.0,4442.01374723,500,1.0,4624.15118949
0.005,500.0,2,0.005,47148.6852888,2.1793e-19,0.8,1.0,,4605.63629833,4449.9,496.83,4614.89,0.005,160.072,200.000000102,4605.63629833,100,1.0,1.0,47148.6852888,500,1.0,4605.63629833
0.00333333,500.0,2,0.00333333,30309.3746337,5.43914e-20,0.8,1.0,,4609.00814633,4478.14,497.17,4612.93,0.00333333,164.596,299.999969474,4609.00814633,100,1.0,1.0,30309.3746337,500,1.0,4609.00814633
0.0025,500.0,2,0.0025,3944.31827388,5.4346e-20,0.8,1.0,,4635.48034513,4501.83,499.41,4618.57,0.0025,146.255,400.0,4635.48034513,100,1.0,1.0,3944.31827388,500,1.0,4635.48034513
0.002,465.239097706,1,0.000504737,53130.787477,3.00822e-07,0.8,0.249231,0.0733473,4609.78103761,4517.89,497.15,4626.13,0.00369661,95.186,465.092353873,4609.78103761,100,1.82533,1.07472,53130.787477,500,0.987568,4609.78103761
0.01,500.0,2,0.01,54982.2890638,3.50449e-18,0.8,1.0,,4609.97643466,4376.6,497.04,4609.98,0.01,233.308,100.0,4609.97643466,100,1.0,1.0,54982.2890638,500,1.0,4609.97643466
0.005,500.0,2,0.005,24914.4887568,2.1793e-19,0.8,1.0,,4616.37876442,4448.14,497.98,4613.18,0.005,198.895,200.000000102,4616.37876442,100,1.0,1.0,24914.4887568,500,1.0,4616.37876442
0.00333333,500.0,2,0.00333333,31861.1611236,5.43914e-20,0.8,1.0,,4613.45149526,4478.5,497.59,4613.27,0.00333333,192.06,299.999969474,4613.45149526,100,1.0,1.0,31861.1611236,500,1.0,4613.45149526
0.0025,500.0,2,0.0025,3364.03894619,5.4346e-20,0.8,1.0,,4624.92730523,4499.43,499.73,4616.18,0.0025,168.888,400.0,4624.92730523,100,1.0,1.0,3364.03894619,500,1.0,4624.92730523
0.002,454.232612621,1,0.0002985,42069.9651772,4.81592e-07,0.8,0.145742,0.114805,4611.88455075,4520.45,497.25,4630.01,0.00409152,70.9954,446.365760231,4611.88455075,100,1.99768,1.10076,42069.9651772,500,0.976497,4611.88455075
0.01,500.0,2,0.01,895.313984593,3.50449e-18,0.8,1.0,,4637.5253055,4404.11,500.0,4637.52,0.01,29.7718,100.0,4637.5253055,100,1.0,1.0,895.313984593,500,1.0,4637.5253055
0.005,500.0,2,0.005,50752.3140364,2.1793e-19,0.8,1.0,,4620.07055251,4463.73,497.61,4628.8,0.005,160.13,200.000000102,4620.07055251,100,1.0,1.0,50752.3140364,500,1.0,4620.07055251
0.00333333,500.0,2,0.00333333,733.380540906,5.43914e-20,0.8,1.0,,4639.61474236,4497.6,500.0,4632.4,0.00333333,131.767,299.999969474,4639.61474236,100,1.0,1.0,733.380540906,500,1.0,4639.61474236
0.0025,500.0,2,0.0025,10917.5741961,5.4346e-20,0.8,1.0,,4626.04456159,4514.07,498.62,4630.81,0.0025,125.426,400.0,4626.04456159,100,1.0,1.0,10917.5741961,500,1.0,4626.04456159
0.002,483.271202419,1,0.000794978,7666.25015509,1.35875e-07,0.8,0.401407,0.0346418,4628.39249784,4528.3,499.2,4634.51,0.00288376,75.6433,483.605586512,4628.39249784,100,1.45609,1.03462,7666.25015509,500,1.00986,4628.39249784
0.01,500.0,2,0.01,1075.3512611,3.50449e-18,0.8,1.0,,4638.50085603,4405.08,499.96,4638.5,0.01,32.6282,100.0,4638.50085603,100,1.0,1.0,1075.3512611,500,1.0,4638.50085603
0.005,500.0,2,0.005,4440.1016982,2.1793e-19,0.8,1.0,,4631.81648345,4470.09,499.41,4635.16,0.005,52.3576,200.000000102,4631.81648345,100,1.0,1.0,4440.1016982,500,1.0,4631.81648345
0.00333333,500.0,2,0.00333333,103474.837802,5.43914e-20,0.8,1.0,,4584.53004208,4483.51,494.18,4618.28,0.00333333,191.164,299.999969474,4584.53004208,100,1.0,1.0,103474.837802,500,1.0,4584.53004208
0.0025,500.0,2,0.0025,816.05071397,5.4346e-20,0.8,1.0,,4640.76903867,4507.15,500.0,4623.9,0.0025,166.447,400.0,4640.76903867,100,1.0,1.0,816.05071397,500,1.0,4640.76903867
0.002,473.993712184,1,0.000573073,27479.8795914,2.20578e-07,0.8,0.286211,0.0550192,4618.65544936,4522.68,497.61,4629.94,0.00367225,116.686,473.918235931,4618.65544936,100,1.83404,1.05487,27479.8795914,500,0.998862,4618.65544936
0.01,500.0,2,0.01,16111.323858,3.50449e-18,0.8,1.0,,4623.22070959,4389.71,498.39,4623.22,0.01,126.294,100.0,4623.22070959,100,1.0,1.0,16111.323858,500,1.0,4623.22070959
0.005,500.0,2,0.005,27999.0547456,2.1793e-19,0.8,1.0,,4612.0511116,4452.52,497.58,4617.64,0.005,147.871,200.000000102,4612.0511116,100,1.0,1.0,27999.0547456,500,1.0,4612.0511116
0.00333333,500.0,2,0.00333333,671.284472996,5.43914e-20,0.8,1.0,,4638.64651029,4489.82,500.0,4624.64,0.00333333,122.053,299.999969474,4638.64651029,100,1.0,1.0,671.284472996,500,1.0,4638.64651029
0.0025,500.0,2,0.0025,30030.0138428,5.4346e-20,0.8,1.0,,4617.6114793,4506.13,497.28,4622.88,0.0025,136.434,400.0,4617.6114793,100,1.0,1.0,30030.0138428,500,1.0,4617.6114793
0.002,468.726559783,1,0.000515492,22038.3561582,2.76857e-07,0.8,0.257491,0.0690774,4623.91407378,4522.77,498.55,4630.64,0.00333342,88.2846,467.693869867,4623.91407378,100,1.66506,1.06672,22038.3561582,500,0.999011,4623.91407378
0.01,500.0,2,0.01,58055.3413517,3.50449e-18,0.8,1.0,,4605.38158543,4371.97,496.73,4605.38,0.01,239.739,100.0,4605.38158543,100,1.0,1.0,58055.3413517,500,1.0,4605.38158543
0.005,500.0,2,0.005,531.52523342,2.1793e-19,0.8,1.0,,4643.12774318,4459.15,500.0,4624.25,0.005,171.338,200.000000102,4643.12774318,100,1.0,1.0,531.52523342,500,1.0,4643.12774318
0.00333333,500.0,2,0.00333333,1255.31751421,5.43914e-20,0.8,1.0,,4637.16280739,4493.75,499.96,4628.56,0.00333333,141.501,299.999969474,4637.16280739,100,1.0,1.0,1255.31751421,500,1.0,4637.16280739
0.0025,500.0,2,0.0025,21147.9839263,5.4346e-20,0.8,1.0,,4619.72760911,4509.6,498.48,4626.35,0.0025,142.357,400.0,4619.72760911,100,1.0,1.0,21147.9839263,500,1.0,4619.72760911
0.002,484.479752201,1,0.000943489,15462.6863654,1.1484e-07,0.8,0.473412,0.0289133,4622.19143823,4523.01,498.82,4629.14,0.00382424,102.384,486.072748946,4622.19143823,100,1.91888,1.03203,15462.6863654,500,1.00353,4622.19143823
0.01,500.0,2,0.01,32504.664059,3.50449e-18,0.8,1.0,,4622.43697722,4389.02,498.09,4622.44,0.01,179.387,100.0,4622.43697722,100,1.0,1.0,32504.664059,500,1.0,4622.43697722
0.005,500.0,2,0.005,1181.99300927,2.1793e-19,0.8,1.0,,4639.7823316,4466.06,500.0,4631.11,0.005,129.422,200.000000102,4639.7823316,100,1.0,1.0,1181.99300927,500,1.0,4639.7823316
0.00333333,500.0,2,0.00333333,643.244243294,5.43914e-20,0.8,1.0,,4640.29924001,4499.39,500.0,4634.17,0.00333333,106.76,299.999969474,4640.29924001,100,1.0,1.0,643.244243294,500,1.0,4640.29924001
0.0025,500.0,2,0.0025,38737.994822,5.4346e-20,0.8,1.0,,4623.32889935,4514.69,497.96,4631.46,0.0025,134.752,400.0,4623.32889935,100,1.0,1.0,38737.994822,500,1.0,4623.32889935
0.002,489.090709373,1,0.000421653,1570.67592975,8.94683e-08,0.8,0.210045,0.0222015,4636.25137924,4530.78,499.74,4636.38,0.00275869,71.9053,489.082597838,4636.25137924,100,1.37423,1.02231,1570.67592975,500,0.996291,4636.25137924
0.01,500.0,2,0.01,585.59245016,3.50449e-18,0.8,1.0,,4639.78808933,4406.3,500.0,4639.79,0.01,24.0777,100.0,4639.78808933,100,1.0,1.0,585.59245016,500,1.0,4639.78808933
0.005,500.0,2,0.005,104151.046854,2.1793e-19,0.8,1.0,,4598.98421886,4454.2,495.19,4619.39,0.005,228.606,200.000000102,4598.98421886,100,1.0,1.0,104151.046854,500,1.0,4598.98421886
0.00333333,500.0,2,0.00333333,12979.13131,5.43914e-20,0.8,1.0,,4626.35396873,4486.84,498.75,4621.71,0.00333333,197.824,299.999969474,4626.35396873,100,1.0,1.0,12979.13131,500,1.0,4626.35396873
0.0025,500.0,2,0.0025,3550.8850094,5.4346e-20,0.8,1.0,,4631.27569531,4507.3,499.49,4624.1,0.0025,173.916,400.0,4631.27569531,100,1.0,1.0,3550.8850094,500,1.0,4631.27569531
0.002,461.821147894,1,0.000362214,72566.1955313,3.49972e-07,0.8,0.183091,0.089421,4604.72093971,4522.58,496.27,4631.28,0.003526,92.4606,459.847338894,4604.72093971,100,1.78232,1.08267,72566.1955313,500,1.01096,4604.72093971
0.01,500.0,2,0.01,80166.6274036,3.50449e-18,0.8,1.0,,4597.64253942,4364.22,495.74,4597.64,0.01,281.718,100.0,4597.64253942,100,1.0,1.0,80166.6274036,500,1.0,4597.64253942
