Bound,AvgDiscRet,VarVanillaIw,MinVanillaIw,MaxNormIw,BatchSize,AvgVanillaIw,AvgNormIw,MaxVanillaIw,MinNormIw,VanillaAvgRet,VarRet,AvgEpLen,eRenyi2,VarDiscRet,AvgRet,VarNormIw,J,ESSRenyi,VarJ,ESSClassic
-9.244579,-7.3785756365598125,0.097865544,0.87039906,0.028259754,100,1.038407,0.01,2.9345126,0.008382061,-7.3785756365598125,42.882995878866495,200.0,1.0556413,42.882995878866495,-7.3785756365598125,9.076004e-06,-7.2348757,94.7291476880502,6.784228,91.75555765131998
-10.005648,-8.424968849202095,0.92641526,8.264393e-10,0.028490538,100,0.95041007,0.01,2.7077694,8.695608e-12,-8.424968849202095,53.88963467410259,200.0,1.9850811,53.88963467410259,-8.424968849202095,0.000102561324,-7.2482796,50.375776172411506,10.596826,49.6189991138984
-8.000021,-8.509331141545125,2.7627227,,0.22102553,100,0.45395195,0.01,10.033497,,-8.509331141545125,39.839095406208,200.0,10.175676,39.839095406208,-8.509331141545125,0.0013406565,-2.1333067,9.827356590505877,6.24126,7.006482532070996
-9.540743,-7.865159715064128,0.16098626,0.7982319,0.038788468,100,1.0081176,0.010000002,3.9103334,0.007918044,-7.865159715064128,53.64203755253752,200.0,1.2032142,53.64203755253752,-7.865159715064128,1.5840415e-05,-7.3932,83.11072343889387,7.6910768,86.44385988358977
-9.535573,-8.49151002899188,0.8307792,2.6933998e-12,0.02964768,100,0.8686659,0.01,2.5753927,3.1006166e-14,-8.49151002899188,51.44417370244488,200.0,1.8980056,51.44417370244488,-8.49151002899188,0.00011009817,-6.841352,52.686883405431296,9.607335,47.84753302534578
-7.989863,-7.172209838667454,1.7347932,4.8745118e-05,0.04143433,100,1.1543615,0.01,4.7830195,4.222691e-07,-7.172209838667454,48.101717764441425,200.0,2.3805854,48.101717764441425,-7.172209838667454,0.00013018594,-4.9712667,42.006473976351685,7.7892737,43.69023908509168
-9.6526165,-8.09987435639652,0.35228944,0.0028539542,0.01917065,100,0.92543167,0.01,1.7741126,3.0839168e-05,-8.09987435639652,50.769908649420316,200.0,1.3515066,50.769908649420316,-8.09987435639652,4.113494e-05,-7.3751073,73.99150006187563,8.209715,71.06128932154584
-9.1947365,-7.36405821041271,0.12468367,0.39836776,0.022174707,100,1.0676538,0.01,2.367491,0.0037312447,-7.36405821041271,54.292620906830045,200.0,1.1149733,54.292620906830045,-7.36405821041271,1.0938271e-05,-7.1486487,89.68824581094943,7.5334673,90.22918231271599
-10.542337,-8.603270399852665,0.0068847965,0.9450742,0.014020911,100,0.9968884,0.01,1.3977284,0.009480241,-8.603270399852665,47.61866946603904,200.0,1.00723,47.61866946603904,-8.603270399852665,6.927843e-07,-8.591997,99.28218548895063,6.8533373,99.31882095853412
-8.696518,-7.070119627846074,0.67567664,0.22544365,0.05246277,100,1.0603825,0.01,5.5630603,0.0021260597,-7.070119627846074,46.12178058734214,200.0,1.5337998,46.12178058734214,-7.070119627846074,6.0091625e-05,-6.278455,65.19755845534644,8.190651,62.69957696106203
-8.742777,-6.831255682327338,0.027712312,0.50364983,0.011479284,100,1.0111545,0.010000002,1.160733,0.004980938,-6.831255682327338,49.9401072097825,200.0,1.0349758,49.9401072097825,-6.831255682327338,2.7104268e-06,-6.748329,96.6206197047088,6.9727125,97.38677923368256
-9.893594,-7.975330456813316,0.0024779607,0.7784562,0.010408216,100,1.0034181,0.010000002,1.0443792,0.007758044,-7.975330456813316,42.01203426326076,200.0,1.0034775,42.01203426326076,-7.975330456813316,2.4611091e-07,-7.966688,99.65345965960854,6.446971,99.7569373413658
-9.120987,-7.4667866923324375,0.43445468,0.00020885123,0.019394414,100,0.9315472,0.01,1.8066814,2.2419822e-06,-7.4667866923324375,54.27234446909582,200.0,1.4081839,54.27234446909582,-7.4667866923324375,5.006506e-05,-6.7990966,71.01345052017307,8.136396,66.86082011097986
-10.223658,-8.653308721191342,0.8982889,1.8100967e-05,0.03197742,100,0.78731644,0.01,2.5176346,2.2990714e-07,-8.653308721191342,54.65189578835449,200.0,1.9435661,54.65189578835449,-8.653308721191342,0.00014491635,-7.586826,51.451813667648565,11.593682,41.07329257872717
-9.214595,-7.331412753047959,0.029376555,0.48358962,0.011376674,100,0.98277193,0.009999998,1.1180676,0.00492067,-7.331412753047959,52.63283898084873,200.0,1.02063,52.63283898084873,-7.331412753047959,3.041553e-06,-7.27943,97.97869923665549,7.1463356,97.07690450436456
-10.135981,-8.282053739311005,0.18529406,0.84385705,0.026634697,100,1.0584528,0.010000002,2.8191571,0.007972552,-8.282053739311005,50.5745504710293,200.0,1.0933441,50.5745504710293,-8.282053739311005,1.653935e-05,-8.101921,91.46251458981959,7.5797844,85.92986652110437
-10.4314785,-8.512065173124292,0.022486283,0.9068378,0.015345546,100,1.0039651,0.009999999,1.5406394,0.009032562,-8.512065173124292,48.33089073766516,200.0,1.0241791,48.33089073766516,-8.512065173124292,2.2309016e-06,-8.451996,97.63917258544758,6.7527523,97.83912670310413
-7.928141,-6.246191427258956,0.4512691,0.011092767,0.019812774,100,0.8833252,0.009999998,1.7501123,0.00012557965,-6.246191427258956,40.65305630846399,200.0,1.3528528,40.65305630846399,-6.246191427258956,5.7835485e-05,-5.7418895,73.91787075566998,6.8213124,63.59012773622191
-9.123695,-7.457497682037173,0.09441992,0.82615936,0.014682923,100,1.021557,0.01,1.4999442,0.008087257,-7.457497682037173,45.339849559815974,200.0,1.1296223,45.339849559815974,-7.457497682037173,9.047707e-06,-7.070839,88.52516141110361,6.7283564,91.77913263591317
-10.751766,-9.008448134399446,0.1954751,0.806819,0.048908878,100,0.98827225,0.010000002,4.8335285,0.008163935,-9.008448134399446,51.52101873586958,200.0,1.1847014,51.52101873586958,-9.008448134399446,2.0014202e-05,-8.652039,84.40945236846544,7.827423,83.46265280888234
-10.836403,-8.897850645070848,0.012531023,0.6285509,0.010950504,100,0.9841809,0.010000002,1.0777277,0.006386538,-8.897850645070848,53.27985599309274,200.0,1.0098058,53.27985599309274,-8.897850645070848,1.293709e-06,-8.864626,99.0289421446334,7.223949,98.73541740178818
-8.854488,-6.920874335440907,0.016267529,0.9317177,0.015366172,100,1.0112582,0.009999998,1.5539168,0.009213449,-6.920874335440907,49.38022922621763,200.0,1.0117452,49.38022922621763,-6.920874335440907,1.5907342e-06,-6.8942747,98.83911341567129,7.142299,98.44960541501992
-8.827354,-6.895204884980069,0.013551884,0.93140584,0.014447601,100,1.0070183,0.009999998,1.4548998,0.009249145,-6.895204884980069,41.93550636468005,200.0,1.0118687,41.93550636468005,-6.895204884980069,1.3363644e-06,-6.8645325,98.8270498823657,6.431984,98.69428588699617
