VarNormIw,IterType,BatchSize,AvgDiscRet,ESSRenyi,VanillaAvgRet,AvgEpLen,AvgRet,VarDiscRet,VarVanillaIw,VarRet,EpsThisIter,J,MinNormIw,VarJ,MaxNormIw,MaxVanillaIw,Bound,MinVanillaIw,AvgVanillaIw,ESSClassic,AvgNormIw,eRenyi2
3.5044917e-18,1,100,4999.689458711707,100.0,4999.689458711707,500.0,4999.689458711707,0.10840302288098398,,0.10840302288098398,100,4999.69,0.01,0.32758895,0.01,1.0,4578.8794,1.0,1.0,100.0,0.009999998,1.0
8.090763e-06,1,100,4938.819680275643,93.13780253574492,4938.819680275643,493.94,4938.819680275643,260572.40189853942,0.079367444,260572.40189853942,100,4970.535,0.0017916115,239.79385,0.015282587,1.5136425,4534.498,0.17744768,0.9904361,92.5841415312707,0.01,1.0736779
9.6096004e-12,1,100,4999.713418325713,99.99998807907247,4999.713418325713,500.0,4999.713418325713,0.0855641637327614,9.610082e-08,0.0855641637327614,100,4999.714,0.00998743,0.29098016,0.010005645,1.0005769,4578.9033,0.9987553,1.0000123,99.99997711210148,0.010000002,1.0000001
7.108471e-07,1,100,4988.912312306303,99.15455239834263,4988.912312306303,498.93,4988.912312306303,11668.820024964085,0.0069903275,11668.820024964085,100,4993.037,0.0061823437,66.70685,0.011443153,1.1347661,4570.4365,0.61307526,0.9916551,99.3011551050897,0.01,1.0085266
6.071347e-11,1,100,4999.726602900512,99.99995231630692,4999.726602900512,500.0,4999.726602900512,0.0687408181280695,6.0708084e-07,0.0687408181280695,100,4999.727,0.009974425,0.26074106,0.010016901,1.0016493,4578.9165,0.9974017,0.9999592,99.9999237029841,0.01,1.0000005
6.1342216e-06,1,100,4949.721076729393,94.9277105679656,4949.721076729393,495.01,4949.721076729393,249971.94000595307,0.06096284,249971.94000595307,100,4976.8794,0.0039796685,228.70244,0.0141794905,1.4135576,4544.9727,0.39673433,0.996903,94.27481116473498,0.01,1.0534332
1.5011166e-11,1,100,4999.728379295673,100.0,4999.728379295673,500.0,4999.728379295673,0.09455233854383109,1.5009748e-07,0.09455233854383109,100,4999.729,0.009980892,0.3056773,0.010004306,1.0003835,4578.9185,0.9980421,0.99995285,99.99999237024616,0.01,1.0
3.057285e-13,1,100,4999.768359240624,100.0,4999.768359240624,500.0,4999.768359240624,0.06344542611629592,3.0569909e-09,0.06344542611629592,100,4999.769,0.009998123,0.25059745,0.010001978,1.0002022,4578.9585,0.9998168,1.0000044,99.99998855595983,0.01,1.0
4.803725e-12,1,100,4999.746258841825,100.0,4999.746258841825,500.0,4999.746258841825,0.07688415803678836,4.8038377e-08,0.07688415803678836,100,4999.747,0.009992379,0.27585375,0.0100047365,1.0004785,4578.9365,0.9992427,1.0000049,100.00002288807576,0.01,1.0
1.4231237e-10,1,100,4999.713844532984,99.99991655356695,4999.713844532984,500.0,4999.713844532984,0.08270575522132236,1.4235038e-06,0.08270575522132236,100,4999.7144,0.009975222,0.28605324,0.010029432,1.0030806,4578.904,0.99765885,1.000137,99.99984743317764,0.01,1.0000008
1.0137854e-06,1,100,4992.131335344369,99.41858329068725,4992.131335344369,499.25,4992.131335344369,5812.349625785987,0.009807485,5812.349625785987,100,4994.9717,0.0062748976,47.78074,0.011243249,1.1058536,4572.9326,0.6171808,0.9835712,99.00631660790107,0.010000002,1.0058482
4.787062e-13,1,100,4999.737763968198,100.0,4999.737763968198,500.0,4999.737763968198,0.07919120292272357,4.7865485e-09,0.07919120292272357,100,4999.7383,0.00999774,0.27998686,0.010001257,1.000135,4578.9277,0.9997833,1.0000092,100.00001525864995,0.009999998,1.0
6.209425e-06,1,100,4949.817450065325,95.90819091252293,4949.817450065325,495.02,4949.817450065325,248974.5287798005,0.05801617,248974.5287798005,100,4992.2935,0.001489336,74.59863,0.013305178,1.2860844,4562.6,0.14395988,0.9666045,94.20868567411044,0.01,1.0426638
3.5044917e-18,1,100,4999.733727558528,100.0,4999.733727558528,500.0,4999.733727558528,0.05669746026812816,,0.05669746026812816,100,4999.7334,0.01,0.23692253,0.01,1.0,4578.923,1.0,1.0,100.0,0.009999998,1.0
