VarVanillaIw,J,VarRet,BatchSize,ESSRenyi,eRenyi2,AvgDiscRet,VanillaAvgRet,MaxNormIw,AvgVanillaIw,AvgNormIw,VarJ,AvgEpLen,MinVanillaIw,MaxVanillaIw,MinNormIw,AvgRet,Bound,ESSClassic,VarDiscRet,VarNormIw
0.05254449,-7.476776,42.67334989696456,100,94.76635708285377,1.0552268,-7.580542912868279,-7.580542912868279,0.0124091795,0.9996532,0.010000002,6.6798515,200.0,0.35923383,1.2404877,0.0035935843,-7.580542912868279,-9.47861,95.05203885215136,42.67334989696456,5.2580945e-06
0.33553827,-7.6689944,44.6738765530764,100,74.31083863022486,1.3456987,-8.308920516618407,-8.308920516618407,0.029545384,0.9939901,0.01,7.0413055,200.0,0.11676487,2.936782,0.0011747086,-8.308920516618407,-9.886853,74.83842721532945,44.6738765530764,3.39608e-05
0.36027873,-6.7099824,49.76147720402476,100,74.44134215785621,1.3433396,-7.379887618606476,-7.379887618606476,0.017509546,1.0030091,0.01,7.6426444,200.0,0.00024875745,1.7562233,2.4801118e-06,-7.379887618606476,-8.892265,73.82585787584047,49.76147720402476,3.5812027e-05
6.341412,-3.7443063,59.95391344520747,100,15.346489768687277,6.516148,-8.088479256296871,-8.088479256296871,0.07684461,1.1858732,0.01,7.378165,200.0,,9.112796,,-8.088479256296871,-8.71425,18.30090470417886,59.95391344520747,0.00045093035
0.06426888,-7.549214,53.10746770684837,100,94.6845819907582,1.0561382,-7.6537669596784825,-7.6537669596784825,0.012160971,1.0234787,0.009999998,7.4424286,200.0,0.18529409,1.2446495,0.0018104342,-7.6537669596784825,-9.55385,94.27378842877503,53.10746770684837,6.1354026e-06
0.16346976,-8.246829,52.45710120226529,100,85.95346717385236,1.1634202,-8.660446053377337,-8.660446053377337,0.013513963,1.0582993,0.01,7.646763,200.0,0.11051934,1.4301816,0.0010443109,-8.660446053377337,-10.303039,87.37470311172575,52.45710120226529,1.4595548e-05
0.07608378,-7.852481,48.083826149827715,100,93.52114246280134,1.0692769,-7.9451146926977465,-7.9451146926977465,0.02853088,0.9917505,0.01,7.1789107,200.0,0.8580889,2.8295515,0.008652266,-7.9451146926977465,-9.877296,92.88663932761663,48.083826149827715,7.73548e-06
3.3411753,-3.3999772,56.757613070785055,100,11.924978500202318,8.385759,-8.13130017241802,-8.13130017241802,0.21263418,0.53208184,0.01,9.44347,200.0,,11.313879,,-8.13130017241802,-9.026743,7.884183658427293,56.757613070785055,0.0011801638
0.27402404,-6.809764,48.69263548863779,100,77.66379642524309,1.2876012,-7.311020798954231,-7.311020798954231,0.034287944,0.93139476,0.01,7.897067,200.0,0.16813356,3.193561,0.0018051805,-7.311020798954231,-8.994374,76.17768591526278,48.69263548863779,3.1587922e-05
2.601969,-5.533827,58.24582843935566,100,31.713045713680835,3.1532764,-7.312595184177101,-7.312595184177101,0.0451133,0.9947693,0.01,12.5613785,200.0,2.233563e-12,4.4877324,2.2453075e-14,-7.312595184177101,-8.916422,27.753798427895127,58.24582843935566,0.0002629404
0.29575148,-7.5507245,56.382610874255946,100,78.17768608211864,1.2791374,-8.079521285495343,-8.079521285495343,0.017012006,0.95551956,0.009999999,8.346615,200.0,0.0015471892,1.6255304,1.6192125e-05,-8.079521285495343,-9.751812,75.71810937689152,56.382610874255946,3.2392745e-05
1.7645792,-5.178883,53.16587839932714,100,38.73849128114625,2.5814118,-7.601779271100784,-7.601779271100784,0.0802816,1.0337319,0.010000002,9.39778,200.0,0.0070740944,8.298965,6.843258e-05,-7.601779271100784,-8.288028,37.953768847247076,53.16587839932714,0.00016512974
0.12044206,-8.215898,58.24858031035684,100,88.16422244487062,1.134247,-8.532300834891567,-8.532300834891567,0.028449658,1.0448438,0.01,7.9526143,200.0,0.82424784,2.9725447,0.0078887185,-8.532300834891567,-10.289775,90.15328047809143,58.24858031035684,1.1032544e-05
0.5509649,-6.529126,45.88712311558635,100,62.35428956086599,1.6037389,-7.45314585119753,-7.45314585119753,0.026984066,0.8196176,0.01,8.543436,200.0,0.00017786899,2.2116616,2.170146e-06,-7.45314585119753,-9.011798,55.18875187547822,45.88712311558635,8.201653e-05
0.39772758,-6.707105,52.71718667697748,100,72.39297804489092,1.3813494,-7.41443258769419,-7.41443258769419,0.018799644,0.9771587,0.01,8.400247,200.0,0.00035486056,1.8370236,3.6315548e-06,-7.41443258769419,-9.010248,70.80280317007019,52.71718667697748,4.1653882e-05
0.039583005,-8.673169,55.188904624796464,100,95.92102205886388,1.0425243,-8.757063664620876,-8.757063664620876,0.021951564,1.0137036,0.009999999,7.3026075,200.0,0.88295317,2.2252378,0.008710171,-8.757063664620876,-10.639044,96.32659973895942,55.188904624796464,3.852005e-06
0.024038,-6.441031,47.11061915822013,100,97.01728177233147,1.0307442,-6.501584634446256,-6.501584634446256,0.017030783,0.997027,0.01,6.7950997,200.0,0.8971502,1.698015,0.008998254,-6.501584634446256,-8.335697,97.66198810585963,47.11061915822013,2.4181572e-06
0.4823524,-7.789093,44.380621745906026,100,69.46007647506885,1.4396759,-8.295355124275787,-8.295355124275787,0.019224579,0.98196656,0.01,8.417432,200.0,4.9828745e-05,1.8877894,5.074383e-07,-8.295355124275787,-10.033548,66.87936705504522,44.380621745906026,5.002315e-05
