VanillaAvgRet,VarVanillaIw,MinVanillaIw,VarJ,MaxVanillaIw,AvgRet,AvgNormIw,Bound,MinNormIw,AvgVanillaIw,eRenyi2,AvgEpLen,VarDiscRet,VarRet,VarNormIw,BatchSize,ESSClassic,MaxNormIw,ESSRenyi,AvgDiscRet,J
-8.402857423954734,0.017587548,0.89271706,7.1859994,1.5473385,-8.402857423954734,0.01,-10.443333,0.008859233,1.0076686,1.0176008,200.0,52.8683617400637,52.8683617400637,1.7320874e-06,100,98.31413674535146,0.015355629,98.27036543195645,-8.402857423954734,-8.362638
-8.04743523410157,0.7645868,4.407756e-08,8.541744,2.378174,-8.04743523410157,0.01,-9.878467,4.673866e-10,0.94306433,1.7556651,200.0,48.34467218918616,48.34467218918616,8.5969434e-05,100,54.02200800304495,0.025217516,56.95847235249551,-8.04743523410157,-7.102623
-7.978357779794112,6.5767355,,12.366588,10.536742,-7.978357779794112,0.01,-9.754672,,0.9291716,7.4654317,200.0,58.50876872253696,58.50876872253696,0.0007617607,100,11.70763947626425,0.11339931,13.395072669549242,-7.978357779794112,-4.1836395
-8.386210402727597,0.03860516,0.87451434,7.6882873,2.2986305,-8.386210402727597,0.009999999,-10.41654,0.008914784,0.9809709,1.0420005,200.0,62.200473475801914,62.200473475801914,4.0117434e-06,100,96.18010401033231,0.023432199,95.969240815684,-8.386210402727597,-8.296874
-9.901153871844212,6.266412,,9.739162,20.440828,-9.901153871844212,0.01,-10.360842,,0.4301391,14.751964,200.0,69.93559168469639,69.93559168469639,0.0033868903,100,2.896014666099815,0.4752144,6.7787585847546845,-9.901153871844212,-2.2828336
-8.852406042763342,0.059406877,0.8277051,7.2650776,2.5411196,-8.852406042763342,0.01,-10.769468,0.008663591,0.95538336,1.1144806,200.0,54.77379432605274,54.77379432605274,6.5085073e-06,100,93.94662786812859,0.026597904,89.72789538408682,-8.852406042763342,-8.579134
-9.358125895612911,3.2074142,,11.619852,8.530412,-9.358125895612911,0.01,-10.10259,,0.64190185,6.048686,200.0,65.58869448882828,65.58869448882828,0.0007784269,100,11.485770759855136,0.13289277,16.532516243182705,-9.358125895612911,-4.969553
-8.410810233642263,0.24597193,0.47197953,8.247177,3.6822922,-8.410810233642263,0.01,-10.323996,0.004892746,0.96465164,1.223687,200.0,55.286690055049675,55.286690055049675,2.6432883e-05,100,79.25904866437287,0.03817225,81.72024029932301,-8.410810233642263,-8.012014
-8.684145281662074,1.9014866,4.184592e-20,11.841622,3.7299001,-8.684145281662074,0.01,-9.926711,3.9808958e-22,1.0511684,2.6873152,200.0,60.86301721461871,60.86301721461871,0.00017208722,100,36.98685206924093,0.03548337,37.2118607624933,-8.684145281662074,-6.514472
-7.659272844926537,1.184101,0.0016378724,8.794272,4.7998075,-7.659272844926537,0.01,-9.075998,1.5825557e-05,1.034954,2.1506333,200.0,54.61072588543021,54.61072588543021,0.00011054693,100,47.74604325511973,0.046377014,46.49793080358875,-7.659272844926537,-6.0295043
