eRenyi2,IterType,AvgDiscRet,VarDiscRet,AvgRet,EpsThisIter,ESSRenyi,MinNormIw,J,ESSClassic,Bound,VarJ,MaxNormIw,VarNormIw,Delta,AvgNormIw,AvgEpLen,VarRet,AvgVanillaIw,VarVanillaIw,VanillaAvgRet,BatchSize,MaxVanillaIw,MinVanillaIw
1.26343,1,-476.198567902,4611.33485158,-476.198567902,100,237.448939299,0.00012639,-444.707,230.146561452,-514.931,50.4471,0.0077687,3.38369e-06,0.3,0.00333333,500.0,4611.33485158,1.00008,0.304584,-476.198567902,300,2.33081,0.0379201
1.0,2,-466.940600968,3128.9004862,-466.940600968,100,300.0,0.01,-466.941,100.0,-570.668,55.6562,0.01,3.50449e-18,0.3,0.01,500.0,3128.9004862,1.0,,-466.940600968,300,1.0,1.0
1.0,2,-457.877274564,2447.00675383,-457.877274564,100,300.0,0.005,-462.409,200.000000102,-535.755,52.7315,0.005,2.1793e-19,0.3,0.005,500.0,2447.00675383,1.0,,-457.877274564,300,1.0,1.0
1.18469,1,-455.537715854,2363.71605984,-455.537715854,100,253.23121099,0.000241786,-448.055,249.495503413,-513.239,44.5301,0.00747668,2.25671e-06,0.3,0.00333333,500.0,2363.71605984,0.985173,0.197126,-455.537715854,300,2.20975,0.0714604
1.0,2,-451.193812411,2270.20426469,-451.193812411,100,300.0,0.01,-451.194,100.0,-542.563,47.4078,0.01,3.50449e-18,0.3,0.01,500.0,2270.20426469,1.0,,-451.193812411,300,1.0,1.0
1.0,2,-440.092386494,1929.59959902,-440.092386494,100,300.0,0.005,-445.643,200.000000102,-510.251,45.9316,0.005,2.1793e-19,0.3,0.005,500.0,1929.59959902,1.0,,-440.092386494,300,1.0,1.0
1.25071,1,-451.612512723,2777.75321293,-451.612512723,100,239.862863744,0.000125821,-436.174,226.322481822,-495.169,52.581,0.00914442,3.62924e-06,0.3,0.00333333,500.0,2777.75321293,0.952695,0.29646,-451.612512723,300,2.61355,0.0359607
1.0,2,-439.54830136,2074.6081019,-439.54830136,100,300.0,0.01,-439.548,100.0,-526.459,45.3196,0.01,3.50449e-18,0.3,0.01,500.0,2074.6081019,1.0,,-439.54830136,300,1.0,1.0
1.0,2,-436.387387164,2179.71896346,-436.387387164,100,300.0,0.005,-437.968,200.000000102,-500.001,45.9172,0.005,2.1793e-19,0.3,0.005,500.0,2179.71896346,1.0,,-436.387387164,300,1.0,1.0
1.10875,1,-433.36632384,1440.88470733,-433.36632384,100,270.575877141,0.000363006,-431.074,266.737240845,-484.407,42.5014,0.00572682,1.39022e-06,0.3,0.00333333,500.0,1440.88470733,0.994348,0.12371,-433.36632384,300,1.70834,0.108286
