AvgVanillaIw,AvgNormIw,AvgRet,MinVanillaIw,J,VarDiscRet,ESSClassic,MaxNormIw,VarVanillaIw,AvgDiscRet,eRenyi2,MaxVanillaIw,AvgEpLen,VarJ,ESSRenyi,BatchSize,Bound,VanillaAvgRet,VarNormIw,VarRet,MinNormIw
4.648717,0.010000003,52.37176786131535,0.006112297,79.97641,525.6058997965291,1.3417154709481995,0.86301696,1605.1074,52.37176786131535,3.0791602,401.19217,500.0,21.614883,32.476387413207064,100,66.35901,52.37176786131535,0.0074274177,525.6058997965291,1.3148353e-05
5.8067846,0.010000002,64.13448504740622,0.013008843,86.68416,323.509858473726,1.3078608975120427,0.8742104,2570.1426,64.13448504740622,3.1999092,507.63516,500.0,25.344692,31.250886644246737,100,73.097305,64.13448504740622,0.007622297,323.509858473726,2.2402834e-05
5.0362296,0.01,66.29985102827298,0.01512058,83.63928,287.5847270307355,1.4294849831954166,0.83607215,1766.6205,66.29985102827298,2.6520479,421.06512,500.0,22.33954,37.70670998638467,100,70.57082,66.29985102827298,0.0069651785,287.5847270307355,3.0023612e-05
290.39316,0.01,71.0690238220522,0.0009861134,87.825836,164.6172057824297,1.0029999812605073,0.9985033,8407342.0,71.0690238220522,1.0000001,28995.852,500.0,0.1574168,99.99998807907247,100,79.72889,71.0690238220522,0.00996979,164.6172057824297,3.3957875e-08
4.768868,0.01,73.294592279928,0.06494744,86.37107,195.54587426683776,1.594955849555747,0.79099953,1417.3073,73.294592279928,2.3634908,377.21725,500.0,18.506147,42.310297614322074,100,74.411865,73.294592279928,0.0062320856,195.54587426683776,0.00013619047
4.648537,0.01,73.10880409606469,0.01410846,88.73073,136.89564100559684,1.4639211831621206,0.8260652,1469.1799,73.10880409606469,2.7401772,383.99945,500.0,22.225277,36.493990848102726,100,75.97809,73.10880409606469,0.0067989607,136.89564100559684,3.0350324e-05
3.7465136,0.01,76.67531602080781,0.0065728705,93.8873,91.52314313090837,1.5520502383332018,0.8013175,899.3324,76.67531602080781,3.3617413,300.2147,500.0,28.305197,29.74648878222347,100,78.86293,76.67531602080781,0.006407162,91.52314313090837,1.7543965e-05
6.944461,0.009999998,78.8585575401194,0.12161984,89.818214,87.16312568638818,1.3137287099286576,0.8723146,3659.2563,78.8585575401194,1.8740358,605.77545,500.0,12.611515,53.36077257338037,100,78.86933,78.8585575401194,0.007587799,87.16312568638818,0.00017513215
5.4406157,0.009999997,79.24815209952828,0.06160846,90.61196,124.17956541656355,1.4476518121537767,0.83077645,2035.4656,79.24815209952828,2.0794852,451.99356,500.0,15.769359,48.0888255700274,100,78.85015,79.24815209952828,0.006876503,124.17956541656355,0.00011323803
274.48108,0.010000002,79.28013180120249,4.461411e-06,92.36601,125.38705067599194,1.0050573020220495,0.99748,7495694.0,79.28013180120249,1.0000013,27378.938,500.0,0.0477845,99.99986886995345,100,84.24914,79.28013180120249,0.009949175,125.38705067599194,1.6253984e-10
5.53411,0.010000002,78.44506040395986,0.06343724,95.28957,206.0979634335809,1.3934629192804762,0.8468893,2189.1257,78.44506040395986,2.5646806,468.67786,500.0,20.92363,38.991210415494955,100,82.11659,78.44506040395986,0.007147845,206.0979634335809,0.00011462952
32987.2,0.01,79.58283342302579,0.00072294404,90.37135,191.19601412407502,1.000012277602504,0.99999386,108814200000.0,79.58283342302579,1.0000069,3298699.8,500.0,0.0004706995,99.99930859090111,100,82.2449,79.58283342302579,0.009999877,191.19601412407502,2.1915895e-10
4.133446,0.01,80.92355717604175,0.042885154,93.180756,153.69743115062627,1.4989082781247818,0.81641585,1134.1102,80.92355717604175,2.1640947,337.4611,500.0,16.363562,46.208699010925685,100,80.99598,80.92355717604175,0.0066379015,153.69743115062627,0.000103751576
4.6005044,0.009999999,81.85137760257376,0.03139691,94.97652,176.25422720966347,1.6293242797356244,0.7827641,1290.7253,81.85137760257376,2.5615325,360.11096,500.0,22.36322,39.03912993540674,100,81.804596,81.85137760257376,0.0060985,176.25422720966347,6.824667e-05
1.8402988,0.01,82.96324904987307,0.09337894,90.584656,175.6468445992807,6.006798167519191,0.39677298,53.529713,82.96324904987307,1.9596089,73.01808,500.0,13.350024,51.03059052434025,100,79.23142,82.96324904987307,0.0015805868,175.6468445992807,0.00050741184
3.3937738,0.01,87.6961363798355,0.1192619,94.712875,46.130301955046804,1.8732605093304244,0.72978044,609.4245,87.6961363798355,1.864856,247.67097,500.0,15.173207,53.623443175863066,100,83.588234,87.6961363798355,0.0052911984,46.130301955046804,0.00035141382
2.753719,0.010000002,88.52015587089835,0.17746192,92.715904,60.41632274459117,2.1129607964626573,0.6869839,354.8443,88.52015587089835,1.565506,189.17607,500.0,10.016,63.87711141651315,100,82.50944,88.52015587089835,0.00467949,60.41632274459117,0.0006444445
4.082915,0.010000002,87.87311126396033,0.04198227,95.26608,56.44876064850647,1.623900171153836,0.78420836,1020.0835,87.87311126396033,1.8535136,320.1856,500.0,13.469079,53.9515869125818,100,84.039314,87.87311126396033,0.006119206,56.44876064850647,0.000102824255
3.760544,0.01,89.1595273409332,0.057363726,97.10737,21.40890974395565,1.7000464773671995,0.76629853,825.95953,89.1595273409332,2.1154947,288.16995,500.0,18.57394,47.270266700386834,100,84.92695,89.1595273409332,0.005840599,21.40890974395565,0.00015254103
26315.062,0.01,88.93660144880009,0.0018078283,96.83433,26.919333875524018,1.0000138705274613,0.9999931,69247300000.0,88.93660144880009,1.0000005,2631488.0,500.0,0.00047648358,99.99995231630692,100,88.68454,88.93660144880009,0.009999863,26.919333875524018,6.8699374e-10
7698.947,0.010000002,86.350655841295,4.589791e-07,95.92566,54.22614487234712,1.0001173965201637,0.9999413,5926672000.0,86.350655841295,1.0,769849.5,500.0,0.005966342,100.0,100,87.70298,86.350655841295,0.009998816,54.22614487234712,5.9615827e-13
2.99545,0.010000002,85.46627862504738,0.08028504,93.609436,95.72968505441338,1.941694332589087,0.7166471,457.7122,85.46627862504738,1.8971198,214.66806,500.0,13.274855,52.71148510568616,100,82.49719,85.46627862504738,0.0051011527,95.72968505441338,0.0002680233
4.8326488,0.01,86.58059163694935,0.06303154,95.02122,50.14455074850901,1.4881050411504277,0.819403,1561.6741,86.58059163694935,1.895932,395.9887,500.0,14.025315,52.74450885079001,100,83.81343,86.58059163694935,0.006686824,50.14455074850901,0.00013042855
4.873907,0.01,88.50932088382972,0.1184811,96.257034,55.227403835139576,1.4259479775661084,0.83719337,1658.7396,88.50932088382972,1.6753358,408.04028,500.0,11.891788,59.689527374751265,100,85.332245,88.50932088382972,0.0069827065,55.227403835139576,0.00024309265
2.011623,0.009999999,87.92654063941137,0.08637483,93.25091,30.11470078533382,3.1471209377301346,0.5607173,125.79318,87.92654063941137,1.8595364,112.79517,500.0,14.133655,53.776844322960265,100,81.933716,87.92654063941137,0.0031085932,30.11470078533382,0.00042937882
1.0758861,0.01,87.9568819163652,0.037606437,90.98402,54.609808424387644,60.64659486309554,0.04777045,0.75870574,87.9568819163652,1.3979528,5.139557,500.0,5.797032,71.53317362046403,100,81.165695,87.9568819163652,6.5545166e-05,54.609808424387644,0.0003495392
0.99921525,0.01,89.74845595773442,0.94957167,89.78868,28.64900018771219,99.98851355068426,0.010161206,0.00011590728,89.74845595773442,1.0000714,1.0153232,500.0,5.236949,99.99285987340639,100,81.488815,89.74845595773442,1.1608937e-08,28.64900018771219,0.009503175
1.0,0.009999998,90.14565458820056,1.0,90.14565,39.65209350604254,100.0,0.01,,90.14565458820056,1.0,1.0,500.0,6.265426,100.0,100,81.853485,90.14565458820056,3.5044917e-18,39.65209350604254,0.01
0.9999998,0.01,89.97991936218139,0.9999982,89.97992,21.239955875480806,99.99998855590744,0.010000015,2.4158453e-13,89.97991936218139,1.0,1.0000013,500.0,4.585581,100.0,100,81.62139,89.97991936218139,2.4067098e-17,21.239955875480806,0.009999984
1.0,0.009999998,89.81134958481964,1.0,89.81135,31.996395779344997,100.0,0.01,,89.81134958481964,1.0,1.0,500.0,5.6281815,100.0,100,81.500275,89.81134958481964,3.5044917e-18,31.996395779344997,0.01
1.0,0.009999998,88.7496548380499,1.0,88.74966,39.36715101152373,100.0,0.01,,88.7496548380499,1.0,1.0,500.0,6.242874,100.0,100,80.58017,88.7496548380499,3.5044917e-18,39.36715101152373,0.01
1.0,0.01,90.87222793201695,0.9999986,90.87223,19.549691966792068,100.0,0.010000012,2.32936e-13,90.87222793201695,1.0,1.0000012,500.0,4.3993406,100.0,100,82.57771,90.87222793201695,2.3418767e-17,19.549691966792068,0.009999987
1.0,0.009999998,90.43933418556911,1.0,90.43933,16.502383457676025,100.0,0.01,,90.43933418556911,1.0,1.0,500.0,4.04195,100.0,100,82.10185,90.43933418556911,3.5044917e-18,16.502383457676025,0.01
1.0,0.009999998,88.83658816056823,1.0,88.83659,40.45593726407733,100.0,0.01,,88.83658816056823,1.0,1.0,500.0,6.3286157,100.0,100,80.59247,88.83658816056823,3.5044917e-18,40.45593726407733,0.01
1.0,0.009999998,90.34574214067469,1.0,90.34575,29.25174119941569,100.0,0.01,,90.34574214067469,1.0,1.0,500.0,5.381377,100.0,100,82.06484,90.34574214067469,3.5044917e-18,29.25174119941569,0.01
1.0,0.009999998,90.88021263865248,1.0,90.88021,16.71075266307861,100.0,0.01,,90.88021263865248,1.0,1.0,500.0,4.067388,100.0,100,82.53971,90.88021263865248,3.5044917e-18,16.71075266307861,0.01
1.0,0.009999998,90.05439553983284,1.0,90.05439,21.65931628648837,100.0,0.01,,90.05439553983284,1.0,1.0,500.0,4.6306286,100.0,100,81.816895,90.05439553983284,3.5044917e-18,21.65931628648837,0.01
1.0,0.009999998,89.49299324229872,1.0,89.49299,30.084920556627473,100.0,0.01,,89.49299324229872,1.0,1.0,500.0,5.4574785,100.0,100,81.16124,89.49299324229872,3.5044917e-18,30.084920556627473,0.01
1.0,0.009999998,89.4711153818739,1.0,89.471115,22.807112028404106,100.0,0.01,,89.4711153818739,1.0,1.0,500.0,4.751741,100.0,100,81.19549,89.4711153818739,3.5044917e-18,22.807112028404106,0.01
1.0,0.009999998,90.34646725695278,1.0,90.346466,21.739940370817543,100.0,0.01,,90.34646725695278,1.0,1.0,500.0,4.639239,100.0,100,82.09533,90.34646725695278,3.5044917e-18,21.739940370817543,0.01
1.0,0.009999998,88.75362369147247,1.0,88.753624,44.40450801859713,100.0,0.01,,88.75362369147247,1.0,1.0,500.0,6.6302686,100.0,100,80.59277,88.75362369147247,3.5044917e-18,44.40450801859713,0.01
1.0,0.009999998,90.51335062136637,1.0,90.51335,27.97309532409007,100.0,0.01,,90.51335062136637,1.0,1.0,500.0,5.2624483,100.0,100,82.13722,90.51335062136637,3.5044917e-18,27.97309532409007,0.01
1.0,0.009999998,89.42864087235682,1.0,89.428635,24.50456792892755,100.0,0.01,,89.42864087235682,1.0,1.0,500.0,4.925396,100.0,100,81.04038,89.42864087235682,3.5044917e-18,24.50456792892755,0.01
1.0,0.009999998,89.545190888933,1.0,89.54519,28.21952281095153,100.0,0.01,,89.545190888933,1.0,1.0,500.0,5.2855773,100.0,100,81.281235,89.545190888933,3.5044917e-18,28.21952281095153,0.01
1.0,0.009999998,89.7095039127963,1.0,89.709496,28.35610630814869,100.0,0.01,,89.7095039127963,1.0,1.0,500.0,5.2983537,100.0,100,81.39676,89.7095039127963,3.5044917e-18,28.35610630814869,0.01
1.0,0.009999998,90.25166284199864,1.0,90.25166,17.55381880855337,100.0,0.01,,90.25166284199864,1.0,1.0,500.0,4.168727,100.0,100,81.94613,90.25166284199864,3.5044917e-18,17.55381880855337,0.01
1.0,0.009999998,89.89477727941177,1.0,89.89477,31.602311918526084,100.0,0.01,,89.89477727941177,1.0,1.0,500.0,5.593415,100.0,100,81.510345,89.89477727941177,3.5044917e-18,31.602311918526084,0.01
