MaxVanillaIw,VarRet,J,AvgVanillaIw,ESSRenyi,IterType,EpsThisIter,AvgEpLen,ESSClassic,AvgDiscRet,MinNormIw,MaxNormIw,VarVanillaIw,VarDiscRet,VanillaAvgRet,VarNormIw,VarJ,Delta,Bound,eRenyi2,AvgRet,BatchSize,AvgNormIw,MinVanillaIw
2.790255,73.99071054026591,-9.740862,0.9713209,245.2966289188326,1,100,200.0,235.02254417454986,-9.39609701000118,2.4209372e-14,0.0057452796,1.065846,73.99071054026591,-9.39609701000118,4.5188604e-06,13.241689,0.9,-10.408971,2.0383484,-9.39609701000118,500,0.0019999999,1.1757535e-11
1.0,78.11230586537164,-9.442416,1.0,500.0,2,100,200.0,100.0,-9.44241698279881,0.01,0.01,,78.11230586537164,-9.44241698279881,3.5044917e-18,8.793815,0.9,-10.426308,1.0,-9.44241698279881,500,0.009999998,1.0
1.0,80.86058375705541,-10.147448,1.0,500.0,2,100,200.0,200.00000010221265,-10.852479724828397,0.005,0.005,,80.86058375705541,-10.852479724828397,2.179301e-19,8.8988,0.9,-10.868755,1.0,-10.852479724828397,500,0.0049999994,1.0
1.0,80.65282291576591,-10.162779,1.0,500.0,2,100,200.0,299.999969473632,-10.193438220765579,0.0033333334,0.0033333334,,80.65282291576591,-10.193438220765579,5.4391416e-20,8.911136,0.9,-10.754739,1.0,-10.193438220765579,500,0.0033333336,1.0
1.0,80.87962980508007,-10.21035,1.0,500.0,2,100,200.0,400.0,-10.35306409843987,0.0025,0.0025,,80.87962980508007,-10.35306409843987,5.434597e-20,8.920804,0.9,-10.723002,1.0,-10.35306409843987,500,0.0024999997,1.0
10.663264,84.50899216210769,-8.633476,1.1271265,67.1114067169777,1,100,200.0,78.94287842190575,-10.378758243793007,,0.01892115,6.7895775,84.50899216210769,-10.378758243793007,2.1377526e-05,19.01553,0.9,-9.885046,7.4502983,-10.378758243793007,500,0.002,
1.0,76.72833258792035,-11.164148,1.0,500.0,2,100,200.0,100.0,-11.164148514441683,0.01,0.01,,76.72833258792035,-11.164148514441683,3.5044917e-18,8.715564,0.9,-12.174967,1.0,-11.164148514441683,500,0.009999998,1.0
1.0,101.63006380522266,-10.732325,1.0,500.0,2,100,200.0,200.00000010221265,-10.300500515351658,0.005,0.005,,101.63006380522266,-10.300500515351658,2.179301e-19,9.406055,0.9,-11.450233,1.0,-10.300500515351658,500,0.0049999994,1.0
1.0,95.8931069795747,-10.977246,1.0,500.0,2,100,200.0,299.999969473632,-11.467090302156587,0.0033333334,0.0033333334,,95.8931069795747,-11.467090302156587,5.4391416e-20,9.526137,0.9,-11.568907,1.0,-11.467090302156587,500,0.0033333336,1.0
1.0,89.61474220761376,-10.8252325,1.0,500.0,2,100,200.0,400.0,-10.369193617720248,0.0025,0.0025,,89.61474220761376,-10.369193617720248,5.434597e-20,9.503127,0.9,-11.3376255,1.0,-10.369193617720248,500,0.0024999997,1.0
1.6820116,70.8893624988797,-10.453968,0.9808606,410.6611821818079,1,100,200.0,406.1628722995078,-9.351259848414635,8.012683e-05,0.003429665,0.22271976,70.8893624988797,-9.351259848414635,9.2598543e-07,10.33027,0.9,-10.959666,1.2175487,-9.351259848414635,500,0.0019999999,0.039296627
1.0,84.2409130254956,-10.835616,1.0,500.0,2,100,200.0,100.0,-10.835616447309082,0.01,0.01,,84.2409130254956,-10.835616447309082,3.5044917e-18,9.132278,0.9,-11.828222,1.0,-10.835616447309082,500,0.009999998,1.0
1.0,89.07286667734763,-10.822016,1.0,500.0,2,100,200.0,200.00000010221265,-10.808416701290625,0.005,0.005,,89.07286667734763,-10.808416701290625,2.179301e-19,9.262317,0.9,-11.550142,1.0,-10.808416701290625,500,0.0049999994,1.0
1.0,81.37598197090854,-10.93598,1.0,500.0,2,100,200.0,299.999969473632,-11.1639042257117,0.0033333334,0.0033333334,,81.37598197090854,-11.1639042257117,5.4391416e-20,9.169172,0.9,-11.530493,1.0,-11.1639042257117,500,0.0033333336,1.0
1.0,91.50484833810053,-10.833309,1.0,500.0,2,100,200.0,400.0,-10.525301897848157,0.0025,0.0025,,91.50484833810053,-10.525301897848157,5.434597e-20,9.259285,0.9,-11.348172,1.0,-10.525301897848157,500,0.0024999997,1.0
243.90283,69.26721851852527,-1.3299258,0.71413255,2.8893105209946746,1,100,200.0,1.9119659545085816,-10.027457712973161,,0.68307436,133.12305,69.26721851852527,-10.027457712973161,0.0010441318,10.160706,0.9,-7.387862,173.05167,-10.027457712973161,500,0.002,
1.0,75.80748681541691,-9.170038,1.0,500.0,2,100,200.0,100.0,-9.170039172589044,0.01,0.01,,75.80748681541691,-9.170039172589044,3.5044917e-18,8.663106,0.9,-10.173023,1.0,-9.170039172589044,500,0.009999998,1.0
1.0,87.93906473975537,-10.389117,1.0,500.0,2,100,200.0,200.00000010221265,-11.60819527471998,0.005,0.005,,87.93906473975537,-11.60819527471998,2.179301e-19,9.085191,0.9,-11.108391,1.0,-11.60819527471998,500,0.0049999994,1.0
1.0,86.42466833675016,-10.390205,1.0,500.0,2,100,200.0,299.999969473632,-10.392375865981016,0.0033333334,0.0033333334,,86.42466833675016,-10.392375865981016,5.4391416e-20,9.14042,0.9,-10.977489,1.0,-10.392375865981016,500,0.0033333336,1.0
1.0,95.25214053348294,-10.414859,1.0,500.0,2,100,200.0,400.0,-10.488827523257038,0.0025,0.0025,,95.25214053348294,-10.488827523257038,5.434597e-20,9.286397,0.9,-10.923462,1.0,-10.488827523257038,500,0.0024999997,1.0
159.85252,83.8015089357081,-0.95658934,0.6664928,6.4388342188826355,1,100,200.0,3.2888024783988983,-10.440123397791776,,0.47968268,67.22434,83.8015089357081,-10.440123397791776,0.00060533476,13.320068,0.9,-4.9688244,77.65381,-10.440123397791776,500,0.0019999999,
1.0,74.34649284147724,-10.769171,1.0,500.0,2,100,200.0,100.0,-10.76917111223873,0.01,0.01,,74.34649284147724,-10.76917111223873,3.5044917e-18,8.579221,0.9,-11.789762,1.0,-10.76917111223873,500,0.009999998,1.0
1.0,76.34483831430042,-10.227583,1.0,500.0,2,100,200.0,200.00000010221265,-9.685996532055897,0.005,0.005,,76.34483831430042,-9.685996532055897,2.179301e-19,8.653642,0.9,-10.949249,1.0,-9.685996532055897,500,0.0049999994,1.0
1.0,92.76415725978643,-10.403063,1.0,500.0,2,100,200.0,299.999969473632,-10.754020735646623,0.0033333334,0.0033333334,,92.76415725978643,-10.754020735646623,5.4391416e-20,8.977609,0.9,-10.992301,1.0,-10.754020735646623,500,0.0033333336,1.0
1.0,78.60204648573404,-10.139652,1.0,500.0,2,100,200.0,400.0,-9.34941696285346,0.0025,0.0025,,78.60204648573404,-9.34941696285346,5.434597e-20,8.950432,0.9,-10.6539545,1.0,-9.34941696285346,500,0.0024999997,1.0
1.374928,60.4102880251901,-9.737301,1.0289171,441.1097533824114,1,100,200.0,448.03609702254573,-8.613177630938583,2.0064213e-05,0.0026725729,0.12303205,60.4102880251901,-8.613177630938583,4.6485496e-07,9.353621,0.9,-10.227052,1.1335047,-8.613177630938583,500,0.002,0.010322207
1.0,80.46789519961976,-10.311124,1.0,500.0,2,100,200.0,100.0,-10.311124069573005,0.01,0.01,,80.46789519961976,-10.311124069573005,3.5044917e-18,8.925426,0.9,-11.3013935,1.0,-10.311124069573005,500,0.009999998,1.0
1.0,91.90626081608514,-10.47508,1.0,500.0,2,100,200.0,200.00000010221265,-10.639036493585671,0.005,0.005,,91.90626081608514,-10.639036493585671,2.179301e-19,9.23862,0.9,-11.188696,1.0,-10.639036493585671,500,0.0049999994,1.0
1.0,77.97365595002589,-10.489992,1.0,500.0,2,100,200.0,299.999969473632,-10.519816095176514,0.0033333334,0.0033333334,,77.97365595002589,-10.519816095176514,5.4391416e-20,9.090278,0.9,-11.072658,1.0,-10.519816095176514,500,0.0033333336,1.0
1.0,75.94419445984758,-9.960635,1.0,500.0,2,100,200.0,400.0,-8.372564065201896,0.0025,0.0025,,75.94419445984758,-8.372564065201896,5.434597e-20,9.033919,0.9,-10.474372,1.0,-8.372564065201896,500,0.0024999997,1.0
8.769501,86.16846487493723,-8.294287,1.102574,80.36777183185383,1,100,200.0,85.09116815953605,-9.493202392733947,,0.015907325,5.939544,86.16846487493723,-9.493202392733947,1.954329e-05,21.791441,0.9,-9.440406,6.2213993,-9.493202392733947,500,0.002,
1.0,82.48444043717916,-9.610487,1.0,500.0,2,100,200.0,100.0,-9.610487255709478,0.01,0.01,,82.48444043717916,-9.610487255709478,3.5044917e-18,9.03657,0.9,-10.598581,1.0,-9.610487255709478,500,0.009999998,1.0
1.0,79.35353844962519,-10.203625,1.0,500.0,2,100,200.0,200.00000010221265,-10.796761686639094,0.005,0.005,,79.35353844962519,-10.796761686639094,2.179301e-19,8.970039,0.9,-10.930216,1.0,-10.796761686639094,500,0.0049999994,1.0
1.0,80.9303080047871,-9.803718,1.0,500.0,2,100,200.0,299.999969473632,-9.003904244038521,0.0033333334,0.0033333334,,80.9303080047871,-9.003904244038521,5.4391416e-20,8.981533,0.9,-10.398582,1.0,-9.003904244038521,500,0.0033333336,1.0
1.0,81.0756502832629,-10.064876,1.0,500.0,2,100,200.0,400.0,-10.848349925823996,0.0025,0.0025,,81.0756502832629,-10.848349925823996,5.434597e-20,8.987312,0.9,-10.580044,1.0,-10.848349925823996,500,0.0024999997,1.0
2.753833,87.6939245226942,-9.878101,1.0053275,241.49558418695125,1,100,200.0,244.47251885223224,-10.907442422140326,6.4874507e-21,0.0054784794,1.058503,87.6939245226942,-10.907442422140326,4.1892567e-06,12.922334,0.9,-10.541118,2.0704312,-10.907442422140326,500,0.002,3.2610063e-18
1.0,76.68886415940288,-9.771118,1.0,500.0,2,100,200.0,100.0,-9.771117934564,0.01,0.01,,76.68886415940288,-9.771117934564,3.5044917e-18,8.713322,0.9,-10.750652,1.0,-9.771117934564,500,0.009999998,1.0
1.0,83.01492102123031,-10.320461,1.0,500.0,2,100,200.0,200.00000010221265,-10.86980603980404,0.005,0.005,,83.01492102123031,-10.86980603980404,2.179301e-19,8.908151,0.9,-11.014413,1.0,-10.86980603980404,500,0.0049999994,1.0
1.0,71.71341842081344,-9.95277,1.0,500.0,2,100,200.0,299.999969473632,-9.217384344705787,0.0033333334,0.0033333334,,71.71341842081344,-9.217384344705787,5.4391416e-20,8.7658,0.9,-10.533579,1.0,-9.217384344705787,500,0.0033333336,1.0
1.0,82.14820746531362,-9.909772,1.0,500.0,2,100,200.0,400.0,-9.780780660258436,0.0025,0.0025,,82.14820746531362,-9.780780660258436,5.434597e-20,8.829874,0.9,-10.412767,1.0,-9.780780660258436,500,0.0024999997,1.0
4.930305,82.04284805386595,-8.243449,1.1296037,141.938203353668,1,100,200.0,116.12414825572257,-11.41175146617135,,0.008729264,4.226588,82.04284805386595,-11.41175146617135,1.3249443e-05,18.104872,0.9,-9.09807,3.5226598,-11.41175146617135,500,0.0019999999,
1.0,70.53216401503818,-10.614788,1.0,500.0,2,100,200.0,100.0,-10.614787671032413,0.01,0.01,,70.53216401503818,-10.614787671032413,3.5044917e-18,8.356246,0.9,-11.623959,1.0,-10.614787671032413,500,0.009999998,1.0
1.0,81.2967880287985,-9.9255085,1.0,500.0,2,100,200.0,200.00000010221265,-9.236229622721167,0.005,0.005,,81.2967880287985,-9.236229622721167,2.179301e-19,8.696575,0.9,-10.648966,1.0,-9.236229622721167,500,0.0049999994,1.0
1.0,77.61303302572037,-9.626248,1.0,500.0,2,100,200.0,299.999969473632,-9.027727968956873,0.0033333334,0.0033333334,,77.61303302572037,-9.027727968956873,5.4391416e-20,8.729932,0.9,-10.21939,1.0,-9.027727968956873,500,0.0033333336,1.0
1.0,91.38548151190388,-9.930774,1.0,500.0,2,100,200.0,400.0,-10.844349923757923,0.0025,0.0025,,91.38548151190388,-10.844349923757923,5.434597e-20,8.94734,0.9,-10.444449,1.0,-10.844349923757923,500,0.0024999997,1.0
4.852456,82.93311838750583,-9.628125,1.2999187,421.3973141033086,1,100,200.0,245.36362673668003,-9.00853778286435,0.0012405176,0.007465784,1.7571633,82.93311838750583,-9.00853778286435,4.1594863e-06,11.715277,0.9,-10.12859,1.1865287,-9.00853778286435,500,0.0020000003,0.806286
1.0,82.47753107448683,-9.427162,1.0,500.0,2,100,200.0,100.0,-9.42716265169021,0.01,0.01,,82.47753107448683,-9.42716265169021,3.5044917e-18,9.036191,0.9,-10.425944,1.0,-9.42716265169021,500,0.009999998,1.0
1.0,88.22909253739819,-10.539797,1.0,500.0,2,100,200.0,200.00000010221265,-11.652430338683,0.005,0.005,,88.22909253739819,-11.652430338683,2.179301e-19,9.259467,0.9,-11.267232,1.0,-11.652430338683,500,0.0049999994,1.0
1.0,90.86773396775355,-10.564442,1.0,500.0,2,100,200.0,299.999969473632,-10.613732189587447,0.0033333334,0.0033333334,,90.86773396775355,-10.613732189587447,5.4391416e-20,9.335206,0.9,-11.15839,1.0,-10.613732189587447,500,0.0033333336,1.0
1.0,87.09437019572024,-10.401886,1.0,500.0,2,100,200.0,400.0,-9.914219590071177,0.0025,0.0025,,87.09437019572024,-9.914219590071177,5.434597e-20,9.327093,0.9,-10.917791,1.0,-9.914219590071177,500,0.0024999997,1.0
1.4109955,96.8655665245277,-10.513325,1.0114948,495.06727304274335,1,100,200.0,485.7802795047773,-10.981957151995232,0.0018517725,0.0027899214,0.03000885,96.8655665245277,-10.981957151995232,1.1732271e-07,9.565609,0.9,-10.977058,1.0099638,-10.981957151995232,500,0.0020000003,0.93652916
1.0,93.68452832329976,-10.744775,1.0,500.0,2,100,200.0,100.0,-10.744775665345282,0.01,0.01,,93.68452832329976,-10.744775665345282,3.5044917e-18,9.630559,0.9,-11.771393,1.0,-10.744775665345282,500,0.009999998,1.0
1.0,76.71585718679187,-11.035199,1.0,500.0,2,100,200.0,200.00000010221265,-11.325624403459177,0.005,0.005,,76.71585718679187,-11.325624403459177,2.179301e-19,9.188718,0.9,-11.761127,1.0,-11.325624403459177,500,0.0049999994,1.0
1.0,81.8097442259857,-10.797286,1.0,500.0,2,100,200.0,299.999969473632,-10.321457556368998,0.0033333334,0.0033333334,,81.8097442259857,-10.321457556368998,5.4391416e-20,9.132294,0.9,-11.390004,1.0,-10.321457556368998,500,0.0033333336,1.0
1.0,64.75362271195159,-10.160784,1.0,500.0,2,100,200.0,400.0,-8.25128100446935,0.0025,0.0025,,64.75362271195159,-8.25128100446935,5.434597e-20,8.932581,0.9,-10.674092,1.0,-8.25128100446935,500,0.0024999997,1.0
2.6176836,91.84463472655098,-9.9145775,1.1869446,340.0001442909853,1,100,200.0,348.6731813535813,-11.444914360702992,0.0012798931,0.0044107935,0.612671,91.84463472655098,-11.444914360702992,1.7395083e-06,10.429474,0.9,-10.471339,1.4705876,-11.444914360702992,500,0.002,0.7595811
1.0,78.1300010743624,-9.059302,1.0,500.0,2,100,200.0,100.0,-9.059301579212315,0.01,0.01,,78.1300010743624,-9.059301579212315,3.5044917e-18,8.794811,0.9,-10.054305,1.0,-9.059301579212315,500,0.009999998,1.0
1.0,69.08285742989318,-9.802268,1.0,500.0,2,100,200.0,200.00000010221265,-10.54523444817267,0.005,0.005,,69.08285742989318,-10.54523444817267,2.179301e-19,8.568685,0.9,-10.523989,1.0,-10.54523444817267,500,0.0049999994,1.0
1.0,105.47096993639113,-9.834941,1.0,500.0,2,100,200.0,299.999969473632,-9.900287406399524,0.0033333334,0.0033333334,,105.47096993639113,-9.900287406399524,5.4391416e-20,9.151819,0.9,-10.4312725,1.0,-9.900287406399524,500,0.0033333336,1.0
1.0,83.83417124627785,-9.716278,1.0,500.0,2,100,200.0,400.0,-9.360287185294657,0.0025,0.0025,,83.83417124627785,-9.360287185294657,5.434597e-20,9.1437435,0.9,-10.232717,1.0,-9.360287185294657,500,0.0024999997,1.0
15.749705,87.9456800485259,-9.300838,1.195295,279.9273096016584,1,100,200.0,191.33324152373598,-10.65987235668603,0.0012373613,0.026352836,2.3095047,87.9456800485259,-10.65987235668603,6.4658957e-06,10.652867,0.9,-9.91818,1.786178,-10.65987235668603,500,0.0020000003,0.7395059
1.0,75.81107344469781,-9.875874,1.0,500.0,2,100,200.0,100.0,-9.875873251044245,0.01,0.01,,75.81107344469781,-9.875873251044245,3.5044917e-18,8.663311,0.9,-10.890929,1.0,-9.875873251044245,500,0.009999998,1.0
1.0,93.1096846289647,-10.612067,1.0,500.0,2,100,200.0,200.00000010221265,-11.348262518887136,0.005,0.005,,93.1096846289647,-11.348262518887136,2.179301e-19,9.173754,0.9,-11.32982,1.0,-11.348262518887136,500,0.0049999994,1.0
1.0,86.37301201650202,-10.415224,1.0,500.0,2,100,200.0,299.999969473632,-10.02153171571236,0.0033333334,0.0033333334,,86.37301201650202,-10.02153171571236,5.4391416e-20,9.202487,0.9,-11.006064,1.0,-10.02153171571236,500,0.0033333336,1.0
1.0,83.24958406271953,-10.299166,1.0,500.0,2,100,200.0,400.0,-9.950999454660725,0.0025,0.0025,,83.24958406271953,-9.950999454660725,5.434597e-20,9.173821,0.9,-10.813591,1.0,-9.950999454660725,500,0.0024999997,1.0
1.8514739,109.01371401186465,-10.333536,1.0027316,352.9661057599658,1,100,200.0,294.9221656855469,-11.43522094876016,6.4518863e-12,0.0036928605,0.70056754,109.01371401186465,-11.43522094876016,2.787024e-06,12.079054,0.9,-10.881165,1.4165666,-11.43522094876016,500,0.002,3.2347551e-09
1.0,74.54534322345324,-9.105173,1.0,500.0,2,100,200.0,100.0,-9.105173293515032,0.01,0.01,,74.54534322345324,-9.105173293515032,3.5044917e-18,8.590686,0.9,-10.096442,1.0,-9.105173293515032,500,0.009999998,1.0
1.0,84.95326829861982,-9.92696,1.0,500.0,2,100,200.0,200.00000010221265,-10.748748310140433,0.005,0.005,,84.95326829861982,-10.748748310140433,2.179301e-19,8.923405,0.9,-10.627893,1.0,-10.748748310140433,500,0.0049999994,1.0
1.0,74.7371759113689,-10.084129,1.0,500.0,2,100,200.0,299.999969473632,-10.398462110374004,0.0033333334,0.0033333334,,74.7371759113689,-10.398462110374004,5.4391416e-20,8.820286,0.9,-10.656439,1.0,-10.398462110374004,500,0.0033333336,1.0
