AvgNormIw,J,VanillaAvgRet,AvgVanillaIw,VarRet,EpsThisIter,BatchSize,VarDiscRet,eRenyi2,MinNormIw,Delta,AvgDiscRet,AvgRet,Bound,ESSClassic,VarNormIw,MaxNormIw,ESSRenyi,MinVanillaIw,VarJ,VarVanillaIw,AvgEpLen,IterType,MaxVanillaIw
0.00333333,2207.65,2168.70015989,1.0,317828.958372,100,500,317828.958372,1.0,0.00333333,1.0,2168.70015989,2168.70015989,2207.65,299.999969474,5.43914e-20,0.00333333,500.0,1.0,583.39,,235.19,2,1.0
0.0025,2209.14,2213.61612882,1.0,294495.307458,100,500,294495.307458,1.0,0.0025,1.0,2213.61612882,2213.61612882,2209.14,400.0,5.4346e-20,0.0025,500.0,1.0,572.846,,240.45,2,1.0
0.002,2454.0,2188.68221541,1.0917,315828.107298,100,500,315828.107298,inf,1.74711e-05,1.0,2188.68221541,2188.68221541,2454.0,71.3676840791,2.4072e-05,0.0981808,,0.00953664,2844.78,7.17236,237.69,1,53.5922
0.01,2285.22,2285.21839026,1.0,366136.963958,100,500,366136.963958,1.0,0.01,1.0,2285.21839026,2285.21839026,2285.22,100.0,3.50449e-18,0.01,500.0,1.0,602.059,,248.2,2,1.0
0.005,2253.91,2222.6085152,1.0,339401.890736,100,500,339401.890736,1.0,0.005,1.0,2222.6085152,2222.6085152,2253.91,200.000000102,2.1793e-19,0.005,500.0,1.0,591.795,,241.27,2,1.0
0.00333333,2262.56,2279.86279735,1.0,292114.482244,100,500,292114.482244,1.0,0.00333333,1.0,2279.86279735,2279.86279735,2262.56,299.999969474,5.43914e-20,0.00333333,500.0,1.0,574.481,,247.61,2,1.0
0.0025,2248.37,2205.79597653,1.0,297507.323744,100,500,297507.323744,1.0,0.0025,1.0,2205.79597653,2205.79597653,2248.37,400.0,5.4346e-20,0.0025,500.0,1.0,567.238,,239.49,2,1.0
0.002,4062.62,2234.73767873,6.90308e-41,303780.540863,100,500,303780.540863,1.00933e+09,,1.0,2234.73767873,2234.73767873,4062.62,inf,0.002,1.0,4.95378632552e-07,,,,242.84,1,3.45151e-38
0.01,2251.58,2251.58113236,1.0,357437.67682,100,500,357437.67682,1.0,0.01,1.0,2251.58113236,2251.58113236,2251.58,100.0,3.50449e-18,0.01,500.0,1.0,594.864,,244.66,2,1.0
0.005,2347.45,2443.32091661,1.0,405707.642412,100,500,405707.642412,1.0,0.005,1.0,2443.32091661,2443.32091661,2347.45,200.000000102,2.1793e-19,0.005,500.0,1.0,622.051,,265.49,2,1.0
0.00333333,2362.26,2391.87903532,1.0,460816.530172,100,500,460816.530172,1.0,0.00333333,1.0,2391.87903532,2391.87903532,2362.26,299.999969474,5.43914e-20,0.00333333,500.0,1.0,640.682,,259.76,2,1.0
0.0025,2364.95,2373.00720547,1.0,346236.845198,100,500,346236.845198,1.0,0.0025,1.0,2373.00720547,2373.00720547,2364.95,400.0,5.4346e-20,0.0025,500.0,1.0,627.352,,258.04,2,1.0
0.002,4290.43,2380.5109005,17.4572,372456.344328,100,500,372456.344328,inf,,1.0,2380.5109005,2380.5109005,4290.43,1.00120290637,0.00199759,0.999399,,,20.6385,152194.0,258.65,1,8723.36
0.01,2532.3,2532.30239356,1.0,352986.999779,100,500,352986.999779,1.0,0.01,1.0,2532.30239356,2532.30239356,2532.3,100.0,3.50449e-18,0.01,500.0,1.0,591.149,,275.11,2,1.0
0.005,2538.32,2544.33110344,1.0,342403.105665,100,500,342403.105665,1.0,0.005,1.0,2544.33110344,2544.33110344,2538.32,200.000000102,2.1793e-19,0.005,500.0,1.0,586.732,,276.63,2,1.0
0.00333333,2522.78,2491.70907766,1.0,339972.235479,100,500,339972.235479,1.0,0.00333333,1.0,2491.70907766,2491.70907766,2522.78,299.999969474,5.43914e-20,0.00333333,500.0,1.0,584.958,,271.06,2,1.0
0.0025,2543.65,2606.25115643,1.0,387027.092565,100,500,387027.092565,1.0,0.0025,1.0,2606.25115643,2606.25115643,2543.65,400.0,5.4346e-20,0.0025,500.0,1.0,594.75,,283.14,2,1.0
0.002,2532.6,2488.39842223,1.0,422494.391735,100,500,422494.391735,1.0,0.00199968,1.0,2488.39842223,2488.39842223,2532.6,500.000007393,1.1335e-14,0.00200054,500.0,0.999839,605.908,2.83377e-09,270.3,1,1.00027
0.01,2578.01,2578.00963479,1.0,529868.01586,100,500,529868.01586,1.0,0.01,1.0,2578.00963479,2578.00963479,2578.01,100.0,3.50449e-18,0.01,500.0,1.0,724.272,,280.04,2,1.0
0.005,2571.82,2565.63020951,1.0,538896.407169,100,500,538896.407169,1.0,0.005,1.0,2565.63020951,2565.63020951,2571.82,200.000000102,2.1793e-19,0.005,500.0,1.0,727.377,,278.75,2,1.0
0.00333333,2563.42,2546.62437096,1.0,372042.527293,100,500,372042.527293,1.0,0.00333333,1.0,2546.62437096,2546.62437096,2563.42,299.999969474,5.43914e-20,0.00333333,500.0,1.0,689.661,,276.78,2,1.0
0.0025,2553.41,2523.3656699,1.0,374119.340239,100,500,374119.340239,1.0,0.0025,1.0,2523.3656699,2523.3656699,2553.41,400.0,5.4346e-20,0.0025,500.0,1.0,670.537,,274.35,2,1.0
0.002,2533.98,2456.27403985,0.999999,235218.864588,100,500,235218.864588,1.0,0.00199973,1.0,2456.27403985,2456.27403985,2533.98,500.000053671,2.7741e-15,0.00200016,500.0,0.999866,638.577,6.93557e-10,267.01,1,1.00008
0.01,2449.71,2449.71492593,1.0,409382.721456,100,500,409382.721456,1.0,0.01,1.0,2449.71492593,2449.71492593,2449.71,100.0,3.50449e-18,0.01,500.0,1.0,636.623,,266.3,2,1.0
0.005,2463.04,2476.36569122,1.0,362007.737663,100,500,362007.737663,1.0,0.005,1.0,2476.36569122,2476.36569122,2463.04,200.000000102,2.1793e-19,0.005,500.0,1.0,618.074,,269.21,2,1.0
