AvgNormIw,VanillaAvgRet,VarJ,AvgRet,ESSRenyi,IterType,AvgEpLen,MinNormIw,J,EpsThisIter,VarRet,Delta,MaxNormIw,eRenyi2,VarDiscRet,AvgDiscRet,MinVanillaIw,VarVanillaIw,MaxVanillaIw,Bound,ESSClassic,BatchSize,VarNormIw,AvgVanillaIw
0.01,-1085.19040709,363.95,-1085.19040709,82.9068588,1,500.0,0.00382279,-1023.39,100,49682.9472648,0.2,0.0538749,1.20617,49682.9472648,-1085.19040709,0.390895,0.401435,5.50891,-1454.01,72.4588657609,100,3.83933e-05,1.02254
0.01,-1044.75324421,340.509,-1044.75324421,89.8746335447,1,500.0,0.00405504,-1006.73,100,84586.3367205,0.2,0.0263412,1.11266,84586.3367205,-1044.75324421,0.451853,0.161475,2.93519,-1422.18,88.5938315009,100,1.30048e-05,1.1143
0.01,-1062.61318731,300.099,-1062.61318731,79.7334199679,1,500.0,0.00118691,-984.06,100,72399.0437132,0.2,0.0347937,1.25418,72399.0437132,-1062.61318731,0.118117,0.333115,3.46254,-1423.6,75.0188719754,100,3.36362e-05,0.995162
0.01,-1009.262164,276.293,-1009.262164,84.6426242397,1,500.0,0.00157654,-951.765,100,62868.2005244,0.2,0.023911,1.18144,62868.2005244,-1009.262164,0.152275,0.187027,2.30952,-1378.56,83.4397226005,100,2.00474e-05,0.965879
0.01,-979.565994987,345.572,-979.565994987,72.6884906967,1,500.0,0.000161699,-868.483,100,99200.9590113,0.2,0.0422257,1.37573,99200.9590113,-979.565994987,0.0159695,0.49261,4.17025,-1328.4,66.66669183,100,5.0505e-05,0.987608
0.01,-920.108933455,304.68,-920.108933455,77.5440398903,1,500.0,0.000442026,-821.196,100,107360.228201,0.2,0.0370737,1.28959,107360.228201,-920.108933455,0.0410574,0.33715,3.44358,-1268.02,72.1045347449,100,3.90783e-05,0.928846
0.01,-773.505206236,156.228,-773.505206236,79.1053408172,1,500.0,0.000342223,-706.615,100,38768.2655513,0.2,0.0217265,1.26414,38768.2655513,-773.505206236,0.0331556,0.261443,2.10494,-1003.51,78.3853154306,100,2.78535e-05,0.968833
0.01,-734.594236929,174.011,-734.594236929,89.4027195086,1,500.0,0.00187682,-689.316,100,51890.3283072,0.2,0.0187692,1.11853,51890.3283072,-734.594236929,0.186,0.148366,1.8601,-1103.93,86.9904607968,100,1.51062e-05,0.991036
0.01,-690.963814393,105.296,-690.963814393,86.9772244643,1,500.0,0.00146991,-653.784,100,19075.0730822,0.2,0.0172057,1.14973,19075.0730822,-690.963814393,0.143015,0.161016,1.67402,-903.461,85.5874985022,100,1.70096e-05,0.972945
0.01,-674.778133475,205.555,-674.778133475,88.9214246198,1,500.0,0.00354233,-633.935,100,47775.9667005,0.2,0.124044,1.12459,47775.9667005,-674.778133475,0.397951,1.75674,13.9353,-1049.59,42.0514883813,100,0.000139196,1.12342
0.01,-675.084413134,170.014,-675.084413134,94.2166428128,1,500.0,0.00266262,-648.62,100,60920.9647236,0.2,0.0201867,1.06138,60920.9647236,-675.084413134,0.262937,0.0896556,1.99346,-1052.43,91.6574854151,100,9.19379e-06,0.98751
0.01,-631.563576883,77.6744,-631.563576883,96.2891311247,1,500.0,0.00205885,-611.356,100,24401.2929381,0.2,0.0170713,1.03854,24401.2929381,-631.563576883,0.207369,0.0469882,1.71943,-1010.76,95.6155686365,100,4.63182e-06,1.00721
0.01,-624.089666889,64.5916,-624.089666889,90.1732182809,1,500.0,0.00161792,-600.606,100,7970.99198515,0.2,0.0162758,1.10898,7970.99198515,-624.089666889,0.153094,0.125664,1.54009,-803.377,87.8005747093,100,1.40348e-05,0.946243
0.01,-614.285231741,77.7626,-614.285231741,96.9667153623,1,500.0,0.00254949,-597.827,100,23779.1403772,0.2,0.0129074,1.03128,23779.1403772,-614.285231741,0.252281,0.0428794,1.27724,-995.783,95.844812163,100,4.37911e-06,0.989536
0.01,-617.167207372,58.8493,-617.167207372,93.9956611395,1,500.0,0.00297752,-605.516,100,5216.76273858,0.2,0.0149029,1.06388,5216.76273858,-617.167207372,0.28644,0.0843317,1.43367,-789.205,91.7252305823,100,9.11241e-06,0.962008
0.01,-586.037223868,70.3375,-586.037223868,94.9968659422,1,500.0,0.00370313,-577.815,100,4253.94191146,0.2,0.0264512,1.05267,4253.94191146,-586.037223868,0.376798,0.078782,2.69144,-747.278,92.994482569,100,7.60935e-06,1.01751
0.01,-590.317704833,59.4513,-590.317704833,95.6908692568,1,500.0,0.00406223,-582.488,100,4285.00779301,0.2,0.0161096,1.04503,4285.00779301,-590.317704833,0.397647,0.0382328,1.57695,-747.746,96.2000130987,100,3.98998e-06,0.978888
0.01,-617.124859265,154.801,-617.124859265,96.6319835825,1,500.0,0.00487404,-602.631,100,40247.7569683,0.2,0.019394,1.03485,40247.7569683,-617.124859265,0.47574,0.0513644,1.89299,-1001.51,94.9329835885,100,5.39139e-06,0.97607
0.01,-581.376825915,81.697,-581.376825915,97.6779416273,1,500.0,0.00442578,-570.459,100,22320.1545079,0.2,0.0128472,1.02377,22320.1545079,-581.376825915,0.452131,0.0224299,1.31245,-967.469,97.9165960332,100,2.14921e-06,1.02159
0.01,-573.76912223,64.9359,-573.76912223,94.9436655219,1,500.0,0.00173315,-559.136,100,8225.99317951,0.2,0.0177905,1.05326,8225.99317951,-573.76912223,0.172308,0.0824808,1.76872,-786.886,92.3691245628,100,8.34472e-06,0.994192
0.01,-567.775592632,47.7543,-567.775592632,96.1443500263,1,500.0,0.00339697,-560.333,100,3243.6690615,0.2,0.0146735,1.0401,3243.6690615,-567.775592632,0.333762,0.0577086,1.44171,-724.947,94.4125153082,100,5.97793e-06,0.982528
0.01,-565.718000927,55.241,-565.718000927,95.5466505627,1,500.0,0.00602565,-559.395,100,2883.45403416,0.2,0.0201507,1.04661,2883.45403416,-565.718000927,0.62594,0.0658983,2.09324,-706.121,94.2989079538,100,6.10684e-06,1.03879
0.01,-564.787706603,53.3702,-564.787706603,98.1646598668,1,500.0,0.00574208,-561.448,100,3306.90862414,0.2,0.0140967,1.0187,3306.90862414,-564.787706603,0.577063,0.0182345,1.41667,-731.072,98.2439995357,100,1.80545e-06,1.00497
0.01,-565.212690348,63.4873,-565.212690348,96.0776078547,1,500.0,0.00486347,-557.827,100,4602.69163957,0.2,0.0173451,1.04083,4602.69163957,-565.212690348,0.472554,0.0540938,1.68531,-750.563,94.6320210044,100,5.72978e-06,0.971638
0.01,-552.967758231,59.1564,-552.967758231,94.8875729364,1,500.0,0.00388568,-543.925,100,4201.0598274,0.2,0.0159525,1.05388,4201.0598274,-552.967758231,0.393956,0.0671978,1.61737,-712.02,93.9215332839,100,6.53724e-06,1.01387
0.01,-542.392375378,49.426,-542.392375378,96.825769301,1,500.0,0.00457967,-538.124,100,2428.94914165,0.2,0.0142803,1.03278,2428.94914165,-542.392375378,0.456135,0.0345477,1.42232,-670.313,96.6671653273,100,3.48257e-06,0.996
0.01,-549.03768497,51.7893,-549.03768497,97.4041153391,1,500.0,0.0045946,-544.914,100,2873.93236243,0.2,0.0141536,1.02665,2873.93236243,-549.03768497,0.445414,0.0346359,1.37209,-702.315,96.4798189871,100,3.68547e-06,0.96943
0.01,-551.337472739,48.4212,-551.337472739,96.5451695178,1,500.0,0.00259632,-545.867,100,2611.77216333,0.2,0.0147201,1.03578,2611.77216333,-551.337472739,0.25597,0.0464341,1.45125,-686.067,95.484100008,100,4.77723e-06,0.985894
0.01,-540.727918247,53.3922,-540.727918247,96.109144945,1,500.0,0.00496478,-535.393,100,2579.101708,0.2,0.0178043,1.04048,2579.101708,-540.727918247,0.486168,0.0428544,1.74346,-673.917,95.7630359345,100,4.46911e-06,0.979236
0.01,-529.197132766,48.0076,-529.197132766,97.4371858538,1,500.0,0.00585857,-525.568,100,2406.69807206,0.2,0.0132201,1.0263,2406.69807206,-529.197132766,0.595455,0.0282,1.34367,-663.711,97.368615607,100,2.72982e-06,1.01638
0.01,-528.891814662,53.7616,-528.891814662,95.4039075463,1,500.0,0.00357352,-522.25,100,2782.9796412,0.2,0.0164136,1.04818,2782.9796412,-528.891814662,0.357397,0.0538622,1.64157,-668.2,94.9388471215,100,5.38484e-06,1.00013
0.01,-529.185499018,53.1807,-529.185499018,94.1745560768,1,500.0,0.00270269,-520.975,100,2903.61604971,0.2,0.016269,1.06186,2903.61604971,-529.185499018,0.271335,0.0678541,1.63331,-655.912,93.7515550831,100,6.73223e-06,1.00394
0.01,-518.774482088,49.9393,-518.774482088,94.971677554,1,500.0,0.00360622,-512.396,100,2326.09700522,0.2,0.0158131,1.05295,2326.09700522,-518.774482088,0.358734,0.0662523,1.57303,-640.527,93.7838025335,100,6.69514e-06,0.994765
0.01,-524.649885254,44.9088,-524.649885254,98.2032725964,1,500.0,0.00572979,-522.197,100,1981.47483533,0.2,0.0129267,1.0183,1981.47483533,-524.649885254,0.560683,0.0160973,1.26493,-653.296,98.3629409886,100,1.6811e-06,0.97854
0.01,-529.608272889,68.9081,-529.608272889,97.6806259025,1,500.0,0.00646322,-524.281,100,6138.57450497,0.2,0.0139136,1.02374,6138.57450497,-529.608272889,0.657243,0.0231888,1.41487,-749.702,97.8281908668,100,2.24246e-06,1.0169
0.01,-513.091849951,47.5039,-513.091849951,94.9630658032,1,500.0,0.00233303,-505.782,100,2438.47667021,0.2,0.015502,1.05304,2438.47667021,-513.091849951,0.226238,0.0744886,1.50325,-645.097,92.7280855808,100,7.92139e-06,0.969715
0.01,-517.311756325,53.5453,-517.311756325,96.3041097337,1,500.0,0.00406254,-512.512,100,2940.3647701,0.2,0.0161682,1.03838,2940.3647701,-517.311756325,0.402782,0.0429611,1.60301,-643.612,95.8526529956,100,4.37049e-06,0.991454
0.01,-502.038964506,52.6696,-502.038964506,94.887487071,1,500.0,0.00370792,-495.361,100,2515.00992021,0.2,0.0159956,1.05388,2515.00992021,-502.038964506,0.373097,0.0606136,1.60951,-627.396,94.4048327491,100,5.98667e-06,1.00622
0.01,-496.979968537,46.8149,-496.979968537,96.6387408475,1,500.0,0.00423214,-492.37,100,2260.89604986,0.2,0.0190427,1.03478,2260.89604986,-496.979968537,0.430023,0.0445401,1.9349,-626.268,95.9039735269,100,4.31407e-06,1.01609
0.01,-503.087474874,50.4564,-503.087474874,94.3513103343,1,500.0,0.00281379,-495.797,100,2451.24271994,0.2,0.018792,1.05987,2451.24271994,-503.087474874,0.278087,0.0762982,1.85721,-622.358,92.8216731654,100,7.81157e-06,0.988298
0.01,-499.470662401,56.6101,-499.470662401,95.3274090984,1,500.0,0.0052454,-493.635,100,2180.93910097,0.2,0.0266755,1.04902,2180.93910097,-499.470662401,0.526183,0.0832231,2.6759,-627.589,92.4319583576,100,8.27042e-06,1.00313
0.01,-496.941316599,47.046,-496.941316599,95.3904333559,1,500.0,0.00482928,-490.942,100,2347.81115883,0.2,0.0160485,1.04832,2347.81115883,-496.941316599,0.480867,0.0576688,1.598,-615.728,94.555262117,100,5.81643e-06,0.995732
0.01,-497.873849641,39.5828,-497.873849641,98.5347715141,1,500.0,0.00417522,-496.139,100,1594.22629922,0.2,0.0130075,1.01487,1594.22629922,-497.873849641,0.415267,0.0175189,1.29372,-615.995,98.2769894708,100,1.77097e-06,0.994601
0.01,-496.474727825,51.7468,-496.474727825,94.4035725809,1,500.0,0.00507725,-489.091,100,2481.35907833,0.2,0.0189919,1.05928,2481.35907833,-496.474727825,0.523817,0.0695045,1.95939,-621.084,93.9278830588,100,6.52996e-06,1.03169
0.01,-487.078125852,45.0525,-487.078125852,94.9842270579,1,500.0,0.00290964,-480.598,100,2214.11230694,0.2,0.0151643,1.05281,2214.11230694,-487.078125852,0.29342,0.0692644,1.52923,-612.894,93.6830299078,100,6.811e-06,1.00844
0.01,-479.231731312,47.5368,-479.231731312,94.5187706104,1,500.0,0.00420479,-473.186,100,2158.1246099,0.2,0.0154568,1.05799,2158.1246099,-479.231731312,0.423715,0.0691015,1.55757,-591.299,93.688269549,100,6.80501e-06,1.0077
0.01,-482.839620477,48.4293,-482.839620477,94.7585532091,1,500.0,0.00404325,-476.094,100,2606.8416007,0.2,0.0159778,1.05531,2606.8416007,-482.839620477,0.408655,0.0532548,1.61489,-604.349,95.0922216883,100,5.21322e-06,1.01071
0.01,-480.646860021,42.7518,-480.646860021,95.7793899702,1,500.0,0.0032682,-475.308,100,2085.49295964,0.2,0.0142501,1.04407,2085.49295964,-480.646860021,0.315319,0.0484472,1.37487,-600.75,95.0999618166,100,5.20456e-06,0.964812
0.01,-475.670391049,41.0008,-475.670391049,96.1191332534,1,500.0,0.00421055,-470.637,100,1889.24025035,0.2,0.0142553,1.04038,1889.24025035,-475.670391049,0.411792,0.0410143,1.39417,-593.124,95.9277482649,100,4.28801e-06,0.978001
0.01,-473.810274188,37.4739,-473.810274188,97.1888978653,1,500.0,0.00480021,-469.964,100,1494.6799278,0.2,0.0172377,1.02892,1494.6799278,-473.810274188,0.495566,0.0461886,1.77959,-596.768,95.8862154086,100,4.33363e-06,1.03238
0.01,-468.617733048,56.9624,-468.617733048,95.4965180108,1,500.0,0.00531591,-463.084,100,2389.38023054,0.2,0.0205703,1.04716,2389.38023054,-468.617733048,0.528802,0.0680039,2.04624,-592.598,93.6298076781,100,6.8723e-06,0.994754
0.01,-471.287641995,39.0763,-471.287641995,98.9982639975,1,500.0,0.00688878,-469.971,100,1510.62380659,0.2,0.0117134,1.01012,1510.62380659,-471.287641995,0.688552,0.00986246,1.17079,-598.81,99.0321422177,100,9.87179e-07,0.999527
0.01,-471.213725861,45.279,-471.213725861,96.1316132966,1,500.0,0.00334772,-466.6,100,2136.11213572,0.2,0.0145609,1.04024,2136.11213572,-471.213725861,0.334796,0.0482616,1.4562,-585.355,95.4405882851,100,4.82547e-06,1.00007
0.01,-463.132573792,36.8793,-463.132573792,95.3522988207,1,500.0,0.00315437,-457.335,100,1579.90982703,0.2,0.0186032,1.04874,1579.90982703,-463.132573792,0.317446,0.0676214,1.87217,-576.246,93.7998354398,100,6.67682e-06,1.00637
0.01,-465.932023455,45.3087,-465.932023455,96.362410356,1,500.0,0.00484406,-461.645,100,2090.12964102,0.2,0.015124,1.03775,2090.12964102,-465.932023455,0.484135,0.0448707,1.51155,-577.547,95.7421795837,100,4.49211e-06,0.999439
0.01,-460.978405659,44.1339,-460.978405659,98.1524043783,1,500.0,0.00621407,-458.799,100,2033.04855392,0.2,0.0138394,1.01882,2033.04855392,-460.978405659,0.640093,0.0160431,1.42555,-577.927,98.5251641547,100,1.51201e-06,1.03007
0.01,-459.031223823,41.425,-459.031223823,97.382676195,1,500.0,0.00512301,-455.933,100,1585.64831804,0.2,0.0146964,1.02688,1585.64831804,-459.031223823,0.521198,0.0320805,1.49516,-571.902,97.0229148165,100,3.09946e-06,1.01737
0.01,-458.729971689,41.6559,-458.729971689,96.9455467394,1,500.0,0.00424993,-455.179,100,1871.92285864,0.2,0.0148329,1.03151,1871.92285864,-458.729971689,0.425243,0.0346368,1.48416,-570.673,96.6884210953,100,3.45961e-06,1.00059
0.01,-458.739742075,45.9532,-458.739742075,96.4724109822,1,500.0,0.00326992,-454.74,100,2052.65968781,0.2,0.0159637,1.03657,2052.65968781,-458.739742075,0.324774,0.0471424,1.58554,-571.564,95.4826589559,100,4.77886e-06,0.993216
0.01,-457.743534026,47.3339,-457.743534026,95.971535542,1,500.0,0.00420487,-453.117,100,2029.02570807,0.2,0.0192289,1.04198,2029.02570807,-457.743534026,0.416041,0.0491269,1.90255,-572.363,95.2670704887,100,5.01825e-06,0.989426
0.01,-464.975683719,44.3254,-464.975683719,96.7354832624,1,500.0,0.00368335,-461.057,100,1974.88544022,0.2,0.0148126,1.03375,1974.88544022,-464.975683719,0.369782,0.0362535,1.48708,-577.035,96.5613670454,100,3.59704e-06,1.00393
0.01,-461.273271968,46.418,-461.273271968,97.167339499,1,500.0,0.00599529,-457.722,100,2035.69089962,0.2,0.0165062,1.02915,2035.69089962,-461.273271968,0.604812,0.0330461,1.66516,-581.743,96.8854499577,100,3.24714e-06,1.00881
0.01,-444.481160038,41.385,-444.481160038,96.7977699816,1,500.0,0.00470232,-440.706,100,1714.04952529,0.2,0.0136773,1.03308,1714.04952529,-444.481160038,0.466128,0.0344613,1.35579,-555.479,96.6444695948,100,3.50708e-06,0.991272
0.01,-451.449878416,42.8475,-451.449878416,96.5628733223,1,500.0,0.00506421,-447.57,100,1738.98989152,0.2,0.0140646,1.03559,1738.98989152,-451.449878416,0.510773,0.0360552,1.41855,-558.674,96.6100479457,100,3.54435e-06,1.00859
0.01,-445.351706168,46.3711,-445.351706168,95.4282618731,1,500.0,0.00411907,-439.867,100,1951.77716146,0.2,0.0183053,1.04791,1951.77716146,-445.351706168,0.4008,0.0623975,1.78117,-554.527,93.87513074,100,6.59039e-06,0.973034
0.01,-444.94652814,43.1886,-444.94652814,96.4484966945,1,500.0,0.00638771,-441.256,100,1591.29066912,0.2,0.0188585,1.03682,1591.29066912,-444.94652814,0.639084,0.0513014,1.88678,-549.524,95.1711539704,100,5.12512e-06,1.00049
0.01,-445.207948474,52.571,-445.207948474,94.8345698731,1,500.0,0.00532008,-439.324,100,2292.52147789,0.2,0.0264621,1.05447,2292.52147789,-445.207948474,0.568982,0.100639,2.83012,-558.664,91.9874769306,100,8.79842e-06,1.0695
0.01,-446.89174048,44.3167,-446.89174048,96.194448235,1,500.0,0.00331908,-442.799,100,1957.31682346,0.2,0.0137049,1.03956,1957.31682346,-446.89174048,0.337068,0.0413458,1.3918,-555.555,96.1826313034,100,4.00896e-06,1.01555
0.01,-444.701459979,45.791,-444.701459979,96.9684303246,1,500.0,0.00603431,-441.325,100,2072.76243752,0.2,0.0152609,1.03126,2072.76243752,-444.701459979,0.603789,0.0338311,1.52699,-560.087,96.7629741853,100,3.37911e-06,1.00059
0.01,-438.937626498,47.6036,-438.937626498,95.2072935214,1,500.0,0.00614466,-433.695,100,1960.49603451,0.2,0.0176173,1.05034,1960.49603451,-438.937626498,0.621637,0.0500332,1.78228,-543.344,95.3837770799,100,4.88856e-06,1.01167
0.01,-438.35179611,46.8457,-438.35179611,95.7100301246,1,500.0,0.0053301,-434.049,100,1974.55697432,0.2,0.0190333,1.04482,1974.55697432,-438.35179611,0.549669,0.0616238,1.96282,-542.502,94.5746789009,100,5.7945e-06,1.03126
0.01,-440.529883112,38.192,-440.529883112,97.8296294767,1,500.0,0.00470936,-437.94,100,1637.40097611,0.2,0.0140933,1.02219,1637.40097611,-440.529883112,0.471916,0.0269126,1.41226,-548.905,97.4152743857,100,2.6801e-06,1.00208
0.01,-432.597498584,38.0918,-432.597498584,98.2409032449,1,500.0,0.00669595,-430.754,100,1462.84678831,0.2,0.012904,1.01791,1462.84678831,-432.597498584,0.675195,0.0215576,1.30119,-542.296,97.9442274998,100,2.12015e-06,1.00836
0.01,-439.07416155,46.0591,-439.07416155,96.7183294353,1,500.0,0.00528497,-435.532,100,2120.11728712,0.2,0.0190206,1.03393,2120.11728712,-439.07416155,0.537885,0.050368,1.93584,-548.787,95.4071909952,100,4.86252e-06,1.01776
0.01,-444.723647893,47.0359,-444.723647893,95.6772265926,1,500.0,0.00475377,-439.872,100,2161.5123481,0.2,0.0148363,1.04518,2161.5123481,-444.723647893,0.474982,0.0424576,1.4824,-552.502,95.959837516,100,4.25282e-06,0.999169
0.01,-435.209910426,46.177,-435.209910426,94.1808471283,1,500.0,0.00483156,-428.389,100,1957.4710574,0.2,0.0191754,1.06179,1957.4710574,-435.209910426,0.474164,0.0706615,1.88185,-550.497,93.2285292361,100,7.33668e-06,0.98139
0.01,-434.979839233,42.263,-434.979839233,98.028024307,1,500.0,0.00574891,-432.529,100,1768.44575012,0.2,0.0136002,1.02012,1768.44575012,-434.979839233,0.56294,0.0237982,1.33175,-546.273,97.6018215875,100,2.48193e-06,0.979212
0.01,-429.001353904,38.1278,-429.001353904,96.8198127824,1,500.0,0.00597165,-425.355,100,1491.72074008,0.2,0.0185675,1.03285,1491.72074008,-429.001353904,0.595309,0.0424755,1.85098,-535.811,95.9404723306,100,4.27407e-06,0.996892
0.01,-431.076134001,57.991,-431.076134001,92.277297602,1,500.0,0.00514431,-423.061,100,2291.34582476,0.2,0.035205,1.08369,2291.34582476,-431.076134001,0.511076,0.161173,3.49754,-536.038,86.0834900843,100,1.63296e-05,0.993479
0.01,-427.770735968,49.8325,-427.770735968,92.9361255579,1,500.0,0.00383886,-418.859,100,2637.9447021,0.2,0.0174206,1.07601,2637.9447021,-427.770735968,0.386477,0.0762906,1.75381,-541.11,93.0649063323,100,7.52711e-06,1.00675
0.01,-430.715800453,46.5175,-430.715800453,95.0055699038,1,500.0,0.00349157,-424.757,100,2283.05091258,0.2,0.0155426,1.05257,2283.05091258,-430.715800453,0.336919,0.0599785,1.49978,-539.423,94.005214622,100,6.44149e-06,0.96495
0.01,-420.190866041,41.5349,-420.190866041,97.3782900228,1,500.0,0.00452502,-417.225,100,1775.86756553,0.2,0.0150208,1.02692,1775.86756553,-420.190866041,0.447745,0.0373578,1.48629,-528.091,96.3600591277,100,3.81558e-06,0.989487
0.01,-421.910682912,41.1691,-421.910682912,96.3644693147,1,500.0,0.00443321,-417.785,100,1812.95557273,0.2,0.0134918,1.03773,1812.95557273,-421.910682912,0.438379,0.0405843,1.33414,-529.729,96.0532135617,100,4.15047e-06,0.988851
0.01,-418.774873419,39.817,-418.774873419,97.8635604588,1,500.0,0.00595397,-416.567,100,1591.57842669,0.2,0.0132362,1.02183,1591.57842669,-418.774873419,0.595572,0.0220203,1.32401,-518.536,97.8677208394,100,2.20074e-06,1.00029
0.01,-429.16391318,41.3038,-429.16391318,98.63602195,1,500.0,0.00696601,-427.654,100,1679.05514234,0.2,0.013186,1.01383,1679.05514234,-429.16391318,0.678605,0.0143062,1.28454,-540.746,98.5295041706,100,1.5075e-06,0.974166
0.01,-410.638842885,39.6432,-410.638842885,96.3930492181,1,500.0,0.00585716,-406.907,100,1751.97322618,0.2,0.0140133,1.03742,1751.97322618,-410.638842885,0.563789,0.037846,1.34887,-512.889,96.1133531739,100,4.0847e-06,0.962565
0.01,-418.996954582,43.4381,-418.996954582,97.8869252244,1,500.0,0.00492566,-416.61,100,2015.82868129,0.2,0.0124512,1.02159,2015.82868129,-418.996954582,0.481744,0.0245572,1.21777,-526.156,97.5213295361,100,2.56729e-06,0.978029
0.01,-422.106701978,39.136,-422.106701978,97.3324962201,1,500.0,0.00485614,-419.026,100,1586.05748184,0.2,0.0141175,1.02741,1586.05748184,-422.106701978,0.49189,0.0341747,1.42999,-532.285,96.8077309205,100,3.33083e-06,1.01292
0.01,-413.897979585,48.6647,-413.897979585,94.3305998409,1,500.0,0.00298562,-408.396,100,2042.80700067,0.2,0.015298,1.0601,2042.80700067,-413.897979585,0.289829,0.0768671,1.48505,-513.525,92.5280691032,100,8.15689e-06,0.970751
