MinNormIw,VarJ,VarRet,ESSRenyi,VarDiscRet,AvgNormIw,VanillaAvgRet,AvgDiscRet,IterType,MaxVanillaIw,MaxNormIw,AvgVanillaIw,BatchSize,MinVanillaIw,VarNormIw,AvgRet,ESSClassic,VarVanillaIw,AvgEpLen,eRenyi2,EpsThisIter,Delta,J,Bound
0.005,36.1046,1316.91877465,500.0,1316.91877465,0.005,-64.28728076,-64.28728076,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-64.28728076,200.000000102,,93.58,1.0,100,1.0,-64.1742,-64.1742
0.00333333,29.9294,63.4406804689,500.0,63.4406804689,0.00333333,-59.0647490519,-59.0647490519,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-59.0647490519,299.999969474,,87.11,1.0,100,1.0,-62.4711,-62.4711
0.0025,40.2944,3766.67544604,500.0,3766.67544604,0.0025,-72.6845023313,-72.6845023313,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-72.6845023313,400.0,,104.12,1.0,100,1.0,-65.0244,-65.0244
0.00103757,41.8341,2586.11937858,,2586.11937858,0.002,-66.9426559772,-66.9426559772,1,25.8646,0.0510729,1.01285,500,0.525449,8.45163e-06,-66.9426559772,160.839868543,2.16755,96.3,inf,100,1.0,-64.2641,-64.2641
0.01,50.2873,2554.35345293,500.0,2554.35345293,0.01,-68.2441803113,-68.2441803113,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-68.2441803113,100.0,,98.81,1.0,100,1.0,-68.2442,-68.2442
0.005,36.2027,57.8239528826,500.0,57.8239528826,0.005,-59.851896615,-59.851896615,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-59.851896615,200.000000102,,88.42,1.0,100,1.0,-64.048,-64.048
0.00333333,41.4858,2551.44552799,500.0,2551.44552799,0.00333333,-68.9490589762,-68.9490589762,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-68.9490589762,299.999969474,,99.45,1.0,100,1.0,-65.6817,-65.6817
0.0025,36.1995,61.9915216269,500.0,61.9915216269,0.0025,-60.9175495094,-60.9175495094,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-60.9175495094,400.0,,89.47,1.0,100,1.0,-64.4907,-64.4907
,,57.7800089234,1.20101798977e-07,57.7800089234,0.002,-60.7757329054,-60.7757329054,1,2.51037e-38,1.0,5.02071e-41,500,,0.002,-60.7757329054,inf,,90.09,4.16313e+09,100,1.0,-52.0702,-52.0702
0.01,36.3557,1335.08924642,500.0,1335.08924642,0.01,-64.1421655233,-64.1421655233,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-64.1421655233,100.0,,93.34,1.0,100,1.0,-64.1422,-64.1422
0.005,26.355,63.0100116837,500.0,63.0100116837,0.005,-60.961729065,-60.961729065,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-60.961729065,200.000000102,,89.92,1.0,100,1.0,-62.5519,-62.5519
0.00333333,41.5892,3771.36454262,500.0,3771.36454262,0.00333333,-72.5144432668,-72.5144432668,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-72.5144432668,299.999969474,,103.71,1.0,100,1.0,-65.8728,-65.8728
0.0025,47.3228,3785.40759559,500.0,3785.40759559,0.0025,-71.1959018593,-71.1959018593,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-71.1959018593,400.0,,101.28,1.0,100,1.0,-67.2036,-67.2036
0.000950375,38.5739,2565.4784441,,2565.4784441,0.002,-68.1250570743,-68.1250570743,1,22.0989,0.0456381,0.968441,500,0.460191,6.59797e-06,-68.1250570743,188.950663039,1.54702,98.26,inf,100,1.0,-65.3225,-65.3225
0.01,8.13381,66.8271697045,500.0,66.8271697045,0.01,-60.8833785754,-60.8833785754,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-60.8833785754,100.0,,89.59,1.0,100,1.0,-60.8834,-60.8834
0.005,36.2908,2571.47716919,500.0,2571.47716919,0.005,-67.5348517603,-67.5348517603,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-67.5348517603,200.000000102,,97.1,1.0,100,1.0,-64.2091,-64.2091
0.00333333,46.2229,3771.80580407,500.0,3771.80580407,0.00333333,-72.1030305889,-72.1030305889,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-72.1030305889,299.999969474,,102.5,1.0,100,1.0,-66.8404,-66.8404
0.0025,47.3055,2567.14004935,500.0,2567.14004935,0.0025,-66.4942564729,-66.4942564729,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-66.4942564729,400.0,,95.68,1.0,100,1.0,-66.7539,-66.7539
1.23189e-16,58.6994,3759.56054226,2.85868427618e-32,3759.56054226,0.002,-72.2797725114,-72.2797725114,1,61.9187,0.120344,1.02903,500,6.33827e-14,3.22836e-05,-72.2797725114,55.2195914682,8.54634,103.54,1.74906e+34,100,1.0,-65.0411,-65.0411
0.01,50.4387,2569.7551934,500.0,2569.7551934,0.01,-67.823648383,-67.823648383,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-67.823648383,100.0,,97.49,1.0,100,1.0,-67.8236,-67.8236
0.005,50.3702,2555.47217057,500.0,2555.47217057,0.005,-68.6523687638,-68.6523687638,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-68.6523687638,200.000000102,,98.76,1.0,100,1.0,-68.238,-68.238
0.00333333,46.2008,1331.64982284,500.0,1331.64982284,0.00333333,-64.197488655,-64.197488655,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-64.197488655,299.999969474,,93.44,1.0,100,1.0,-66.8912,-66.8912
0.0025,43.8718,1305.92619339,500.0,1305.92619339,0.0025,-65.0557657513,-65.0557657513,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-65.0557657513,400.0,,95.51,1.0,100,1.0,-66.4323,-66.4323
,4.68016e-10,2572.77297628,0.00104558939678,2572.77297628,0.002,-66.2833054926,-66.2833054926,1,6.3428e-16,1.0,1.26856e-18,500,,0.002,-66.2833054926,1.0,8.04622e-34,95.26,478199.0,100,1.0,-41.5109,-41.5109
0.01,61.082,3768.6967296,500.0,3768.6967296,0.01,-72.1631411831,-72.1631411831,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-72.1631411831,100.0,,102.95,1.0,100,1.0,-72.1631,-72.1631
0.005,70.0243,6113.7274038,500.0,6113.7274038,0.005,-78.9753557013,-78.9753557013,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-78.9753557013,200.000000102,,110.96,1.0,100,1.0,-75.5692,-75.5692
0.00333333,57.6842,53.7208449202,500.0,53.7208449202,0.00333333,-62.0192328061,-62.0192328061,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-62.0192328061,299.999969474,,91.51,1.0,100,1.0,-71.0526,-71.0526
0.0025,58.5723,3777.40918395,500.0,3777.40918395,0.0025,-72.1177150854,-72.1177150854,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-72.1177150854,400.0,,102.81,1.0,100,1.0,-71.3189,-71.3189
2.80438e-08,54.5908,1324.47038212,,1324.47038212,0.002,-64.5103661411,-64.5103661411,1,14.7489,0.0315278,0.93561,500,1.3119e-05,7.44802e-06,-64.5103661411,174.930307723,1.62993,93.96,inf,100,1.0,-66.2792,-66.2792
0.01,61.3873,3806.47087746,500.0,3806.47087746,0.01,-70.1237138993,-70.1237138993,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-70.1237138993,100.0,,99.62,1.0,100,1.0,-70.1237,-70.1237
0.005,50.5945,1340.11645465,500.0,1340.11645465,0.005,-63.1260492258,-63.1260492258,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-63.1260492258,200.000000102,,91.32,1.0,100,1.0,-66.6249,-66.6249
0.00333333,46.2635,1311.07474622,500.0,1311.07474622,0.00333333,-64.3796946993,-64.3796946993,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-64.3796946993,299.999969474,,93.61,1.0,100,1.0,-65.8765,-65.8765
0.0025,47.3694,2577.97140499,500.0,2577.97140499,0.0025,-67.6378608286,-67.6378608286,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-67.6378608286,400.0,,97.36,1.0,100,1.0,-66.3168,-66.3168
,,1336.02068836,0.0145685589555,1336.02068836,0.002,-65.2564630611,-65.2564630611,1,1.22255e-36,1.0,2.4451e-39,500,,0.002,-65.2564630611,inf,,95.3,34320.5,100,1.0,-55.9507,-55.9507
0.01,36.0349,1311.62876261,500.0,1311.62876261,0.01,-64.6927298842,-64.6927298842,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-64.6927298842,100.0,,94.17,1.0,100,1.0,-64.6927,-64.6927
0.005,50.294,3768.29948027,500.0,3768.29948027,0.005,-72.4196464655,-72.4196464655,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-72.4196464655,200.000000102,,103.4,1.0,100,1.0,-68.5562,-68.5562
0.00333333,46.1338,1326.12483609,500.0,1326.12483609,0.00333333,-64.1153757355,-64.1153757355,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-64.1153757355,299.999969474,,93.64,1.0,100,1.0,-67.0759,-67.0759
0.0025,43.8704,1321.70472531,500.0,1321.70472531,0.0025,-64.5008502264,-64.5008502264,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-64.5008502264,400.0,,93.79,1.0,100,1.0,-66.4322,-66.4322
0.000840476,25.3505,2574.30883813,,2574.30883813,0.002,-67.9364032994,-67.9364032994,1,24.7838,0.0423723,1.16981,500,0.491599,1.012e-05,-67.9364032994,141.845899556,3.46222,97.44,inf,100,1.0,-63.8505,-63.8505
0.01,61.3375,3800.29441094,500.0,3800.29441094,0.01,-71.0363110939,-71.0363110939,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-71.0363110939,100.0,,101.41,1.0,100,1.0,-71.0363,-71.0363
0.005,61.2749,3784.7793773,500.0,3784.7793773,0.005,-71.122827386,-71.122827386,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-71.122827386,200.000000102,,101.29,1.0,100,1.0,-71.0796,-71.0796
0.00333333,54.3465,1328.87755782,500.0,1328.87755782,0.00333333,-63.7493831849,-63.7493831849,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-63.7493831849,299.999969474,,92.3,1.0,100,1.0,-68.6362,-68.6362
0.0025,50.4411,1318.58613759,500.0,1318.58613759,0.0025,-64.7720562176,-64.7720562176,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-64.7720562176,400.0,,94.03,1.0,100,1.0,-67.6701,-67.6701
,5.05929,2577.56309248,1.8920193253,2577.56309248,0.002,-67.9542445035,-67.9542445035,1,402.9,0.831538,0.969048,500,,0.00143102,-67.9542445035,1.39649439975,335.951,97.94,264.268,100,1.0,-51.9202,-51.9202
0.01,36.2313,1325.96459567,500.0,1325.96459567,0.01,-64.886814546,-64.886814546,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-64.886814546,100.0,,94.73,1.0,100,1.0,-64.8868,-64.8868
0.005,43.9648,2573.64790764,500.0,2573.64790764,0.005,-68.1103243427,-68.1103243427,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-68.1103243427,200.000000102,,98.6,1.0,100,1.0,-66.4986,-66.4986
0.00333333,36.2548,61.4083861172,500.0,61.4083861172,0.00333333,-61.5042509311,-61.5042509311,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-61.5042509311,299.999969474,,91.0,1.0,100,1.0,-64.8338,-64.8338
0.0025,36.2784,1334.57834937,500.0,1334.57834937,0.0025,-64.9913153335,-64.9913153335,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-64.9913153335,400.0,,94.93,1.0,100,1.0,-64.8732,-64.8732
1.20958e-16,30.5308,3800.01461336,,3800.01461336,0.002,-71.6759014879,-71.6759014879,1,42.7479,0.0833923,1.02522,500,6.20046e-14,3.65484e-05,-71.6759014879,49.4128357213,9.60384,102.08,inf,100,1.0,-61.4433,-61.4433
0.01,61.3377,3800.31977229,500.0,3800.31977229,0.01,-71.2885998863,-71.2885998863,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-71.2885998863,100.0,,101.27,1.0,100,1.0,-71.2886,-71.2886
0.005,44.0556,71.3804943548,500.0,71.3804943548,0.005,-61.4081092918,-61.4081092918,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-61.4081092918,200.000000102,,90.55,1.0,100,1.0,-66.3484,-66.3484
0.00333333,36.2873,47.2575307639,500.0,47.2575307639,0.00333333,-60.6389541104,-60.6389541104,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-60.6389541104,299.999969474,,89.33,1.0,100,1.0,-64.4452,-64.4452
0.0025,31.7416,69.7785387141,500.0,69.7785387141,0.0025,-60.6631105268,-60.6631105268,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-60.6631105268,400.0,,88.88,1.0,100,1.0,-63.4997,-63.4997
0.000811556,32.3893,5006.43707403,,5006.43707403,0.002,-74.2262418796,-74.2262418796,1,24.661,0.0516028,0.955802,500,0.387844,7.73194e-06,-74.2262418796,170.699805719,1.76589,104.82,inf,100,1.0,-63.2367,-63.2367
0.01,77.9893,6143.77643105,500.0,6143.77643105,0.01,-78.5220397495,-78.5220397495,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-78.5220397495,100.0,,109.55,1.0,100,1.0,-78.522,-78.522
0.005,61.2546,1327.79906803,500.0,1327.79906803,0.005,-63.8663268434,-63.8663268434,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-63.8663268434,200.000000102,,92.82,1.0,100,1.0,-71.1942,-71.1942
0.00333333,57.8193,2547.04309649,500.0,2547.04309649,0.00333333,-68.94372263,-68.94372263,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-68.94372263,299.999969474,,99.48,1.0,100,1.0,-70.444,-70.444
0.0025,55.9769,2529.51055607,500.0,2529.51055607,0.0025,-69.8767772366,-69.8767772366,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-69.8767772366,400.0,,101.49,1.0,100,1.0,-70.3022,-70.3022
0.00110106,44.2914,1319.33840429,,1319.33840429,0.002,-65.6703354432,-65.6703354432,1,10.0922,0.022688,0.889654,500,0.489782,2.4044e-06,-65.6703354432,312.520101252,0.475761,95.88,inf,100,1.0,-68.2233,-68.2233
0.01,7.33273,54.3120919013,500.0,54.3120919013,0.01,-61.1465979834,-61.1465979834,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-61.1465979834,100.0,,90.15,1.0,100,1.0,-61.1466,-61.1466
0.005,26.2916,1338.47360149,500.0,1338.47360149,0.005,-63.8437881032,-63.8437881032,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-63.8437881032,200.000000102,,92.49,1.0,100,1.0,-62.4952,-62.4952
0.00333333,36.2086,2552.56871888,500.0,2552.56871888,0.00333333,-68.4508409144,-68.4508409144,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-68.4508409144,299.999969474,,98.71,1.0,100,1.0,-64.4804,-64.4804
0.0025,31.5859,51.9966862463,500.0,51.9966862463,0.0025,-61.6497372748,-61.6497372748,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-61.6497372748,400.0,,90.8,1.0,100,1.0,-63.7727,-63.7727
2.40555e-08,24.2444,2563.83596046,,2563.83596046,0.002,-67.8176494832,-67.8176494832,1,10.5775,0.0213997,0.988567,500,1.18902e-05,5.71044e-06,-67.8176494832,206.206433178,1.39515,97.85,inf,100,1.0,-62.569,-62.569
0.01,36.3558,1335.09719257,500.0,1335.09719257,0.01,-63.2862447123,-63.2862447123,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-63.2862447123,100.0,,92.51,1.0,100,1.0,-63.2862,-63.2862
0.005,44.0653,2577.92860931,500.0,2577.92860931,0.005,-67.6690459284,-67.6690459284,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-67.6690459284,200.000000102,,97.62,1.0,100,1.0,-65.4776,-65.4776
0.00333333,36.3379,61.137891502,500.0,61.137891502,0.00333333,-60.3839157113,-60.3839157113,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-60.3839157113,299.999969474,,88.81,1.0,100,1.0,-63.7797,-63.7797
0.0025,44.0128,3782.59091352,500.0,3782.59091352,0.0025,-71.299447654,-71.299447654,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-71.299447654,400.0,,101.66,1.0,100,1.0,-65.6597,-65.6597
,,2565.27921124,0.126398749047,2565.27921124,0.002,-67.5853879465,-67.5853879465,1,8.79577e-30,1.0,1.75915e-32,500,,0.002,-67.5853879465,inf,,97.33,3955.74,100,1.0,-51.6427,-51.6427
0.01,61.378,3805.30925605,500.0,3805.30925605,0.01,-71.2683943996,-71.2683943996,2,1.0,0.01,1.0,500,1.0,3.50449e-18,-71.2683943996,100.0,,101.6,1.0,100,1.0,-71.2684,-71.2684
0.005,43.9563,53.7842288451,500.0,53.7842288451,0.005,-61.9082049063,-61.9082049063,2,1.0,0.005,1.0,500,1.0,2.1793e-19,-61.9082049063,200.000000102,,91.42,1.0,100,1.0,-66.5883,-66.5883
0.00333333,50.4653,3796.12065892,500.0,3796.12065892,0.00333333,-71.7507814638,-71.7507814638,2,1.0,0.00333333,1.0,500,1.0,5.43914e-20,-71.7507814638,299.999969474,,102.23,1.0,100,1.0,-68.3091,-68.3091
0.0025,56.0974,4963.30126607,500.0,4963.30126607,0.0025,-75.0203861386,-75.0203861386,2,1.0,0.0025,1.0,500,1.0,5.4346e-20,-75.0203861386,400.0,,106.37,1.0,100,1.0,-69.9869,-69.9869
