Bound,SamplesThisIter,AvgDiscRet,VarJ,VarNormIw,VanillaAvgRet,AvgRet,AvgEpLen,VarVanillaIw,VarRet,BatchSize,AvgVanillaIw,delta,MaxVanillaIw,MinNormIw,J,IterType,AvgNormIw,VarDiscRet,renyi2,MaxNormIw,EpsThisIter,ESSClassic,ESSRenyi,MinVanillaIw
-163.144,50000,-331.61769626,1666.49,2.63018e-07,-331.61769626,-331.61769626,409.836065574,622733.0,17802.9560624,100,70.069,0.6,28860.4,,-26288.7,1,4.55373e-05,17802.9560624,nan,0.0187562,122,16.7528720306,nan,
-171.925,50000,-361.448563081,1925.04,4.85818e-06,-361.448563081,-361.448563081,446.428571429,inf,11191.4802818,100,4.08952e+19,0.6,8.16064e+22,,-30408.9,1,4.96032e-05,11191.4802818,nan,0.0989831,112,9.99907801953,nan,
nan,50000,-267.762639352,nan,1.9119e-06,-267.762639352,-267.762639352,342.465753425,271282.0,26050.5345163,100,14.3335,0.6,25462.2,,nan,1,3.80517e-05,26050.5345163,nan,0.0675956,146,11.0040340047,nan,
-115.239,50000,-277.528144325,1315.7,1.08959e-08,-277.528144325,-277.528144325,347.222222222,428.818,26839.4573548,100,7.65366,0.6,209.315,,-17194.5,1,3.85802e-05,26839.4573548,nan,0.00105511,144,3.95144076609,nan,
nan,50000,-240.008779322,nan,6.64704e-09,-240.008779322,-240.008779322,304.87804878,55.876,26210.847346,100,3.10586,0.6,70.406,,nan,1,3.38753e-05,26210.847346,nan,0.000767911,164,1.98351576621,nan,
-112.132,50000,-244.665966765,1232.53,8.0634e-09,-244.665966765,-244.665966765,320.512820513,220.553,23971.8557709,100,5.8898,0.6,116.037,,-16436.5,1,3.56125e-05,23971.8557709,nan,0.000701613,156,2.75130194888,nan,
nan,50000,-252.500205835,nan,7.65019e-09,-252.500205835,-252.500205835,318.47133758,88.4898,26806.2598576,100,3.80573,0.6,98.1547,,nan,1,3.53857e-05,26806.2598576,nan,0.000912642,157,2.15967413948,nan,
-131.748,50000,-265.815876339,1311.32,2.16038e-08,-265.815876339,-265.815876339,344.827586207,1196.31,20586.4091271,100,9.01606,0.6,410.357,,-18669.9,1,3.83142e-05,20586.4091271,nan,0.00174383,145,0.861580954501,nan,
-102.764,50000,-225.557241985,1463.55,7.72621e-09,-225.557241985,-225.557241985,297.619047619,153.593,24682.8560277,100,4.66252,0.6,107.479,,-14428.6,1,3.30688e-05,24682.8560277,nan,0.000762289,168,2.30896059788,nan,
nan,50000,-194.686489456,nan,3.41041e-09,-194.686489456,-194.686489456,255.102040816,20.4294,25388.6958677,100,2.1938,0.6,78.7923,,nan,1,2.83447e-05,25388.6958677,nan,0.00101803,196,3.52214389329,nan,
nan,50000,-262.416119734,nan,1.14309e-08,-262.416119734,-262.416119734,337.837837838,127.062,25728.6884389,100,3.95761,0.6,219.243,,nan,1,3.75375e-05,25728.6884389,nan,0.0020795,148,3.3317406353,nan,
-92.9926,50000,-155.785925116,928.005,2.25752e-09,-155.785925116,-155.785925116,208.333333333,15.7681,19304.1756572,100,1.9346,0.6,168.065,,-14054.5,1,2.31481e-05,19304.1756572,nan,0.00201096,240,5.9083827288,nan,
-84.2261,50000,-146.452178437,994.224,1.73314e-09,-146.452178437,-146.452178437,197.628458498,8.12274,19552.3834952,100,1.50329,0.6,63.6508,,-12033.3,1,2.19587e-05,19552.3834952,nan,0.000929756,253,3.33802425274,nan,
-87.9582,50000,-112.132387945,621.377,4.51265e-10,-112.132387945,-112.132387945,159.744408946,1.97731,9000.93435959,100,1.17491,0.6,22.1332,,-13380.9,1,1.77494e-05,9000.93435959,nan,0.000334367,313,4.11244473236,nan,
-89.7419,50000,-126.148957583,779.096,8.46229e-10,-126.148957583,-126.148957583,177.304964539,5.88702,11826.3396401,100,1.64317,0.6,15.3131,,-13753.1,1,1.97006e-05,11826.3396401,nan,0.000183594,282,4.83731611513,nan,
-81.2508,50000,-115.504670328,798.619,6.5901e-10,-115.504670328,-115.504670328,162.866449511,5.62202,11466.3619512,100,1.67143,0.6,25.3518,,-12473.4,1,1.80963e-05,11466.3619512,nan,0.000274479,307,4.84041792673,nan,
-88.3343,50000,-153.273508485,975.598,1.70196e-09,-153.273508485,-153.273508485,209.205020921,11.0629,18105.089606,100,1.87408,0.6,64.0394,,-13799.8,1,2.3245e-05,18105.089606,nan,0.000794307,239,3.73668310687,nan,
-85.0261,50000,-106.241088015,635.116,3.82828e-10,-106.241088015,-106.241088015,153.846153846,2.3757,7779.76575319,100,1.3466,0.6,10.0736,1.63952e-43,-13124.6,1,1.7094e-05,7779.76575319,nan,0.000127876,325,5.34734928392,nan,1.28933e-38
-81.7366,50000,-100.464856061,598.142,3.30523e-10,-100.464856061,-100.464856061,142.045454545,1.71549,7874.59891295,100,1.13704,0.6,13.8821,5.12814e-28,-12483.1,1,1.57828e-05,7874.59891295,nan,0.000192691,352,5.09135809599,nan,3.69448e-23
-74.8574,50000,-98.09247113,597.803,2.81675e-10,-98.09247113,-98.09247113,136.98630137,1.60457,10704.7629084,100,1.14879,0.6,14.21,,-11204.4,1,1.52207e-05,10704.7629084,nan,0.000188273,365,5.6416336697,nan,
-74.7637,50000,-79.9061647039,433.09,1.17705e-10,-79.9061647039,-79.9061647039,114.416475973,0.941807,5159.64707267,100,1.13718,0.6,6.84628,1.40637e-23,-11203.8,1,1.27129e-05,5159.64707267,nan,7.6537e-05,437,5.06747313798,nan,1.25801e-18
-80.257,50000,-87.8036935025,479.778,1.4356e-10,-87.8036935025,-87.8036935025,126.903553299,0.845954,5646.89386391,100,1.0824,0.6,8.62365,4.38046e-42,-12150.6,1,1.41004e-05,5646.89386391,nan,0.00011234,394,4.66845219135,nan,3.36294e-37
-80.041,50000,-100.201041923,575.471,2.57081e-10,-100.201041923,-100.201041923,142.45014245,1.14155,8582.72169172,100,1.05471,0.6,11.7063,,-12263.5,1,1.58278e-05,8582.72169172,nan,0.000175674,351,4.91816960225,nan,
-76.8644,50000,-84.0645527136,434.648,1.17822e-10,-84.0645527136,-84.0645527136,120.192307692,0.662841,5170.0866123,100,1.00167,0.6,6.21325,2.27031e-22,-11714.8,1,1.33547e-05,5170.0866123,nan,8.28377e-05,416,4.72521062907,nan,1.70285e-17
-75.4049,50000,-81.8351516362,461.026,1.27057e-10,-81.8351516362,-81.8351516362,118.764845606,0.865748,5266.10840333,100,1.08929,0.6,6.81903,1.92624e-36,-11302.1,1,1.31961e-05,5266.10840333,nan,8.26087e-05,421,4.51617390575,nan,1.59004e-31
-73.9928,50000,-75.8417115069,404.357,7.82282e-11,-75.8417115069,-75.8417115069,108.459869848,0.586982,3823.21793482,100,1.0439,0.6,7.73959,5.47514e-20,-11158.9,1,1.20511e-05,3823.21793482,nan,8.93485e-05,461,4.71329975998,nan,4.7427e-15
-76.4118,50000,-90.4688956392,517.069,1.53906e-10,-90.4688956392,-90.4688956392,126.903553299,0.729923,8373.19596966,100,0.97105,0.6,14.2672,3.83671e-26,-11659.1,1,1.41004e-05,8373.19596966,nan,0.000207171,394,4.34459851897,nan,2.64222e-21
-71.6805,50000,-73.6904822568,409.164,7.94266e-11,-73.6904822568,-73.6904822568,105.042016807,0.652129,4768.85503392,100,1.05756,0.6,10.0668,5.48848e-25,-10594.1,1,1.16713e-05,4768.85503392,nan,0.000111099,476,4.36834786418,nan,4.97319e-20
-30.376,50000,-63.4658102391,521.744,1.0104e-06,-63.4658102391,-63.4658102391,93.808630394,2.04392e+26,193.215713703,100,1.48247e+11,0.6,1.40026e+15,,-5707.84,1,1.04232e-05,193.215713703,nan,0.098452,533,9.99796868287,nan,
-75.7658,50000,-76.1916801672,379.916,6.99112e-11,-76.1916801672,-76.1916801672,110.619469027,0.452334,3601.65107514,100,0.988656,0.6,5.76915,6.10564e-17,-11411.5,1,1.22911e-05,3601.65107514,nan,7.17226e-05,452,4.26242207895,nan,4.9112e-12
-73.9688,50000,-74.6131869841,388.915,5.88627e-11,-74.6131869841,-74.6131869841,106.609808102,0.413121,3200.19770528,100,0.992369,0.6,5.45401,1.21242e-17,-11255.6,1,1.18455e-05,3200.19770528,nan,6.51025e-05,469,4.89807296505,nan,1.01571e-12
-68.2586,50000,-70.9279883341,488.081,8.26089e-11,-70.9279883341,-70.9279883341,100.200400802,0.707411,4675.48458103,100,1.03027,0.6,9.55138,2.56445e-24,-10107.8,1,1.11334e-05,4675.48458103,nan,0.000103215,499,4.54436773384,nan,2.3731e-19
-69.4966,50000,-65.0432727552,241.429,3.97465e-11,-65.0432727552,-65.0432727552,94.3396226415,0.410075,2054.38807259,100,1.06472,0.6,6.42511,4.9079e-16,-10372.0,1,1.04822e-05,2054.38807259,nan,6.32555e-05,530,5.40797768877,nan,4.98515e-11
-39.9104,50000,-58.2023627517,305.431,3.57637e-07,-58.2023627517,-58.2023627517,85.0340136054,4.75201e+32,93.7107347525,100,3.44404e+14,0.6,1.96511e+18,,-6995.7,1,9.44822e-06,93.7107347525,nan,0.0539099,588,7.67609941962,nan,
-68.5325,50000,-66.1271595549,245.163,4.80116e-11,-66.1271595549,-66.1271595549,96.8992248062,0.441037,1690.6520744,100,1.03191,0.6,5.6328,3.0712e-12,-10491.4,1,1.07666e-05,1690.6520744,nan,5.87706e-05,516,5.12699723207,nan,2.94356e-07
-51.9928,50000,-59.2939154615,236.145,9.64114e-07,-59.2939154615,-59.2939154615,86.8055555556,inf,107.147693523,100,1.65551e+21,0.6,1.71615e+25,,-7026.47,1,9.64506e-06,107.147693523,nan,0.099984,576,10.0000008716,nan,
-73.6833,50000,-66.8871175619,279.552,3.09985e-11,-66.8871175619,-66.8871175619,98.6193293886,0.255895,935.978810014,100,0.995589,0.6,8.09377,1.06572e-10,-11091.3,1,1.09577e-05,935.978810014,43.3641,8.90821e-05,507,4.29691230301,1.46969292413e-17,9.6829e-06
-69.4863,50000,-67.7033521237,463.853,6.7133e-11,-67.7033521237,-67.7033521237,97.2762645914,0.683471,3059.20204184,100,1.09058,0.6,8.47353,5.41513e-16,-10312.1,1,1.08085e-05,3059.20204184,nan,8.39793e-05,514,4.13422238509,nan,5.46388e-11
-48.9325,50000,-59.1433548744,225.075,8.52699e-07,-59.1433548744,-59.1433548744,86.6551126516,inf,221.092775197,100,6.3367e+20,0.6,6.18725e+24,,-6570.12,1,9.62834e-06,221.092775197,nan,0.0940127,577,9.97897019732,nan,
-71.9555,50000,-75.1635095573,463.563,9.14969e-11,-75.1635095573,-75.1635095573,106.609808102,0.729501,4889.44887596,100,1.0577,0.6,7.99328,5.20326e-33,-10796.6,1,1.18455e-05,4889.44887596,nan,8.9519e-05,469,3.99117411583,nan,4.64606e-28
-70.1538,50000,-66.0119860314,277.083,4.19923e-11,-66.0119860314,-66.0119860314,95.4198473282,0.413738,2041.01477877,100,1.05238,0.6,7.48152,1.12401e-12,-10519.1,1,1.06022e-05,2041.01477877,nan,7.53723e-05,524,4.36665170893,nan,1.1157e-07
-72.9504,50000,-65.8912915044,286.821,3.16193e-11,-65.8912915044,-65.8912915044,97.65625,0.298181,1118.99136136,100,1.05371,0.6,3.8367,2.32043e-10,-10866.6,1,1.08507e-05,1118.99136136,nan,3.95088e-05,512,4.61060341442,nan,2.25337e-05
-69.105,50000,-58.4766609591,163.297,1.52329e-11,-58.4766609591,-58.4766609591,85.910652921,0.181185,275.200186081,100,1.04106,0.6,3.4559,1.14654e-07,-10119.3,1,9.54563e-06,275.200186081,inf,3.16877e-05,582,5.40309807385,,0.0125043
-69.2647,50000,-59.0429980862,204.823,1.48066e-11,-59.0429980862,-59.0429980862,86.3557858377,0.170604,391.512751035,100,1.02995,0.6,4.30165,1.28269e-07,-10227.7,1,9.59509e-06,391.512751035,inf,4.00746e-05,579,4.41128515491,,0.0137685
-70.1971,50000,-65.1347265289,257.625,3.07471e-11,-65.1347265289,-65.1347265289,95.9692898273,0.277718,1474.92200172,100,1.01342,0.6,4.01175,5.80817e-12,-10706.4,1,1.06633e-05,1474.92200172,nan,4.22118e-05,521,4.51178281799,nan,5.52e-07
-71.2078,50000,-63.0814272932,238.006,2.54303e-11,-63.0814272932,-63.0814272932,92.7643784787,0.252464,617.049546702,100,1.02698,0.6,4.99976,3.01229e-09,-10617.5,1,1.03072e-05,617.049546702,nan,5.01794e-05,539,4.84115185578,nan,0.000300138
-69.8527,50000,-63.75897617,342.255,3.91745e-11,-63.75897617,-63.75897617,93.808630394,0.389904,1122.48756315,100,1.03987,0.6,10.0614,1.15368e-09,-10369.4,1,1.04232e-05,1122.48756315,nan,0.000100851,533,3.96647419311,nan,0.000115097
-55.2349,50000,-58.7840891804,417.73,2.39039e-10,-58.7840891804,-58.7840891804,86.3557858377,4.63369,100.782698512,100,1.33591,0.6,94.6183,1.31474e-20,-9682.02,1,9.59509e-06,100.782698512,nan,0.000679588,579,5.40396102898,nan,1.8305e-15
-70.5744,50000,-71.0113574047,365.675,6.22331e-11,-71.0113574047,-71.0113574047,102.459016393,0.500374,3662.37438497,100,1.02081,0.6,7.03696,1.34387e-17,-10644.7,1,1.13843e-05,3662.37438497,nan,7.84781e-05,488,7.25593901133,nan,1.20502e-12
-58.4391,50000,-59.9379800651,90.9057,2.20631e-10,-59.9379800651,-59.9379800651,88.3392226148,5.12047,52.9444618252,100,1.49531,0.6,61.8404,8.10387e-23,-10117.7,1,9.81547e-06,52.9444618252,nan,0.00040593,566,8.34602370048,nan,1.23457e-17
nan,50000,-59.4220710231,nan,2.27709e-08,-59.4220710231,-59.4220710231,86.8055555556,11052.3,107.593928709,100,6.71957,0.6,6466.51,,nan,1,9.64506e-06,107.593928709,nan,0.00928182,576,4.16622582416,nan,
-72.2735,50000,-67.0130520771,284.964,3.40689e-11,-67.0130520771,-67.0130520771,96.7117988395,0.297301,2398.9186891,100,1.00382,0.6,4.83145,9.50017e-16,-10738.8,1,1.07458e-05,2398.9186891,nan,5.17201e-05,517,4.29985438873,nan,8.87463e-11
-43.8127,50000,-57.9187089616,307.558,9.46301e-07,-57.9187089616,-57.9187089616,85.1788756388,4.07723e+32,92.1712370669,100,1.96452e+14,0.6,2.07566e+18,,-6374.53,1,9.46432e-06,92.1712370669,nan,0.0999974,587,9.99999739982,nan,
-68.4382,50000,-61.7152314821,279.497,2.95625e-11,-61.7152314821,-61.7152314821,90.4159132007,0.319936,593.579892575,100,1.04511,0.6,6.22848,1.82745e-09,-10338.4,1,1.00462e-05,593.579892575,nan,5.98716e-05,553,4.50495126633,nan,0.000190111
-60.9121,50000,-61.1566103773,122.066,8.92605e-11,-61.1566103773,-61.1566103773,89.605734767,1.17122,163.595922096,100,1.14047,0.6,10.7812,1.38831e-12,-10248.1,1,9.95619e-06,163.595922096,nan,9.41196e-05,558,5.85440929969,nan,1.59029e-07
-64.8568,50000,-62.3451097158,342.084,5.5757e-11,-62.3451097158,-62.3451097158,91.2408759124,0.610072,1433.0405108,100,1.06044,0.6,9.27071,2.41765e-16,-9925.14,1,1.01379e-05,1433.0405108,nan,8.86282e-05,548,4.6688627255,nan,2.52892e-11
-55.7373,50000,-61.8900237282,304.548,7.51635e-10,-61.8900237282,-61.8900237282,91.2408759124,23.43,132.965196547,100,1.7899,0.6,230.476,,-9777.4,1,1.01379e-05,132.965196547,nan,0.0013054,548,6.56829025789,nan,
-66.6539,50000,-63.5455673457,275.658,5.15259e-11,-63.5455673457,-63.5455673457,92.936802974,0.549797,1661.09735828,100,1.06668,0.6,7.53433,2.47792e-11,-10086.2,1,1.03263e-05,1661.09735828,nan,7.29384e-05,538,4.40197237689,nan,2.55962e-06
-62.4561,50000,-58.6330369718,134.218,4.82165e-11,-58.6330369718,-58.6330369718,85.4700854701,0.670922,101.808198673,100,1.12024,0.6,9.81576,2.01024e-08,-10030.0,1,9.49668e-06,101.808198673,inf,8.32119e-05,585,5.43070929075,,0.00237129
-43.5981,50000,-59.0868495341,226.762,4.34615e-07,-59.0868495341,-59.0868495341,86.3557858377,inf,102.524244407,100,1.48276e+18,0.6,9.17536e+21,,-7375.3,1,9.59509e-06,102.524244407,nan,0.0593747,579,7.78143702304,nan,
-70.924,50000,-65.77540173,348.671,3.87057e-11,-65.77540173,-65.77540173,94.8766603416,0.377212,2390.73108124,100,1.04069,0.6,5.69194,1.32663e-12,-10477.4,1,1.05419e-05,2390.73108124,nan,5.76575e-05,527,5.55305733819,nan,1.30965e-07
-68.509,50000,-60.7285021398,161.231,1.90838e-11,-60.7285021398,-60.7285021398,88.809946714,0.197557,209.241653462,100,1.004,0.6,7.21371,4.28674e-08,-10491.3,1,9.86777e-06,209.241653462,inf,7.08998e-05,563,5.2339453836,,0.00436155
-74.856,50000,-73.0295708062,362.525,5.31735e-11,-73.0295708062,-73.0295708062,105.93220339,0.387976,2576.76055358,100,1.0054,0.6,5.49716,2.26401e-11,-11352.6,1,1.17702e-05,2576.76055358,nan,6.43551e-05,472,5.07750904496,nan,1.9339e-06
-71.5155,50000,-65.4407652193,322.574,2.57239e-11,-65.4407652193,-65.4407652193,93.808630394,0.243025,2442.80100325,100,1.01311,0.6,5.78306,1.27795e-12,-10636.0,1,1.04232e-05,2442.80100325,inf,5.94977e-05,533,4.71471756292,,1.24214e-07
-56.7735,50000,-59.8956044978,175.004,2.776e-10,-59.8956044978,-59.8956044978,88.0281690141,6.08213,77.4286372028,100,1.44776,0.6,59.9186,,-9881.56,1,9.78091e-06,77.4286372028,nan,0.000404803,568,5.72897342389,nan,
-70.8476,50000,-61.5717830299,209.936,2.19045e-11,-61.5717830299,-61.5717830299,90.5797101449,0.226569,271.399737455,100,1.02358,0.6,7.72172,1.01412e-07,-10571.2,1,1.00644e-05,271.399737455,inf,7.59243e-05,552,3.99991097266,,0.0103139
-59.3956,50000,-61.8861462693,155.014,2.52939e-10,-61.8861462693,-61.8861462693,91.407678245,5.50874,167.525927124,100,1.49885,0.6,27.9209,3.3931e-41,-10128.2,1,1.01564e-05,167.525927124,nan,0.000189196,547,6.27131887549,nan,5.00738e-36
-50.5063,50000,-57.6953051921,413.095,1.00678e-07,-57.6953051921,-57.6953051921,85.0340136054,113427.0,93.6827805764,100,10.0286,0.6,32283.4,,-7983.78,1,9.44822e-06,93.6827805764,nan,0.030415,588,8.72431879222,nan,
-70.5752,50000,-64.3741860947,314.769,2.67105e-11,-64.3741860947,-64.3741860947,92.7643784787,0.259123,2312.50632988,100,1.0152,0.6,5.21522,5.82686e-14,-10437.2,1,1.03072e-05,2312.50632988,nan,5.29493e-05,539,6.36144344607,nan,5.73914e-09
-52.0451,50000,-58.7327688906,271.073,2.36392e-09,-58.7327688906,-58.7327688906,86.5051903114,181.132,72.0078338287,100,2.66061,0.6,1398.99,,-9193.44,1,9.61169e-06,72.0078338287,nan,0.00505398,578,11.2647236397,nan,
-69.9948,50000,-63.9774755383,256.41,2.53823e-11,-63.9774755383,-63.9774755383,92.936802974,0.238487,1958.21131229,100,1.00095,0.6,4.09125,4.0011e-12,-10457.6,1,1.03263e-05,1958.21131229,inf,4.22074e-05,538,5.47704321176,,3.87834e-07
-67.9147,50000,-64.7618341119,443.955,5.00722e-11,-64.7618341119,-64.7618341119,94.5179584121,0.49979,1895.73018439,100,1.04922,0.6,8.69044,2.96531e-16,-10416.2,1,1.0502e-05,1895.73018439,nan,8.69854e-05,529,7.57427141199,nan,2.96255e-11
-55.8269,50000,-58.192427045,229.718,2.28492e-10,-58.192427045,-58.192427045,85.0340136054,4.75866,92.0092433695,100,1.3635,0.6,54.684,6.56067e-20,-9579.43,1,9.44822e-06,92.0092433695,nan,0.000378926,588,4.19776523323,nan,9.46792e-15
-57.1411,50000,-59.8850612203,99.5523,1.62241e-10,-59.8850612203,-59.8850612203,87.8734622144,3.34718,85.2853849538,100,1.40241,0.6,32.2006,4.2901e-28,-10035.5,1,9.76372e-06,85.2853849538,nan,0.000224184,569,9.04041917769,nan,6.16207e-23
-43.2556,50000,-57.2086394699,211.713,5.73983e-07,-57.2086394699,-57.2086394699,83.4724540902,1.10475e+32,65.0435164536,100,1.28672e+14,0.6,1.06781e+18,,-7318.39,1,9.27472e-06,65.0435164536,nan,0.0769686,599,9.57121890475,nan,
-59.3728,50000,-60.9412503475,130.634,1.64528e-10,-60.9412503475,-60.9412503475,89.605734767,2.8659,136.169334029,100,1.31403,0.6,33.4889,2.68569e-17,-10176.9,1,9.95619e-06,136.169334029,nan,0.000253741,558,7.05167434007,nan,3.54459e-12
-65.7768,50000,-63.2722670917,398.697,4.70378e-11,-63.2722670917,-63.2722670917,92.7643784787,0.479288,1616.19121842,100,1.04043,0.6,10.6931,3.17101e-18,-10253.2,1,1.03072e-05,1616.19121842,nan,0.000105932,539,4.5954854884,nan,3.20091e-13
-40.388,50000,-58.5971502733,252.471,3.77756e-07,-58.5971502733,-58.5971502733,86.2068965517,inf,118.574196634,100,2.65557e+20,0.6,1.43508e+24,,-6861.86,1,9.57854e-06,118.574196634,nan,0.051763,580,6.79243035325,nan,
-69.9221,50000,-64.3386747284,297.968,2.24694e-11,-64.3386747284,-64.3386747284,93.2835820896,0.210447,1972.46855906,100,1.00309,0.6,4.66592,4.33973e-15,-10568.6,1,1.03648e-05,1972.46855906,nan,4.82128e-05,536,6.03581406693,nan,4.19989e-10
-52.66,50000,-59.8463833921,187.437,8.80672e-07,-59.8463833921,-59.8463833921,87.8734622144,inf,147.174851944,100,7.37937e+20,0.6,7.16798e+24,,-7489.12,1,9.76372e-06,147.174851944,nan,0.0948403,569,9.97111037382,nan,
-68.6153,50000,-59.1662213505,196.982,1.76902e-11,-59.1662213505,-59.1662213505,86.8055555556,0.212563,365.774718529,100,1.05726,0.6,3.9281,1.03317e-07,-10209.1,1,9.64506e-06,365.774718529,inf,3.58349e-05,576,4.68554302251,,0.0113253
-55.2045,50000,-60.0742657485,289.352,4.56235e-10,-60.0742657485,-60.0742657485,88.0281690141,12.2269,120.299608545,100,1.60119,0.6,101.6,,-9689.21,1,9.78091e-06,120.299608545,nan,0.00062063,568,6.1419731461,nan,
-66.239,50000,-59.3729177955,233.684,3.41705e-11,-59.3729177955,-59.3729177955,87.260034904,0.412097,222.997571125,100,1.06475,0.6,7.62134,6.13499e-08,-10141.4,1,9.69556e-06,222.997571125,inf,6.93997e-05,573,5.09547075365,,0.00673733
-42.0684,50000,-57.2197260525,212.729,7.15285e-07,-57.2197260525,-57.2197260525,83.7520938023,4.43333e+32,113.203185664,100,2.31675e+14,0.6,2.1604e+18,,-6540.93,1,9.30579e-06,113.203185664,nan,0.0867777,597,9.79583666606,nan,
-70.5803,50000,-72.5713289756,447.551,6.06863e-11,-72.5713289756,-72.5713289756,105.708245243,0.464868,3800.9828148,100,1.02798,0.6,7.61052,9.63673e-23,-11030.4,1,1.17454e-05,3800.9828148,nan,8.6955e-05,473,5.50272953547,nan,8.43431e-18
-67.1306,50000,-63.2706047233,280.815,3.95939e-11,-63.2706047233,-63.2706047233,92.5925925926,0.397038,1639.99837882,100,1.03023,0.6,6.36636,1.79127e-11,-10215.7,1,1.02881e-05,1639.99837882,nan,6.35755e-05,540,5.50739468187,nan,1.79376e-06
-68.3032,50000,-60.0781663184,153.074,1.87187e-11,-60.0781663184,-60.0781663184,88.4955752212,0.193797,202.149538858,100,1.00049,0.6,3.80188,1.10696e-07,-10379.3,1,9.83284e-06,202.149538858,inf,3.73648e-05,565,3.78889495668,,0.0112634
-54.7375,50000,-60.8137835422,355.933,4.43954e-08,-60.8137835422,-60.8137835422,89.7666068223,6738.37,92.4246513383,100,3.8858,0.6,7965.29,,-9184.11,1,9.97407e-06,92.4246513383,nan,0.0204453,557,9.55718179216,nan,
-59.3573,50000,-59.4231558166,197.674,1.2613e-10,-59.4231558166,-59.4231558166,87.4125874126,2.18056,121.972113674,100,1.27705,0.6,30.7753,1.45539e-20,-9899.88,1,9.71251e-06,121.972113674,nan,0.00023406,572,5.85076347583,nan,1.91361e-15
