Delta,AvgNormIw,AvgRet,BatchSize,VarJ,AvgEpLen,VarVanillaIw,VarRet,IterType,AvgVanillaIw,eRenyi2,AvgDiscRet,MinNormIw,VarNormIw,MaxNormIw,VanillaAvgRet,ESSRenyi,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,J,ESSClassic,Bound
1.0,0.00333333,-790.714878041,500,228.606,500.0,,48290.1674542,2,1.0,1.0,-790.714878041,0.00333333,5.43914e-20,0.00333333,-790.714878041,500.0,48290.1674542,1.0,100,1.0,-818.273,299.999969474,-818.273
1.0,0.0025,-809.674526977,500,226.288,500.0,,48472.1197905,2,1.0,1.0,-809.674526977,0.0025,5.4346e-20,0.0025,-809.674526977,500.0,48472.1197905,1.0,100,1.0,-816.124,400.0,-816.124
1.0,0.002,-842.76061144,500,0.0254242,500.0,3.31278e-25,47068.4659524,1,2.57538e-14,2.88329e+06,-842.76061144,,0.00199788,0.99947,-842.76061144,0.000173412755219,47068.4659524,,100,1.28701e-11,-562.441,1.00106078637,-562.441
1.0,0.01,-553.762027851,500,42.418,500.0,,1817.46262698,2,1.0,1.0,-553.762027851,0.01,3.50449e-18,0.01,-553.762027851,500.0,1817.46262698,1.0,100,1.0,-553.762,100.0,-553.762
1.0,0.005,-564.646505197,500,108.34,500.0,,21834.9386101,2,1.0,1.0,-564.646505197,0.005,2.1793e-19,0.005,-564.646505197,500.0,21834.9386101,1.0,100,1.0,-559.204,200.000000102,-559.204
1.0,0.00333333,-570.323935094,500,121.861,500.0,,21204.7431395,2,1.0,1.0,-570.323935094,0.00333333,5.43914e-20,0.00333333,-570.323935094,500.0,21204.7431395,1.0,100,1.0,-562.911,299.999969474,-562.911
1.0,0.0025,-556.910344759,500,107.605,500.0,,1755.7619485,2,1.0,1.0,-556.910344759,0.0025,5.4346e-20,0.0025,-556.910344759,500.0,1755.7619485,1.0,100,1.0,-561.411,400.0,-561.411
1.0,0.002,-556.371551097,500,213.467,500.0,29.7292,1405.40991535,1,0.751686,inf,-556.371551097,5.9652e-11,0.00021046,0.239421,-556.371551097,,1405.40991535,2.24198e-08,100,89.9846,-501.596,9.34407165551,-501.596
1.0,0.01,-512.723209961,500,42.055,500.0,,1786.48706983,2,1.0,1.0,-512.723209961,0.01,3.50449e-18,0.01,-512.723209961,500.0,1786.48706983,1.0,100,1.0,-512.723,100.0,-512.723
1.0,0.005,-514.683970529,500,42.3601,500.0,,1836.58449923,2,1.0,1.0,-514.683970529,0.005,2.1793e-19,0.005,-514.683970529,500.0,1836.58449923,1.0,100,1.0,-513.704,200.000000102,-513.704
1.0,0.00333333,-525.665279204,500,41.6498,500.0,,1535.31125411,2,1.0,1.0,-525.665279204,0.00333333,5.43914e-20,0.00333333,-525.665279204,500.0,1535.31125411,1.0,100,1.0,-517.691,299.999969474,-517.691
1.0,0.0025,-510.12352631,500,41.3599,500.0,,1611.63736575,2,1.0,1.0,-510.12352631,0.0025,5.4346e-20,0.0025,-510.12352631,500.0,1611.63736575,1.0,100,1.0,-515.799,400.0,-515.799
1.0,0.002,-521.09275179,500,,500.0,,1797.43126656,1,2.86112e-40,4.85875e+07,-521.09275179,,0.002,1.0,-521.09275179,1.02907075487e-05,1797.43126656,,100,1.43056e-37,-434.033,inf,-434.033
1.0,0.01,-512.666913836,500,30.4193,500.0,,934.681154557,2,1.0,1.0,-512.666913836,0.01,3.50449e-18,0.01,-512.666913836,500.0,934.681154557,1.0,100,1.0,-512.667,100.0,-512.667
1.0,0.005,-514.737317095,500,33.1742,500.0,,1286.44482334,2,1.0,1.0,-514.737317095,0.005,2.1793e-19,0.005,-514.737317095,500.0,1286.44482334,1.0,100,1.0,-513.702,200.000000102,-513.702
1.0,0.00333333,-511.863320467,500,33.0512,500.0,,1084.6877653,2,1.0,1.0,-511.863320467,0.00333333,5.43914e-20,0.00333333,-511.863320467,500.0,1084.6877653,1.0,100,1.0,-513.089,299.999969474,-513.089
1.0,0.0025,-510.500353666,500,32.6028,500.0,,979.384409847,2,1.0,1.0,-510.500353666,0.0025,5.4346e-20,0.0025,-510.500353666,500.0,979.384409847,1.0,100,1.0,-512.442,400.0,-512.442
1.0,0.002,-513.837688393,500,89.5403,500.0,5.73755,841.329657397,1,0.660819,inf,-513.837688393,2.17609e-06,5.25559e-05,0.0848894,-513.837688393,,841.329657397,0.000719003,100,28.0483,-488.387,35.4291079944,-488.387
1.0,0.01,-487.334971263,500,34.522,500.0,,1203.80863125,2,1.0,1.0,-487.334971263,0.01,3.50449e-18,0.01,-487.334971263,500.0,1203.80863125,1.0,100,1.0,-487.335,100.0,-487.335
1.0,0.005,-490.941993192,500,36.8699,500.0,,1535.86506127,2,1.0,1.0,-490.941993192,0.005,2.1793e-19,0.005,-490.941993192,500.0,1535.86506127,1.0,100,1.0,-489.138,200.000000102,-489.138
1.0,0.00333333,-482.266768346,500,35.5092,500.0,,1042.87133453,2,1.0,1.0,-482.266768346,0.00333333,5.43914e-20,0.00333333,-482.266768346,500.0,1042.87133453,1.0,100,1.0,-486.848,299.999969474,-486.848
1.0,0.0025,-486.20981914,500,35.6571,500.0,,1315.87521261,2,1.0,1.0,-486.20981914,0.0025,5.4346e-20,0.0025,-486.20981914,500.0,1315.87521261,1.0,100,1.0,-486.688,400.0,-486.688
1.0,0.002,-482.463176108,500,78.747,500.0,8.2015,1540.10496482,1,1.1874,inf,-482.463176108,1.00167e-10,2.32679e-05,0.0648045,-482.463176108,,1540.10496482,5.94693e-08,100,38.4745,-471.826,73.4716375171,-471.826
1.0,0.01,-475.763592353,500,43.4768,500.0,,1909.3292969,2,1.0,1.0,-475.763592353,0.01,3.50449e-18,0.01,-475.763592353,500.0,1909.3292969,1.0,100,1.0,-475.764,100.0,-475.764
1.0,0.005,-485.496790343,500,40.9177,500.0,,1425.16297556,2,1.0,1.0,-485.496790343,0.005,2.1793e-19,0.005,-485.496790343,500.0,1425.16297556,1.0,100,1.0,-480.63,200.000000102,-480.63
1.0,0.00333333,-468.225742068,500,43.0775,500.0,,2137.29288322,2,1.0,1.0,-468.225742068,0.00333333,5.43914e-20,0.00333333,-468.225742068,500.0,2137.29288322,1.0,100,1.0,-476.495,299.999969474,-476.495
1.0,0.0025,-478.45703104,500,41.7073,500.0,,1402.12595144,2,1.0,1.0,-478.45703104,0.0025,5.4346e-20,0.0025,-478.45703104,500.0,1402.12595144,1.0,100,1.0,-476.986,400.0,-476.986
1.0,0.002,-469.189244172,500,2.38248e-05,500.0,0.000315766,1473.77873118,1,0.00079469,1.91365e+06,-469.189244172,,0.002,1.0,-469.189244172,0.000261280952076,1473.77873118,,100,0.397345,-400.536,1.0,-400.536
1.0,0.01,-468.350565119,500,40.4593,500.0,,1653.48776762,2,1.0,1.0,-468.350565119,0.01,3.50449e-18,0.01,-468.350565119,500.0,1653.48776762,1.0,100,1.0,-468.351,100.0,-468.351
