optimgain,Step_size,meankl,entloss,EpRewMean,DiscEpRewMean,EpLenMean,EpThisIter,surrgain,entropy,ev_tdlam_before,EpisodesSoFar,TimestepsSoFar,TimeElapsed
0.012013557,1.0,0.009409425,,554.7814587844074,101.96931344985961,56.5,50,0.012013557,0.4189424,,1300,30223,178.330463886261
0.021283695,1.0,0.009570937,,730.7308782821412,103.75829627990723,74.1,50,0.021283695,0.4189424,,1350,33928,193.38273096084595
0.020970715,1.0,0.00956418,,764.740557411514,101.56442434310912,77.5,50,0.020970715,0.4189424,,1400,37803,204.34130859375
0.025742212,1.0,0.009555697,,847.7126474770521,174.93703372955324,85.8,50,0.025742212,0.4189424,,1450,42093,217.69015431404114
0.019878276,1.0,0.009721442,,841.6916332025467,143.54240156173705,85.2,50,0.019878276,0.4189424,,1500,46353,232.1051058769226
0.025428584,1.0,0.0096369805,,855.723876360023,153.5484231185913,86.6,50,0.025428584,0.4189424,,1550,50683,248.17884588241577
0.02190103,1.0,0.008885653,,875.2940658349634,172.34169116973877,88.56,50,0.02190103,0.4189424,,1600,55111,260.1038820743561
0.018537521,1.0,0.009408814,,863.9253635836886,158.3504054450989,87.42,50,0.018537521,0.4189424,,1650,59482,275.55637669563293
0.007190818,1.0,0.009714373,,888.2889788593135,154.5425560951233,89.86,50,0.007190818,0.4189424,,1700,63975,287.84744477272034
0.01833951,1.0,0.008966331,,993.6936651948589,199.14425760269165,100.4,50,0.01833951,0.4189424,,1750,68995,302.6049563884735
0.012653657,1.0,0.009674449,,1081.8811226079536,231.53419256210327,109.22,50,0.012653657,0.4189424,,1800,74456,317.0782940387726
0.023007613,1.0,0.009460401,,1105.6851929710103,259.9267724227905,111.6,50,0.023007613,0.4189424,,1850,80036,334.42547726631165
0.013789792,1.0,0.009655615,,1051.8968543480978,275.12403142929077,106.22,50,0.013789792,0.4189424,,1900,85347,352.4634988307953
0.01887219,1.0,0.00915676,,1241.29200426098,329.92118240356444,125.16,50,0.01887219,0.4189424,,1950,91605,365.7784433364868
0.020856217,1.0,0.009388558,,1239.7081417424474,353.92047550201414,125.0,50,0.020856217,0.4189424,,2000,97855,386.2548141479492
0.030920142,1.0,0.008847084,,1250.528583366494,308.33195859909057,126.08,50,0.030920142,0.4189424,,2050,104159,408.6233456134796
