optimgain,entropy,entloss,TimeElapsed,meankl,Step_size,surrgain,DiscEpRewMean,EpLenMean,EpRewMean,ev_tdlam_before,EpThisIter,TimestepsSoFar,EpisodesSoFar
0.014969077,0.41894197,,94.94607162475586,0.008456646,1.0,0.014969077,91.7926351373846,60.36363636363637,593.4412273883992,,11,35887,968
0.035335656,0.41894197,,96.10267233848572,0.009992012,1.0,0.035335656,122.69029877402566,62.90909090909091,618.8846287736295,,11,36579,979
0.02194748,0.41894197,,97.14362120628357,0.009019629,1.0,0.02194748,47.251171285455875,48.45454545454545,474.3976273845148,,11,37112,990
0.027784735,0.41894197,,98.37758874893188,0.0097791655,1.0,0.027784735,125.40892765738748,55.18181818181818,541.6107931937581,,11,37719,1001
0.016479598,0.41894197,,100.59784626960754,0.009955305,1.0,0.016479598,46.35397399555553,33.18181818181818,321.69980580768487,,11,38084,1012
0.014598951,0.41894197,,102.07836818695068,0.008728833,1.0,0.014598951,44.52385980432684,48.09090909090909,470.74137738719725,,11,38613,1023
0.013305714,0.41894197,,103.20159387588501,0.008970024,1.0,0.013305714,49.98384588414972,29.454545454545453,284.4219697763493,,11,38937,1034
0.017925102,0.41894197,,104.52492809295654,0.009962342,1.0,0.017925102,31.80260320143266,38.45454545454545,374.40221095204356,,11,39360,1045
0.027527718,0.41894197,,105.6581289768219,0.009004799,1.0,0.027527718,82.69295198267156,65.9090909090909,648.8705099646221,,11,40085,1056
0.025266768,0.41894197,,106.82008147239685,0.009768239,1.0,0.025266768,69.97304586930709,50.81818181818182,497.98831873489473,,11,40644,1067
0.017819714,0.41894197,,108.52813124656677,0.008019374,1.0,0.017819714,10.901091315529563,29.727272727272727,287.13525155123875,,11,40971,1078
0.017048733,0.41894197,,110.05626440048218,0.007833045,1.0,0.017048733,88.15681786970659,52.45454545454545,514.3856971876531,,11,41548,1089
0.016419422,0.41894197,,111.459712266922,0.009384263,1.0,0.016419422,38.163521246476606,32.63636363636363,316.2107816256244,,11,41907,1100
0.017479818,0.41894197,,112.82222127914429,0.0097701065,1.0,0.017479818,109.96470962871204,48.09090909090909,470.75450002092833,,11,42436,1111
0.01283263,0.41894197,,114.03551530838013,0.009191897,1.0,0.01283263,118.12953238053755,68.72727272727273,677.0390200478279,,11,43192,1122
0.024376897,0.41894197,,115.90996670722961,0.009509393,1.0,0.024376897,191.762994332747,57.54545454545455,565.2292270571385,,11,43825,1133
