Delta,MaxNormIw,IterType,AvgRet,VarDiscRet,VarRet,Bound,AvgVanillaIw,EpsThisIter,MaxVanillaIw,ESSClassic,AvgDiscRet,eRenyi2,MinVanillaIw,J,ESSRenyi,BatchSize,VarJ,VarVanillaIw,AvgNormIw,MinNormIw,VanillaAvgRet,AvgEpLen,VarNormIw
0.8,0.005,2,-115.141008072,10571.7568011,10571.7568011,-132.081,1.0,100,1.0,200.000000102,-115.141008072,1.0,1.0,-117.333,500.0,500,104.121,,0.005,0.005,-115.141008072,155.23,2.1793e-19
0.8,0.00333333,2,-111.046461924,9573.21582053,9573.21582053,-127.279,1.0,100,1.0,299.999969474,-111.046461924,1.0,1.0,-115.238,500.0,500,101.958,,0.00333333,0.00333333,-111.046461924,149.9,5.43914e-20
0.8,0.0025,2,-101.254973632,6766.00270904,6766.00270904,-122.17,1.0,100,1.0,400.0,-101.254973632,1.0,1.0,-111.742,500.0,500,97.508,,0.0025,0.0025,-101.254973632,138.37,5.4346e-20
0.8,0.0120806,1,-124.004285189,13237.4610575,13237.4610575,-120.318,1.01802,100,6.14914,339.173572983,-124.004285189,1.57071,0.169927,-108.628,318.328140953,500,101.083,0.492399,0.002,0.000333838,-124.004285189,164.35,1.90048e-06
0.8,0.01,2,-137.982377654,16348.5879448,16348.5879448,-158.84,1.0,100,1.0,100.0,-137.982377654,1.0,1.0,-137.982,500.0,500,127.221,,0.01,0.01,-137.982377654,181.11,3.50449e-18
0.8,0.005,2,-114.00377048,9502.86189283,9502.86189283,-140.741,1.0,100,1.0,200.000000102,-114.00377048,1.0,1.0,-125.993,500.0,500,113.755,,0.005,0.005,-114.00377048,153.38,2.1793e-19
0.8,0.00333333,2,-132.365894767,14914.2816582,14914.2816582,-140.159,1.0,100,1.0,299.999969474,-132.365894767,1.0,1.0,-128.117,500.0,500,116.437,,0.00333333,0.00333333,-132.365894767,174.47,5.43914e-20
0.8,0.0025,2,-111.058391679,9702.86218572,9702.86218572,-134.281,1.0,100,1.0,400.0,-111.058391679,1.0,1.0,-123.853,500.0,500,112.357,,0.0025,0.0025,-111.058391679,150.18,5.4346e-20
0.8,0.0425968,1,-103.413372108,6611.11974353,6611.11974353,-111.535,0.805659,100,17.1592,40.6104054062,-103.413372108,9.68131,1.49199e-33,-82.5121,51.6459201547,500,67.6101,7.35726,0.002,3.70377e-36,-103.413372108,141.72,4.53391e-05
0.8,0.01,2,-119.076067415,11428.9683547,11428.9683547,-139.933,1.0,100,1.0,100.0,-119.076067415,1.0,1.0,-119.076,500.0,500,106.37,,0.01,0.01,-119.076067415,158.81,3.50449e-18
0.8,0.005,2,-107.476257824,8714.45585666,8714.45585666,-128.024,1.0,100,1.0,200.000000102,-107.476257824,1.0,1.0,-113.276,500.0,500,100.023,,0.005,0.005,-107.476257824,145.63,2.1793e-19
0.8,0.00333333,2,-115.482414699,11638.5613425,11638.5613425,-126.055,1.0,100,1.0,299.999969474,-115.482414699,1.0,1.0,-114.012,500.0,500,102.526,,0.00333333,0.00333333,-115.482414699,154.08,5.43914e-20
0.8,0.0025,2,-112.941343371,9671.30067191,9671.30067191,-124.174,1.0,100,1.0,400.0,-112.941343371,1.0,1.0,-113.744,500.0,500,101.378,,0.0025,0.0025,-112.941343371,152.31,5.4346e-20
0.8,0.0216243,1,-98.0575869748,5727.03268879,5727.03268879,-117.045,0.97274,100,10.5174,329.008422061,-98.0575869748,1.36944,0.143183,-106.128,365.111772339,500,95.5537,0.492755,0.002,0.000294392,-98.0575869748,135.0,2.08304e-06
0.8,0.01,2,-95.5585672031,5823.34424004,5823.34424004,-116.414,1.0,100,1.0,100.0,-95.5585672031,1.0,1.0,-95.5586,500.0,500,75.9283,,0.01,0.01,-95.5585672031,131.45,3.50449e-18
0.8,0.005,2,-126.325052644,13296.4332904,13296.4332904,-125.69,1.0,100,1.0,200.000000102,-126.325052644,1.0,1.0,-110.942,500.0,500,98.4933,,0.005,0.005,-126.325052644,167.01,2.1793e-19
0.8,0.00333333,2,-98.5847219509,6786.39657299,6786.39657299,-118.865,1.0,100,1.0,299.999969474,-98.5847219509,1.0,1.0,-106.823,500.0,500,93.4919,,0.00333333,0.00333333,-98.5847219509,134.53,5.43914e-20
0.8,0.0025,2,-118.707083941,11371.9868516,11371.9868516,-120.222,1.0,100,1.0,400.0,-118.707083941,1.0,1.0,-109.794,500.0,500,96.9361,,0.0025,0.0025,-118.707083941,159.1,5.4346e-20
0.8,0.0200474,1,-119.458780665,12447.7103317,12447.7103317,-117.18,1.05611,100,10.5861,319.127001066,-119.458780665,1.53491,0.00417781,-105.624,325.751702617,500,99.1915,0.633429,0.002,7.91169e-06,-119.458780665,158.58,2.27164e-06
0.8,0.01,2,-94.0428570099,4655.37399244,4655.37399244,-114.9,1.0,100,1.0,100.0,-94.0428570099,1.0,1.0,-94.0429,500.0,500,67.8883,,0.01,0.01,-94.0428570099,129.9,3.50449e-18
0.8,0.005,2,-106.61218683,8851.07475365,8851.07475365,-115.076,1.0,100,1.0,200.000000102,-106.61218683,1.0,1.0,-100.328,500.0,500,82.0073,,0.005,0.005,-106.61218683,144.25,2.1793e-19
0.8,0.00333333,2,-107.175125342,8827.45393507,8827.45393507,-114.652,1.0,100,1.0,299.999969474,-107.175125342,1.0,1.0,-102.61,500.0,500,86.0636,,0.00333333,0.00333333,-107.175125342,145.43,5.43914e-20
0.8,0.0025,2,-105.496689271,7692.41957544,7692.41957544,-113.76,1.0,100,1.0,400.0,-105.496689271,1.0,1.0,-103.332,500.0,500,86.375,,0.0025,0.0025,-105.496689271,143.31,5.4346e-20
0.8,0.09842,1,-112.783228565,10596.4657199,10596.4657199,-109.425,1.13324,100,55.7668,61.8996520712,-112.783228565,2.91186,3.79668e-05,-93.5085,171.711383992,500,120.522,9.10752,0.002,6.70056e-08,-112.783228565,151.24,2.83671e-05
0.8,0.01,2,-106.603516974,9172.84556205,9172.84556205,-127.461,1.0,100,1.0,100.0,-106.603516974,1.0,1.0,-106.604,500.0,500,95.2949,,0.01,0.01,-106.603516974,144.41,3.50449e-18
0.8,0.005,2,-108.38345965,8982.84673537,8982.84673537,-122.242,1.0,100,1.0,200.000000102,-108.38345965,1.0,1.0,-107.493,500.0,500,94.8043,,0.005,0.005,-108.38345965,146.21,2.1793e-19
0.8,0.00333333,2,-115.547101496,10494.0756042,10494.0756042,-122.22,1.0,100,1.0,299.999969474,-115.547101496,1.0,1.0,-110.178,500.0,500,97.3107,,0.00333333,0.00333333,-115.547101496,155.36,5.43914e-20
0.8,0.0025,2,-117.654044303,11440.5743635,11440.5743635,-122.476,1.0,100,1.0,400.0,-117.654044303,1.0,1.0,-112.047,500.0,500,99.7198,,0.0025,0.0025,-117.654044303,157.03,5.4346e-20
0.8,0.0267031,1,-116.118548639,11573.3508993,11573.3508993,-106.445,0.842687,100,11.2512,57.6383418983,-116.118548639,7.28973,,-81.2613,68.5896273574,500,58.7734,5.46095,0.002,,-116.118548639,155.11,3.07606e-05
0.8,0.01,2,-105.933515496,7816.86300391,7816.86300391,-126.791,1.0,100,1.0,100.0,-105.933515496,1.0,1.0,-105.934,500.0,500,87.9698,,0.01,0.01,-105.933515496,144.39,3.50449e-18
0.8,0.005,2,-101.06208284,7776.9433119,7776.9433119,-118.246,1.0,100,1.0,200.000000102,-101.06208284,1.0,1.0,-103.498,500.0,500,87.8912,,0.005,0.005,-101.06208284,138.06,2.1793e-19
0.8,0.00333333,2,-114.05624058,10718.4451049,10718.4451049,-119.059,1.0,100,1.0,299.999969474,-114.05624058,1.0,1.0,-107.017,500.0,500,93.3369,,0.00333333,0.00333333,-114.05624058,153.45,5.43914e-20
0.8,0.0025,2,-93.5436973272,4728.55226542,4728.55226542,-114.077,1.0,100,1.0,400.0,-93.5436973272,1.0,1.0,-103.649,500.0,500,87.9669,,0.0025,0.0025,-93.5436973272,129.7,5.4346e-20
0.8,0.0109775,1,-118.728101621,12469.0653765,12469.0653765,-113.318,0.980395,100,5.38115,321.159851518,-118.728101621,1.60778,0.0728576,-101.49,310.987687293,500,92.2127,0.53631,0.002,0.000148629,-118.728101621,158.23,2.23189e-06
0.8,0.01,2,-137.586341726,16418.728783,16418.728783,-158.445,1.0,100,1.0,100.0,-137.586341726,1.0,1.0,-137.586,500.0,500,127.493,,0.01,0.01,-137.586341726,180.22,3.50449e-18
0.8,0.005,2,-114.802074803,11683.6197423,11683.6197423,-140.944,1.0,100,1.0,200.000000102,-114.802074803,1.0,1.0,-126.194,500.0,500,118.492,,0.005,0.005,-114.802074803,153.49,2.1793e-19
0.8,0.00333333,2,-103.808978076,7718.59421471,7718.59421471,-130.775,1.0,100,1.0,299.999969474,-103.808978076,1.0,1.0,-118.732,500.0,500,109.63,,0.00333333,0.00333333,-103.808978076,141.58,5.43914e-20
0.8,0.0025,2,-111.760879546,9663.53362045,9663.53362045,-127.419,1.0,100,1.0,400.0,-111.760879546,1.0,1.0,-116.99,500.0,500,106.841,,0.0025,0.0025,-111.760879546,150.12,5.4346e-20
0.8,0.0158142,1,-88.1873022844,3757.61526937,3757.61526937,-114.321,1.10203,100,8.71389,127.705583695,-88.1873022844,4.14243,1.17108e-08,-95.3349,120.701993816,500,118.601,3.54761,0.002,2.12531e-11,-88.1873022844,123.23,1.16844e-05
0.8,0.01,2,-109.758019729,8761.86644159,8761.86644159,-130.615,1.0,100,1.0,100.0,-109.758019729,1.0,1.0,-109.758,500.0,500,93.1356,,0.01,0.01,-109.758019729,147.84,3.50449e-18
0.8,0.005,2,-110.163885961,9698.6564588,9698.6564588,-124.709,1.0,100,1.0,200.000000102,-110.163885961,1.0,1.0,-109.961,500.0,500,95.5929,,0.005,0.005,-110.163885961,148.11,2.1793e-19
0.8,0.00333333,2,-133.749534537,16816.4213265,16816.4213265,-129.932,1.0,100,1.0,299.999969474,-133.749534537,1.0,1.0,-117.89,500.0,500,108.477,,0.00333333,0.00333333,-133.749534537,175.03,5.43914e-20
0.8,0.0025,2,-106.735339808,8820.90571,8820.90571,-125.53,1.0,100,1.0,400.0,-106.735339808,1.0,1.0,-115.102,500.0,500,105.033,,0.0025,0.0025,-106.735339808,144.16,5.4346e-20
