AvgDiscRet,ESSClassic,BatchSize,Bound,VanillaAvgRet,MinNormIw,AvgEpLen,AvgRet,VarDiscRet,J,VarVanillaIw,VarNormIw,AvgVanillaIw,Delta,VarJ,AvgNormIw,eRenyi2,MaxVanillaIw,VarRet,MaxNormIw,ESSRenyi,EpsThisIter,IterType,MinVanillaIw
-103.297578984,200.000000102,400,-113.745,-103.297578984,0.005,69.8,-103.297578984,620.791724112,-104.094,,2.1793e-19,1.0,0.8,25.0505,0.005,1.0,1.0,620.791724112,0.005,400.0,100,2,1.0
-97.27759487,299.999969474,400,-109.702,-97.27759487,0.00333333,66.59,-97.27759487,620.450302353,-101.822,,5.43914e-20,1.0,0.8,25.1679,0.00333333,1.0,1.0,620.450302353,0.00333333,400.0,100,2,1.0
-108.581580075,11.7487196582,500,-inf,-104.039187501,9.97088e-08,33.71,-104.039187501,1992.51834419,-101.908,1.28328e+06,0.000207057,196.814,0.8,23.5842,0.0025,0.101816,16013.1,42.4184900686,0.203404,4910.82461832,100,,0.00784964
-103.47963021,5.22027342047,500,-63.1308,-103.47963021,4.05483e-13,35.74,-103.47963021,30.6790581182,-42.8069,413.696,0.000379882,2.08712,0.8,774.663,0.002,59.7125,435.532,30.6790581182,0.417353,8.37345593005,100,1,4.23145e-10
-104.253629996,100.0,500,-124.516,-104.253629996,0.01,68.6,-104.253629996,1109.69040912,-104.254,,3.50449e-18,1.0,0.8,33.145,0.01,1.0,1.0,1109.69040912,0.01,500.0,100,2,1.0
-104.948012004,200.000000102,500,-120.303,-104.948012004,0.005,88.57,-104.948012004,1990.05618824,-104.601,,2.1793e-19,1.0,0.8,39.1726,0.005,1.0,1.0,1990.05618824,0.005,500.0,100,2,1.0
-104.171997578,299.999969474,500,-117.279,-104.171997578,0.00333333,78.23,-104.171997578,461.24664717,-104.458,,5.43914e-20,1.0,0.8,34.2819,0.00333333,1.0,1.0,461.24664717,0.00333333,500.0,100,2,1.0
-111.76599875,400.0,500,-118.433,-111.76599875,0.0025,95.22,-111.76599875,2682.81468219,-106.285,,5.4346e-20,1.0,0.8,39.4392,0.0025,1.0,1.0,2682.81468219,0.0025,500.0,100,2,1.0
-107.378631061,432.998384901,500,-113.62,-107.378631061,3.30547e-05,83.89,-107.378631061,2410.7356045,-101.827,0.166559,6.20195e-07,1.03645,0.8,12.7925,0.002,1.17799,1.9882,2410.7356045,0.00383654,424.453467222,100,1,0.0171299
-99.7973280781,100.0,500,-111.931,-99.7973280781,0.01,68.73,-99.7973280781,654.614470931,-99.7973,,3.50449e-18,1.0,0.8,25.4572,0.01,1.0,1.0,654.614470931,0.01,500.0,100,2,1.0
-99.9807354866,200.000000102,500,-108.469,-99.9807354866,0.005,59.87,-99.9807354866,222.553996048,-99.889,,2.1793e-19,1.0,0.8,20.8376,0.005,1.0,1.0,222.553996048,0.005,500.0,100,2,1.0
-101.486760983,299.999969474,500,-107.792,-101.486760983,0.00333333,65.69,-101.486760983,484.171819333,-100.422,,5.43914e-20,1.0,0.8,21.2088,0.00333333,1.0,1.0,484.171819333,0.00333333,500.0,100,2,1.0
-101.469451366,400.0,500,-107.385,-101.469451366,0.0025,63.61,-101.469451366,418.088079228,-100.684,,5.4346e-20,1.0,0.8,21.001,0.0025,1.0,1.0,418.088079228,0.0025,500.0,100,2,1.0
