VarDiscRet,AvgRet,VanillaAvgRet,VarJ,ESSClassic,IterType,AvgNormIw,Bound,J,AvgDiscRet,Delta,VarVanillaIw,VarNormIw,AvgVanillaIw,VarRet,eRenyi2,MinNormIw,BatchSize,MaxVanillaIw,ESSRenyi,MinVanillaIw,MaxNormIw,EpsThisIter,AvgEpLen
45.5484432601,-99.8206213714,-99.8206213714,13.1996,139.330710803,1,0.00333333,-101.975,-98.6368,-99.8206213714,0.9,1.15156,1.28556e-05,0.997642,45.5484432601,2.07271,4.77705e-08,300,6.23264,144.73827874,1.42973e-05,0.0208246,100,40.18
75.8580188606,-99.1690115834,-99.1690115834,8.66599,100.0,2,0.01,-103.051,-99.169,-99.1690115834,0.9,,3.50449e-18,1.0,75.8580188606,1.0,0.01,300,1.0,300.0,1.0,0.01,100,45.28
61.7465496592,-99.3943209575,-99.3943209575,8.25391,200.000000102,2,0.005,-102.035,-99.2817,-99.3943209575,0.9,,2.1793e-19,1.0,61.7465496592,1.0,0.005,300,1.0,300.0,1.0,0.005,100,41.15
52.5474356922,-99.4582593716,-99.4582593716,55.6483,7.54245464334,1,0.00333333,-98.3755,-94.1786,-99.4582593716,0.9,94.5458,0.000432273,1.55891,52.5474356922,3.48437,5.49576e-05,300,166.63,86.0988432307,0.0257022,0.356296,100,42.54
71.9298486117,-98.4791130826,-98.4791130826,8.43863,100.0,2,0.01,-102.376,-98.4791,-98.4791130826,0.9,,3.50449e-18,1.0,71.9298486117,1.0,0.01,300,1.0,300.0,1.0,0.01,100,43.71
43.612866474,-99.1460317533,-99.1460317533,7.57,200.000000102,2,0.005,-101.568,-98.8126,-99.1460317533,0.9,,2.1793e-19,1.0,43.612866474,1.0,0.005,300,1.0,300.0,1.0,0.005,100,42.31
33.9736962332,-99.4582593716,-99.4582593716,17.562,99.9078339606,,0.00333333,-101.665,-98.5228,-100.744259509,0.9,12.4802,2.23274e-05,2.49213,52.5474356922,1.95118,8.02703e-06,400,38.9072,205.004604205,0.00600131,0.0520402,100,42.54
32.6538358068,-100.329678045,-100.329678045,67.3569,5.98174427722,1,0.0025,-97.9109,-93.5584,-100.329678045,0.9,193.484,0.00041272,1.71173,32.6538358068,4.9965,1.62033e-05,400,276.172,80.0560084226,0.0110943,0.403352,100,41.32
40.4736409175,-99.9877568238,-99.9877568238,6.33,100.0,2,0.01,-103.763,-99.9878,-99.9877568238,0.9,,3.50449e-18,1.0,40.4736409175,1.0,0.01,400,1.0,400.0,1.0,0.01,100,40.73
56.9732331491,-99.69063406,-99.69063406,6.94682,200.000000102,2,0.005,-102.551,-99.8392,-99.69063406,0.9,,2.1793e-19,1.0,56.9732331491,1.0,0.005,400,1.0,400.0,1.0,0.005,100,44.53
57.8203377429,-98.9271120541,-98.9271120541,7.17201,299.999969474,2,0.00333333,-101.918,-99.5352,-98.9271120541,0.9,,5.43914e-20,1.0,57.8203377429,1.0,0.00333333,400,1.0,400.0,1.0,0.00333333,100,43.38
44.6331846732,-100.329678045,-100.329678045,16.4073,89.1311536815,,0.0025,-102.349,-98.8341,-98.8967036112,0.9,44.1006,2.18532e-05,3.55144,32.6538358068,2.90059,2.54892e-06,500,90.1365,172.378542145,0.00362093,0.0634506,100,41.32
62.2059370754,-100.057716633,-100.057716633,13.6196,210.864168775,1,0.002,-100.78,-98.1404,-100.057716633,0.9,1.41711,5.49577e-06,1.01559,62.2059370754,2.29707,1.30851e-05,500,6.9642,217.668954187,0.00664453,0.0137146,100,42.56
45.2881965901,-99.5893930638,-99.5893930638,6.69592,100.0,2,0.01,-103.347,-99.5894,-99.5893930638,0.9,,3.50449e-18,1.0,45.2881965901,1.0,0.01,500,1.0,500.0,1.0,0.01,100,40.75
71.586888011,-98.8819913156,-98.8819913156,7.61435,200.000000102,2,0.005,-101.952,-99.2357,-98.8819913156,0.9,,2.1793e-19,1.0,71.586888011,1.0,0.005,500,1.0,500.0,1.0,0.005,100,44.02
58.514842969,-98.0139941243,-98.0139941243,7.63504,299.999969474,2,0.00333333,-101.046,-98.8285,-98.0139941243,0.9,,5.43914e-20,1.0,58.514842969,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,45.51
59.012133139,-98.9245944068,-98.9245944068,7.63725,400.0,2,0.0025,-100.786,-98.8525,-98.9245944068,0.9,,5.4346e-20,1.0,59.012133139,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,43.38
37.0881593645,-101.022780476,-101.022780476,11.6214,263.918148872,1,0.002,-100.707,-98.4697,-101.022780476,0.9,0.972287,3.58527e-06,1.04152,37.0881593645,1.67363,3.03811e-05,500,16.485,298.751623552,0.0158212,0.0316557,100,39.79
71.1809033868,-99.7546407826,-99.7546407826,8.39459,100.0,2,0.01,-103.619,-99.7546,-99.7546407826,0.9,,3.50449e-18,1.0,71.1809033868,1.0,0.01,500,1.0,500.0,1.0,0.01,100,39.13
59.6254927339,-98.2029902813,-98.2029902813,8.084,200.000000102,2,0.005,-101.737,-98.9788,-98.2029902813,0.9,,2.1793e-19,1.0,59.6254927339,1.0,0.005,500,1.0,500.0,1.0,0.005,100,45.14
46.1760480683,-99.3320492349,-99.3320492349,7.67028,299.999969474,2,0.00333333,-101.349,-99.0966,-99.3320492349,0.9,,5.43914e-20,1.0,46.1760480683,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,42.53
47.0346481026,-100.029572998,-100.029572998,7.47858,400.0,2,0.0025,-101.28,-99.3298,-100.029572998,0.9,,5.4346e-20,1.0,47.0346481026,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,42.08
57.3651458903,-99.3099688949,-99.3099688949,55.3102,33.4914965915,1,0.002,-99.4542,-95.2525,-99.3099688949,0.9,19.874,5.58284e-05,1.19329,57.3651458903,5.80178,2.19288e-06,500,90.0692,86.1804872424,0.00130837,0.15096,100,43.23
29.2573527695,-100.403462099,-100.403462099,5.38189,100.0,2,0.01,-104.319,-100.403,-100.403462099,0.9,,3.50449e-18,1.0,29.2573527695,1.0,0.01,500,1.0,500.0,1.0,0.01,100,43.62
44.5216976022,-99.2525413847,-99.2525413847,6.07057,200.000000102,2,0.005,-102.596,-99.828,-99.2525413847,0.9,,2.1793e-19,1.0,44.5216976022,1.0,0.005,500,1.0,500.0,1.0,0.005,100,42.77
71.4397864391,-98.1831306927,-98.1831306927,6.98171,299.999969474,2,0.00333333,-101.54,-99.2797,-98.1831306927,0.9,,5.43914e-20,1.0,71.4397864391,1.0,0.00333333,500,1.0,500.0,1.0,0.00333333,100,45.67
43.7385176951,-100.089193679,-100.089193679,6.89248,400.0,2,0.0025,-101.44,-99.4821,-100.089193679,0.9,,5.4346e-20,1.0,43.7385176951,1.0,0.0025,500,1.0,500.0,1.0,0.0025,100,43.75
52.1009462129,-99.00690882,-99.00690882,11.9502,285.662412041,1,0.002,-100.718,-98.4438,-99.00690882,0.9,0.673253,3.00728e-06,0.946307,52.1009462129,1.68721,7.72413e-06,500,8.02301,296.346497635,0.0036547,0.0169565,100,41.06
