Bound,AvgDiscRet,IterType,J,VarDiscRet,VarRet,MinVanillaIw,VarJ,MinNormIw,AvgNormIw,ESSClassic,ESSRenyi,EpsThisIter,eRenyi2,MaxVanillaIw,AvgRet,AvgEpLen,BatchSize,VarVanillaIw,SamplesThisIter,Delta,VarNormIw,MaxNormIw,VanillaAvgRet,AvgVanillaIw
40.8364,48.0475841429,1,48.0476,3243.29272479,3243.29272479,1.0,56.9466,0.000116158,0.000116157,8608.9997268,100.0,8609,1.0,1.0,48.0475841429,5.80787547915,100,,50000,0.6,4.76511e-22,0.000116158,48.0475841429,1.0
39.4582,49.4285509218,1,49.4286,3651.69750582,3651.69750582,1.0,60.4257,0.00011892,0.00011892,8409.00002009,100.0,8409,1.0,1.0,49.4285509218,5.94601022714,100,,50000,0.6,2.11783e-22,0.00011892,49.4285509218,1.0
35.5344,49.119225842,1,49.1192,3549.03036569,3549.03036569,1.0,59.5702,0.000118301,0.000118301,8452.99947581,100.0,8453,1.0,1.0,49.119225842,5.9150597421,100,,50000,0.6,8.47133e-22,0.000118301,49.119225842,1.0
41.7035,49.2591745431,1,49.2592,3454.52764917,3454.52764917,1.0,58.7718,0.000118582,0.000118582,8432.99994443,100.0,8433,1.0,1.0,49.2591745431,5.92908810625,100,,50000,0.6,2.11783e-22,0.000118582,49.2591745431,1.0
37.9037,50.2743032965,1,50.2743,4238.2194502,4238.2194502,1.0,65.0977,0.000120613,0.000120613,8290.99942392,100.0,8291,1.0,1.0,50.2743032965,6.030635629,100,,50000,0.6,2.11784e-22,0.000120613,50.2743032965,1.0
43.1506,50.1353954606,1,50.1354,3770.34193074,3770.34193074,1.0,61.3994,0.000120337,0.000120337,8309.99978577,100.0,8310,1.0,1.0,50.1353954606,6.01684717208,100,,50000,0.6,8.47135e-22,0.000120337,50.1353954606,1.0
43.7538,49.9200591656,1,49.9201,3589.90268848,3589.90268848,1.0,59.9122,0.000119904,0.000119904,8339.99994258,100.0,8340,1.0,1.0,49.9200591656,5.99520383693,100,,50000,0.6,2.11784e-22,0.000119904,49.9200591656,1.0
41.6132,49.733745888,1,49.7337,3638.37247731,3638.37247731,1.0,60.3153,0.000119531,0.000119531,8365.99952759,100.0,8366,1.0,1.0,49.733745888,5.97657183839,100,,50000,0.6,4.76513e-22,0.000119531,49.733745888,1.0
39.3316,48.8060680885,1,48.8061,3680.35568428,3680.35568428,1.0,60.6623,0.000117675,0.000117675,8497.9993698,100.0,8498,1.0,1.0,48.8060680885,5.88373734996,100,,50000,0.6,2.11783e-22,0.000117675,48.8060680885,1.0
42.7951,50.1365174416,1,50.1365,3564.69043573,3564.69043573,1.0,59.7014,0.000120337,0.000120337,8309.99978577,100.0,8310,1.0,1.0,50.1365174416,6.01684717208,100,,50000,0.6,8.47135e-22,0.000120337,50.1365174416,1.0
36.1991,49.1679219774,1,49.1679,3787.78950756,3787.78950756,1.0,61.5413,0.000118399,0.000118399,8445.99988044,100.0,8446,1.0,1.0,49.1679219774,5.91996211224,100,,50000,0.6,8.47133e-22,0.000118399,49.1679219774,1.0
42.6448,48.9375599696,1,48.9376,3215.13229942,3215.13229942,1.0,56.6988,0.000117938,0.000117938,8479.00068491,100.0,8479,1.0,1.0,48.9375599696,5.89692180682,100,,50000,0.6,4.76512e-22,0.000117938,48.9375599696,1.0
42.8771,49.9404582044,1,49.9405,3667.86473741,3667.86473741,1.0,60.5593,0.000119947,0.000119947,8336.99985148,100.0,8337,1.0,1.0,49.9404582044,5.99736116109,100,,50000,0.6,2.11784e-22,0.000119947,49.9404582044,1.0
31.202,48.9313220257,1,48.9313,3727.41135665,3727.41135665,1.0,61.0489,0.000117925,0.000117925,8480.00025845,100.0,8480,1.0,1.0,48.9313220257,5.89622641509,100,,50000,0.6,,0.000117925,48.9313220257,1.0
40.1842,49.9274131784,1,49.9274,3962.35505805,3962.35505805,1.0,62.9435,0.000119918,0.000119918,8339.00043664,100.0,8339,1.0,1.0,49.9274131784,5.99592277251,100,,50000,0.6,2.11784e-22,0.000119918,49.9274131784,1.0
39.9544,48.6187620598,1,48.6188,3463.46897272,3463.46897272,1.0,58.8478,0.000117302,0.000117302,8525.0002909,100.0,8525,1.0,1.0,48.6187620598,5.8651026393,100,,50000,0.6,,0.000117302,48.6187620598,1.0
39.2429,48.1360106466,1,48.136,3562.56900617,3562.56900617,1.0,59.6838,0.000116333,0.000116333,8596.00018985,100.0,8596,1.0,1.0,48.1360106466,5.81665891112,100,,50000,0.6,2.11783e-22,0.000116333,48.1360106466,1.0
42.0646,50.1220468676,1,50.1221,3796.43354626,3796.43354626,1.0,61.6115,0.000120308,0.000120308,8311.99943754,100.0,8312,1.0,1.0,50.1220468676,6.01539942252,100,,50000,0.6,8.47135e-22,0.000120308,50.1220468676,1.0
41.9848,49.4636549846,1,49.4637,3567.17998301,3567.17998301,1.0,59.7223,0.000118991,0.000118991,8404.00016072,100.0,8404,1.0,1.0,49.4636549846,5.94954783436,100,,50000,0.6,4.76513e-22,0.000118991,49.4636549846,1.0
36.595,48.8128605109,1,48.8128,3740.72010819,3740.72010819,1.0,61.1578,0.000117689,0.000117689,8496.99945102,100.0,8497,1.0,1.0,48.8128605109,5.88442979875,100,,50000,0.6,5.29458e-23,0.000117689,48.8128605109,1.0
40.533,50.4056238133,1,50.4056,3938.63792061,3938.63792061,1.0,62.7548,0.000120875,0.000120875,8273.00027932,100.0,8273,1.0,1.0,50.4056238133,6.04375679923,100,,50000,0.6,8.47135e-22,0.000120875,50.4056238133,1.0
37.8317,49.797145267,1,49.7971,3791.61590836,3791.61590836,1.0,61.5724,0.00011966,0.00011966,8357.00049506,100.0,8357,1.0,1.0,49.797145267,5.98300825655,100,,50000,0.6,,0.00011966,49.797145267,1.0
41.312,49.3155158569,1,49.3155,3718.64245921,3718.64245921,1.0,60.9771,0.000118694,0.000118694,8425.0005017,100.0,8425,1.0,1.0,49.3155158569,5.93471810089,100,,50000,0.6,2.11783e-22,0.000118694,49.3155158569,1.0
39.489,48.8811297179,1,48.8811,3709.55021482,3709.55021482,1.0,60.9025,0.000117827,0.000117827,8486.99983787,100.0,8487,1.0,1.0,48.8811297179,5.89136326146,100,,50000,0.6,8.47133e-22,0.000117827,48.8811297179,1.0
41.5141,49.0563293605,1,49.0563,3566.31592874,3566.31592874,1.0,59.7151,0.000118175,0.000118175,8462.00030905,100.0,8462,1.0,1.0,49.0563293605,5.90876861262,100,,50000,0.6,2.11783e-22,0.000118175,49.0563293605,1.0
40.4383,50.3979653399,1,50.398,3888.79183427,3888.79183427,1.0,62.3564,0.000120861,0.000120861,8273.99958837,100.0,8274,1.0,1.0,50.3979653399,6.04302634759,100,,50000,0.6,,0.000120861,50.3979653399,1.0
22.2569,50.3319016117,1,50.3319,5087.93806484,5087.93806484,1.0,71.3255,0.000120729,0.000120729,8283.00036758,100.0,8283,1.0,1.0,50.3319016117,6.03646021973,100,,50000,0.6,,0.000120729,50.3319016117,1.0
33.867,50.3763915733,1,50.3764,4440.36652231,4440.36652231,1.0,66.632,0.000120817,0.000120817,8276.99992885,100.0,8277,1.0,1.0,50.3763915733,6.04083605171,100,,50000,0.6,8.47135e-22,0.000120817,50.3763915733,1.0
38.8158,49.4072633809,1,49.4073,3749.54437893,3749.54437893,1.0,61.2299,0.000118878,0.000118878,8411.99978173,100.0,8412,1.0,1.0,49.4072633809,5.94388968141,100,,50000,0.6,8.47134e-22,0.000118878,49.4072633809,1.0
38.2951,48.9309085848,1,48.9309,3534.14386165,3534.14386165,1.0,59.4452,0.000117925,0.000117925,8480.00025845,100.0,8480,1.0,1.0,48.9309085848,5.89622641509,100,,50000,0.6,,0.000117925,48.9309085848,1.0
40.8546,49.0143390393,1,49.0143,3519.47304595,3519.47304595,1.0,59.3216,0.000118092,0.000118092,8468.00007686,100.0,8468,1.0,1.0,49.0143390393,5.9045819556,100,,50000,0.6,4.76512e-22,0.000118092,49.0143390393,1.0
40.7567,48.5303951072,1,48.5304,3582.84138854,3582.84138854,1.0,59.8533,0.000117123,0.000117123,8538.00003127,100.0,8538,1.0,1.0,48.5303951072,5.85617240572,100,,50000,0.6,2.11783e-22,0.000117123,48.5303951072,1.0
5.17376,49.8499765378,1,49.85,6666.76423499,6666.76423499,1.0,81.6454,0.00011976,0.00011976,8350.00006709,100.0,8350,1.0,1.0,49.8499765378,5.9880239521,100,,50000,0.6,2.11784e-22,0.00011976,49.8499765378,1.0
39.3356,49.6840697678,1,49.6841,4001.58419705,4001.58419705,1.0,63.2543,0.000119432,0.000119432,8373.00023498,100.0,8373,1.0,1.0,49.6840697678,5.97157530156,100,,50000,0.6,2.11784e-22,0.000119432,49.6840697678,1.0
38.6332,48.8185345992,1,48.8185,3410.39628932,3410.39628932,1.0,58.3952,0.000117702,0.000117702,8495.99947339,100.0,8496,1.0,1.0,48.8185345992,5.88512241055,100,,50000,0.6,2.11783e-22,0.000117702,48.8185345992,1.0
40.3834,49.2735600434,1,49.2736,3761.64781435,3761.64781435,1.0,61.3287,0.00011861,0.00011861,8430.99938891,100.0,8431,1.0,1.0,49.2735600434,5.93049460325,100,,50000,0.6,2.11783e-22,0.00011861,49.2735600434,1.0
42.1489,50.0211116801,1,50.0211,3870.94265689,3870.94265689,1.0,62.2132,0.000120106,0.000120106,8326.00000576,100.0,8326,1.0,1.0,50.0211116801,6.00528465049,100,,50000,0.6,,0.000120106,50.0211116801,1.0
38.2665,48.5098227637,1,48.5098,3391.97310721,3391.97310721,1.0,58.2372,0.000117082,0.000117082,8540.99943255,100.0,8541,1.0,1.0,48.5098227637,5.85411544316,100,,50000,0.6,2.11783e-22,0.000117082,48.5098227637,1.0
36.5985,49.2173420661,1,49.2173,3813.5005773,3813.5005773,1.0,61.7499,0.000118497,0.000118497,8439.00018863,100.0,8439,1.0,1.0,49.2173420661,5.92487261524,100,,50000,0.6,2.11783e-22,0.000118497,49.2173420661,1.0
32.6982,49.955000029,1,49.955,4110.03675623,4110.03675623,1.0,64.1057,0.000119976,0.000119976,8335.00041966,100.0,8335,1.0,1.0,49.955000029,5.99880023995,100,,50000,0.6,,0.000119976,49.955000029,1.0
36.5955,49.1124632894,1,49.1125,3773.43579649,3773.43579649,1.0,61.4247,0.000118287,0.000118287,8454.00058426,100.0,8454,1.0,1.0,49.1124632894,5.91436006624,100,,50000,0.6,2.11783e-22,0.000118287,49.1124632894,1.0
41.8689,49.055970218,1,49.056,3353.20510478,3353.20510478,1.0,57.9034,0.000118175,0.000118175,8462.00030905,100.0,8462,1.0,1.0,49.055970218,5.90876861262,100,,50000,0.6,2.11783e-22,0.000118175,49.055970218,1.0
