Bound,J,AvgRet,eRenyi2,MinVanillaIw,VarRet,AvgNormIw,VarNormIw,AvgDiscRet,AvgEpLen,MaxVanillaIw,ESSRenyi,VarJ,BatchSize,VarVanillaIw,MinNormIw,MaxNormIw,ESSClassic,AvgVanillaIw,VarDiscRet
-7.3796754,-5.115998,-8.138737079089454,5.331142,,51.201773814461156,0.01,0.00074186904,-8.138737079089454,200.0,7.463817,18.75770725339361,12.277421,100,2.2211814,,0.13640574,11.983935405055417,0.5471777,51.201773814461156
-7.1693654,-3.5034552,-7.094949064045774,6.081443,,45.84561550397017,0.009999998,0.0007927695,-7.094949064045774,200.0,8.52094,16.44346625413311,9.571915,100,3.2511573,,0.1330583,11.301455142280108,0.64039147,45.84561550397017
-10.83512,-8.12492,-8.936992245127549,2.340007,0.020802986,49.01916939975266,0.01,0.00010252262,-8.936992245127549,200.0,3.9803379,42.73491367694238,9.119788,100,0.93439245,0.00021790684,0.04169319,49.62843642940991,0.9546734,49.01916939975266
-8.629935,-7.081217,-7.1145491528296745,1.5428332,1.0631936e-06,52.604419332760415,0.01,8.859222e-05,-7.1145491528296745,200.0,2.0476816,64.81582028064267,10.546567,100,0.6753596,1.2177065e-08,0.02345269,53.274718914126076,0.87311155,52.604419332760415
-9.049926,-7.290666,-7.684447010957106,1.061923,0.016939035,45.72572107401064,0.01,1.6524913e-05,-7.684447010957106,200.0,1.2276584,94.16878385138126,6.875693,100,0.15145154,0.0001769381,0.012823609,85.9404356539534,0.9573424,45.72572107401064
-10.304846,-8.436265,-8.349602853429994,1.0036535,0.77725893,62.96688566758518,0.01,1.3303089e-06,-8.349602853429994,200.0,1.0455532,99.63597733576458,7.928754,100,0.012876745,0.007900213,0.010627209,98.70012083009517,0.98384553,62.96688566758518
-10.204456,-7.770356,-8.337053204557742,1.0231717,0.90848076,60.21489015472219,0.01,8.091155e-06,-8.337053204557742,200.0,1.6680127,97.73531029877014,7.3084326,100,0.08967997,0.008629254,0.01584371,92.58380457882114,1.0527917,60.21489015472219
-9.628408,-7.8934693,-8.077377854379241,1.0351219,0.42722324,51.24736167400257,0.01,1.1563957e-05,-8.077377854379241,200.0,1.1611359,96.60697767835755,7.416984,100,0.10723588,0.004436474,0.012057746,89.72765312514167,0.96297926,51.24736167400257
-9.416857,-7.56848,-7.764011248374402,1.0175122,0.46066487,51.12279323794222,0.010000003,6.709425e-06,-7.764011248374402,200.0,1.1075242,98.27891968038,7.1125627,100,0.06504637,0.004678603,0.011248233,93.77134697219584,0.9846206,51.12279323794222
-9.674076,-7.809053,-7.788189484758305,1.005029,0.6221464,47.17380958529356,0.010000002,2.6104924e-06,-7.788189484758305,200.0,1.0540571,99.49962008323297,6.885588,100,0.025325142,0.0063165193,0.010701616,97.48070547784278,0.9849513,47.17380958529356
-9.100572,-7.114507,-7.114030571338758,1.0000114,0.99780136,51.858674592141796,0.009999998,4.527305e-09,-7.114030571338758,200.0,1.0211928,99.99885560391688,7.16525,100,4.5264944e-05,0.009978944,0.01021288,99.99556324106364,0.9999068,51.858674592141796
