VarJ,VanillaAvgRet,ESSRenyi,AvgDiscRet,eRenyi2,VarNormIw,IterType,VarDiscRet,EpsThisIter,AvgVanillaIw,VarRet,AvgNormIw,AvgRet,Bound,J,MinNormIw,Delta,AvgEpLen,MaxVanillaIw,VarVanillaIw,BatchSize,ESSClassic,MaxNormIw,MinVanillaIw
21.685,-69.572107804,98.2003181094,-69.572107804,1.01833,1.64486e-06,1,1343.95290425,100,1.00534,1343.95290425,0.01,-69.572107804,-132.499,-68.2003,0.0052277,0.3,99.51,1.1827,0.0166246,100,98.3976690322,0.0117642,0.52556
57.884,-74.8950487044,98.7241754899,-74.8950487044,1.01292,1.30486e-06,1,3804.32946217,100,1.00219,3804.32946217,0.01,-74.8950487044,-138.184,-74.0546,0.00737439,0.3,105.09,1.38287,0.0131058,100,98.7246709457,0.0137985,0.739053
53.7377,-75.4784111875,97.6723574428,-75.4784111875,1.02383,2.2053e-06,1,3785.39753619,100,0.984648,3785.39753619,0.01,-75.4784111875,-138.511,-74.0393,0.0049001,0.3,106.1,1.29841,0.021381,100,97.8634187519,0.0131866,0.482487
66.3138,-92.79359005,89.5458429103,-92.79359005,1.11675,1.20819e-05,1,8140.44706925,100,1.00306,8140.44706925,0.01,-92.79359005,-150.697,-83.3613,0.000491139,0.3,127.67,1.56806,0.12156,100,89.316762188,0.0156328,0.0492643
44.5233,-74.5795237313,98.4341907525,-74.5795237313,1.01591,1.30729e-06,1,2593.50228666,100,1.01351,2593.50228666,0.01,-74.5795237313,-137.749,-73.529,0.00628383,0.3,105.38,1.34424,0.0134284,100,98.7223448523,0.0132633,0.63687
33.8487,-70.5270974889,95.2998147991,-70.5270974889,1.04932,5.50638e-06,1,2618.48962044,100,0.993145,2618.48962044,0.01,-70.5270974889,-131.717,-66.4632,0.00227803,0.3,99.72,1.34704,0.0543115,100,94.8304793964,0.0135634,0.226241
80.6879,-85.9781409299,98.743675501,-85.9781409299,1.01272,1.56996e-06,1,7214.74224369,100,1.00195,7214.74224369,0.01,-85.9781409299,-149.271,-85.1516,0.00902661,0.3,118.41,1.77715,0.015761,100,98.4695312526,0.0177369,0.904424
49.3395,-72.4486901447,99.3248342634,-72.4486901447,1.0068,1.07967e-06,1,2605.77368346,100,0.99436,2605.77368346,0.01,-72.4486901447,-135.952,-72.0159,0.00584653,0.3,103.12,1.24735,0.0106752,100,98.9424336537,0.0125442,0.581355
61.5159,-87.4528763556,87.9757930986,-87.4528763556,1.13668,1.24571e-05,1,7145.4142664,100,1.03773,7145.4142664,0.01,-87.4528763556,-147.194,-79.26,0.000883617,0.3,120.15,1.59947,0.134148,100,89.0213891974,0.0154132,0.0916953
36.8886,-75.0909537509,93.1465518342,-75.0909537509,1.07358,7.29166e-06,1,3776.94742594,100,1.00086,3776.94742594,0.01,-75.0909537509,-136.403,-70.3828,0.00260306,0.3,106.0,1.42707,0.0730425,100,93.2672497021,0.0142584,0.260531
74.6437,-81.3059789062,98.9593855903,-81.3059789062,1.01052,8.74415e-07,1,6098.81673277,100,0.995787,6098.81673277,0.01,-81.3059789062,-144.659,-80.6056,0.00915394,0.3,112.69,1.41271,0.00867063,100,99.141764165,0.0141869,0.911538
44.8148,-79.0432530746,91.9560208467,-79.0432530746,1.08748,7.86428e-06,1,4939.4507653,100,0.986021,4939.4507653,0.01,-79.0432530746,-139.769,-73.3219,0.00253335,0.3,110.0,1.41264,0.0764595,100,92.7767491169,0.0143267,0.249794
60.6321,-79.1643119097,95.8086633627,-79.1643119097,1.04375,4.69707e-06,1,4974.27404979,100,1.00371,4974.27404979,0.01,-79.1643119097,-141.605,-76.5069,0.00522361,0.3,110.16,1.531,0.0473197,100,95.5565139786,0.0152534,0.524298
84.9513,-92.2920010053,93.1701396907,-92.2920010053,1.07331,7.14638e-06,1,9361.88781158,100,1.04015,9361.88781158,0.01,-92.2920010053,-152.87,-86.857,0.00216111,0.3,125.87,2.03921,0.0773179,100,93.3925655443,0.0196049,0.224788
34.8848,-68.722971037,99.4325713369,-68.722971037,1.00571,5.59756e-07,1,1393.74967312,100,1.00314,1393.74967312,0.01,-68.722971037,-132.218,-68.3448,0.00921942,0.3,98.33,1.31049,0.00563281,100,99.4489017337,0.0130639,0.92484
41.9766,-80.3484545031,89.9404096838,-80.3484545031,1.11185,1.24004e-05,1,4891.8747604,100,0.993283,4891.8747604,0.01,-80.3484545031,-141.316,-74.1272,0.00174232,0.3,113.11,1.42917,0.122343,100,89.0659428688,0.0143883,0.173062
63.0373,-78.0565442552,97.8003511137,-78.0565442552,1.02249,3.20655e-06,1,4956.78218339,100,1.04155,4956.78218339,0.01,-78.0565442552,-140.957,-76.5251,0.00742799,0.3,108.73,1.87732,0.0347854,100,96.9231633909,0.0180243,0.773661
76.0272,-86.5047561617,96.1060949051,-86.5047561617,1.04052,5.55013e-06,1,7177.1471014,100,1.00696,7177.1471014,0.01,-86.5047561617,-149.081,-84.0838,0.00549854,0.3,119.34,1.74556,0.0562768,100,94.7915974738,0.0173349,0.553682
46.7002,-72.1471278803,98.7369228375,-72.1471278803,1.01279,1.76028e-06,1,2597.86079292,100,1.01185,2597.86079292,0.01,-72.1471278803,-135.413,-71.3159,0.00872022,0.3,102.92,1.6597,0.0180224,100,98.2871497245,0.0164027,0.882354
88.826,-93.0019903187,95.7060007922,-93.0019903187,1.04487,4.79239e-06,1,9374.39346734,100,1.00184,9374.39346734,0.01,-93.0019903187,-155.12,-89.987,0.00755742,0.3,126.59,1.8646,0.0481008,100,95.470438472,0.0186116,0.757136
27.8292,-71.1964515351,94.6069489113,-71.1964515351,1.057,5.09288e-06,1,2571.66241317,100,1.00602,2571.66241317,0.01,-71.1964515351,-132.862,-67.3552,0.00303975,0.3,101.49,1.29592,0.0515436,100,95.2000233847,0.0128817,0.305804
69.8742,-89.4510528496,89.395554865,-89.4510528496,1.11862,1.11431e-05,1,8317.22668876,100,1.01084,8317.22668876,0.01,-89.4510528496,-149.392,-82.0025,0.00279387,0.3,122.29,2.12612,0.11386,100,90.0643584893,0.0210331,0.282416
61.9234,-79.9160927153,96.8534717109,-79.9160927153,1.03249,3.63052e-06,1,4936.33706473,100,0.987526,4936.33706473,0.01,-79.9160927153,-142.112,-77.3654,0.00356043,0.3,111.55,1.54565,0.035405,100,96.5304461079,0.0156517,0.351602
35.1342,-66.5654131413,99.7802448245,-66.5654131413,1.0022,1.43787e-07,1,1378.40864717,100,0.999601,1378.40864717,0.01,-66.5654131413,-130.211,-66.4258,0.00875454,0.3,95.04,1.08237,0.00143672,100,99.8578639368,0.0108281,0.875105
59.0206,-75.2383324558,99.1562049756,-75.2383324558,1.00851,7.53929e-07,1,3776.55766703,100,0.999768,3776.55766703,0.01,-75.2383324558,-138.672,-74.689,0.00589701,0.3,106.13,1.27116,0.0075358,100,99.2591310096,0.0127145,0.589564
53.3616,-73.5241152336,97.3672698133,-73.5241152336,1.02704,3.07113e-06,1,3808.27548401,100,0.981855,3808.27548401,0.01,-73.5241152336,-136.202,-71.6269,0.005318,0.3,103.48,1.37697,0.029607,100,97.0493145994,0.0140242,0.52215
63.6878,-79.0585255951,93.4948339155,-79.0585255951,1.06958,5.98178e-06,1,6164.23496216,100,1.00851,6164.23496216,0.01,-79.0585255951,-140.654,-74.7556,0.00268249,0.3,109.19,1.37751,0.0608399,100,94.4091316625,0.0136589,0.270531
46.6518,-73.0561532746,99.196317373,-73.0561532746,1.0081,8.10146e-07,1,2558.02271984,100,1.00864,2558.02271984,0.01,-73.0561532746,-136.478,-72.5021,0.00898246,0.3,104.07,1.37533,0.008242,100,99.2043539807,0.0136355,0.906004
89.6112,-92.3849115519,94.7026363086,-92.3849115519,1.05594,6.59096e-06,1,9373.7525994,100,0.972294,9373.7525994,0.01,-92.3849115519,-154.678,-89.2007,0.00482371,0.3,125.54,1.82754,0.062308,100,93.8746261757,0.0187962,0.469006
39.7873,-71.6464190429,97.3872436601,-71.6464190429,1.02683,1.824e-06,1,2639.7144222,100,1.01075,2639.7144222,0.01,-71.6464190429,-134.241,-69.674,0.00450807,0.3,101.4,1.23934,0.0186344,100,98.2262701898,0.0122615,0.455655
76.1147,-85.4531992032,94.8448847907,-85.4531992032,1.05435,6.69458e-06,1,7201.12089346,100,0.993261,7201.12089346,0.01,-85.4531992032,-148.045,-82.6169,0.000950767,0.3,117.31,1.49533,0.0660465,100,93.7843005283,0.0150548,0.094436
58.9395,-73.7233581027,99.3603872168,-73.7233581027,1.00644,2.87554e-07,1,3799.37758723,100,0.995474,3799.37758723,0.01,-73.7233581027,-137.197,-73.2731,0.0092925,0.3,103.89,1.19276,0.00284957,100,99.7161111911,0.0119818,0.925044
70.0748,-81.1254280011,97.1853510537,-81.1254280011,1.02896,2.69691e-06,1,6113.55228547,100,0.992208,6113.55228547,0.01,-81.1254280011,-143.786,-79.1507,0.00794154,0.3,112.64,1.55314,0.0265504,100,97.3994713192,0.0156534,0.787966
18.5614,-71.4859882082,92.988686753,-71.4859882082,1.0754,7.75579e-06,1,2581.45824269,100,0.997311,2581.45824269,0.01,-71.4859882082,-131.851,-65.7728,0.00181085,0.3,101.09,1.31305,0.0771413,100,92.8692747773,0.0131659,0.180598
61.0664,-80.2911403055,97.286384419,-80.2911403055,1.02789,3.85269e-06,1,4903.02542083,100,1.02255,4903.02542083,0.01,-80.2911403055,-142.848,-78.2465,0.0084092,0.3,112.14,2.15994,0.0402841,100,96.3259812527,0.021123,0.859884
92.7485,-105.531100166,84.1580282525,-105.531100166,1.18824,2.22158e-05,1,13446.6796714,100,0.951593,13446.6796714,0.01,-105.531100166,-161.895,-92.4315,0.00139326,0.3,140.83,1.87165,0.201171,100,81.9714440907,0.0196686,0.132582
83.8696,-86.8837916087,96.0164420245,-86.8837916087,1.04149,4.45187e-06,1,8378.50858791,100,1.01553,8378.50858791,0.01,-86.8837916087,-149.227,-84.1989,0.00723861,0.3,118.74,1.85769,0.0459118,100,95.7786910339,0.0182929,0.7351
55.5486,-76.5810684222,98.7168097906,-76.5810684222,1.013,1.53756e-06,1,3747.12068981,100,1.00499,3747.12068981,0.01,-76.5810684222,-139.81,-75.6782,0.008937,0.3,107.37,1.45621,0.0155293,100,98.5006617498,0.0144898,0.898158
88.2385,-90.3162626174,98.4605561304,-90.3162626174,1.01564,1.76394e-06,1,8278.95547793,100,0.993868,8278.95547793,0.01,-90.3162626174,-153.379,-89.1631,0.00476219,0.3,123.9,1.18238,0.0174238,100,98.2836677788,0.0118967,0.473299
48.011,-71.2422608629,99.5691465793,-71.2422608629,1.00433,4.00266e-07,1,2575.32544716,100,1.00196,2575.32544716,0.01,-71.2422608629,-134.81,-70.9646,0.00850802,0.3,101.45,1.177,0.0040184,100,99.6052934274,0.011747,0.852472
65.778,-78.8873352861,98.2810383246,-78.8873352861,1.01749,1.60785e-06,1,4964.9181394,100,1.00658,4964.9181394,0.01,-78.8873352861,-141.964,-77.6911,0.0086695,0.3,109.7,1.50424,0.0162907,100,98.4331650589,0.0149441,0.872653
47.7701,-70.893293561,99.2763928783,-70.893293561,1.00729,6.70574e-07,1,2561.88133158,100,1.00405,2561.88133158,0.01,-70.893293561,-134.361,-70.4144,0.00882547,0.3,100.86,1.26419,0.00676013,100,99.3405373391,0.012591,0.886118
69.1684,-81.0278053975,96.5964761654,-81.0278053975,1.03523,3.93968e-06,1,6102.0257794,100,0.982289,6102.0257794,0.01,-81.0278053975,-143.557,-78.7246,0.00516581,0.3,112.47,1.49211,0.0380136,100,96.2461258458,0.0151901,0.507432
69.6264,-82.5572189717,97.0159016829,-82.5572189717,1.03076,4.2414e-06,1,6072.24524174,100,1.0193,6072.24524174,0.01,-82.5572189717,-145.226,-80.5348,0.00736365,0.3,114.34,2.07405,0.0440669,100,95.9702337062,0.0203479,0.750576
80.8068,-86.7810571213,98.7230833452,-86.7810571213,1.01293,1.23944e-06,1,7149.10431942,100,1.02321,7149.10431942,0.01,-86.7810571213,-150.057,-85.9273,0.00873545,0.3,119.52,1.4052,0.0129764,100,98.7878469995,0.0137333,0.893821
73.0575,-81.6738298012,98.2595107036,-81.6738298012,1.01771,1.26345e-06,1,6089.48130276,100,0.990745,6089.48130276,0.01,-81.6738298012,-144.668,-80.3869,0.00842924,0.3,113.52,1.39829,0.0124017,100,98.7646200136,0.0141135,0.835123
49.5877,-84.0130370563,88.3225294885,-84.0130370563,1.13221,1.28747e-05,1,6018.75173361,100,0.990287,6018.75173361,0.01,-84.0130370563,-144.057,-76.2559,0.00129434,0.3,116.71,1.68668,0.126258,100,88.6949597769,0.0170322,0.128176
66.8286,-81.2020365389,96.0980468124,-81.2020365389,1.0406,6.1562e-06,1,6136.94536585,100,0.987173,6136.94536585,0.01,-81.2020365389,-143.248,-78.2476,0.0044122,0.3,112.67,2.23091,0.0599927,100,94.2554655426,0.022599,0.43556
46.5674,-74.9664080192,95.0748388078,-74.9664080192,1.0518,4.85823e-06,1,3785.76340518,100,1.02763,3785.76340518,0.01,-74.9664080192,-136.787,-71.4394,0.0044821,0.3,105.65,1.43282,0.0513046,100,95.4110327838,0.0139429,0.460596
55.4447,-79.5640051976,95.7507792884,-79.5640051976,1.04438,5.63635e-06,1,4919.56830894,100,0.984748,4919.56830894,0.01,-79.5640051976,-141.279,-76.1609,0.00373105,0.3,111.28,1.6953,0.0546573,100,94.7149277627,0.0172156,0.367414
95.8985,-102.076000219,82.6069933155,-102.076000219,1.21055,2.25254e-05,1,12479.3921954,100,0.94258,12479.3921954,0.01,-102.076000219,-160.518,-90.4108,0.000426523,0.3,136.45,1.60373,0.200129,100,81.7660284144,0.0170143,0.0402032
47.6307,-69.905594973,99.54018804,-69.905594973,1.00462,6.1933e-07,1,2622.83635682,100,1.00963,2622.83635682,0.01,-69.905594973,-133.451,-69.5857,0.00856354,0.3,99.3,1.30482,0.00631314,100,99.3906362178,0.0129237,0.864599
47.7683,-71.1554719363,99.1034083525,-71.1554719363,1.00905,7.38291e-07,1,2599.74709974,100,0.995696,2599.74709974,0.01,-71.1554719363,-134.531,-70.5247,0.00920921,0.3,101.51,1.35985,0.0073195,100,99.2743696242,0.0136573,0.916957
47.3709,-69.1447444196,99.3062679046,-69.1447444196,1.00699,8.19162e-07,1,2585.53964821,100,0.992334,2585.53964821,0.01,-69.1447444196,-132.626,-68.6842,0.00917566,0.3,98.14,1.27072,0.0080665,100,99.19560381,0.0128054,0.910532
54.8771,-79.5864833635,93.9234646424,-79.5864833635,1.0647,5.38287e-06,1,4926.61993897,100,0.98892,4926.61993897,0.01,-79.5864833635,-140.784,-75.0368,0.00320523,0.3,110.51,1.4386,0.0526426,100,94.9405768089,0.0145472,0.316972
52.3813,-79.2853487301,95.0850336146,-79.2853487301,1.05169,5.08542e-06,1,4909.55800268,100,1.0041,4909.55800268,0.01,-79.2853487301,-139.514,-74.1682,0.00129542,0.3,110.74,1.29901,0.0512718,100,95.2067716185,0.0129371,0.130073
48.4172,-72.472686483,99.4376160125,-72.472686483,1.00566,5.91308e-07,1,2593.69578233,100,1.00114,2593.69578233,0.01,-72.472686483,-135.99,-72.0917,0.00915328,0.3,102.92,1.35135,0.00592652,100,99.4180458528,0.0134981,0.916368
65.5172,-78.4454458778,98.371292112,-78.4454458778,1.01656,1.58547e-06,1,4946.3850125,100,0.993458,4946.3850125,0.01,-78.4454458778,-141.551,-77.3064,0.00894402,0.3,109.69,1.55039,0.015648,100,98.4546396679,0.015606,0.88855
79.8546,-85.9553480555,92.3998685699,-85.9553480555,1.08225,6.15461e-05,1,7164.92423219,100,1.08144,7164.92423219,0.01,-85.9553480555,-148.697,-82.4094,0.00730849,0.3,118.03,8.7771,0.71979,100,62.1385625933,0.0811612,0.79037
59.0568,-83.3480427411,90.107807875,-83.3480427411,1.10978,1.33034e-05,1,7288.40835334,100,0.954153,7288.40835334,0.01,-83.3480427411,-141.727,-74.6017,0.00268559,0.3,114.5,1.47366,0.121115,100,88.3624167185,0.0154446,0.256246
52.752,-76.4108857182,97.9056502101,-76.4108857182,1.02139,2.46444e-06,1,3739.73782905,100,0.999192,3739.73782905,0.01,-76.4108857182,-139.407,-75.01,0.00685907,0.3,107.88,1.47583,0.0246046,100,97.6182913907,0.0147702,0.685353
46.6504,-75.9547257221,94.7943609806,-75.9547257221,1.05492,5.24239e-06,1,3757.90413748,100,1.00753,3757.90413748,0.01,-75.9547257221,-138.002,-72.5571,0.00248975,0.3,106.34,1.39621,0.0532168,100,95.0660880812,0.0138577,0.250851
19.6006,-66.5135584496,97.2348271112,-66.5135584496,1.02844,2.93605e-06,1,1377.60032245,100,1.00421,1377.60032245,0.01,-66.5135584496,-128.902,-64.303,0.00457746,0.3,95.07,1.18889,0.0296082,100,97.1754181028,0.0118391,0.459672
66.9959,-83.2236760134,94.024138735,-83.2236760134,1.06356,7.08486e-06,1,6069.43570456,100,0.984138,6069.43570456,0.01,-83.2236760134,-144.109,-78.3961,0.00317688,0.3,115.5,1.56683,0.0686189,100,93.445704336,0.0159209,0.312649
56.5004,-75.1551569186,98.7219331338,-75.1551569186,1.01295,9.05315e-07,1,3753.20573877,100,0.991677,3753.20573877,0.01,-75.1551569186,-138.365,-74.235,0.00909458,0.3,105.75,1.36966,0.00890308,100,99.1116745877,0.0138116,0.901888
65.1474,-78.4284631455,98.3670009902,-78.4284631455,1.0166,1.66657e-06,1,4957.94257447,100,1.00521,4957.94257447,0.01,-78.4284631455,-141.498,-77.2524,0.00679011,0.3,109.74,1.43856,0.0168397,100,98.3768900523,0.0143111,0.682546
45.1044,-78.4762307468,91.5374181728,-78.4762307468,1.09245,8.36527e-06,1,4951.86462556,100,1.01972,4951.86462556,0.01,-78.4762307468,-139.516,-72.9164,0.00279047,0.3,109.56,1.56616,0.086984,100,92.3517977201,0.0153587,0.284549
35.3081,-70.2725035107,95.9274498893,-70.2725035107,1.04245,4.9924e-06,1,2589.27132208,100,1.00607,2589.27132208,0.01,-70.2725035107,-132.554,-67.4973,0.00482947,0.3,100.15,1.43507,0.0505318,100,95.2903128763,0.0142642,0.485878
44.8242,-72.1742235604,98.5797344486,-72.1742235604,1.01441,1.47182e-06,1,2568.8597828,100,1.00279,2568.8597828,0.01,-72.1742235604,-135.435,-71.2603,0.00669551,0.3,102.22,1.38036,0.0148005,100,98.5638130345,0.0137652,0.671421
54.8922,-76.5578856921,98.333319462,-76.5578856921,1.01695,1.68533e-06,1,3739.89964856,100,0.999023,3739.89964856,0.01,-76.5578856921,-139.723,-75.4678,0.00687921,0.3,107.93,1.31072,0.0168204,100,98.3588871709,0.01312,0.687249
57.3513,-78.5136990984,94.6141729157,-78.5136990984,1.05692,4.25707e-06,1,4949.17425225,100,1.0244,4949.17425225,0.01,-78.5136990984,-140.349,-74.8412,0.00372621,0.3,109.08,1.44768,0.0446737,100,95.9559337966,0.0141319,0.381714
18.1876,-67.6694893882,97.563099723,-67.6694893882,1.02498,2.9234e-06,1,1390.21227054,100,0.992897,1390.21227054,0.01,-67.6694893882,-130.016,-65.5068,0.00378323,0.3,97.11,1.18872,0.0288202,100,97.1872702791,0.0119723,0.375635
68.4398,-89.2347114487,88.2530807172,-89.2347114487,1.1331,1.7953e-05,1,8285.97522588,100,0.962271,8285.97522588,0.01,-89.2347114487,-149.082,-81.255,0.00122794,0.3,121.9,2.26024,0.166239,100,84.908745236,0.0234886,0.118161
58.7156,-73.3302082233,99.329973868,-73.3302082233,1.00675,4.69173e-07,1,3815.87783792,100,0.985139,3815.87783792,0.01,-73.3302082233,-136.82,-72.8876,0.00899512,0.3,102.89,1.23376,0.00455332,100,99.537652887,0.0125238,0.886145
56.5571,-83.5267500938,91.7486653768,-83.5267500938,1.08993,1.09141e-05,1,6055.98772806,100,1.00076,6055.98772806,0.01,-83.5267500938,-144.033,-77.5093,0.000746328,0.3,115.2,1.74628,0.109306,100,90.24863513,0.0174496,0.0746892
43.6495,-70.758984334,97.6830032016,-70.758984334,1.02372,8.03792e-06,1,2582.01545989,100,1.04066,2582.01545989,0.01,-70.758984334,-133.737,-69.2665,0.00839885,0.3,100.94,3.58349,0.0870491,100,92.6290003288,0.0344347,0.874037
67.4827,-81.9760391639,94.6294995672,-81.9760391639,1.05675,3.70475e-06,1,6083.85793274,100,1.03148,6083.85793274,0.01,-81.9760391639,-144.329,-78.8268,0.00456298,0.3,113.74,1.28497,0.0394167,100,96.4620742707,0.0124575,0.470661
84.0699,-88.7911719881,96.996483612,-88.7911719881,1.03097,9.5663e-06,1,8285.60514155,100,1.01152,8285.60514155,0.01,-88.7911719881,-151.604,-86.9063,0.00857103,0.3,121.33,3.67296,0.0978803,100,91.3487241522,0.0363112,0.866979
58.0314,-76.4269520673,99.1025536669,-76.4269520673,1.00906,7.65635e-07,1,3760.64720522,100,0.999041,3760.64720522,0.01,-76.4269520673,-139.827,-75.8213,0.00897762,0.3,108.05,1.38812,0.00764167,100,99.2477355035,0.0138945,0.896901
47.2828,-71.1827439626,99.1901242743,-71.1827439626,1.00816,6.8836e-07,1,2555.01315654,100,1.00155,2555.01315654,0.01,-71.1827439626,-134.601,-70.6216,0.00916193,0.3,101.54,1.37623,0.00690495,100,99.3231211828,0.013741,0.917613
64.4028,-78.4155444866,98.5325493273,-78.4155444866,1.01489,3.83548e-06,1,4906.31796961,100,1.0088,4906.31796961,0.01,-78.4155444866,-141.647,-77.4564,0.00650999,0.3,109.49,2.47669,0.0390325,100,96.3417901127,0.0245509,0.656725
61.0471,-82.0207960056,91.8836413297,-82.0207960056,1.08833,6.39681e-06,1,6108.46046154,100,1.01817,6108.46046154,0.01,-82.0207960056,-143.233,-76.7565,0.0036936,0.3,113.35,1.64544,0.0663144,100,94.0442909989,0.0161607,0.376073
50.1862,-72.3254925656,99.7298880747,-72.3254925656,1.00271,3.73793e-07,1,2615.02375284,100,0.990849,2615.02375284,0.01,-72.3254925656,-135.968,-72.163,0.00812486,0.3,102.33,1.16694,0.00366983,100,99.6313102018,0.0117772,0.805051
78.8587,-85.2601769117,97.7200881188,-85.2601769117,1.02333,2.49182e-06,1,7176.78327277,100,0.9938,7176.78327277,0.01,-85.2601769117,-148.131,-83.6729,0.00877174,0.3,117.45,1.69966,0.0246102,100,97.592502684,0.0171026,0.871736
51.0892,-79.1281197514,93.1834700418,-79.1281197514,1.07315,9.09108e-06,1,4934.36400898,100,0.976753,4934.36400898,0.01,-79.1281197514,-139.11,-73.1008,0.000592279,0.3,110.91,1.4441,0.0867332,100,91.7429950595,0.0147847,0.057851
61.9463,-79.3608156149,97.425077381,-79.3608156149,1.02643,2.57058e-06,1,4952.87318731,100,1.00956,4952.87318731,0.01,-79.3608156149,-142.392,-77.8365,0.00316198,0.3,110.94,1.57571,0.0261996,100,97.5182872527,0.0156079,0.319221
58.3745,-78.3837499604,95.968505209,-78.3837499604,1.04201,4.37494e-06,1,4988.77852442,100,1.00488,4988.77852442,0.01,-78.3837499604,-140.592,-75.5474,0.00504032,0.3,109.45,1.55672,0.0441772,100,95.8486364276,0.0154916,0.506491
90.562,-93.6367437784,93.3841543207,-93.6367437784,1.07085,7.39682e-06,1,10530.095882,100,0.983135,10530.095882,0.01,-93.6367437784,-154.216,-88.278,0.00271913,0.3,126.76,1.70596,0.0714943,100,93.1767959074,0.0173522,0.267327
61.0416,-79.4196756323,97.016036324,-79.4196756323,1.03076,3.37786e-06,1,4924.15663607,100,0.998238,4924.15663607,0.01,-79.4196756323,-142.186,-77.4993,0.00529686,0.3,110.97,1.44214,0.0336597,100,96.7641453867,0.0144469,0.528753
74.1282,-81.8833683307,97.9079013466,-81.8833683307,1.02137,2.61164e-06,1,6114.98554686,100,0.985287,6114.98554686,0.01,-81.8833683307,-145.154,-80.7583,0.00257713,0.3,113.55,1.16016,0.0253536,100,97.4796089173,0.0117749,0.253921
76.1779,-85.3231580429,95.6012481509,-85.3231580429,1.04601,4.99827e-06,1,7188.16286247,100,1.00279,7188.16286247,0.01,-85.3231580429,-147.587,-82.4183,0.00581078,0.3,117.58,1.71307,0.050262,100,95.285053417,0.017083,0.582699
23.6051,-71.7754381926,94.2868533661,-71.7754381926,1.06059,6.65259e-06,1,2550.50091442,100,1.00661,2550.50091442,0.01,-71.7754381926,-132.687,-67.0664,0.0015413,0.3,102.54,1.26883,0.0674089,100,93.8208850163,0.012605,0.15515
