Delta,VanillaAvgRet,Bound,ESSRenyi,MaxNormIw,SamplesThisIter,AvgEpLen,VarDiscRet,VarNormIw,AvgNormIw,ESSClassic,VarJ,AvgRet,J,VarRet,IterType,eRenyi2,AvgVanillaIw,AvgDiscRet,MinVanillaIw,VarVanillaIw,EpsThisIter,MaxVanillaIw,MinNormIw,BatchSize
0.6,49.4921853661,42.5454,100.0,0.000119048,50000,5.95238095238,3656.66225353,4.76513e-22,0.000119048,8400.00032135,60.4668,49.4921853661,49.4922,3656.66225353,1,1.0,1.0,49.4921853661,1.0,,8400,1.0,0.000119048,100
0.6,48.7437156898,41.9297,100.0,0.00011755,50000,5.87751263665,3364.28016719,,0.00011755,8507.00021267,57.999,48.7437156898,48.7437,3364.28016719,1,1.0,1.0,48.7437156898,1.0,,8507,1.0,0.00011755,100
0.6,49.9850652644,42.5633,100.0,0.000120034,50000,6.00168047053,3879.99030956,2.11784e-22,0.000120034,8330.99944312,62.2858,49.9850652644,49.9851,3879.99030956,1,1.0,1.0,49.9850652644,1.0,,8331,1.0,0.000120034,100
0.6,50.7287948695,34.8893,100.0,0.000121521,50000,6.07607242678,4202.42464742,2.11784e-22,0.000121521,8228.99983662,64.8222,50.7287948695,50.7288,4202.42464742,1,1.0,1.0,50.7287948695,1.0,,8229,1.0,0.000121521,100
0.6,49.4213751743,34.9135,100.0,0.000118906,50000,5.94530321046,3872.88184233,2.11783e-22,0.000118906,8409.99953365,62.2288,49.4213751743,49.4214,3872.88184233,1,1.0,1.0,49.4213751743,1.0,,8410,1.0,0.000118906,100
0.6,48.7715751053,41.2481,100.0,0.000117606,50000,5.8802775491,3588.21904786,,0.000117606,8502.99948799,59.8982,48.7715751053,48.7716,3588.21904786,1,1.0,1.0,48.7715751053,1.0,,8503,1.0,0.000117606,100
0.6,48.5293845957,42.4348,100.0,0.000117123,50000,5.85617240572,3401.75272966,2.11783e-22,0.000117123,8538.00003127,58.3211,48.5293845957,48.5294,3401.75272966,1,1.0,1.0,48.5293845957,1.0,,8538,1.0,0.000117123,100
0.6,48.346063034,33.9678,100.0,0.000116754,50000,5.83771161705,3526.49849649,4.76512e-22,0.000116754,8564.99967129,59.3809,48.346063034,48.3461,3526.49849649,1,1.0,1.0,48.346063034,1.0,,8565,1.0,0.000116754,100
0.6,49.4143124332,12.835,100.0,0.000118892,50000,5.94459636191,5282.58489996,,0.000118892,8411.00038711,72.677,49.4143124332,49.4143,5282.58489996,1,1.0,1.0,49.4143124332,1.0,,8411,1.0,0.000118892,100
0.6,48.2355791256,42.2438,100.0,0.000116537,50000,5.82682671017,3218.96448997,2.11783e-22,0.000116537,8580.99949915,56.7326,48.2355791256,48.2356,3218.96448997,1,1.0,1.0,48.2355791256,1.0,,8581,1.0,0.000116537,100
0.6,48.778098383,41.5193,100.0,0.000117619,50000,5.88096918372,3403.12981486,2.11783e-22,0.000117619,8501.99986337,58.3329,48.778098383,48.7781,3403.12981486,1,1.0,1.0,48.778098383,1.0,,8502,1.0,0.000117619,100
0.6,49.848283043,42.1656,100.0,0.00011976,50000,5.9880239521,3668.08029658,2.11784e-22,0.00011976,8350.00006709,60.5611,49.848283043,49.8483,3668.08029658,1,1.0,1.0,49.848283043,1.0,,8350,1.0,0.00011976,100
0.6,48.9031388118,42.2562,100.0,0.000117869,50000,5.89344648751,3537.5118065,2.11783e-22,0.000117869,8483.99936788,59.4735,48.9031388118,48.9031,3537.5118065,1,1.0,1.0,48.9031388118,1.0,,8484,1.0,0.000117869,100
0.6,48.0466745198,38.809,100.0,0.000116158,50000,5.80787547915,3168.26253371,4.76511e-22,0.000116157,8608.9997268,56.284,48.0466745198,48.0467,3168.26253371,1,1.0,1.0,48.0466745198,1.0,,8609,1.0,0.000116158,100
