ESSRenyi,VarRet,VarNormIw,MinNormIw,MinVanillaIw,AvgRet,AvgVanillaIw,MaxVanillaIw,AvgNormIw,BatchSize,VarDiscRet,EpsThisIter,AvgEpLen,eRenyi2,VarVanillaIw,Bound,IterType,Delta,J,MaxNormIw,VarJ,ESSClassic,AvgDiscRet,VanillaAvgRet
500.0,2330012.05337,5.43914e-20,0.00333333,1.0,2616.98213029,1.0,1.0,0.00333333,500,2330012.05337,100,282.57,1.0,,2137.45,2,0.3,2550.03,0.00333333,1474.19,299.999969474,2616.98213029,2616.98213029
500.0,2211735.99892,5.4346e-20,0.0025,1.0,2523.87333178,1.0,1.0,0.0025,500,2211735.99892,100,272.73,1.0,,2186.08,2,0.3,2543.49,0.0025,1475.62,400.0,2523.87333178,2523.87333178
67.9248094146,1999690.47386,0.000161147,1.78788e-11,1.14162e-08,2582.53922625,1.27707,174.891,0.002,500,1999690.47386,100,279.34,7.36108,65.7041,3423.95,1,0.3,4291.28,0.273894,2577.14,12.1341038018,2582.53922625,2582.53922625
500.0,1287634.52506,3.50449e-18,0.01,1.0,4001.05303645,1.0,1.0,0.01,500,1287634.52506,100,431.5,1.0,,3286.23,2,0.3,4001.05,0.01,1129.05,100.0,4001.05303645,4001.05303645
500.0,1197077.4031,2.1793e-19,0.005,1.0,3947.2642567,1.0,1.0,0.005,500,1197077.4031,100,425.68,1.0,,3468.69,2,0.3,3974.16,0.005,1109.35,200.000000102,3947.2642567,3947.2642567
500.0,1403782.78465,5.43914e-20,0.00333333,1.0,4036.59065026,1.0,1.0,0.00333333,500,1403782.78465,100,433.93,1.0,,3582.26,2,0.3,3994.97,0.00333333,1133.38,299.999969474,4036.59065026,4036.59065026
500.0,1198931.96776,5.4346e-20,0.0025,1.0,4019.27307222,1.0,1.0,0.0025,500,1198931.96776,100,433.79,1.0,,3643.63,2,0.3,4001.04,0.0025,1122.61,400.0,4019.27307222,4019.27307222
224.877353146,1451082.20341,5.24629e-06,2.93761e-08,1.5179e-05,3870.73078999,1.03342,7.95324,0.002,500,1451082.20341,100,417.0,2.22343,1.40071,4031.51,1,0.3,4508.19,0.015392,437.15,216.548747078,3870.73078999,3870.73078999
500.0,480917.797554,3.50449e-18,0.01,1.0,4433.56929132,1.0,1.0,0.01,500,480917.797554,100,476.75,1.0,,3718.88,2,0.3,4433.57,0.01,690.006,100.0,4433.56929132,4433.56929132
500.0,244774.378658,2.1793e-19,0.005,1.0,4533.06731045,1.0,1.0,0.005,500,244774.378658,100,487.05,1.0,,3977.86,2,0.3,4483.32,0.005,601.409,200.000000102,4533.06731045,4533.06731045
500.0,130596.302437,5.43914e-20,0.00333333,1.0,4576.00086511,1.0,1.0,0.00333333,500,130596.302437,100,491.86,1.0,,4101.51,2,0.3,4514.21,0.00333333,534.915,299.999969474,4576.00086511,4576.00086511
500.0,403170.258422,5.4346e-20,0.0025,1.0,4475.4112512,1.0,1.0,0.0025,500,403170.258422,100,480.95,1.0,,4147.08,2,0.3,4504.51,0.0025,560.952,400.0,4475.4112512,4475.4112512
400.216104849,472890.447092,1.00068e-06,5.92316e-05,0.0302281,4419.45418476,1.02067,2.48364,0.002,500,472890.447092,100,475.15,1.24933,0.260622,4243.34,1,0.3,4600.67,0.00486667,226.761,400.105230991,4419.45418476,4419.45418476
500.0,378520.864898,3.50449e-18,0.01,1.0,4525.8524285,1.0,1.0,0.01,500,378520.864898,100,485.62,1.0,,3810.98,2,0.3,4525.85,0.01,612.157,100.0,4525.8524285,4525.8524285
500.0,128996.028128,2.1793e-19,0.005,1.0,4609.06067727,1.0,1.0,0.005,500,128996.028128,100,494.82,1.0,,4061.96,2,0.3,4567.46,0.005,502.943,200.000000102,4609.06067727,4609.06067727
500.0,117829.777349,5.43914e-20,0.00333333,1.0,4607.17472152,1.0,1.0,0.00333333,500,117829.777349,100,494.21,1.0,,4167.96,2,0.3,4580.7,0.00333333,455.926,299.999969474,4607.17472152,4607.17472152
500.0,73975.6425685,5.4346e-20,0.0025,1.0,4621.44699865,1.0,1.0,0.0025,500,73975.6425685,100,496.33,1.0,,4233.44,2,0.3,4590.88,0.0025,417.758,400.0,4621.44699865,4621.44699865
451.078471533,368617.795033,4.48254e-07,0.000215972,0.107104,4544.15625943,0.991834,1.87289,0.002,500,368617.795033,100,487.59,1.10845,0.110241,4295.75,1,0.3,4632.34,0.00377662,170.436,449.705154882,4544.15625943,4544.15625943
500.0,97417.6520849,3.50449e-18,0.01,1.0,4610.08363116,1.0,1.0,0.01,500,97417.6520849,100,494.82,1.0,,3895.23,2,0.3,4610.08,0.01,310.554,100.0,4610.08363116,4610.08363116
500.0,52123.74514,2.1793e-19,0.005,1.0,4615.20712652,1.0,1.0,0.005,500,52123.74514,100,495.15,1.0,,4107.17,2,0.3,4612.65,0.005,272.084,200.000000102,4615.20712652,4615.20712652
500.0,349078.171804,5.43914e-20,0.00333333,1.0,4519.49888084,1.0,1.0,0.00333333,500,349078.171804,100,484.96,1.0,,4168.86,2,0.3,4581.6,0.00333333,408.016,299.999969474,4519.49888084,4519.49888084
500.0,79694.7156275,5.4346e-20,0.0025,1.0,4619.93031901,1.0,1.0,0.0025,500,79694.7156275,100,495.23,1.0,,4233.74,2,0.3,4591.18,0.0025,380.602,400.0,4619.93031901,4619.93031901
465.299380256,466.247311422,3.23395e-07,0.000310185,0.153523,4658.05124927,0.989883,1.6611,0.002,500,466.247311422,100,499.93,1.07458,0.0792212,4305.69,1,0.3,4637.09,0.00335615,148.593,462.668464817,4658.05124927,4658.05124927
500.0,20837.5599539,3.50449e-18,0.01,1.0,4648.50824715,1.0,1.0,0.01,500,20837.5599539,100,498.52,1.0,,3933.63,2,0.3,4648.51,0.01,143.629,100.0,4648.50824715,4648.50824715
500.0,42136.0489346,2.1793e-19,0.005,1.0,4638.11439886,1.0,1.0,0.005,500,42136.0489346,100,497.67,1.0,,4137.82,2,0.3,4643.31,0.005,176.632,200.000000102,4638.11439886,4638.11439886
500.0,139229.242103,5.43914e-20,0.00333333,1.0,4613.10321553,1.0,1.0,0.00333333,500,139229.242103,100,495.07,1.0,,4220.51,2,0.3,4633.24,0.00333333,258.743,299.999969474,4613.10321553,4613.10321553
500.0,20857.1633361,5.4346e-20,0.0025,1.0,4641.41707076,1.0,1.0,0.0025,500,20857.1633361,100,497.89,1.0,,4277.85,2,0.3,4635.29,0.0025,235.341,400.0,4641.41707076,4641.41707076
487.928540983,324.874768184,1.01281e-07,0.000824402,0.412691,4661.18189724,1.00119,1.35348,0.002,500,324.874768184,100,500.0,1.02474,0.0253806,4326.68,1,0.3,4650.31,0.00270374,111.088,487.676361137,4661.18189724,4661.18189724
500.0,220.273067294,3.50449e-18,0.01,1.0,4663.01436881,1.0,1.0,0.01,500,220.273067294,100,500.0,1.0,,3948.18,2,0.3,4663.01,0.01,14.7672,100.0,4663.01436881,4663.01436881
500.0,236.682566454,2.1793e-19,0.005,1.0,4661.12682164,1.0,1.0,0.005,500,236.682566454,100,500.0,1.0,,4156.6,2,0.3,4662.07,0.005,15.0693,200.000000102,4661.12682164,4661.12682164
500.0,11158.0818751,5.43914e-20,0.00333333,1.0,4653.52687294,1.0,1.0,0.00333333,500,11158.0818751,100,498.92,1.0,,4246.49,2,0.3,4659.22,0.00333333,62.0466,299.999969474,4653.52687294,4653.52687294
500.0,44097.3338797,5.4346e-20,0.0025,1.0,4643.43228025,1.0,1.0,0.0025,500,44097.3338797,100,497.79,1.0,,4297.84,2,0.3,4655.27,0.0025,117.678,400.0,4643.43228025,4643.43228025
496.410809941,275.139897622,3.32684e-08,0.00105809,0.525505,4661.88154193,0.993306,1.20759,0.002,500,275.139897622,100,500.0,1.00723,0.00820611,4338.61,1,0.3,4659.47,0.00243146,62.9197,495.884090211,4661.88154193,4661.88154193
