VarVanillaIw,MinNormIw,VarDiscRet,delta,MinVanillaIw,Bound,AvgVanillaIw,AvgEpLen,J,VarNormIw,VanillaAvgRet,SamplesThisIter,MaxNormIw,MaxVanillaIw,AvgRet,AvgNormIw,BatchSize,renyi2,AvgDiscRet,EpsThisIter,VarRet,ESSRenyi,ESSClassic,VarJ,IterType
0.000248586,5.25434e-05,0.315964109596,0.7,0.946478,-436.326,1.00074,500.0,-73698.5,7.66114e-13,-409.442703171,50000,5.82335e-05,1.04897,-409.442703171,5.55556e-05,100,31.1768,-409.442703171,100,0.315964109596,2.88454921725e-12,0.562390995859,7.44416,1
0.000712353,5.13286e-05,0.883243016954,0.7,0.917547,-436.492,0.993108,500.0,-73729.1,2.22924e-12,-409.624321239,50000,6.89075e-05,1.23179,-409.624321239,5.55556e-05,100,31.1785,-409.624321239,100,0.883243016954,2.87957437678e-12,0.57704216,13.1447,1
0.00328888,4.72251e-05,3.64447770372,0.7,0.849577,-435.64,0.999441,500.0,-73574.9,1.01622e-11,-408.833412412,50000,7.29784e-05,1.31288,-408.833412412,5.55556e-05,100,31.1809,-408.833412412,100,3.64447770372,2.87275545486e-12,0.594521010635,27.9077,1
0.00296278,4.58048e-05,3.17317091615,0.7,0.82923,-435.437,1.00575,500.0,-73536.1,9.04007e-12,-408.609273073,50000,6.71876e-05,1.21633,-408.609273073,5.55556e-05,100,31.1941,-408.609273073,100,3.17317091615,2.83521186089e-12,0.581234217497,25.8317,1
0.00565882,4.13298e-05,5.77751888184,0.7,0.753017,-435.091,1.01221,500.0,-73476.5,1.70468e-11,-408.337665985,50000,6.92804e-05,1.26227,-408.337665985,5.55556e-05,100,31.1968,-408.337665985,100,5.77751888184,2.82743550358e-12,0.58707555615,34.6122,1
0.000304993,5.25271e-05,0.375281356116,0.7,0.945328,-436.322,0.99983,500.0,-73700.2,9.41655e-13,-409.453951422,50000,5.8934e-05,1.06063,-409.453951422,5.55556e-05,100,31.1812,-409.453951422,100,0.375281356116,2.87195556503e-12,0.565082213835,8.12627,1
0.0063066,3.59489e-05,6.60845634458,0.7,0.654499,-435.536,1.01146,500.0,-73521.1,1.90261e-11,-408.604135072,50000,7.01184e-05,1.2766,-408.604135072,5.55556e-05,100,31.1783,-408.604135072,100,6.60845634458,2.88027203767e-12,0.606130330022,36.9833,1
0.00277859,4.45647e-05,3.04835772411,0.7,0.807995,-435.639,1.00727,500.0,-73574.7,8.4526e-12,-408.818939726,50000,6.73546e-05,1.22119,-408.818939726,5.55556e-05,100,31.167,-408.818939726,100,3.04835772411,2.91314559103e-12,0.586771080923,25.3751,1
0.00353848,4.58572e-05,3.92582992607,0.7,0.825783,-435.727,1.00043,500.0,-73590.5,1.09119e-11,-408.927640006,50000,7.04867e-05,1.2693,-408.927640006,5.55556e-05,100,31.1783,-408.927640006,100,3.92582992607,2.88021706134e-12,0.596584660464,28.9807,1
0.00297562,4.17692e-05,3.27966943606,0.7,0.757574,-435.441,1.00762,500.0,-73541.2,9.04564e-12,-408.63755914,50000,6.79721e-05,1.23282,-408.63755914,5.55555e-05,100,31.1974,-408.63755914,100,3.27966943606,2.82570469233e-12,0.580700217304,26.5727,1
0.00327817,4.57891e-05,3.73250394212,0.7,0.819935,-435.549,0.994821,500.0,-73562.2,1.02234e-11,-408.765194412,50000,7.34359e-05,1.315,-408.765194412,5.55556e-05,100,31.2063,-408.765194412,100,3.73250394212,2.80089808664e-12,0.591028368607,28.2578,1
0.00777091,3.82909e-05,10.6044715649,0.7,0.669117,-436.7,0.970809,500.0,-73715.1,2.54483e-11,-409.733843892,50000,0.000112023,1.95755,-409.733843892,5.55556e-05,100,31.2115,-409.733843892,100,10.6044715649,2.7862825905e-12,0.645250895478,59.516,1
0.00978885,4.15331e-05,13.3194288178,0.7,0.734509,-435.3,0.982496,500.0,-73516.9,3.12986e-11,-408.68683267,50000,0.000125514,2.21971,-408.68683267,5.55556e-05,100,31.3138,-408.68683267,100,13.3194288178,2.51532953948e-12,0.613636695034,73.4971,1
0.00114077,5.02032e-05,1.51056784346,0.7,0.889451,-435.884,0.984278,500.0,-73625.2,3.63428e-12,-409.056310843,50000,6.94338e-05,1.23016,-409.056310843,5.55556e-05,100,31.2628,-409.056310843,100,1.51056784346,2.64693542404e-12,0.578965121371,17.6957,1
0.0069321,3.74778e-05,7.49666367421,0.7,0.680406,-435.453,1.00861,500.0,-73482.8,2.10318e-11,-408.408865405,50000,7.03695e-05,1.27755,-408.408865405,5.55556e-05,100,31.2507,-408.408865405,100,7.49666367421,2.67905128412e-12,0.601829292593,38.6161,1
