EpsThisIter,MaxVanillaIw,IterType,Bound,MinVanillaIw,J,AvgVanillaIw,AvgRet,MinNormIw,Delta,ESSClassic,VarVanillaIw,VarJ,VarNormIw,VanillaAvgRet,VarDiscRet,ESSRenyi,AvgEpLen,MaxNormIw,VarRet,AvgDiscRet,eRenyi2,AvgNormIw,BatchSize
100,1.14367,1,-112.062,0.743954,-106.362,1.00569,-106.398171717,0.00739748,0.8,99.4277859717,0.00587933,1.6064,5.81303e-07,-106.398171717,2.75013622694,99.3531969264,15.27,0.0113721,2.75013622694,-106.398171717,1.00651,0.01,100
100,1.28562,1,-112.334,0.649793,-106.629,0.99978,-106.681495005,0.00649936,0.8,98.92151555,0.0110076,1.98886,1.10124e-06,-106.681495005,4.31319575167,99.0069805012,15.6,0.012859,4.31319575167,-106.681495005,1.01003,0.01,100
100,1.28368,1,-112.172,0.681673,-106.494,0.996523,-106.572461674,0.00684051,0.8,98.5057179032,0.0152167,1.86576,1.5323e-06,-106.572461674,3.92327216075,98.6938484117,15.43,0.0128815,3.92327216075,-106.572461674,1.01323,0.01,100
100,1.24591,1,-112.016,0.657209,-106.363,1.0004,-106.432806624,0.00656948,0.8,98.5291582134,0.0150906,1.86089,1.50787e-06,-106.432806624,3.77586762349,98.7882941765,15.27,0.0124542,3.77586762349,-106.432806624,1.01227,0.01,100
100,1.27463,1,-112.06,0.747942,-106.294,1.01194,-106.340536404,0.00739115,0.8,99.1477226858,0.00889162,2.30455,8.68299e-07,-106.340536404,5.34151219795,99.120036677,15.67,0.0125958,5.34151219795,-106.340536404,1.00888,0.01,100
100,1.27087,1,-112.206,0.650329,-106.518,0.997607,-106.575621079,0.00651889,0.8,98.8296951014,0.0119043,2.0205,1.19615e-06,-106.575621079,4.16016200499,98.9313289673,15.24,0.0127392,4.16016200499,-106.575621079,1.0108,0.01,100
100,1.30536,1,-112.645,0.437103,-106.9,0.995493,-106.987303942,0.00439082,0.8,98.4622475931,0.0156338,1.95546,1.57757e-06,-106.987303942,4.30141258281,98.6487697433,15.68,0.0131127,4.30141258281,-106.987303942,1.0137,0.01,100
100,1.14157,1,-112.149,0.871485,-106.51,0.991429,-106.523732788,0.00879019,0.8,99.7614906103,0.00237388,1.91841,2.4151e-07,-106.523732788,3.7212476329,99.7088944276,15.09,0.0115144,3.7212476329,-106.523732788,1.00292,0.01,100
100,1.60962,1,-111.9,0.910475,-106.342,0.99887,-106.366540999,0.00911505,0.8,99.3126546466,0.00697502,1.6624,6.99081e-07,-106.366540999,2.67613491758,99.5475117418,15.31,0.0161144,2.67613491758,-106.366540999,1.00455,0.01,100
100,1.26367,1,-112.595,0.579441,-106.86,1.00758,-107.002134712,0.00575081,0.8,97.944489582,0.021521,2.21979,2.11983e-06,-107.002134712,5.56641162472,97.423504632,15.69,0.0125416,5.56641162472,-107.002134712,1.02645,0.01,100
100,1.28724,1,-112.616,0.623328,-106.884,1.00542,-107.048476143,0.00619969,0.8,97.2300162847,0.0290893,2.05894,2.87766e-06,-107.048476143,4.59493307267,97.002876919,15.55,0.0128031,4.59493307267,-107.048476143,1.0309,0.01,100
100,1.24436,1,-112.224,0.539704,-106.48,0.994742,-106.616542116,0.00542557,0.8,97.6098462661,0.0244748,1.71518,2.47342e-06,-106.616542116,3.4477468441,97.7277270793,15.36,0.0125094,3.4477468441,-106.616542116,1.02325,0.01,100
100,1.26743,1,-112.07,0.771433,-106.48,0.999771,-106.522014585,0.00771609,0.8,99.1618584762,0.00853382,1.70861,8.53773e-07,-106.522014585,3.03179579937,99.2630360265,15.35,0.0126772,3.03179579937,-106.522014585,1.00742,0.01,100
100,1.23517,1,-112.135,0.593805,-106.493,0.989037,-106.530728409,0.00600387,0.8,99.082632561,0.00914823,1.90736,9.35216e-07,-106.530728409,3.78742070701,99.3229878992,15.49,0.0124886,3.78742070701,-106.530728409,1.00682,0.01,100
100,1.14091,1,-112.619,0.559332,-106.869,1.00972,-106.902881769,0.0055395,0.8,99.1579928823,0.00874487,2.28305,8.57739e-07,-106.902881769,5.23433354751,99.4439815205,15.47,0.0112993,5.23433354751,-106.902881769,1.00559,0.01,100
100,1.2917,1,-111.799,0.708609,-106.155,1.00518,-106.215085902,0.00704955,0.8,99.0175068204,0.0101265,1.96773,1.00223e-06,-106.215085902,4.0077577945,98.9801348477,15.19,0.0128504,4.0077577945,-106.215085902,1.0103,0.01,100
100,1.27564,1,-112.25,0.577109,-106.572,0.994028,-106.640119081,0.00580576,0.8,98.5295082914,0.0148954,2.08463,1.5075e-06,-106.640119081,4.42244176901,98.7877706589,15.92,0.0128331,4.42244176901,-106.640119081,1.01227,0.01,100
100,1.14761,1,-112.113,0.869437,-106.553,0.996203,-106.561744724,0.0087275,0.8,99.8215326074,0.00179185,1.63727,1.80554e-07,-106.561744724,2.72016955228,99.8324583353,15.13,0.0115198,2.72016955228,-106.561744724,1.00168,0.01,100
100,1.28172,1,-112.475,0.639147,-106.75,0.9881,-106.858851582,0.00646845,0.8,98.2004027824,0.0180729,2.15572,1.85109e-06,-106.858851582,5.14366776247,98.119891056,15.47,0.0129716,5.14366776247,-106.858851582,1.01916,0.01,100
100,1.23138,1,-112.283,0.809852,-106.662,1.00195,-106.698582043,0.00808277,0.8,99.3049176122,0.00709803,1.84241,7.07045e-07,-106.698582043,3.51271510897,99.3719809567,15.44,0.0122898,3.51271510897,-106.698582043,1.00632,0.01,100
100,1.31472,1,-111.838,0.591336,-106.26,0.99882,-106.308645185,0.00592035,0.8,98.9281195272,0.0109188,1.78626,1.09446e-06,-106.308645185,3.32855118564,99.1129865229,15.55,0.0131627,3.32855118564,-106.308645185,1.00895,0.01,100
100,1.31907,1,-112.467,0.669773,-106.75,1.00643,-106.83800854,0.00665493,0.8,98.1924380273,0.0188345,1.89853,1.85946e-06,-106.83800854,3.63332413892,98.4166255258,15.19,0.0131064,3.63332413892,-106.83800854,1.01609,0.01,100
100,1.20031,1,-112.423,0.608857,-106.609,1.005,-106.688313648,0.00605828,0.8,98.6967829118,0.0134715,2.02033,1.33378e-06,-106.688313648,4.28687863939,98.621862887,14.86,0.0119434,4.28687863939,-106.688313648,1.01397,0.01,100
100,1.28469,1,-112.073,0.653042,-106.404,0.988165,-106.495752662,0.00660864,0.8,98.5083483097,0.0149354,2.0129,1.52953e-06,-106.495752662,4.23301919411,98.3874448517,15.15,0.0130008,4.23301919411,-106.495752662,1.01639,0.01,100
100,1.08899,1,-112.421,0.910085,-106.814,1.00341,-106.819713646,0.00906988,0.8,99.9116876773,0.000898598,1.87162,8.92492e-08,-106.819713646,3.57839258695,99.8902453909,15.09,0.0108529,3.57839258695,-106.819713646,1.0011,0.01,100
100,1.17691,1,-111.94,0.78222,-106.313,0.991919,-106.354680639,0.00788592,0.8,99.352811284,0.00647419,1.93682,6.5801e-07,-106.354680639,3.86423454384,99.2628598388,15.44,0.011865,3.86423454384,-106.354680639,1.00743,0.01,100
100,1.54649,1,-112.26,0.307739,-106.422,0.988795,-106.562887906,0.00311226,0.8,96.4987883725,0.0358323,1.87379,3.6649e-06,-106.562887906,4.48552314354,97.428856712,15.4,0.0156401,4.48552314354,-106.562887906,1.02639,0.01,100
100,1.53063,1,-112.022,0.757698,-106.424,0.995528,-106.490576814,0.00761102,0.8,98.4909401643,0.0153383,1.75911,1.54764e-06,-106.490576814,3.07998573198,98.7905628169,15.51,0.0153751,3.07998573198,-106.490576814,1.01224,0.01,100
100,1.34657,1,-111.964,0.912653,-106.377,1.00587,-106.404434106,0.00907326,0.8,99.5086468419,0.00504651,1.69289,4.98776e-07,-106.404434106,2.99623671738,99.5244339217,15.18,0.0133871,2.99623671738,-106.404434106,1.00478,0.01,100
100,1.25781,1,-111.821,0.425093,-106.18,1.00965,-106.275544252,0.0042103,0.8,98.3615498155,0.017152,1.47623,1.68257e-06,-106.275544252,2.58960806271,98.4735360401,15.16,0.0124579,2.58960806271,-106.275544252,1.0155,0.01,100
