BatchSize,renyi2,VanillaAvgRet,AvgEpLen,AvgVanillaIw,AvgNormIw,MaxNormIw,SamplesThisIter,AvgRet,VarNormIw,Bound,VarVanillaIw,MaxVanillaIw,MinVanillaIw,ESSClassic,delta,VarDiscRet,IterType,AvgDiscRet,EpsThisIter,VarJ,VarRet,MinNormIw,J,ESSRenyi
100,nan,3080.5223994456132,308.641975308642,7.537984,3.4293553e-05,0.06788379,50000,3080.5223994456132,5.497603e-07,4999.3555,26561.88,14921.373,,2.08038357834538,1.0,3974754.396993743,1,3080.5223994456132,162,25784.842,3974754.396993743,,821240.1,nan
100,nan,3372.67017653722,337.8378378378378,8.671265e+23,3.753754e-05,0.31750166,50000,3372.67017653722,8.634895e-06,4999.3613,inf,7.334368e+27,,2.000000075980037,1.0,3968270.13651843,1,3372.67017653722,148,8524.589,3968270.13651843,,879637.25,nan
100,nan,2041.2391843959983,204.91803278688525,4.618255e+23,2.276867e-05,0.23884478,50000,2041.2391843959983,3.4623536e-06,4999.3623,inf,4.8445787e+27,,1.999999969319765,1.0,3984536.520111012,1,2041.2391843959983,244,29657.791,3984536.520111012,,775805.75,nan
100,nan,3374.508154197416,337.8378378378378,1.0464261e+25,3.753754e-05,0.37198645,50000,3374.508154197416,1.1617529e-05,nan,inf,1.0369789e+29,,2.0000000951809627,1.0,4952370.42565661,1,3374.508154197416,148,nan,4952370.42565661,,nan,nan
100,nan,2374.4372823280237,238.0952380952381,21692.162,2.6455029e-05,0.41678175,50000,2374.4372823280237,9.311868e-06,nan,6260746000000.0,341745920.0,,2.0000279831322847,1.0,5007960.993571762,1,2374.4372823280237,210,nan,5007960.993571762,,nan,nan
100,nan,3159.6247634464207,316.45569620253167,3.57334e+23,3.5161745e-05,0.49898723,50000,3159.6247634464207,1.7509174e-05,nan,inf,5.070997e+27,,2.000000089411206,1.0,4608760.423316328,1,3159.6247634464207,158,nan,4608760.423316328,,nan,nan
100,nan,4308.402919382688,431.0344827586207,nan,nan,nan,50000,4308.402919382688,nan,nan,nan,nan,nan,nan,1.0,2789397.1581431977,1,4308.402919382688,116,nan,2789397.1581431977,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
100,nan,nan,500.0,nan,nan,nan,50000,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1,nan,100,nan,nan,nan,nan,nan
