EpisodesSoFar,InitialReturnMax,TimeElapsed,MinIWNorm,MinIW,ESSClassic,EpRewMean,StdIWNorm,EmpiricalD2,Bound,EpThisIter,TimestepsSoFar,MaxIWNorm,MaxIW,J_sample_variance,Iteration,ESSRenyi,InitialBound,MeanIWNorm,InitialReturnMin,Weights,InitialReturnStd,EpLenMean,ReturnMeanIW,InitialReturnMean,MeanIW,StdIW
1100,6.852844,126.26855087280273,0.0034904035,0.34904036,65.873985,-143.19554176828223,0.007565225,1.4679679,0.04389906,100,49540,0.045152724,4.5152726,8.6808605,11,68.12138,-0.22842799,0.010510808,-2.3041916,[ 0.442 -0.75   0.275  0.424 -0.252],2.16808,47.1,0.32066196,1.5258789e-07,1.051081,0.7565225
1200,9.041374,138.00501918792725,0.0018100063,0.18100064,60.43728,-144.07238004235273,0.008928126,1.953633,0.08819291,100,54341,0.0510397,5.10397,13.578478,12,51.186687,-0.3013815,0.011034931,-2.2449112,[ 0.454 -0.739  0.272  0.415 -0.199],2.0200725,48.01,0.50943786,-2.3651123e-06,1.1034931,0.89281255
1300,6.119484,149.15980768203735,0.0004319168,0.04319168,12.466321,-137.77043761136127,0.025994176,8.34803,0.46957207,100,58549,0.2211729,22.11729,81.85492,13,11.978874,-0.20398214,0.009809744,-2.670372,[ 0.46  -0.741  0.299  0.45  -0.23 ],1.9639499,42.08,1.0589387,6.8664554e-07,0.9809744,2.599418
1400,6.4018097,161.12317538261414,0.009995714,0.9995714,100.0,-138.94496184546722,1.8805332e-06,1.0,-0.21332917,100,62850,0.010005318,1.0005318,4.4498243,14,100.0,-0.2133919,0.009999751,-2.4577713,[ 0.416 -0.786  0.293  0.43  -0.176],2.098853,43.01,6.451458e-05,1.8310546e-06,0.99997514,0.0001880529
1500,7.485855,170.92035222053528,1.1172387e-07,1.11723875e-05,1.2938052,-139.9605359453162,0.6989819,497.40997,46.60431,100,67226,7.030775,703.0775,277065.28,15,0.2010414,-0.24953276,0.080025464,-2.2542877,[ 0.416 -0.786  0.293  0.43  -0.176],2.0372827,43.76,52.169468,-4.272461e-06,8.002546,69.898186
1600,7.494728,185.1103024482727,0.009999931,0.99999315,99.99999,-142.49318816325132,2.8843347e-08,1.0,-0.24982335,100,71878,0.01000008,1.000008,4.972246,16,100.0,-0.24982473,0.010000008,-2.3916397,[ 0.511 -0.772  0.263  0.309 -0.293],2.218671,46.52,9.3877316e-07,-4.5776366e-07,1.0000008,2.886533e-06
1700,6.152542,196.15257477760315,0.01,1.0,100.0,-144.6220776616758,9.313226e-10,1.0,-0.2050806,100,76729,0.01,1.0,3.9111571,17,100.0,-0.2050806,0.009999999,-2.2066803,[ 0.511 -0.772  0.263  0.309 -0.293],1.9677514,48.51,4.146248e-06,4.119873e-06,1.0,
1800,8.07238,206.5051646232605,0.009999848,0.9999848,99.99999,-140.259054627123,7.1009175e-08,0.9999973,-0.26907808,100,81130,0.0100002345,1.0000235,4.633521,18,100.00027,-0.26908118,0.009999999,-2.2113495,[ 0.511 -0.772  0.263  0.309 -0.293],2.1417627,44.01,9.3504786e-07,-1.8310546e-06,0.99999994,7.102926e-06
1900,5.9196777,216.94082498550415,7.327806e-06,0.0007327806,4.0037475,-139.2082203010756,0.14454402,69.08165,5.1922636,100,85454,1.3418653,134.18654,2828.2844,19,1.4475625,-0.1973214,0.029519321,-2.4227066,[ 0.511 -0.772  0.263  0.309 -0.293],2.1934443,43.24,6.832318,1.2207031e-06,2.9519324,14.454404
2000,7.817383,229.10543823242188,0.00084586366,0.08458637,26.631308,-140.29817858510768,0.020348951,4.310634,0.9712915,100,89924,0.12922502,12.9225025,76.97819,20,23.198442,-0.26057446,0.012259786,-2.7368011,[ 0.504 -0.775  0.25   0.185 -0.31 ],2.4907725,44.7,1.5123082,4.9591063e-06,1.2259787,2.0348952
2100,7.0519943,240.9037983417511,0.00061326456,0.061326455,42.233444,-143.9516162126882,0.012312304,1.9929118,-0.036713034,100,94810,0.10464091,10.464091,12.531906,21,50.177834,-0.23506573,0.010527602,-3.1828995,[ 0.511 -0.783  0.222  0.138 -0.268],2.4125414,48.86,0.29513156,7.6293946e-07,1.0527602,1.2312305
2200,11.79586,253.60854649543762,0.0002682079,0.02682079,30.284294,-149.01465578913948,0.016457925,3.5978918,0.21067864,100,100221,0.12244626,12.244626,47.545464,22,27.794054,-0.39319977,0.010847223,-3.0732193,[ 0.503 -0.794  0.199  0.135 -0.268],2.7215235,54.11,0.9564959,-4.4250487e-06,1.0847222,1.6457926
2300,9.122559,266.5580039024353,0.009999627,0.99996275,100.000015,-154.17016965620988,1.0808046e-07,1.0,-0.3040878,100,106107,0.010000252,1.0000253,6.727665,23,100.0,-0.3040893,0.009999953,-2.6520615,[ 0.494 -0.808  0.17   0.122 -0.264],2.5807846,58.86,-2.4791807e-06,-4.043579e-06,0.99999547,1.0810455e-05
2400,10.034714,280.28274035453796,0.0029243755,0.29243755,79.013435,-155.23534428618655,0.0052772355,1.356755,-0.126189,100,112132,0.028823107,2.8823109,11.6324835,24,73.70528,-0.33448318,0.010239679,-3.0302582,[ 0.494 -0.808  0.17   0.122 -0.264],2.7259328,60.25,0.2634249,7.3242186e-06,1.0239681,0.5277236
2500,8.159515,294.8839921951294,1.0232602e-06,0.00010232603,1.013916,-157.8798113048096,7.324771,60622.08,239.6626,100,118543,73.621765,7362.177,9405780.0,25,0.001649564,-0.27199283,0.74132395,-4.085266,[ 0.477 -0.807  0.158  0.106 -0.258],3.058165,64.11,306.62924,-8.926391e-06,74.13239,732.4772
2600,10.368805,310.9314661026001,4.70382e-06,0.00047038202,1.4450101,-148.75127464654233,0.36674303,279.8352,24.702274,100,123961,3.6898522,368.98523,95512.08,26,0.35735318,-0.34562153,0.04440767,-3.493744,[ 0.516 -0.758  0.21   0.143 -0.184],3.076026,54.18,30.484015,5.340576e-06,4.440767,36.6743
2700,18.921692,324.7961070537567,0.0018535116,0.18535116,65.26418,-142.50486478847452,0.007079207,1.5048131,-0.06647569,100,128772,0.057920355,5.7920356,47.81439,27,66.45344,-0.6307176,0.009703608,-3.6196518,[ 0.426 -0.707  0.209  0.057 -0.144],3.374177,48.11,0.7072374,5.569458e-06,0.97036093,0.7079207
2800,15.2651825,340.7042353153229,0.004989579,0.4989579,93.50088,-147.3926043758981,0.0024856676,1.105949,-0.33952188,100,134060,0.020931117,2.0931118,13.47442,28,90.42008,-0.5088382,0.0094280895,-3.4300919,[ 0.394 -0.651  0.176  0.04  -0.131],3.3670952,52.88,0.19559461,1.2969971e-06,0.942809,0.24856675
2900,11.178108,352.95257019996643,6.9413545e-08,6.9413545e-06,1.6421839,-145.81019785273813,0.31508178,232.71373,17.425453,100,139254,3.1696322,316.96323,53169.35,29,0.4297125,-0.37260753,0.04071269,-3.9137573,[ 0.405 -0.646  0.16   0.033 -0.13 ],3.1956058,51.94,23.109507,-3.890991e-06,4.0712686,31.508179
3000,6.9724197,368.36449456214905,0.0012371755,0.123717554,68.143135,-150.3437357665877,0.0071166693,1.5447196,-0.0900739,100,144827,0.036972295,3.6972296,10.339383,30,64.73667,-0.23241425,0.010408457,-3.2665558,[ 0.319 -0.731  0.184  0.112 -0.177],2.5085716,55.73,0.19878589,-2.2888183e-07,1.0408458,0.711667
3100,9.77446,382.82690262794495,0.0011012716,0.110127166,60.582546,-157.78415892406852,0.009076956,1.659245,0.43500918,100,151228,0.06423906,6.4239063,26.416698,31,60.268375,-0.32580054,0.0112530375,-3.7618103,[ 0.307 -0.744  0.17   0.104 -0.175],3.0129502,64.01,0.8546974,1.4801026e-05,1.1253036,0.90769553
3200,9.531349,401.2881932258606,4.847113e-06,0.00048471132,6.0621314,-157.69801239721752,0.05906312,16.848818,2.4380484,100,157697,0.5873656,58.736565,1089.5815,32,5.9351344,-0.31770864,0.01500406,-4.461075,[ 0.345 -0.807  0.179  0.064 -0.16 ],3.478029,64.69,3.7421694,3.0517579e-06,1.5004059,5.9063125
3300,14.738419,418.43852949142456,7.170044e-07,7.1700444e-05,1.4223471,-159.00853847454647,0.32582057,384.8262,12.0906725,100,164315,3.2787957,327.87958,52346.344,33,0.25985757,-0.49129263,0.039137408,-4.415039,[ 0.411 -0.749  0.133  0.036 -0.24 ],4.096158,66.18,21.728119,-1.197815e-05,3.9137409,32.582058
3400,12.344688,434.3685235977173,0.0021167,0.21167,68.662285,-152.73956099488555,0.0071650115,1.5946956,0.065615535,100,170397,0.042404216,4.240422,35.530025,34,62.707893,-0.41149193,0.010605775,-4.8630447,[ 0.426 -0.73   0.139 -0.056 -0.288],4.1252027,60.82,0.5852498,-2.2888185e-06,1.0605775,0.7165012
3500,14.309753,447.37210297584534,0.00036831232,0.036831234,35.535297,-147.68180826252717,0.013232562,3.028303,0.39145267,100,175939,0.0834002,8.34002,84.884895,35,33.021797,-0.47699127,0.009824556,-4.9509583,[ 0.451 -0.733  0.146 -0.05  -0.251],4.121196,55.42,1.2215147,5.340576e-07,0.9824557,1.3232563
3600,20.365562,462.3617191314697,0.00035247253,0.035247255,14.186317,-154.49732069097982,0.02837326,8.812716,2.3616517,100,182528,0.27565947,27.565948,1395.6088,36,11.34724,-0.67884976,0.01153628,-7.0133133,[ 0.427 -0.751  0.139 -0.092 -0.264],6.1005363,65.89,4.376907,2.2888185e-06,1.1536281,2.837326
3700,15.869202,478.4558627605438,0.00014058886,0.014058886,2.6705792,-152.47207975349872,0.12937632,22.742039,6.712894,100,188877,1.3044052,130.44052,7489.207,37,4.3971434,-0.52896804,0.02143066,-6.692375,[ 0.416 -0.779  0.13  -0.129 -0.217],5.2428885,63.49,9.235495,5.41687e-06,2.1430657,12.93763
3800,18.929405,497.24018454551697,2.2297485e-05,0.0022297485,3.8495798,-159.11825567737407,0.08250951,24.322826,7.487049,100,196283,0.8214006,82.14006,8856.981,38,4.1113644,-0.6309853,0.016509544,-8.453499,[ 0.418 -0.777  0.098 -0.133 -0.135],6.7049627,74.06,10.598928,-5.1116945e-06,1.6509546,8.250952
3900,26.85733,517.9646599292755,0.00012145029,0.012145029,2.0136628,-162.90857181840718,0.15327261,45.003456,33.142147,100,205088,1.5409753,154.09753,146302.58,39,2.2220516,-0.895254,0.021972282,-13.121956,[ 0.377 -0.773  0.071 -0.171 -0.114],8.748873,88.05,39.147858,-9.613037e-06,2.1972284,15.327262
4000,33.72165,544.9046103954315,0.00014755958,0.014755959,7.6261106,-174.25487972053733,0.046175227,15.837292,5.2925663,100,216753,0.46016148,46.016148,6366.5537,40,6.314211,-1.1240541,0.0132674035,-19.18328,[ 0.268 -0.692  0.057 -0.191 -0.13 ],10.397633,116.65,9.765866,1.0681152e-06,1.3267404,4.6175227
4100,28.391209,574.4723522663116,0.00019806519,0.01980652,49.848904,-175.04408377946882,0.008903342,2.545964,1.6828543,100,230074,0.04965194,4.965194,326.89914,41,39.277855,-0.94637114,0.00887648,-23.081223,[ 0.227 -0.638  0.036 -0.201 -0.103],11.645701,133.21,3.1928954,2.4414062e-06,0.88764787,0.8903342
4200,26.50821,604.0430889129639,0.00033976723,0.033976723,41.017815,-167.25864574567606,0.012687948,4.4541,4.635854,100,243295,0.0715778,7.1577806,713.0889,42,22.451223,-0.96199805,0.010580769,-28.859932,[ 0.213 -0.627  0.022 -0.212 -0.124],12.827166,132.21,6.6661253,-4.196167e-07,1.058077,1.2687948
4300,33.1008,640.1359448432922,0.00010983699,0.010983699,5.193609,-173.5984021861011,0.06724914,33.601265,12.748092,100,259605,0.6577985,65.779854,23081.158,43,2.9760785,-1.1033556,0.015739923,-31.51699,[ 0.192 -0.627  0.015 -0.233 -0.112],12.859293,163.1,19.143894,4.3869018e-06,1.5739925,6.724915
4400,26.640762,682.6565492153168,0.00022149718,0.022149717,4.5961843,-174.19824406173277,0.087202184,8.837498,9.519533,100,278324,0.8600347,86.00347,5123.585,44,11.31542,-1.1378167,0.019140057,-34.134506,[ 0.162 -0.656  0.01  -0.265 -0.139],13.184828,187.19,12.902027,1.9073487e-07,1.9140058,8.720219
4500,29.82094,727.3972334861755,0.0004872946,0.04872946,13.582323,-179.98084076706675,0.03345823,4.7917314,4.757479,100,299274,0.296329,29.6329,820.5195,45,20.869284,-1.3093998,0.013264432,-39.28205,[ 0.117 -0.65   0.01  -0.272 -0.098],13.383953,209.5,7.6237626,1.8692017e-06,1.3264432,3.3458228
4600,27.655561,785.3274478912354,0.00017367312,0.017367313,16.590439,-184.31310578479395,0.023150917,6.513064,6.46251,100,326789,0.2129843,21.29843,2737.6338,46,15.353757,-1.0069834,0.010324981,-30.20943,[ 0.075 -0.662  0.012 -0.284 -0.112],13.116491,275.15,9.032396,-2.307892e-06,1.032498,2.315092
4700,18.469511,864.8596570491791,4.7168473e-06,0.00047168473,1.4398582,-176.10206606480267,0.29699796,177.06154,39.05725,100,363710,2.9858942,298.58942,304297.8,47,0.5647754,-1.1445267,0.035897378,-34.335743,[ 0.047 -0.649  0.001 -0.29  -0.111],10.813979,369.21,54.286808,-1.7929077e-06,3.589738,29.699799
4800,27.017399,950.726678609848,1.7294282e-05,0.0017294283,3.1924973,-155.90922251770834,0.09459824,136.50345,14.151958,100,404539,0.9424695,94.24695,65221.977,48,0.7325822,-0.90057653,0.017178841,-26.030704,[ 0.025 -0.642 -0.001 -0.312 -0.129],10.073341,408.29,24.673857,3.3950805e-06,1.717884,9.459825
4900,27.16407,1033.6127669811249,2.4354218e-05,0.0024354218,2.6669185,-145.13873212484737,0.08951669,64.78202,14.693253,100,444312,0.8981125,89.81125,59676.703,49,1.5436382,-1.2332743,0.014817625,-36.998318,[ 0.002 -0.643  0.008 -0.333 -0.13 ],10.04117,397.73,24.619566,2.9945375e-06,1.4817626,8.951669
5000,22.74179,1118.0279936790466,0.001409387,0.1409387,62.45463,-117.26337115714816,0.0075639635,1.5116119,0.24946392,100,483781,0.043792177,4.3792176,234.81236,50,66.15455,-0.84941375,0.009755593,-25.482357,[-0.006 -0.611 -0.001 -0.338 -0.11 ],11.05513,394.69,1.2937957,-1.6784668e-06,0.97555923,0.7563964
5100,26.498102,1203.3217840194702,0.0007182675,0.071826756,60.95916,-110.71784251785762,0.007322178,1.8773798,0.54909945,100,524373,0.03795463,3.795463,137.03535,51,53.265728,-0.9093329,0.009149561,-27.279938,[-0.023 -0.59  -0.004 -0.326 -0.109],10.091801,405.92,1.7950425,-1.6403199e-06,0.91495603,0.73221785
5200,20.341385,1293.8845691680908,1.3633097e-05,0.0013633098,1.173467,-102.28517356223522,0.618611,194.64313,10.624435,100,567832,6.221462,622.1462,92489.04,52,0.51376075,-1.3534662,0.067408755,-40.603935,[-0.043 -0.588  0.001 -0.327 -0.117],10.747987,434.59,29.507236,-1.5830993e-06,6.7408752,61.861095
5300,20.823002,1388.7474963665009,9.596992e-05,0.009596992,7.631023,-122.7573555926583,0.06505702,16.101059,4.0794377,100,614114,0.45698875,45.698875,3788.7976,53,6.2107716,-0.94512326,0.018699175,-28.35363,[-0.046 -0.592  0.008 -0.305 -0.104],9.659635,462.82,7.8718424,-1.9073486e-06,1.8699176,6.5057015
5400,26.107136,1486.3799941539764,1.029598e-05,0.0010295981,2.0388684,-115.41536011505791,0.1567845,150.51495,19.706738,100,661215,1.5747602,157.47603,81003.91,54,0.6643858,-0.8702356,0.022618871,-24.919014,[-0.065 -0.611  0.011 -0.317 -0.065],9.332578,471.01,30.383211,2.307892e-06,2.261887,15.678453
5500,28.24503,1578.064091682434,1.8310084e-06,0.00018310084,1.5312325,-101.75376460003586,0.50139576,482.06366,21.266115,100,705731,5.0343547,503.4355,172195.19,55,0.20744148,-0.9415001,0.06252476,-25.50351,[-0.073 -0.56  -0.003 -0.311 -0.051],10.628711,445.16,41.937664,8.773804e-07,6.252475,50.139576
5600,20.371624,1661.2097194194794,9.4312214e-05,0.0094312215,14.317401,-90.29799982321465,0.032080974,5.0459228,0.15561128,100,746256,0.28735542,28.735542,1295.7731,56,19.81798,-1.4046925,0.013113946,-42.14077,[-0.067 -0.575 -0.003 -0.345 -0.03 ],11.726283,405.25,3.31099,-1.7166138e-07,1.3113945,3.2080975
5700,23.767597,1733.8469183444977,3.898849e-05,0.0038988492,11.398561,-101.94942323087342,0.030865483,10.513616,1.4602897,100,781579,0.29770178,29.77018,2595.268,57,9.511476,-1.0877815,0.0110707665,-32.6334,[-0.066 -0.565  0.01  -0.353 -0.019],12.890817,353.23,4.9873843,-1.6212464e-06,1.1070768,3.0865483
5800,20.464447,1809.5479710102081,5.310433e-05,0.005310433,13.797204,-96.74970341568518,0.03018981,8.180854,1.1824024,100,817491,0.27260122,27.260122,3190.423,58,12.223663,-1.2770327,0.012078008,-38.31092,[-0.081 -0.554 -0.008 -0.352 -0.031],12.772412,359.12,4.83499,-1.9073486e-06,1.2078009,3.0189812
5900,23.51813,1882.928548336029,0.00041153096,0.041153096,43.634224,-94.02326536113516,0.012777098,2.0452638,0.6939585,100,852651,0.07204162,7.2041626,357.62823,59,48.893448,-1.2375524,0.011241858,-37.126526,[-0.093 -0.556  0.007 -0.362 -0.035],14.1826315,351.6,2.4638138,-1.4495849e-06,1.1241859,1.27771
6000,20.779331,1957.3331761360168,0.0004915513,0.04915513,26.159195,-86.65366808925707,0.017370222,4.4125004,0.46551156,100,889432,0.11827192,11.827192,803.2257,60,22.662888,-1.0247682,0.0103387805,-30.742985,[-0.114 -0.579  0.005 -0.367 -0.041],11.45576,367.81,2.6181304,-1.8692017e-06,1.0338781,1.7370223
6100,35.722805,2030.7471761703491,0.0005885034,0.058850337,27.944311,-88.26807310104537,0.014610746,3.8326876,1.805521,100,925295,0.11820299,11.820299,1949.6852,61,26.091352,-1.1907611,0.009098816,-32.92762,[-0.136 -0.603  0.006 -0.384 -0.029],12.2223625,358.63,4.136702,-9.536743e-07,0.90988165,1.4610745
6200,28.314482,2108.063940525055,0.0006354883,0.06354883,47.283092,-92.5412956812109,0.011285822,2.4100235,1.0948944,100,961408,0.06364252,6.364252,579.4623,62,41.493374,-1.0809705,0.0106883645,-32.42914,[-0.109 -0.589  0.021 -0.38  -0.027],12.473064,361.13,2.7730212,9.155273e-07,1.0688363,1.1285824
6300,23.656612,2180.21067237854,0.0007198541,0.07198541,37.484467,-88.78841074556009,0.014593978,2.5469086,1.2605889,100,996832,0.121787466,12.178747,516.36,63,39.263287,-1.4094754,0.0113007035,-42.284286,[-0.108 -0.572  0.011 -0.375 -0.034],12.372784,354.24,3.5099773,8.392334e-07,1.1300702,1.459398
6400,32.06125,2249.0917270183563,1.5857274e-06,0.00015857274,1.220064,-99.31877973295897,0.71758413,210.65903,15.283169,100,1030584,7.215078,721.5078,91407.58,64,0.47470075,-1.0687119,0.07974984,-31.09282,[-0.11  -0.549  0.014 -0.361 -0.008],12.570374,337.52,30.794506,-3.7002565e-06,7.9749837,71.758415
6500,20.856031,2327.524831533432,0.00023736586,0.023736587,19.112597,-93.03742859052514,0.02904109,4.318068,4.0844345,100,1069535,0.21565971,21.565971,1315.7565,65,23.158504,-1.1434617,0.014116671,-34.303833,[-0.145 -0.601  0.009 -0.36  -0.034],11.881747,389.51,6.460542,-6.4849854e-07,1.4116672,2.9041092
6600,20.29845,2411.13819026947,1.3042886e-05,0.0013042886,1.5936993,-86.9605834018491,0.4212917,150.13913,16.294024,100,1110626,4.2375712,423.75714,112114.08,66,0.6660489,-1.4834695,0.053613562,-44.504112,[-0.147 -0.55   0.011 -0.337 -0.031],13.020283,410.91,34.471176,8.9645386e-07,5.3613563,42.129173
6700,25.05529,2480.2730927467346,2.1423955e-05,0.0021423956,3.8173594,-96.64358276875068,0.22009827,66.54754,22.122131,100,1143089,2.121842,212.1842,25956.197,67,1.5026852,-1.1705198,0.043848004,-35.115685,[-0.142 -0.514  0.016 -0.344  0.004],13.809838,324.63,31.670868,3.0899048e-06,4.384801,22.00983
6800,24.605015,2548.7154092788696,0.00022455807,0.022455808,38.683914,-95.04202315415267,0.016252398,3.358028,1.0212162,100,1176179,0.09052213,9.052214,507.43402,68,29.779383,-1.0824605,0.012909085,-32.4738,[-0.182 -0.565  0.007 -0.366  0.027],12.331754,330.9,3.0048158,-4.5776366e-07,1.2909085,1.62524
6900,30.9402,2623.4106800556183,6.844047e-05,0.0068440475,10.073653,-88.81318955916502,0.03846706,12.354773,2.248361,100,1212356,0.26049107,26.049109,4154.809,69,8.094038,-1.4092524,0.012874758,-42.277596,[-0.193 -0.564  0.021 -0.372  0.017],13.6697645,361.77,7.2017956,7.6293946e-07,1.2874757,3.8467062
7000,23.579494,2705.4628138542175,0.00017595568,0.017595569,11.744416,-84.95241585213482,0.03647395,7.7807207,1.1467919,100,1252838,0.23801337,23.801338,1452.3373,70,12.85228,-1.1196315,0.013305384,-33.58884,[-0.189 -0.585  0.025 -0.363 -0.008],11.202918,404.82,4.269876,-3.5095215e-06,1.3305385,3.647395
7100,23.685284,2777.3683252334595,0.00024218198,0.024218198,32.226204,-94.75213256020686,0.015808566,2.7302973,0.33019733,100,1287801,0.111138135,11.113813,248.24547,71,36.62605,-1.1987021,0.010900995,-35.96113,[-0.205 -0.574  0.024 -0.368  0.027],11.909028,349.63,2.3108897,2.4795531e-06,1.0900995,1.5808568
7200,32.446846,2859.0798285007477,0.00013971153,0.013971154,40.578564,-93.18140052582162,0.015024044,3.5228558,0.33911633,100,1326765,0.11034688,11.034689,925.9526,72,28.38606,-1.081561,0.012415483,-31.62382,[-0.216 -0.562  0.016 -0.351  0.017],12.418652,389.64,2.3691287,7.05719e-07,1.2415484,1.5024045
7300,32.43599,2933.878983736038,0.00027705563,0.027705563,22.374958,-93.49585555941766,0.027556825,5.6367674,1.1993158,100,1362397,0.18457563,18.457563,1563.5529,73,17.740665,-1.1653155,0.014794809,-34.959427,[-0.221 -0.546  0.002 -0.344  0.009],12.898215,356.32,3.9659905,-1.0871887e-06,1.4794809,2.7556825
7400,24.940338,3007.2624242305756,0.00017534944,0.017534945,10.772769,-84.84435004554862,0.031082122,6.177805,2.5635064,100,1397461,0.30435288,30.435287,2647.9526,74,16.18698,-1.2046591,0.010800045,-36.13975,[-0.245 -0.538  0.009 -0.356  0.012],12.9724655,350.64,5.557708,-6.8664554e-07,1.0800046,3.108212
7500,29.573608,3094.1715111732483,8.740093e-08,8.740093e-06,1.0823728,-76.58879627264301,1.2196294,3359.461,285.51935,100,1439321,12.262246,1226.2246,13152429.0,75,0.02976668,-1.2951026,0.1275791,-38.853096,[-0.267 -0.522  0.019 -0.334  0.003],12.104644,418.6,360.58466,6.9618227e-07,12.757908,121.96294
7600,23.892786,3183.011468410492,1.2332673e-06,0.00012332674,1.0469048,-62.5508358740189,1.2595524,863.82416,172.26411,100,1480957,12.661635,1266.1636,4333409.5,76,0.1157643,-1.1930635,0.12955527,-35.79193,[-0.278 -0.46   0.04  -0.318 -0.041],13.427519,416.36,207.32933,6.1035155e-07,12.955527,125.95524
7700,20.58199,3276.8162343502045,0.0006450109,0.06450109,33.390656,-67.47609759184915,0.015520665,3.1098967,1.0573721,100,1526120,0.118992366,11.899237,417.3816,77,32.15541,-0.9252583,0.0109889265,-27.757748,[-0.28  -0.41   0.034 -0.271 -0.055],10.093461,451.63,2.6890557,3.8146972e-08,1.0988927,1.5520666
7800,25.374321,3369.493485689163,0.00013276133,0.013276133,31.599718,-63.366470656902145,0.017995194,5.07516,2.6984377,100,1570496,0.12272077,12.272078,660.31396,78,19.703812,-1.3078673,0.012231202,-39.23602,[-0.301 -0.415  0.027 -0.279 -0.052],12.225269,443.76,5.6448164,5.722046e-07,1.2231202,1.7995195
7900,38.381683,3458.2847278118134,6.0469483e-05,0.0060469485,14.70599,-60.31571268937672,0.023869844,8.418784,3.118381,100,1612801,0.2191988,21.91988,6911.6665,79,11.8782,-1.2793908,0.009911457,-37.994743,[-0.304 -0.388  0.02  -0.275 -0.04 ],13.840875,423.05,6.830548,-1.4877319e-06,0.99114573,2.3869846
