Iteration,InitialBound,EpThisIter,ESSRenyi,ESSClassic,InitialReturnStd,StdIW,EpLenMean,EpisodesSoFar,MinIWNorm,Bound,EmpiricalD2,StdIWNorm,InitialReturnMin,MaxIW,MeanIW,Weights,ReturnMeanIW,EpRewMean,J_sample_variance,InitialReturnMean,MaxIWNorm,MeanIWNorm,InitialReturnMax,MinIW,TimeElapsed,TimestepsSoFar
59,-1.4367313,100,52.639824,48.79502,12.7634325,1.0646403,443.5,5900,0.0009433444,0.8312224,1.8997024,0.010646403,-43.101906,6.843877,1.0392848,[-0.379 -0.551 -0.122 -0.334 -0.572],2.8114634,-67.6630243980295,554.643,-1.0490418e-06,0.06843877,0.010392848,26.214016,0.09433444,4035.9904611110687,1927378
60,-1.3240681,100,7.237241,8.300539,10.908073,2.7590685,435.55,6000,2.5157311e-05,1.4355869,13.817421,0.027590679,-39.722042,25.3729,0.8301035,[-0.38  -0.547 -0.124 -0.336 -0.587],6.357385,-76.6255109182776,3861.2043,2.670288e-07,0.253729,0.0083010355,26.143904,0.0025157311,4125.906866788864,1970933
61,-1.4013125,100,67.09981,72.29357,12.965474,0.62266225,365.17,6100,0.0013103943,-0.8161334,1.4903172,0.006226623,-42.039364,3.7745185,1.0058013,[-0.387 -0.531 -0.122 -0.339 -0.589],0.8945682,-75.34866536544352,242.85547,-4.386902e-07,0.037745185,0.010058013,21.837605,0.13103943,4200.176854848862,2007450
62,-1.2955629,100,63.28194,67.38279,13.389141,0.6491416,380.87,6200,0.0010037444,-0.96545285,1.5802296,0.0064914157,-38.866905,4.632473,0.9330191,[-0.388 -0.529 -0.118 -0.341 -0.582],0.6631636,-69.88478638281005,228.13551,7.05719e-07,0.04632473,0.009330191,28.69966,0.100374445,4275.965963602066,2045537
63,-1.4292858,100,66.20533,70.25786,15.453004,0.6864593,377.57,6300,0.0013953923,-0.61528087,1.5104524,0.006864593,-42.878643,3.9282048,1.0550578,[-0.385 -0.528 -0.122 -0.338 -0.583],1.141321,-73.6411950678773,251.69368,2.6512146e-06,0.039282046,0.010550579,33.634518,0.13953924,4347.542344331741,2083294
64,-1.4289058,100,7.0743155,4.967278,11.867262,8.7666235,403.58,6400,4.2563246e-05,0.7008753,14.135643,0.08766623,-42.867195,80.77129,2.0042646,[-0.384 -0.53  -0.126 -0.336 -0.583],6.073192,-70.09969118003738,2641.0493,6.67572e-07,0.8077129,0.020042643,20.598097,0.004256325,4423.731327295303,2123652
65,-1.4672501,100,28.283789,30.196619,13.715917,1.784967,350.09,6500,0.00028051576,-0.1848948,3.5355942,0.01784967,-44.01755,14.709145,1.1740081,[-0.374 -0.527 -0.131 -0.344 -0.598],2.5740042,-71.87806751849782,807.5013,1.6880035e-06,0.14709145,0.01174008,28.642796,0.028051578,4489.790125131607,2158661
66,-1.6410277,100,66.99285,65.75927,14.533258,0.7139305,370.91,6600,0.002005141,-0.76442647,1.4926966,0.0071393047,-49.230774,4.362242,0.9893796,[-0.377 -0.532 -0.123 -0.347 -0.593],1.2405126,-70.14602994853225,245.05688,-1.8692017e-06,0.043622423,0.0098937955,22.824678,0.2005141,4557.779952049255,2195752
67,-1.3429945,100,5.182513,4.543683,13.594745,13.246473,380.88,6700,1.4398315e-05,3.7466502,19.295658,0.13246472,-40.289833,128.8574,2.8900268,[-0.378 -0.519 -0.122 -0.338 -0.6  ],9.645998,-65.34628586784851,3781.2737,3.8146972e-08,1.288574,0.028900268,27.297035,0.0014398316,4627.669256687164,2233840
68,-1.4677963,100,2.8575265,2.6128314,13.725936,13.579917,363.15,6800,6.30083e-05,15.306837,34.9953,0.13579917,-44.03389,136.70674,2.2243443,[-0.401 -0.529 -0.129 -0.352 -0.596],23.989855,-68.24730002641635,59184.26,8.583069e-08,1.3670673,0.02224344,32.666145,0.0063008303,4693.441999912262,2270155
69,-1.6400819,100,35.12942,32.88015,16.93299,1.5307679,329.12,6900,0.00017546871,0.08871627,2.8466167,0.015307679,-49.202473,10.374281,1.0713979,[-0.386 -0.54  -0.138 -0.354 -0.6  ],2.8558502,-74.03795307484124,798.01715,3.4332277e-07,0.10374281,0.010713979,41.968983,0.017546872,4754.4221732616425,2303067
70,-1.4056754,100,31.189882,15.30195,14.164834,3.1115203,391.67,7000,0.0004906371,2.468568,3.206168,0.031115204,-42.17025,27.846395,1.3225414,[-0.39  -0.556 -0.139 -0.356 -0.605],4.985538,-65.15481166245524,1689.9752,-3.8146973e-07,0.27846396,0.013225414,24.257328,0.049063712,4825.690723896027,2342234
71,-1.343275,100,74.499756,71.64249,13.562967,0.6861845,382.43,7100,0.001652812,-0.6117945,1.3422862,0.006861845,-40.298203,3.7095509,1.090667,[-0.394 -0.543 -0.146 -0.346 -0.606],0.9444829,-62.16481074139734,203.79077,-1.2969971e-06,0.03709551,0.010906669,21.08079,0.1652812,4896.285010099411,2380477
72,-1.3120964,100,8.378775,6.2665687,11.299214,4.163184,403.23,7200,7.172357e-05,1.2388468,11.934919,0.041631844,-39.36283,40.31185,1.0764486,[-0.4   -0.546 -0.152 -0.344 -0.61 ],5.771733,-68.34439942639409,3040.444,-2.0217894e-06,0.4031185,0.010764483,22.962633,0.007172357,4971.6077218055725,2420800
73,-1.343531,100,85.50741,87.93994,11.277693,0.3483827,411.53,7300,0.003350619,-0.82691073,1.1694893,0.0034838268,-40.305958,2.145444,0.94075274,[-0.393 -0.555 -0.151 -0.339 -0.593],0.6260241,-65.88444649305058,123.50317,9.918213e-07,0.021454439,0.009407528,22.883656,0.3350619,5048.506464481354,2461953
74,-1.3327634,100,31.981598,30.499037,12.511043,1.7907715,389.63,7400,0.00017485715,0.39348984,3.1267982,0.017907716,-39.98294,10.431733,1.1862819,[-0.403 -0.544 -0.154 -0.332 -0.592],2.750185,-72.33225175907083,891.6544,1.2207031e-06,0.10431733,0.01186282,27.26164,0.017485715,5120.486515522003,2500916
75,-1.1648734,100,78.57341,81.90489,10.898513,0.4903992,415.4,7500,0.0023913535,-0.7584367,1.2726952,0.004903992,-34.94622,2.3882086,1.0433363,[-0.408 -0.535 -0.148 -0.325 -0.598],0.555702,-64.39120239760365,178.80528,6.9618227e-07,0.023882085,0.010433363,21.150784,0.23913535,5196.313927412033,2542456
76,-1.4284431,100,83.00309,82.540596,11.387669,0.45409197,411.32,7600,0.003384633,-0.8286196,1.2047744,0.0045409193,-42.853283,3.108041,0.9873316,[-0.407 -0.538 -0.151 -0.327 -0.594],0.7392708,-72.68528609304279,160.21739,-2.0980835e-07,0.03108041,0.009873317,22.02877,0.3384633,5271.899383544922,2583588
77,-1.3914812,100,51.36005,54.711113,10.975778,0.9752853,422.35,7700,0.00073195127,-0.77772665,1.9470385,0.009752853,-41.74437,6.436528,1.0719478,[-0.404 -0.537 -0.153 -0.326 -0.598],1.163892,-64.2205416251688,372.64166,-2.1362305e-06,0.06436528,0.010719478,21.373762,0.07319513,5350.670563220978,2625823
