J,IterType,Bound,AvgNormIw,Delta,VarNormIw,MaxNormIw,eRenyi2,VarVanillaIw,ESSRenyi,VarRet,EpsThisIter,BatchSize,ESSClassic,AvgDiscRet,MinVanillaIw,VarJ,VanillaAvgRet,AvgRet,MinNormIw,VarDiscRet,AvgEpLen,AvgVanillaIw,MaxVanillaIw
nan,,nan,nan,0.9,nan,nan,0.00538745,nan,92808.2681106,7716.79613748,100,500,nan,232.967739958,0.000652211,nan,143.599750248,143.599750248,nan,14179.0710993,15.69,inf,inf
495.584,1,353.621,0.002,0.9,0.00116382,0.761404,88.4845,1900.19,5.65070834754,9454.14143271,100,500,1.71601818977,139.722886762,2.76369e-33,1229.16,139.722886762,139.722886762,2.16288e-36,9454.14143271,15.27,2.55556,972.907
284.247,2,265.043,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,6723.7664442,100,500,100.0,284.246886481,1.0,81.5875,284.246886481,284.246886481,0.01,6723.7664442,30.73,1.0,1.0
298.779,2,277.889,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,21531.1492098,100,500,200.000000102,313.310682286,1.0,119.153,313.310682286,313.310682286,0.005,21531.1492098,33.88,1.0,1.0
302.182,2,273.948,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,24321.5473295,100,500,299.999969474,308.988622639,1.0,132.341,308.988622639,308.988622639,0.00333333,24321.5473295,33.37,1.0,1.0
300.325,2,275.874,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,13702.5486176,100,500,400.0,294.755436183,1.0,128.598,294.755436183,294.755436183,0.0025,13702.5486176,31.85,1.0,1.0
606.8,1,526.701,0.002,0.9,0.000956368,0.690367,13.4134,2749.45,37.2762502832,10125.4612508,100,500,2.08669262968,288.873865723,4.10196e-08,824.944,288.873865723,288.873865723,2.41925e-11,10125.4612508,31.23,3.3911,1170.55
410.716,2,373.003,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,46000.7909653,100,500,100.0,410.716260344,1.0,213.403,410.716260344,410.716260344,0.01,46000.7909653,44.35,1.0,1.0
390.284,2,361.471,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,25747.9176538,100,500,200.000000102,369.851359291,1.0,189.56,369.851359291,369.851359291,0.005,25747.9176538,39.96,1.0,1.0
391.734,2,368.209,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,32305.4100226,100,500,299.999969474,394.633896393,1.0,186.066,394.633896393,394.633896393,0.00333333,32305.4100226,42.6,1.0,1.0
390.687,2,370.313,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,30461.8211394,100,500,400.0,387.544958566,1.0,183.052,387.544958566,387.544958566,0.0025,30461.8211394,41.85,1.0,1.0
2970.28,1,2290.23,0.002,0.9,0.00179509,0.947348,214.348,17634.1,2.33265190872,101175.989688,100,500,1.11389539949,445.377111697,,3244.49,445.377111697,445.377111697,,101175.989688,48.06,6.26849,2969.22
485.757,2,414.593,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,85078.4066395,100,500,100.0,485.757336556,1.0,290.22,485.757336556,485.757336556,0.01,85078.4066395,52.42,1.0,1.0
461.441,2,411.12,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,44607.7397059,100,500,200.000000102,437.12417345,1.0,254.531,437.12417345,437.12417345,0.005,44607.7397059,47.25,1.0,1.0
461.232,2,411.187,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,85862.6434662,100,500,299.999969474,460.815346691,1.0,267.442,460.815346691,460.815346691,0.00333333,85862.6434662,49.73,1.0,1.0
466.769,2,423.429,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,60702.3199078,100,500,400.0,483.379149331,1.0,262.221,483.379149331,483.379149331,0.0025,60702.3199078,52.18,1.0,1.0
2422.43,1,2073.95,0.002,0.9,0.00161982,0.899926,80.8152,4354.57,6.18695428351,36459.7132178,100,500,1.23412327559,396.51772261,1.42734e-34,3652.98,396.51772261,396.51772261,8.70537e-38,36459.7132178,42.85,3.27921,1475.52
870.276,2,801.206,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,177765.017092,100,500,100.0,870.276204495,1.0,419.508,870.276204495,870.276204495,0.01,177765.017092,93.98,1.0,1.0
908.76,2,801.678,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,515953.229067,100,500,200.000000102,947.24449823,1.0,587.258,947.24449823,947.24449823,0.005,515953.229067,102.61,1.0,1.0
888.408,2,798.724,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,291918.324584,100,500,299.999969474,847.703985211,1.0,571.905,847.703985211,847.703985211,0.00333333,291918.324584,91.81,1.0,1.0
899.679,2,822.01,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,303368.509463,100,500,400.0,933.490443951,1.0,566.367,933.490443951,933.490443951,0.0025,303368.509463,100.93,1.0,1.0
3548.78,1,2985.52,0.002,0.9,0.000878395,0.632485,65.7412,4665.67,7.60557764023,259775.223202,100,500,2.27108165559,867.068062972,2.34584e-23,5049.34,867.068062972,867.068062972,1.01786e-26,259775.223202,93.7,4.60937,1457.68
1686.0,2,1530.08,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,1227367.94108,100,500,100.0,1686.00294334,1.0,1102.31,1686.00294334,1686.00294334,0.01,1227367.94108,182.56,1.0,1.0
1737.7,2,1627.45,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,1026115.252,100,500,200.000000102,1789.40670411,1.0,1057.42,1789.40670411,1789.40670411,0.005,1026115.252,194.06,1.0,1.0
1658.79,2,1568.77,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,795314.067084,100,500,299.999969474,1500.96930058,1.0,1010.12,1500.96930058,1500.96930058,0.00333333,795314.067084,162.72,1.0,1.0
1646.03,2,1568.07,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,1158050.36908,100,500,400.0,1607.74558692,1.0,1025.85,1607.74558692,1607.74558692,0.0025,1158050.36908,174.3,1.0,1.0
4343.88,1,3839.93,0.002,0.9,0.000490471,0.316149,52.2301,1099.11,9.57302701478,689949.967051,100,500,4.0527658208,1495.94695118,1.4202e-29,2710.6,1495.94695118,1495.94695118,9.48715e-33,689949.967051,162.32,2.99394,473.265
3594.91,2,3438.94,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,1449661.89565,100,500,100.0,3594.9120924,1.0,1197.98,3594.9120924,3594.9120924,0.01,1449661.89565,389.15,1.0,1.0
3595.92,2,3485.63,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,1483744.0043,100,500,200.000000102,3596.92846751,1.0,1205.0,3596.92846751,3596.92846751,0.005,1483744.0043,388.78,1.0,1.0
3572.54,2,3482.47,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,1312480.07252,100,500,299.999969474,3525.76610611,1.0,1184.16,3525.76610611,3525.76610611,0.00333333,1312480.07252,381.58,1.0,1.0
3551.64,2,3473.65,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,1620442.52524,100,500,400.0,3488.96121097,1.0,1205.84,3488.96121097,3488.96121097,0.0025,1620442.52524,377.87,1.0,1.0
4607.8,1,4395.28,0.002,0.9,0.00043993,0.465634,9.2803,371.86,53.8775954813,1626019.66261,100,500,4.51416344921,3444.33284989,3.61912e-30,756.285,3444.33284989,3444.33284989,3.93646e-33,1626019.66261,372.71,1.83877,428.097
4459.75,2,4303.77,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,312301.417824,100,500,100.0,4459.75507058,1.0,556.038,4459.75507058,4459.75507058,0.01,312301.417824,481.09,1.0,1.0
4453.85,2,4343.55,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,296498.035576,100,500,200.000000102,4447.94486036,1.0,548.99,4447.94486036,4447.94486036,0.005,296498.035576,479.46,1.0,1.0
4460.49,2,4370.42,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,239095.927755,100,500,299.999969474,4473.76327631,1.0,529.072,4473.76327631,4473.76327631,0.00333333,239095.927755,482.17,1.0,1.0
4451.61,2,4373.61,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,372136.682471,100,500,400.0,4424.96232836,1.0,549.798,4424.96232836,4424.96232836,0.0025,372136.682471,477.34,1.0,1.0
4633.2,1,4528.35,0.002,0.9,5.56131e-06,0.0143082,2.25855,1.31249,221.381355425,351747.818857,100,500,209.420058297,4464.5739304,6.76799e-05,90.24,4464.5739304,4464.5739304,1.39316e-07,351747.818857,481.73,0.971603,6.95093
4629.0,2,4473.04,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,19029.8474767,100,500,100.0,4628.99759515,1.0,137.257,4628.99759515,4628.99759515,0.01,19029.8474767,497.67,1.0,1.0
4618.32,2,4508.02,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,56499.1267653,100,500,200.000000102,4607.64969759,1.0,193.651,4607.64969759,4607.64969759,0.005,56499.1267653,496.01,1.0,1.0
4622.67,2,4532.61,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,31668.1089337,100,500,299.999969474,4631.37089993,1.0,188.385,4631.37089993,4631.37089993,0.00333333,31668.1089337,498.2,1.0,1.0
4625.17,2,4547.17,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,17130.38347,100,500,400.0,4632.67159368,1.0,175.713,4632.67159368,4632.67159368,0.0025,17130.38347,498.32,1.0,1.0
4645.36,1,4568.53,0.002,0.9,8.09536e-07,0.00475978,1.21291,0.207514,412.232652986,25929.2643043,100,500,415.980566244,4616.08921383,0.110081,58.2318,4616.08921383,4616.08921383,0.000217424,25929.2643043,497.27,1.01259,2.40987
4647.32,2,4491.32,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,7029.82947506,100,500,100.0,4647.3185621,1.0,83.4238,4647.3185621,4647.3185621,0.01,7029.82947506,499.25,1.0,1.0
4644.77,2,4534.46,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,8140.74289354,100,500,200.000000102,4642.21885407,1.0,86.6945,4642.21885407,4642.21885407,0.005,8140.74289354,498.9,1.0,1.0
4645.71,2,4555.65,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,1830.84725753,100,500,299.999969474,4647.59874321,1.0,74.9439,4647.59874321,4647.59874321,0.00333333,1830.84725753,499.65,1.0,1.0
4645.42,2,4567.42,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,8572.63652086,100,500,400.0,4644.54572143,1.0,79.5891,4644.54572143,4644.54572143,0.0025,8572.63652086,499.06,1.0,1.0
4649.56,1,4575.79,0.002,0.9,4.8873e-07,0.00365161,1.11827,0.12102,447.120768011,101473.497095,100,500,445.657258822,4600.84534406,0.0851498,54.0148,4600.84534406,4600.84534406,0.000171115,101473.497095,494.24,0.995232,1.8171
4656.78,2,4500.8,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,454.014966662,100,500,100.0,4656.78371238,1.0,21.2008,4656.78371238,4656.78371238,0.01,454.014966662,500.0,1.0,1.0
4649.43,2,4539.13,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,5842.49521027,100,500,200.000000102,4642.08046754,1.0,56.31,4642.08046754,4642.08046754,0.005,5842.49521027,498.87,1.0,1.0
4649.81,2,4559.75,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,575.816715638,100,500,299.999969474,4650.56312164,1.0,48.0019,4650.56312164,4650.56312164,0.00333333,575.816715638,500.0,1.0,1.0
4648.59,2,4570.59,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,3794.98508893,100,500,400.0,4644.91626183,1.0,51.6903,4644.91626183,4644.91626183,0.0025,3794.98508893,499.18,1.0,1.0
4653.99,1,4582.3,0.002,0.9,2.5342e-07,0.00309609,1.05593,0.0625549,473.517351223,10900.6155634,100,500,470.265755977,4650.61227468,0.20165,36.7092,4650.61227468,4650.61227468,0.000405871,10900.6155634,498.91,0.993665,1.53824
4634.38,2,4478.38,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,35159.0459701,100,500,100.0,4634.37486161,1.0,186.568,4634.37486161,4634.37486161,0.01,35159.0459701,497.43,1.0,1.0
4637.14,2,4526.84,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,15266.0502156,100,500,200.000000102,4639.91320581,1.0,158.013,4639.91320581,4639.91320581,0.005,15266.0502156,498.71,1.0,1.0
4643.16,2,4553.1,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,830.411607642,100,500,299.999969474,4655.19104397,1.0,130.353,4655.19104397,4655.19104397,0.00333333,830.411607642,500.0,1.0,1.0
4645.1,2,4567.1,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,7721.80254918,100,500,400.0,4650.92334603,1.0,121.105,4650.92334603,4650.92334603,0.0025,7721.80254918,499.09,1.0,1.0
4653.91,1,4581.52,0.002,0.9,3.15302e-07,0.00365234,1.07666,0.0803091,464.397704664,1418.16149947,100,500,463.534455508,4653.55829814,0.170978,46.4739,4653.55829814,4653.55829814,0.000338782,1418.16149947,499.78,1.00937,1.84328
4659.68,2,4503.69,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,299.119253809,100,500,100.0,4659.6831163,1.0,17.2084,4659.6831163,4659.6831163,0.01,299.119253809,500.0,1.0,1.0
4653.91,2,4543.6,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,8422.60026084,100,500,200.000000102,4648.13731385,1.0,65.9589,4648.13731385,4648.13731385,0.005,8422.60026084,499.05,1.0,1.0
4654.6,2,4564.54,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,665.75140239,100,500,299.999969474,4655.97978286,1.0,55.8662,4655.97978286,4655.97978286,0.00333333,665.75140239,500.0,1.0,1.0
4654.19,2,4576.19,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,3543.31467924,100,500,400.0,4652.94525803,1.0,56.7297,4652.94525803,4652.94525803,0.0025,3543.31467924,499.44,1.0,1.0
4657.96,1,4586.73,0.002,0.9,1.97959e-07,0.00292861,1.04244,0.049861,479.642185875,482.139644702,100,500,476.466965924,4655.89748127,0.227254,29.8435,4655.89748127,4655.89748127,0.000452812,482.139644702,500.0,1.00374,1.46979
4655.04,2,4499.05,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,438.1086444,100,500,100.0,4655.04268502,1.0,20.8261,4655.04268502,4655.04268502,0.01,438.1086444,500.0,1.0,1.0
4657.47,2,4547.16,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,264.001555564,100,500,200.000000102,4659.89594561,1.0,18.7998,4659.89594561,4659.89594561,0.005,264.001555564,500.0,1.0,1.0
4658.35,2,4568.29,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,320.013253416,100,500,299.999969474,4660.12301768,1.0,18.5146,4660.12301768,4660.12301768,0.00333333,320.013253416,500.0,1.0,1.0
4658.77,2,4580.78,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,301.195012784,100,500,400.0,4660.03520766,1.0,18.2255,4660.03520766,4660.03520766,0.0025,301.195012784,500.0,1.0,1.0
4658.98,1,4588.79,0.002,0.9,5.73403e-08,0.00249635,1.01242,0.0141563,493.865106885,1263.68287922,100,500,492.94777398,4655.44796706,0.536241,21.0916,4655.44796706,4655.44796706,0.00107923,1263.68287922,499.73,0.993745,1.24037
4659.27,2,4503.27,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,301.922497738,100,500,100.0,4659.26761879,1.0,17.2888,4659.26761879,4659.26761879,0.01,301.922497738,499.97,1.0,1.0
4657.73,2,4547.42,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,343.54255063,100,500,200.000000102,4656.18626291,1.0,17.941,4656.18626291,4656.18626291,0.005,343.54255063,500.0,1.0,1.0
4658.96,2,4568.89,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,230.656111843,100,500,299.999969474,4661.42794658,1.0,17.139,4661.42794658,4661.42794658,0.00333333,230.656111843,500.0,1.0,1.0
4658.54,2,4580.54,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,420.213773827,100,500,400.0,4657.27853307,1.0,18.0234,4657.27853307,4657.27853307,0.0025,420.213773827,500.0,1.0,1.0
4659.35,1,4589.3,0.002,0.9,3.40495e-08,0.00261761,1.00814,0.00844364,495.964109653,292.480463395,100,500,495.788162842,4659.80325932,0.685458,16.9512,4659.80325932,4659.80325932,0.00137649,292.480463395,500.0,0.995954,1.30351
4659.16,2,4503.17,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,446.692259703,100,500,100.0,4659.16068445,1.0,21.0292,4659.16068445,4659.16068445,0.01,446.692259703,499.89,1.0,1.0
4659.06,2,4548.76,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,298.173211799,100,500,200.000000102,4658.95977529,1.0,19.202,4658.95977529,4658.95977529,0.005,298.173211799,500.0,1.0,1.0
4660.3,2,4570.23,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,258.611874466,100,500,299.999969474,4662.77463502,1.0,18.2817,4662.77463502,4662.77463502,0.00333333,258.611874466,500.0,1.0,1.0
4661.14,2,4583.14,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,261.591299921,100,500,400.0,4663.66610969,1.0,17.8195,4663.66610969,4663.66610969,0.0025,261.591299921,500.0,1.0,1.0
4661.24,1,4591.19,0.002,0.9,3.3079e-08,0.00242587,1.00822,0.00825859,495.924995658,451.601279653,100,500,495.907020254,4658.76826017,0.655149,17.5412,4658.76826017,4658.76826017,0.00131118,451.601279653,500.0,0.999325,1.21212
4658.59,2,4502.61,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,387.393237601,100,500,100.0,4658.59175361,1.0,19.5837,4658.59175361,4658.59175361,0.01,387.393237601,500.0,1.0,1.0
4659.03,2,4548.72,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,253.794326436,100,500,200.000000102,4659.46166879,1.0,17.8207,4659.46166879,4659.46166879,0.005,253.794326436,500.0,1.0,1.0
4658.96,2,4568.9,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,325.703825598,100,500,299.999969474,4658.82875791,1.0,17.8664,4658.82875791,4658.82875791,0.00333333,325.703825598,500.0,1.0,1.0
4659.43,2,4581.43,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,276.174425043,100,500,400.0,4660.8227813,1.0,17.5616,4660.8227813,4660.8227813,0.0025,276.174425043,500.0,1.0,1.0
4660.12,1,4590.0,0.002,0.9,5.37576e-08,0.00261985,1.01014,0.0131542,494.980045867,363.616205497,100,500,493.382378543,4659.18240519,0.300632,16.8007,4659.18240519,4659.18240519,0.000607749,363.616205497,500.0,0.989331,1.29595
4664.25,2,4508.25,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,209.680754251,100,500,100.0,4664.25006219,1.0,14.4077,4664.25006219,4664.25006219,0.01,209.680754251,500.0,1.0,1.0
4663.93,2,4553.62,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,233.505205566,100,500,200.000000102,4663.6109747,1.0,14.8148,4663.6109747,4663.6109747,0.005,233.505205566,500.0,1.0,1.0
4663.33,2,4573.26,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,178.004959235,100,500,299.999969474,4662.13016945,1.0,14.3451,4662.13016945,4662.13016945,0.00333333,178.004959235,500.0,1.0,1.0
4662.33,2,4584.33,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,406.85301985,100,500,400.0,4659.34557335,1.0,16.0627,4659.34557335,4659.34557335,0.0025,406.85301985,500.0,1.0,1.0
4661.58,1,4591.27,0.002,0.9,6.34245e-08,0.00261669,1.0156,0.0160784,492.318498296,4620.6442093,100,500,492.210971605,4652.13518275,0.460957,20.7446,4652.13518275,4652.13518275,0.000915518,4620.6442093,499.33,1.00699,1.31749
4662.4,2,4506.42,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,225.431491609,100,500,100.0,4662.39779953,1.0,14.9391,4662.39779953,4662.39779953,0.01,225.431491609,500.0,1.0,1.0
4659.36,2,4549.06,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,539.339783228,100,500,200.000000102,4656.32464118,1.0,19.6922,4656.32464118,4656.32464118,0.005,539.339783228,499.89,1.0,1.0
4659.78,2,4569.72,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,461.519792429,100,500,299.999969474,4660.62095579,1.0,20.2775,4660.62095579,4660.62095579,0.00333333,461.519792429,499.86,1.0,1.0
4660.19,2,4582.19,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,196.996913023,100,500,400.0,4661.42505103,1.0,18.9115,4661.42505103,4661.42505103,0.0025,196.996913023,500.0,1.0,1.0
4661.31,1,4591.25,0.002,0.9,3.84402e-08,0.00247904,1.00845,0.00962274,495.811617535,157.845221717,100,500,495.25046493,4662.76598372,0.670701,16.1655,4662.76598372,4662.76598372,0.00134052,157.845221717,500.0,1.00066,1.24034
4662.51,2,4506.52,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,214.917457221,100,500,100.0,4662.51472671,1.0,14.5866,4662.51472671,4662.51472671,0.01,214.917457221,500.0,1.0,1.0
4662.89,2,4552.58,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,164.197968208,100,500,200.000000102,4663.26177781,1.0,13.7041,4663.26177781,4663.26177781,0.005,164.197968208,500.0,1.0,1.0
4662.54,2,4572.48,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,232.626713855,100,500,299.999969474,4661.85051044,1.0,14.22,4661.85051044,4661.85051044,0.00333333,232.626713855,500.0,1.0,1.0
4662.09,2,4584.09,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,339.420556406,100,500,400.0,4660.73055412,1.0,15.3713,4660.73055412,4660.73055412,0.0025,339.420556406,500.0,1.0,1.0
4662.5,1,4592.58,0.002,0.9,2.00876e-08,0.00239599,1.00463,0.00502102,497.695152606,249.850808276,100,500,497.506698311,4662.49751284,0.769693,15.0744,4662.49751284,4662.49751284,0.00153952,249.850808276,500.0,0.999913,1.19789
4650.31,2,4494.31,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,9042.00584033,100,500,100.0,4650.30741219,1.0,94.6128,4650.30741219,4650.30741219,0.01,9042.00584033,499.0,1.0,1.0
4655.8,2,4545.5,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,249.193645173,100,500,200.000000102,4661.30162753,1.0,68.0394,4661.30162753,4661.30162753,0.005,249.193645173,500.0,1.0,1.0
4657.38,2,4567.31,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,298.614676693,100,500,299.999969474,4660.52903526,1.0,56.4778,4660.52903526,4660.52903526,0.00333333,298.614676693,500.0,1.0,1.0
4655.21,2,4577.21,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,18065.6540056,100,500,400.0,4648.71863188,1.0,82.9314,4648.71863188,4648.71863188,0.0025,18065.6540056,498.59,1.0,1.0
4658.38,1,4586.35,0.002,0.9,2.90982e-07,0.00345925,1.06606,0.0725621,469.015727661,58858.7070009,100,500,466.157137069,4637.35072855,0.278467,44.4391,4637.35072855,4637.35072855,0.000557637,58858.7070009,497.42,0.998739,1.72745
4653.82,2,4497.82,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,4224.16955323,100,500,100.0,4653.82038624,1.0,64.6678,4653.82038624,4653.82038624,0.01,4224.16955323,499.37,1.0,1.0
4658.74,2,4548.44,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,203.176623243,100,500,200.000000102,4663.66902866,1.0,47.0721,4663.66902866,4663.66902866,0.005,203.176623243,500.0,1.0,1.0
4659.56,2,4569.5,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,500.0,212.165912888,100,500,299.999969474,4661.20388401,1.0,39.3516,4661.20388401,4661.20388401,0.00333333,212.165912888,500.0,1.0,1.0
4660.44,2,4582.44,0.0025,0.9,5.4346e-20,0.0025,1.0,,500.0,238.711032103,100,500,400.0,4663.05651786,1.0,34.9683,4663.05651786,4663.05651786,0.0025,238.711032103,500.0,1.0,1.0
4661.81,1,4591.42,0.002,0.9,7.18866e-08,0.0026729,1.01804,0.0179903,491.140900617,408.579531025,100,500,491.189988875,4660.06058255,0.423617,20.5671,4660.06058255,4660.06058255,0.000846795,408.579531025,500.0,1.00052,1.33715
4663.04,2,4507.06,0.01,0.9,3.50449e-18,0.01,1.0,,500.0,287.28144675,100,500,100.0,4663.03851665,1.0,16.8644,4663.03851665,4663.03851665,0.01,287.28144675,500.0,1.0,1.0
4663.06,2,4552.75,0.005,0.9,2.1793e-19,0.005,1.0,,500.0,233.395926257,100,500,200.000000102,4663.0807651,1.0,16.0541,4663.0807651,4663.0807651,0.005,233.395926257,500.0,1.0,1.0
