VanillaAvgRet,VarVanillaIw,BatchSize,J,AvgRet,ESSRenyi,EpsThisIter,MaxVanillaIw,SamplesThisIter,IterType,MinVanillaIw,AvgNormIw,Bound,AvgVanillaIw,ESSClassic,AvgEpLen,VarNormIw,renyi2,AvgDiscRet,MaxNormIw,VarDiscRet,MinNormIw,VarRet,VarJ,delta
-301.28364833,395.926,100,nan,-301.28364833,nan,132,375.234,50000,1,,4.20875e-05,nan,6.19403,1.57265815283,378.787878788,1.82799e-08,nan,-301.28364833,0.00254966,22780.0972659,,22780.0972659,nan,0.4
-335.435383918,8.14391e+22,100,-24830.1,-335.435383918,nan,115,1.27528e+13,50000,1,,4.83092e-05,-194.655,7.57408e+09,9.64104006795,434.782608696,3.31309e-06,nan,-335.435383918,0.0813403,13850.4685437,,13850.4685437,2090.52,0.4
-267.692511977,296.254,100,-17702.6,-267.692511977,nan,143,199.175,50000,1,,3.885e-05,-133.819,6.09868,2.18433302219,349.65034965,1.2022e-08,nan,-267.692511977,0.00126879,24681.0919703,,24681.0919703,1743.09,0.4
-371.021268672,inf,100,-28358.1,-371.021268672,nan,110,4.25058e+22,50000,1,,5.05051e-05,-210.481,3.65724e+19,8.56204120206,454.545454545,2.02999e-06,nan,-371.021268672,0.0586989,10637.4221721,,10637.4221721,1814.1,0.4
-400.754020854,0.0848875,100,-71546.6,-400.754020854,nan,100,2.41138,50000,1,0.148463,5.55556e-05,-449.12,1.04639,1.0554618385,500.0,2.39282e-10,nan,-400.754020854,0.000128026,251.099606583,7.88225e-06,251.099606583,271.211,0.4
-401.793413522,0.062446,100,-71841.8,-401.793413522,nan,100,1.94022,50000,1,0.193206,5.55556e-05,-450.086,1.01677,0.898043517211,500.0,1.8643e-10,nan,-401.793413522,0.000106012,203.874256516,1.05566e-05,203.874256516,248.039,0.4
-406.718417832,0.0336446,100,-72940.8,-406.718417832,nan,100,1.78445,50000,1,0.413308,5.55556e-05,-456.133,0.994405,0.699692007834,500.0,1.05013e-10,nan,-406.718417832,9.96938e-05,113.401865291,2.30907e-05,113.401865291,190.24,0.4
-395.303499998,0.418581,100,-68254.3,-395.303499998,nan,101,9.08973,50000,1,0.00857691,5.50055e-05,-432.152,0.944032,0.735377888351,495.04950495,1.42108e-09,nan,-395.303499998,0.000529628,1196.50621985,4.99747e-07,1196.50621985,1824.95,0.4
-397.784330385,76.8716,100,-56433.0,-397.784330385,nan,102,548.1,50000,1,,5.44662e-05,-404.199,1.28105,1.81570014574,490.196078431,1.3896e-07,nan,-397.784330385,0.0233035,2492.59585573,,2492.59585573,3774.55,0.4
-364.424041276,2.40363e+28,100,-32329.0,-364.424041276,nan,110,5.31222e+15,50000,1,,5.05051e-05,-237.491,5.65214e+12,5.92194202774,454.545454545,1.91916e-06,nan,-364.424041276,0.0474677,9052.64065163,,9052.64065163,1759.9,0.4
-275.56479499,873.202,100,-22874.6,-275.56479499,nan,146,1369.7,50000,1,,3.80518e-05,-139.699,5.83255,9.62288583156,342.465753425,3.71661e-08,nan,-275.56479499,0.00893595,27377.0569436,,27377.0569436,1830.98,0.4
-388.493060422,0.74432,100,-65824.8,-388.493060422,nan,101,10.8317,50000,1,1.73912e-11,5.50055e-05,-420.075,0.975138,1.78023611225,495.04950495,2.36832e-09,nan,-388.493060422,0.000610993,1595.43104392,9.81003e-16,1595.43104392,1601.56,0.4
-322.13080823,3112.27,100,-30686.7,-322.13080823,nan,124,802.513,50000,1,,4.48029e-05,-192.313,12.5031,2.81257734382,403.225806452,3.99626e-08,nan,-322.13080823,0.00287568,17946.4421152,,17946.4421152,1703.42,0.4
-367.234667551,62324.8,100,-41048.7,-367.234667551,nan,110,4151.47,50000,1,,5.0505e-05,-296.256,46.5861,1.75557570411,454.545454545,7.32519e-08,nan,-367.234667551,0.00450071,7220.94968472,,7220.94968472,1541.95,0.4
-307.935246697,506.236,100,-27050.3,-307.935246697,nan,130,204.621,50000,1,,4.2735e-05,-166.044,7.92951,1.18682207103,384.615384615,1.47037e-08,nan,-307.935246697,0.00110278,21424.5176764,,21424.5176764,1933.14,0.4
-299.01182909,577.182,100,-27441.4,-299.01182909,nan,130,262.758,50000,1,,4.2735e-05,-171.015,9.22032,1.84650828711,384.615384615,1.23991e-08,nan,-299.01182909,0.00121785,19860.2299246,,19860.2299246,1640.28,0.4
-401.340187261,0.425713,100,-68923.1,-401.340187261,nan,101,10.8666,50000,1,0.00396177,5.50055e-05,-436.024,0.894456,0.75061797377,495.04950495,1.60995e-09,nan,-401.340187261,0.000668255,1372.62654335,2.43633e-07,1372.62654335,2526.45,0.4
-402.943623326,0.324041,100,-69654.8,-402.943623326,nan,101,10.158,50000,1,0.00485192,5.50055e-05,-440.074,0.87568,0.836818893582,495.04950495,1.27856e-09,nan,-402.943623326,0.000638068,1201.24947767,3.04771e-07,1201.24947767,2570.19,0.4
-401.331821538,0.356515,100,-69000.3,-401.331821538,nan,101,10.7023,50000,1,1.91613e-05,5.50055e-05,-437.4,0.871121,0.944039057638,495.04950495,1.42145e-09,nan,-401.331821538,0.000675777,1293.46399504,1.20991e-09,1293.46399504,2731.4,0.4
-398.029329809,0.310559,100,-69125.9,-398.029329809,nan,101,10.1184,50000,1,7.05954e-05,5.50055e-05,-434.511,0.909788,0.69046177167,495.04950495,1.13521e-09,nan,-398.029329809,0.000611754,1251.77780587,4.26818e-09,1251.77780587,2063.79,0.4
-368.562569844,inf,100,-35923.4,-368.562569844,nan,110,2.50639e+21,50000,1,,5.05051e-05,-245.293,1.26603e+18,9.9999996763,454.545454545,5.04686e-06,nan,-368.562569844,0.0999866,8993.72138722,,8993.72138722,1918.84,0.4
-313.712154445,6.25538e+06,100,-28397.3,-313.712154445,nan,123,95226.7,50000,1,,4.51671e-05,-179.821,115.444,19.9987395753,406.504065041,9.57535e-07,nan,-313.712154445,0.0372571,17257.3542217,,17257.3542217,1895.07,0.4
-269.824379271,207.867,100,-24206.0,-269.824379271,nan,146,286.044,50000,1,,3.80518e-05,-142.058,5.52202,3.92550137034,342.465753425,9.87048e-09,nan,-269.824379271,0.0019711,25359.4765805,,25359.4765805,1766.16,0.4
-351.216706474,1.19125e+09,100,-39394.6,-351.216706474,nan,114,1.55859e+06,50000,1,,4.87329e-05,-245.784,918.216,9.93178196792,438.596491228,3.3555e-06,nan,-351.216706474,0.0827199,11025.7233101,,11025.7233101,1835.26,0.4
-324.263330775,186.565,100,-37306.1,-324.263330775,nan,123,164.146,50000,1,,4.51671e-05,-229.802,4.32006,1.32259800114,406.504065041,2.03938e-08,nan,-324.263330775,0.00171618,13853.4586714,,13853.4586714,1798.79,0.4
-265.368286999,1.00322e+08,100,-25060.5,-265.368286999,nan,144,510030.0,50000,1,,3.85802e-05,-153.118,203.521,10.0002626986,347.222222222,3.60504e-06,nan,-265.368286999,0.0966835,20988.9062194,,20988.9062194,1613.43,0.4
-236.250274062,101.442,100,-23381.2,-236.250274062,nan,165,78.9035,50000,1,,3.367e-05,-131.407,4.63632,5.61428408234,303.03030303,5.35004e-09,nan,-236.250274062,0.000573015,24801.9527191,,24801.9527191,1597.29,0.4
-314.753573085,5828.56,100,nan,-314.753573085,nan,126,997.217,50000,1,,4.40917e-05,nan,16.0851,2.66215589057,396.825396825,4.37955e-08,nan,-314.753573085,0.00273353,19640.5614333,,19640.5614333,nan,0.4
-237.224247141,82.4196,100,-23258.3,-237.224247141,nan,164,71.6845,50000,1,,3.38753e-05,-131.587,4.27417,3.32593164494,304.87804878,5.1772e-09,nan,-237.224247141,0.000568142,25391.8155101,,25391.8155101,1650.0,0.4
-236.402495814,86.0399,100,-22679.9,-236.402495814,nan,166,129.862,50000,1,,3.34672e-05,-130.357,3.72071,33.1318297234,301.204819277,6.96124e-09,nan,-236.402495814,0.00116809,25876.3347519,,25876.3347519,1694.66,0.4
-222.40639363,73.7041,100,-21982.8,-222.40639363,nan,174,70.7173,50000,1,,3.19285e-05,-124.904,4.1307,4.61419633258,287.356321839,4.40353e-09,nan,-222.40639363,0.000546613,23739.1051881,,23739.1051881,1584.16,0.4
-218.388423308,476.947,100,-20759.3,-218.388423308,nan,178,1340.54,50000,1,,3.1211e-05,-122.665,4.05289,9.61985756376,280.898876404,2.8285e-08,nan,-218.388423308,0.0103234,24174.3368788,,24174.3368788,1558.85,0.4
-212.102911709,31.3353,100,-22393.5,-212.102911709,nan,177,102.071,50000,1,,3.13873e-05,-132.853,2.84578,3.40265621325,282.485875706,3.81187e-09,nan,-212.102911709,0.00112579,21368.8167115,,21368.8167115,1468.08,0.4
-197.982808775,4.57091,100,-20778.2,-197.982808775,nan,195,46.3937,50000,1,,2.849e-05,-118.724,1.29856,12.6413220457,256.41025641,2.2002e-09,nan,-197.982808775,0.00101786,25448.1907048,,25448.1907048,1514.05,0.4
-185.153719236,17.2302,100,-19395.1,-185.153719236,nan,206,36.1603,50000,1,,2.69687e-05,-115.519,2.48104,3.08689312004,242.718446602,2.03583e-09,nan,-185.153719236,0.000393059,22436.8585128,,22436.8585128,1447.53,0.4
-187.150300526,16.8736,100,-20204.9,-187.150300526,nan,198,30.2266,50000,1,,2.80584e-05,-123.154,2.43867,5.23573063327,252.525252525,2.2337e-09,nan,-187.150300526,0.000347774,20124.0969991,,20124.0969991,1379.72,0.4
-121.315260949,2.60051,100,-14561.1,-121.315260949,nan,300,13.9364,50000,1,,1.85185e-05,-93.4914,1.47164,5.94727971588,166.666666667,4.11784e-10,nan,-121.315260949,0.000175371,14215.6934211,,14215.6934211,1073.1,0.4
-136.850178865,1.56818,100,-16033.8,-136.850178865,nan,272,13.0467,50000,1,,2.04248e-05,-101.041,1.24076,6.40509854822,183.823529412,4.2495e-10,nan,-136.850178865,0.00021477,16844.4078369,,16844.4078369,1106.81,0.4
-201.331106335,13.6269,100,-20589.2,-201.331106335,nan,187,86.2191,50000,1,,2.97089e-05,-121.56,1.88255,3.46542790353,267.379679144,3.39373e-09,nan,-201.331106335,0.00136064,21975.9720756,,21975.9720756,1506.71,0.4
-154.726903008,2.86877,100,-18050.0,-154.726903008,nan,235,12.3733,50000,1,,2.36407e-05,-109.988,1.4803,4.10187157571,212.765957447,7.31668e-10,nan,-154.726903008,0.000197603,16782.7667287,,16782.7667287,1192.66,0.4
-102.894633633,0.707833,100,-14287.6,-102.894633633,nan,352,5.99017,50000,1,6.33952e-35,1.57828e-05,-95.622,1.14209,5.33318935632,142.045454545,1.35177e-10,nan,-102.894633633,8.27799e-05,7869.26237375,8.76076e-40,7869.26237375,716.602,0.4
-125.368699394,0.926617,100,-15370.0,-125.368699394,nan,291,18.5697,50000,1,2.77578e-31,1.90913e-05,-97.5031,1.07035,6.02356049252,171.821305842,2.94795e-10,nan,-125.368699394,0.000331218,15083.9243978,4.95102e-36,15083.9243978,1029.05,0.4
-125.88209533,0.596749,100,-15824.5,-125.88209533,nan,293,11.2076,50000,1,,1.89609e-05,-96.6453,1.01837,2.92124177161,170.648464164,2.06871e-10,nan,-125.88209533,0.000208674,15756.9503378,,15756.9503378,1135.59,0.4
-88.9691152884,0.629191,100,-12603.3,-88.9691152884,nan,402,8.97007,50000,1,2.76174e-21,1.38198e-05,-87.8563,1.08902,3.60928328674,124.378109453,1.01324e-10,nan,-88.9691152884,0.000113831,6484.41588434,3.50468e-26,6484.41588434,670.353,0.4
-85.1223427384,1.24965,100,-12496.3,-85.1223427384,nan,420,13.9056,50000,1,,1.32275e-05,-87.1758,1.08703,206.495228028,119.047619048,1.85039e-10,nan,-85.1223427384,0.000169211,6359.80952141,,6359.80952141,608.969,0.4
-80.5271299703,0.355022,100,-11988.3,-80.5271299703,nan,431,5.70777,50000,1,1.73444e-19,1.28899e-05,-83.8408,1.01745,4.00267909025,116.009280742,5.69807e-11,nan,-80.5271299703,7.23108e-05,4311.37433316,2.19733e-24,4311.37433316,491.038,0.4
-74.8088423898,0.213187,100,-11997.9,-74.8088423898,nan,468,4.13805,50000,1,2.04546e-05,1.18708e-05,-86.5173,1.04222,4.73112148467,106.837606838,2.76572e-11,nan,-74.8088423898,4.71324e-05,3383.66640737,2.32978e-10,3383.66640737,450.65,0.4
-98.6722209363,0.53317,100,-13349.2,-98.6722209363,nan,361,7.09389,50000,1,8.80615e-20,1.53894e-05,-88.7574,1.07568,3.58188446817,138.504155125,1.0913e-10,nan,-98.6722209363,0.00010149,9738.55776387,1.25987e-24,9738.55776387,806.701,0.4
-71.6257891169,0.197144,100,-11896.9,-71.6257891169,,478,5.29436,50000,1,0.00352048,1.16225e-05,-86.364,1.04813,4.29030458364,104.60251046,2.42412e-11,inf,-71.6257891169,5.87082e-05,1285.65612384,3.9038e-08,1285.65612384,348.307,0.4
-71.8643763913,0.304822,100,-11263.4,-71.8643763913,,490,5.05588,50000,1,1.37602e-09,1.13379e-05,-81.611,1.0669,5.18557407503,102.040816327,3.44238e-11,inf,-71.8643763913,5.37283e-05,3353.07844524,1.46229e-14,3353.07844524,466.174,0.4
-76.4192497415,0.465027,100,-11634.2,-76.4192497415,,454,7.56596,50000,1,3.3183e-08,1.22369e-05,-83.3513,1.08927,4.90387126855,110.13215859,5.86885e-11,inf,-76.4192497415,8.49966e-05,2797.68787388,3.7278e-13,2797.68787388,543.198,0.4
-71.874933328,0.215983,100,-11546.2,-71.874933328,,487,3.60536,50000,1,6.22686e-09,1.14077e-05,-83.8562,1.03027,4.12456997344,102.669404517,2.64795e-11,inf,-71.874933328,3.99203e-05,2814.17666878,6.89468e-14,2814.17666878,400.407,0.4
-69.3713528871,0.220144,100,-11214.7,-69.3713528871,nan,503,3.80349,50000,1,0.000198749,1.10448e-05,-82.164,1.02424,3.93977385221,99.4035785288,2.55989e-11,nan,-69.3713528871,4.10147e-05,2447.71526951,2.1432e-09,2447.71526951,369.731,0.4
-71.6633242835,0.238527,100,-11505.8,-71.6633242835,nan,486,3.92119,50000,1,1.92236e-05,1.14312e-05,-81.5759,1.04465,4.71155853343,102.880658436,2.85611e-11,nan,-71.6633242835,4.29079e-05,2429.89687823,2.10356e-10,2429.89687823,368.582,0.4
-69.6148606501,0.19064,100,-11268.0,-69.6148606501,,503,4.90695,50000,1,8.60199e-06,1.10448e-05,-82.2551,1.0315,3.96092458827,99.4035785288,2.18571e-11,inf,-69.6148606501,5.25413e-05,2797.02213786,9.2106e-11,2797.02213786,403.552,0.4
-63.828502735,0.141151,100,-10968.1,-63.828502735,,541,3.255,50000,1,0.0135298,1.0269e-05,-81.6279,1.05036,4.64709160322,92.4214417745,1.34918e-11,inf,-63.828502735,3.18232e-05,544.393633961,1.32277e-07,544.393633961,236.539,0.4
-80.5396039691,0.246487,100,-12205.7,-80.5396039691,nan,439,4.79037,50000,1,1.57733e-09,1.2655e-05,-85.4419,1.00523,5.72662436297,113.895216401,3.90652e-11,nan,-80.5396039691,6.03069e-05,5059.25484713,1.98573e-14,5059.25484713,572.251,0.4
-60.973430364,0.172541,100,-10514.6,-60.973430364,,560,6.66767,50000,1,0.0435013,9.92064e-06,-75.6844,1.02884,4.3523958509,89.2857142857,1.60427e-11,inf,-60.973430364,6.42934e-05,354.597584096,4.19464e-07,354.597584096,319.058,0.4
-73.0420423408,0.181265,100,-11892.7,-73.0420423408,nan,471,3.75475,50000,1,0.000107807,1.17952e-05,-86.1742,0.985294,3.76767164236,106.157112527,2.59774e-11,nan,-73.0420423408,4.49493e-05,1509.64427006,1.29059e-09,1509.64427006,340.028,0.4
-64.0648675736,2.29511,100,-10381.7,-64.0648675736,,534,23.3489,50000,1,1.14897e-09,1.04037e-05,-64.3073,1.26582,8.57593793126,93.6329588015,1.55037e-10,inf,-64.0648675736,0.000191903,248.229162704,9.44334e-15,248.229162704,248.028,0.4
-77.2930418169,0.326413,100,-11576.6,-77.2930418169,nan,455,7.28544,50000,1,4.54638e-10,1.221e-05,-83.0677,1.03172,5.20187194512,109.89010989,4.57172e-11,nan,-77.2930418169,8.62208e-05,5322.77420209,5.38049e-15,5322.77420209,560.334,0.4
-61.1513520129,0.0862112,100,-10617.0,-61.1513520129,,561,2.36439,50000,1,0.00744981,9.90295e-06,-79.2281,1.01441,4.03644296659,89.1265597148,8.21618e-12,inf,-61.1513520129,2.30819e-05,358.899349395,7.27274e-08,358.899349395,192.44,0.4
-60.794266194,454.085,100,-8796.75,-60.794266194,nan,559,1500.0,50000,1,,9.93838e-06,-55.7133,2.36691,5.34927478682,89.4454382826,8.00583e-09,nan,-60.794266194,0.00629832,158.938058151,,158.938058151,535.772,0.4
-68.9242621042,0.186888,100,-11101.0,-68.9242621042,,510,5.24859,50000,1,8.65785e-07,1.08932e-05,-80.8788,0.995062,6.36889153781,98.0392156863,2.23973e-11,inf,-68.9242621042,5.74579e-05,2922.85271242,9.47801e-12,2922.85271242,431.856,0.4
-60.6216748346,1.29853e+12,100,-8234.48,-60.6216748346,nan,565,1.14923e+08,50000,1,,9.83284e-06,-55.2548,11303.7,10.0000005953,88.4955752212,9.8258e-07,nan,-60.6216748346,0.0999686,149.22405379,,149.22405379,560.615,0.4
-61.0221018773,26.6541,100,-9732.25,-61.0221018773,nan,558,289.857,50000,1,4.58807e-32,9.95619e-06,-58.4194,1.63931,5.90976106163,89.605734767,9.83165e-10,nan,-61.0221018773,0.00176041,84.4029935799,2.78651e-37,84.4029935799,360.924,0.4
-69.0590733199,0.182915,100,-11166.2,-69.0590733199,nan,502,4.80397,50000,1,3.54542e-05,1.10668e-05,-81.9981,0.998901,5.43608209658,99.6015936255,2.24519e-11,nan,-69.0590733199,5.32233e-05,2621.05848318,3.92798e-10,2621.05848318,380.866,0.4
-58.8427807234,7.01204e+18,100,-5986.05,-58.8427807234,nan,583,2.1743e+11,50000,1,,9.52925e-06,-42.079,4.76208e+07,6.42266417537,85.7632933105,2.80782e-07,nan,-58.8427807234,0.0435092,104.397203184,,104.397203184,336.445,0.4
-67.9106039911,0.143359,100,-11370.8,-67.9106039911,,513,2.79083,50000,1,0.00331551,1.08295e-05,-82.8108,1.03484,4.74925685214,97.4658869396,1.57e-11,inf,-67.9106039911,2.92059e-05,1407.3527679,3.46966e-08,1407.3527679,337.883,0.4
-61.3702074298,1.62327,100,-10244.8,-61.3702074298,nan,556,11.8767,50000,1,7.92412e-09,9.99201e-06,-61.1689,1.24159,5.54590822163,89.928057554,1.05132e-10,nan,-61.3702074298,9.55805e-05,146.499645055,6.37711e-14,146.499645055,141.162,0.4
-61.8248973764,1.54236,100,-10255.3,-61.8248973764,nan,554,13.4289,50000,1,1.00205e-05,1.00281e-05,-62.6949,1.26198,6.26497949122,90.2527075812,9.73912e-11,nan,-61.8248973764,0.000106711,218.635440815,7.9626e-11,218.635440815,155.988,0.4
-61.5449497879,0.169161,100,-10511.5,-61.5449497879,,552,5.11903,50000,1,0.0191336,1.00644e-05,-76.7171,1.01871,4.19451421728,90.5797101449,1.65111e-11,inf,-61.5449497879,5.05739e-05,352.968728504,1.89032e-07,352.968728504,280.162,0.4
-64.8658607547,2.26278,100,-10410.4,-64.8658607547,nan,527,24.6529,50000,1,8.34742e-10,1.05419e-05,-63.0311,1.22115,3.4867954377,94.8766603416,1.6863e-10,nan,-64.8658607547,0.000212821,302.281826664,7.20607e-15,302.281826664,306.291,0.4
-68.6743313595,0.140517,100,-11219.2,-68.6743313595,,506,3.34966,50000,1,1.91912e-05,1.09794e-05,-81.761,0.986799,3.73308700043,98.814229249,1.73951e-11,inf,-68.6743313595,3.72691e-05,2522.81324924,2.13525e-10,2522.81324924,376.768,0.4
-60.7644407087,9.49245,100,-9896.82,-60.7644407087,nan,558,69.0067,50000,1,5.1343e-08,9.95619e-06,-57.8424,1.60621,4.46410288426,89.605734767,3.64719e-10,nan,-60.7644407087,0.000427741,89.7276705423,3.18252e-13,89.7276705423,187.993,0.4
-59.6135626133,11.467,100,-9603.42,-59.6135626133,nan,575,48.4019,50000,1,1.64197e-12,9.66184e-06,-56.752,1.57853,2.78989854461,86.9565217391,4.29599e-10,nan,-59.6135626133,0.000296257,84.0532039681,1.00501e-17,84.0532039681,339.283,0.4
-59.6901642989,0.0872474,100,-10419.5,-59.6901642989,,571,3.54352,50000,1,0.0146482,9.72952e-06,-78.6586,1.02326,4.09330641955,87.5656742557,7.8879e-12,inf,-59.6901642989,3.3693e-05,299.175428083,1.3928e-07,299.175428083,203.48,0.4
-59.2216793803,6.00518,100,-9922.1,-59.2216793803,nan,577,31.8286,50000,1,1.16445e-12,9.62835e-06,-57.8683,1.52403,6.08430571667,86.6551126516,2.39684e-10,nan,-59.2216793803,0.000201083,52.4148314486,7.35663e-18,52.4148314486,136.793,0.4
-60.8278913583,5.92503,100,-10088.9,-60.8278913583,nan,558,107.903,50000,1,5.9934e-18,9.95619e-06,-58.0413,1.45511,7.14905815879,89.605734767,2.77389e-10,nan,-60.8278913583,0.000738296,72.6669715075,4.10084e-23,72.6669715075,353.549,0.4
-60.0803882824,inf,100,-5917.74,-60.0803882824,nan,566,8.54184e+20,50000,1,,9.81547e-06,-38.1012,8.42628e+16,9.9997466031,88.3392226148,9.71709e-07,nan,-60.0803882824,0.0995008,155.848547761,,155.848547761,266.593,0.4
-66.8053095223,0.216474,100,-10944.5,-66.8053095223,nan,521,4.50077,50000,1,1.52615e-31,1.06633e-05,-79.9424,1.03244,38.0370567382,95.9692898273,2.30917e-11,nan,-66.8053095223,4.64849e-05,2369.04668068,1.57624e-36,2369.04668068,381.586,0.4
-58.438093666,13.4717,100,-8955.76,-58.438093666,nan,586,87.903,50000,1,,9.48047e-06,-54.3774,1.55403,2.53387808762,85.3242320819,5.01374e-10,nan,-58.438093666,0.000536258,173.76901454,,173.76901454,462.181,0.4
-60.6223415036,2955.42,100,-9045.85,-60.6223415036,nan,558,2521.81,50000,1,,9.95619e-06,-54.3915,4.10782,2.37905845465,89.605734767,1.73613e-08,nan,-60.6223415036,0.00611216,87.6792617608,,87.6792617608,516.332,0.4
