TimestepsSoFar,ReturnStepMaxmin,MaxIW,InitialReturnStd,InitialReturnMean,RewardCompression,EmpiricalD2,InitialReturnMax,EpThisIter,EpRewMean,StdIW,Bound,TimeElapsed,EpLenMean,ReturnStepMax,Iteration,Weights,ReturnMeanIW,MinIW,MeanEntropy,MeanIW,ESSRenyi,ESSClassic,InitialBound,EpisodesSoFar,InitialReturnMin
420000,1.0,0.066341149769368,1.52587890625e-05,-86.60204315185547,0.99,7.862890243530273,-86.6020278930664,100,-200.0,,-13.839925765991211,230.2168984413147,200.0,1.0,21,[-0.052 -0.075  0.046  0.32   0.779  1.034  0.165 -0.069 -0.097],-5.7452778816223145,0.066341149769368,1.0980972051620483,0.066341149769368,12.71796989440918,1.0,-89.48876,2100,-86.6020278930664
440000,1.0,0.43287357581024544,1.52587890625e-05,-86.60204315185547,0.99,21.369766235351562,-86.6020278930664,100,-200.0,,-50.83236312866211,239.05176711082458,200.0,1.0,22,[ 0.006 -0.09   0.003  0.321  0.779  1.034  0.059 -0.038 -0.02 ],-37.487728118896484,0.43287357581024544,1.094088077545166,0.43287357581024544,4.679508209228516,1.0,-89.48876,2200,-86.6020278930664
460000,1.0,0.08999301274826234,1.52587890625e-05,-86.60204315185547,0.99,8.438820838928223,-86.6020278930664,100,-200.0,,-16.179439544677734,251.22843217849731,200.0,1.0,23,[ 0.057 -0.059 -0.079  0.321  0.777  1.036 -0.03  -0.074  0.103],-7.793577671051025,0.08999301274826234,1.0986127853393555,0.08999301274826234,11.849996566772461,1.0,-89.48876,2300,-86.6020278930664
480000,1.0,0.9185166394201227,1.52587890625e-05,-86.60204315185547,0.99,2.4095139503479004,-86.6020278930664,100,-200.0,,-84.0263671875,261.3283278942108,200.0,1.0,24,[ 0.026 -0.085 -0.022  0.321  0.777  1.035  0.033 -0.019 -0.014],-79.54540252685547,0.9185166394201227,1.0971325635910034,0.9185166394201227,41.50214767456055,1.0,-89.48876,2400,-86.6020278930664
500000,1.0,0.2679523270477487,1.52587890625e-05,-86.60204315185547,0.99,24.252424240112305,-86.6020278930664,100,-200.0,,-37.421443939208984,271.7904613018036,200.0,1.0,25,[-0.05  -0.074  0.043  0.373  0.736  1.024 -0.062 -0.05   0.112],-23.205215454101562,0.2679523270477487,1.0954582691192627,0.2679523270477487,4.1232991218566895,1.0,-89.48876,2500,-86.6020278930664
520000,1.0,0.17949755801975067,1.52587890625e-05,-86.60204315185547,0.99,12.616451263427734,-86.6020278930664,100,-200.0,,-25.798429489135742,282.78602409362793,200.0,1.0,26,[-0.077 -0.122  0.118  0.374  0.736  1.023  0.001  0.031 -0.032],-15.544852256774902,0.17949755801975067,1.0977059602737427,0.17949755801975067,7.926158905029297,1.0,-89.48876,2600,-86.6020278930664
540000,1.0,0.4675731940723516,1.52587890625e-05,-86.60204315185547,0.99,14.527466773986816,-86.6020278930664,100,-200.0,,-51.495548248291016,293.2942314147949,200.0,1.0,27,[-0.078 -0.064  0.061  0.374  0.736  1.023  0.001 -0.077  0.076],-40.4927864074707,0.4675731940723516,1.0958168506622314,0.4675731940723516,6.883512496948242,1.0,-89.48876,2700,-86.6020278930664
560000,1.0,0.13678739500143708,1.52587890625e-05,-86.60204315185547,0.99,11.137652397155762,-86.6020278930664,100,-200.0,,-21.479999542236328,304.22607493400574,200.0,1.0,28,[-0.014 -0.146  0.079  0.376  0.737  1.021 -0.057  0.039  0.018],-11.84606647491455,0.13678739500143708,1.0977747440338135,0.13678739500143708,8.97855281829834,1.0,-89.48876,2800,-86.6020278930664
580000,1.0,0.31008755726569265,1.52587890625e-05,-86.60204315185547,0.99,19.9129638671875,-86.6020278930664,100,-200.0,,-39.735958099365234,316.2390420436859,200.0,1.0,29,[-0.039 -0.08   0.038  0.376  0.735  1.023  0.025 -0.083  0.057],-26.854211807250977,0.31008755726569265,1.0949783325195312,0.31008755726569265,5.021853923797607,1.0,-89.48876,2900,-86.6020278930664
600000,1.0,0.17365747823481195,1.52587890625e-05,-86.60204315185547,0.99,13.997406005859375,-86.6020278930664,100,-200.0,,-25.83926010131836,325.0937466621399,200.0,1.0,30,[ 0.017 -0.145  0.048  0.375  0.735  1.023 -0.08   0.043  0.037],-15.03908920288086,0.17365747823481195,1.098127007484436,0.17365747823481195,7.144180774688721,1.0,-89.48876,3000,-86.6020278930664
620000,1.0,0.4177317154015606,1.52587890625e-05,-86.60204315185547,0.99,28.946332931518555,-86.6020278930664,100,-200.0,,-51.70756149291992,335.83816146850586,200.0,1.0,31,[-0.032 -0.091  0.042  0.376  0.735  1.023  0.033 -0.073  0.04 ],-36.17641067504883,0.4177317154015606,1.0934256315231323,0.4177317154015606,3.4546689987182617,1.0,-89.48876,3100,-86.6020278930664
640000,1.0,0.1323810269015212,1.52587890625e-05,-86.60204315185547,0.99,12.64831256866455,-86.6020278930664,100,-200.0,,-21.730981826782227,347.40149879455566,200.0,1.0,32,[ 0.015 -0.129  0.033  0.376  0.737  1.02  -0.116  0.054  0.062],-11.464465141296387,0.1323810269015212,1.0985921621322632,0.1323810269015212,7.906192779541016,1.0,-89.48876,3200,-86.6020278930664
660000,1.0,0.7107668528888842,1.52587890625e-05,-86.60204315185547,0.99,12.325508117675781,-86.6020278930664,100,-200.0,,-71.68851470947266,356.44159960746765,200.0,1.0,33,[-4.434e-02 -7.512e-02  3.839e-02  3.762e-01  7.371e-01  1.020e+00
  1.901e-04 -4.445e-02  4.424e-02],-61.55385208129883,0.7107668528888842,1.093214750289917,0.7107668528888842,8.113255500793457,1.0,-89.48876,3300,-86.6020278930664
680000,1.0,0.10646699341820617,1.52587890625e-05,-86.60204315185547,0.99,9.907675743103027,-86.6020278930664,100,-200.0,,-18.30667495727539,367.8871467113495,200.0,1.0,34,[ 0.024 -0.1   -0.006  0.379  0.737  1.017 -0.12   0.063  0.057],-9.220257759094238,0.10646699341820617,1.0985759496688843,0.10646699341820617,10.093184471130371,1.0,-89.48876,3400,-86.6020278930664
700000,1.0,0.4995757291425572,1.52587890625e-05,-86.60204315185547,0.99,32.674739837646484,-86.6020278930664,100,-200.0,,-59.7653694152832,376.7300531864166,200.0,1.0,35,[-0.033 -0.055  0.007  0.379  0.737  1.017 -0.007 -0.032  0.039],-43.2642707824707,0.4995757291425572,1.0909720659255981,0.4995757291425572,3.0604681968688965,1.0,-89.48876,3500,-86.6020278930664
720000,1.0,0.08337430599839167,1.52587890625e-05,-86.60204315185547,0.99,8.922286033630371,-86.6020278930664,100,-200.0,,-15.843116760253906,388.26455664634705,200.0,1.0,36,[-0.112 -0.054  0.085  0.383  0.733  1.017  0.117 -0.041 -0.076],-7.220384120941162,0.08337430599839167,1.0984541177749634,0.08337430599839167,11.207889556884766,1.0,-89.48876,3600,-86.6020278930664
740000,1.0,0.5089108675526811,1.52587890625e-05,-86.60204315185547,0.99,34.82905578613281,-86.6020278930664,100,-200.0,,-61.109107971191406,396.1606104373932,200.0,1.0,37,[-0.052 -0.067  0.039  0.383  0.734  1.016  0.006 -0.011  0.004],-44.072715759277344,0.5089108675526811,1.088880181312561,0.5089108675526811,2.8711659908294678,1.0,-89.48876,3700,-86.6020278930664
760000,1.0,0.07035018997143673,1.52587890625e-05,-86.60204315185547,0.99,8.578254699707031,-86.6020278930664,100,-200.0,,-14.54732608795166,406.7605953216553,200.0,1.0,38,[-0.232  0.099  0.051  0.388  0.753  0.992  0.071 -0.091  0.021],-6.092469215393066,0.07035018997143673,1.0976765155792236,0.07035018997143673,11.65738296508789,1.0,-89.48876,3800,-86.6020278930664
780000,1.0,0.39183909720545584,1.52587890625e-05,-86.60204315185547,0.99,27.443998336791992,-86.6020278930664,100,-200.0,,-49.056800842285156,416.52054715156555,200.0,1.0,39,[-0.169  0.053  0.035  0.388  0.753  0.992 -0.038 -0.014  0.051],-33.934059143066406,0.39183909720545584,1.0946859121322632,0.39183909720545584,3.6437838077545166,1.0,-89.48876,3900,-86.6020278930664
800000,1.0,0.15303749598132377,1.52587890625e-05,-86.60204315185547,0.99,12.176122665405273,-86.6020278930664,100,-200.0,,-23.326416015625,427.82211780548096,200.0,1.0,40,[-0.121 -0.015  0.054  0.388  0.755  0.99  -0.084  0.127 -0.043],-13.253357887268066,0.15303749598132377,1.0983315706253052,0.15303749598132377,8.21279525756836,1.0,-89.48876,4000,-86.6020278930664
820000,1.0,0.36719055203722384,1.52587890625e-05,-86.60204315185547,0.99,28.053489685058594,-86.6020278930664,100,-200.0,,-47.08919143676758,436.3606126308441,200.0,1.0,41,[-0.14   0.051  0.008  0.388  0.755  0.99  -0.047  0.007  0.041],-31.79944610595703,0.36719055203722384,1.0911085605621338,0.36719055203722384,3.5646188259124756,1.0,-89.48876,4100,-86.6020278930664
840000,1.0,0.07448241467078688,1.52587890625e-05,-86.60204315185547,0.99,7.261883735656738,-86.6020278930664,100,-200.0,,-14.22946548461914,447.31569266319275,200.0,1.0,42,[-0.051  0.01  -0.04   0.392  0.754  0.988 -0.19   0.101  0.089],-6.4503278732299805,0.07448241467078688,1.09834885597229,0.07448241467078688,13.77053165435791,1.0,-89.48876,4200,-86.6020278930664
860000,1.0,0.4096197865102472,1.52587890625e-05,-86.60204315185547,0.99,15.139776229858398,-86.6020278930664,100,-200.0,,-46.706146240234375,457.77369570732117,200.0,1.0,43,[-0.105  0.034 -0.01   0.392  0.754  0.988 -0.076  0.046  0.03 ],-35.47390365600586,0.4096197865102472,1.0944561958312988,0.4096197865102472,6.605117321014404,1.0,-89.48876,4300,-86.6020278930664
880000,1.0,0.10566225580901463,1.52587890625e-05,-86.60204315185547,0.99,7.252548694610596,-86.6020278930664,100,-200.0,,-16.924701690673828,467.8169023990631,200.0,1.0,44,[-0.141  0.11  -0.05   0.395  0.752  0.986  0.065  0.022 -0.087],-9.150566101074219,0.10566225580901463,1.0985990762710571,0.10566225580901463,13.788256645202637,1.0,-89.48876,4400,-86.6020278930664
900000,1.0,0.46774064889413053,1.52587890625e-05,-86.60204315185547,0.99,49.62913131713867,-86.6020278930664,100,-200.0,,-60.84374237060547,478.90790009498596,200.0,1.0,45,[-0.061  0.063 -0.083  0.398  0.752  0.984 -0.033  0.053 -0.02 ],-40.50728988647461,0.46774064889413053,1.0890130996704102,0.46774064889413053,2.0149455070495605,1.0,-89.48876,4500,-86.6020278930664
920000,1.0,0.07073075873340746,1.52587890625e-05,-86.60204315185547,0.99,7.588332653045654,-86.6020278930664,100,-200.0,,-14.077493667602539,488.56034541130066,200.0,1.0,46,[-0.088 -0.016  0.023  0.398  0.752  0.983  0.015  0.151 -0.166],-6.12542724609375,0.07073075873340746,1.0976872444152832,0.07073075873340746,13.178125381469727,1.0,-89.48876,4600,-86.6020278930664
940000,1.0,0.1978503249540099,1.52587890625e-05,-86.60204315185547,0.99,15.01947021484375,-86.6020278930664,100,-200.0,,-28.321765899658203,500.09761929512024,200.0,1.0,47,[-0.069  0.024 -0.037  0.398  0.753  0.983 -0.019  0.077 -0.058],-17.134239196777344,0.1978503249540099,1.0957698822021484,0.1978503249540099,6.658024311065674,1.0,-89.48876,4700,-86.6020278930664
960000,1.0,0.13878497940861137,1.52587890625e-05,-86.60204315185547,0.99,13.052607536315918,-86.6020278930664,100,-200.0,,-22.448368072509766,511.51154589653015,200.0,1.0,48,[-0.082  0.087 -0.085  0.398  0.753  0.983 -0.023 -0.035  0.058],-12.019060134887695,0.13878497940861137,1.0977380275726318,0.13878497940861137,7.661304473876953,1.0,-89.48876,4800,-86.6020278930664
980000,1.0,0.4181400150047647,1.52587890625e-05,-86.60204315185547,0.99,15.949045181274414,-86.6020278930664,100,-200.0,,-47.74031066894531,520.636289358139,200.0,1.0,49,[-0.07   0.028 -0.039  0.398  0.753  0.983 -0.046  0.084 -0.039],-36.21177291870117,0.4181400150047647,1.0953129529953003,0.4181400150047647,6.269968032836914,1.0,-89.48876,4900,-86.6020278930664
1000000,1.0,0.1475627962627527,1.52587890625e-05,-86.60204315185547,0.99,13.121674537658691,-86.6020278930664,100,-200.0,,-23.236101150512695,530.424914598465,200.0,1.0,50,[-0.165  0.099 -0.015  0.4    0.747  0.986 -0.047 -0.044  0.091],-12.779237747192383,0.1475627962627527,1.0979193449020386,0.1475627962627527,7.620978355407715,1.0,-89.48876,5000,-86.6020278930664
1020000,1.0,0.27852610295554614,1.52587890625e-05,-86.60204315185547,0.99,24.617963790893555,-86.6020278930664,100,-200.0,,-38.443885803222656,541.2142968177795,200.0,1.0,51,[-0.152  0.031  0.04   0.4    0.747  0.987 -0.062  0.069 -0.007],-24.12092399597168,0.27852610295554614,1.0942132472991943,0.27852610295554614,4.062074184417725,1.0,-89.48876,5100,-86.6020278930664
1040000,1.0,0.15355257586083018,1.52587890625e-05,-86.60204315185547,0.99,13.451181411743164,-86.6020278930664,100,-200.0,,-23.88530731201172,552.0249741077423,200.0,1.0,52,[-0.141  0.092 -0.032  0.401  0.746  0.986 -0.071 -0.045  0.116],-13.297964096069336,0.15355257586083018,1.0983525514602661,0.15355257586083018,7.434291362762451,1.0,-89.48876,5200,-86.6020278930664
1060000,1.0,0.34081720775771485,1.52587890625e-05,-86.60204315185547,0.99,28.177845001220703,-86.6020278930664,100,-200.0,,-44.83905792236328,561.5117080211639,200.0,1.0,53,[-0.15   0.044  0.025  0.401  0.746  0.986 -0.044  0.052 -0.008],-29.515460968017578,0.34081720775771485,1.0931681394577026,0.34081720775771485,3.5488874912261963,1.0,-89.48876,5300,-86.6020278930664
1080000,1.0,0.09395218138323824,1.52587890625e-05,-86.60204315185547,0.99,8.16583251953125,-86.6020278930664,100,-200.0,,-16.38555908203125,569.3757939338684,200.0,1.0,54,[-0.091  0.06  -0.05   0.401  0.746  0.987 -0.148  0.025  0.123],-8.136448860168457,0.09395218138323824,1.0986204147338867,0.09395218138323824,12.246149063110352,1.0,-89.48876,5400,-86.6020278930664
1100000,1.0,0.5033445111357571,1.52587890625e-05,-86.60204315185547,0.99,38.1325798034668,-86.6020278930664,100,-200.0,,-61.41669845581055,579.1357147693634,200.0,1.0,55,[-0.134  0.049  0.004  0.401  0.746  0.987 -0.061  0.047  0.014],-43.59065628051758,0.5033445111357571,1.0893614292144775,0.5033445111357571,2.622429370880127,1.0,-89.48876,5500,-86.6020278930664
1120000,1.0,0.07674047252082,1.52587890625e-05,-86.60204315185547,0.99,8.883516311645508,-86.6020278930664,100,-200.0,,-15.249858856201172,590.3333961963654,200.0,1.0,56,[-0.211  0.03   0.1    0.398  0.746  0.989  0.05   0.071 -0.122],-6.645880699157715,0.07674047252082,1.0978097915649414,0.07674047252082,11.256803512573242,1.0,-89.48876,5600,-86.6020278930664
1140000,1.0,0.37699414553037264,1.52587890625e-05,-86.60204315185547,0.99,25.93488311767578,-86.6020278930664,100,-200.0,,-47.34952926635742,599.8411934375763,200.0,1.0,57,[-0.162  0.038  0.043  0.398  0.746  0.989 -0.041  0.056 -0.015],-32.64845657348633,0.37699414553037264,1.0945496559143066,0.37699414553037264,3.8558106422424316,1.0,-89.48876,5700,-86.6020278930664
1160000,1.0,0.13130477333394722,1.52587890625e-05,-86.60204315185547,0.99,12.910677909851074,-86.6020278930664,100,-200.0,,-21.743709564208984,610.3142063617706,200.0,1.0,58,[-0.118  0.059 -0.022  0.397  0.747  0.99  -0.143  0.02   0.122],-11.371259689331055,0.13130477333394722,1.098327875137329,0.13130477333394722,7.7455267906188965,1.0,-89.48876,5800,-86.6020278930664
1180000,1.0,0.43862499815721195,1.52587890625e-05,-86.60204315185547,0.99,29.7928409576416,-86.6020278930664,100,-200.0,,-53.742427825927734,619.9008741378784,200.0,1.0,59,[-1.658e-01  4.292e-02  4.184e-02  3.968e-01  7.473e-01  9.893e-01
 -5.317e-02  5.335e-02 -2.005e-04],-37.985816955566406,0.43862499815721195,1.0921069383621216,0.43862499815721195,3.356511116027832,1.0,-89.48876,5900,-86.6020278930664
1200000,1.0,0.08905226895993182,1.52587890625e-05,-86.60204315185547,0.99,7.984957695007324,-86.6020278930664,100,-200.0,,-15.869344711303711,631.2487041950226,200.0,1.0,60,[-0.126  0.034  0.011  0.358  0.747  1.029 -0.005 -0.128  0.132],-7.712106704711914,0.08905226895993182,1.0985658168792725,0.08905226895993182,12.523548126220703,1.0,-89.48876,6000,-86.6020278930664
1220000,1.0,0.519798750607074,1.52587890625e-05,-86.60204315185547,0.99,26.76416015625,-86.6020278930664,100,-200.0,,-59.94988250732422,641.3206470012665,200.0,1.0,61,[-0.113 -0.021  0.054  0.358  0.747  1.029 -0.031 -0.018  0.048],-45.015625,0.519798750607074,1.0923024415969849,0.519798750607074,3.736339807510376,1.0,-89.48876,6100,-86.6020278930664
1240000,1.0,0.08994478690018479,1.52587890625e-05,-86.60204315185547,0.99,8.699546813964844,-86.6020278930664,100,-200.0,,-16.303821563720703,651.8682272434235,200.0,1.0,62,[-0.091 -0.072  0.082  0.357  0.747  1.029 -0.114  0.131 -0.017],-7.789401054382324,0.08994478690018479,1.098605990409851,0.08994478690018479,11.494852066040039,1.0,-89.48876,6200,-86.6020278930664
1260000,1.0,0.5324677785172788,1.52587890625e-05,-86.60204315185547,0.99,33.27971267700195,-86.6020278930664,100,-200.0,,-62.76594543457031,663.551087141037,200.0,1.0,63,[-0.119 -0.009  0.047  0.357  0.747  1.029 -0.061  0.017  0.043],-46.112789154052734,0.5324677785172788,1.090891718864441,0.5324677785172788,3.004833698272705,1.0,-89.48876,6300,-86.6020278930664
1280000,1.0,0.08900531340320254,1.52587890625e-05,-86.60204315185547,0.99,10.308370590209961,-86.6020278930664,100,-200.0,,-16.976377487182617,674.0366818904877,200.0,1.0,64,[-0.199  0.036  0.082  0.356  0.747  1.03   0.078 -0.064 -0.013],-7.708040714263916,0.08900531340320254,1.0985318422317505,0.08900531340320254,9.700854301452637,1.0,-89.48876,6400,-86.6020278930664
1300000,1.0,0.6721608652986255,1.52587890625e-05,-86.60204315185547,0.99,27.101198196411133,-86.6020278930664,100,-200.0,,-73.23848724365234,682.7017338275909,200.0,1.0,65,[-1.348e-01  7.710e-04  5.295e-02  3.566e-01  7.470e-01  1.030e+00
 -3.952e-02 -1.213e-03  4.068e-02],-58.21049499511719,0.6721608652986255,1.091898798942566,0.6721608652986255,3.689873695373535,1.0,-89.48876,6500,-86.6020278930664
1320000,1.0,0.07555067394600154,1.52587890625e-05,-86.60204315185547,0.99,6.588817119598389,-86.6020278930664,100,-200.0,,-13.95271110534668,692.8382711410522,200.0,1.0,66,[-0.065 -0.054  0.038  0.354  0.747  1.032 -0.113  0.144 -0.032],-6.542841911315918,0.07555067394600154,1.098544955253601,0.07555067394600154,15.177230834960938,1.0,-89.48876,6600,-86.6020278930664
1340000,1.0,0.3388468900799819,1.52587890625e-05,-86.60204315185547,0.99,31.141822814941406,-86.6020278930664,100,-200.0,,-45.45420837402344,703.3176004886627,200.0,1.0,67,[-0.092  0.001  0.009  0.354  0.748  1.031 -0.056  0.037  0.019],-29.34482765197754,0.3388468900799819,1.0917155742645264,0.3388468900799819,3.211115837097168,1.0,-89.48876,6700,-86.6020278930664
1360000,1.0,0.08724267109273046,1.52587890625e-05,-86.60204315185547,0.99,9.085527420043945,-86.6020278930664,100,-200.0,,-16.25664710998535,714.1361033916473,200.0,1.0,68,[-1.610e-01  2.366e-02  5.630e-02  3.542e-01  7.475e-01  1.032e+00
  8.430e-02 -4.585e-04 -8.389e-02],-7.555392265319824,0.08724267109273046,1.0985642671585083,0.08724267109273046,11.006515502929688,1.0,-89.48876,6800,-86.6020278930664
