EpisodesSoFar,ReturnStepMax,Weights,InitialReturnMean,EmpiricalD2,MeanIW,TimeElapsed,Iteration,InitialReturnMin,InitialReturnStd,ReturnStepMaxmin,MinIW,ReturnMeanIW,ESSClassic,EpThisIter,StdIWNorm,MinIWNorm,InitialReturnMax,InitialBound,Bound,MaxIW,MeanIWNorm,EpLenMean,EpRewMean,MeanEntropy,ESSRenyi,TimestepsSoFar,StdIW,MaxIWNorm,J_sample_variance
1200,0.85659593,[1.385 0.873 0.057],-74.798515,34.750515,0.46441624,349.30563831329346,12,-80.23868,4.1554327,0.85659593,0.012246046,-35.785652,16.201403,100,0.01056208,0.00012246046,-63.317142,-77.47314,-51.552437,8.139328,0.0046441625,386.9,-275.9498294080794,1.521435,2.8776553,448019,1.0562081,0.08139328,7033.6377
1300,0.85657936,[1.452 0.818 0.102],-77.00219,15.573557,0.775861,380.9622554779053,13,-81.80128,3.2098987,0.85657936,0.008707668,-59.078056,22.640491,100,0.01434161,8.7076674e-05,-66.76451,-79.728905,-69.83856,11.549002,0.0077586104,455.08,-335.25440212458375,1.5625122,6.4211407,493527,1.434161,0.11549001,11976.789
1400,0.85671395,[1.428 0.865 0.144],-76.37525,26.507046,0.53014505,413.7084755897522,14,-82.04568,3.7659602,0.85671395,0.011137941,-41.051086,30.70243,100,0.007964661,0.000111379406,-59.979065,-79.110115,-55.131493,3.8687358,0.0053014513,430.34,-314.12649205863477,1.6169919,3.7725818,536561,0.7964661,0.038687356,3914.4697
1500,0.858566,[1.41  0.84  0.198],-77.580055,25.306433,0.6480699,447.5458118915558,15,-82.560165,2.7376163,0.858566,0.0109089855,-50.818466,25.607475,100,0.011045952,0.00010908985,-64.965744,-80.33207,-64.66257,6.0871167,0.006480698,473.71,-351.21060018017886,1.6659794,3.9515646,583932,1.1045952,0.060871165,7664.4595
1600,0.8574269,[1.415 0.799 0.247],-78.92171,30.101072,0.5490407,483.942209482193,16,-82.41349,2.0465338,0.8574269,0.009183099,-43.937126,22.208342,100,0.010275736,9.183098e-05,-68.90059,-81.66882,-59.00903,6.5250773,0.005490407,491.83,-374.6678331592679,1.7201012,3.3221407,633115,1.0275737,0.06525077,7021.538
1700,0.8507082,[1.382 0.78  0.301],-79.64124,21.532398,0.6867561,519.964763879776,17,-82.278755,1.4409196,0.8507082,0.012355378,-54.58719,20.011799,100,0.013730059,0.00012355378,-75.102005,-82.38386,-67.3138,9.103598,0.00686756,500.0,-389.18878731667996,1.7701075,4.6441646,683115,1.373006,0.09103598,11992.892
1800,0.85435236,[1.387 0.814 0.351],-79.31728,2.272309,0.88085276,553.2772340774536,18,-81.55005,1.5051069,0.85435236,0.04506215,-70.30921,45.401226,100,0.0096596405,0.0004506215,-73.43652,-82.03563,-74.406876,7.3216968,0.008808527,496.92,-383.5186180974543,1.75585,44.0081,732807,0.96596414,0.07321697,6147.5625
1900,0.852395,[1.399 0.758 0.337],-79.77744,1.0380025,0.98090243,589.1676440238953,19,-82.20811,1.6022205,0.852395,0.52390176,-78.41345,95.71531,100,0.0020753664,0.0052390173,-74.3594,-82.517715,-81.20531,1.5674355,0.009809025,500.0,-391.02576840758326,1.7539175,96.33888,782807,0.20753665,0.015674355,303.10294
2000,0.85218394,[1.367 0.747 0.335],-80.13724,45.449486,0.4404673,626.3654296398163,20,-82.32051,1.148759,0.85218394,0.001799376,-35.02268,18.912731,100,0.009120379,1.799376e-05,-77.48317,-82.88127,-53.52181,4.9715614,0.0044046724,500.0,-393.10381009981035,1.720145,2.200245,832807,0.91203785,0.049715612,5291.944
2100,0.8637481,[1.351 0.874 0.301],-77.96493,13.660593,0.8807514,660.7606997489929,21,-82.12221,2.3002894,0.8637481,0.00089751685,-68.19507,19.257128,100,0.01803473,8.975168e-06,-68.67002,-80.702324,-78.31259,10.458085,0.008807513,474.73,-356.96276798397304,1.6666281,7.3203263,880280,1.8034729,0.10458085,19641.852
2200,0.8573185,[1.341 0.852 0.248],-78.33608,8.762985,0.69712746,693.8846845626831,22,-81.88681,2.3866966,0.8573185,0.0054430766,-53.529335,15.501828,100,0.016275873,5.4430766e-05,-66.21105,-81.065636,-61.609474,10.588892,0.0069712745,483.5,-362.67704139992594,1.6349146,11.411636,928630,1.6275874,0.10588892,15564.192
2300,0.8627168,[1.324 0.918 0.216],-75.48933,19.846342,0.70170474,726.6811957359314,23,-81.437546,3.8684347,0.8627168,0.005208038,-54.71612,21.238518,100,0.013512921,5.2080377e-05,-57.642258,-78.2039,-66.80939,9.179338,0.0070170476,417.33,-301.98268609240654,1.6810331,5.038712,970363,1.3512921,0.09179338,11618.332
2400,0.8578455,[1.323 0.87  0.262],-78.34299,40.508636,0.33956856,764.8004779815674,24,-81.80792,1.9555669,0.8578455,0.00034099002,-26.104475,26.98501,100,0.00558563,3.4099003e-06,-71.60179,-81.069916,-43.460407,2.6785197,0.0033956852,490.68,-367.06774695843455,1.636572,2.4686093,1019431,0.558563,0.026785197,1813.5255
2500,0.8583431,[1.306 0.951 0.218],-75.49429,28.866648,0.4484833,797.593258857727,25,-82.073746,4.3192763,0.8583431,0.00071288185,-34.169075,14.040683,100,0.01109682,7.128818e-06,-56.007954,-78.23009,-48.86785,10.096575,0.0044848328,405.45,-293.0902201756835,1.5976467,3.4642055,1059976,1.1096821,0.100965746,7379.4053
2600,0.85904324,[1.283 0.87  0.179],-76.18632,35.32961,0.5603906,832.9210965633392,26,-80.61339,3.4597042,0.85904324,0.0004804547,-42.839687,18.658154,100,0.011700744,4.8045467e-06,-61.003716,-78.87343,-58.811543,7.4679933,0.0056039053,451.6,-326.88149799644947,1.5553458,2.830487,1105136,1.1700745,0.07467993,8054.215
2700,0.8574139,[1.391 0.8   0.136],-77.93548,1.8565488,0.85048735,868.5610315799713,27,-81.59047,2.5185382,0.8574139,0.14280686,-65.60835,58.59045,100,0.0071499785,0.0014280685,-61.478443,-80.65516,-69.314064,3.7502,0.008504873,483.34,-359.87133683145044,1.5403503,53.863384,1153470,0.7149979,0.037502,2880.7715
2800,0.862104,[1.492 0.817 0.121],-77.68161,18.550684,0.54659027,904.4409852027893,28,-81.75755,2.3880787,0.862104,0.0043339925,-41.563614,16.508753,100,0.012292077,4.3339925e-05,-67.99302,-80.40686,-53.30141,8.510273,0.005465902,473.17,-350.5575011257827,1.5299268,5.390637,1200787,1.2292076,0.08510273,8776.793
2900,0.8592338,[1.474 0.901 0.111],-74.768616,16.191399,0.77688766,935.6940166950226,29,-80.406265,3.6316464,0.8592338,0.005664275,-55.887924,31.680891,100,0.011408554,5.6642748e-05,-65.184204,-77.448814,-66.67269,5.188199,0.007768876,392.89,-281.42732628449795,1.5320731,6.176119,1240076,1.1408554,0.051881988,6601.5547
3000,0.862025,[1.396 0.98  0.113],-70.98936,21.41666,0.7249159,959.777257680893,30,-80.22658,5.9954295,0.862025,0.0010932351,-48.484,25.236563,100,0.0124772005,1.0932351e-05,-51.970863,-73.66357,-60.85979,7.827998,0.007249159,304.93,-215.9742744717002,1.4626828,4.669262,1270569,1.2477201,0.07827998,6824.3516
3100,0.8585625,[1.425 0.998 0.044],-69.12693,5.786859,0.82497954,982.3415548801422,31,-78.83111,6.170116,0.8585625,0.0064070253,-53.09536,30.063799,100,0.012582654,6.407025e-05,-51.844406,-71.75463,-59.416534,8.893209,0.008249795,267.73,-189.8326713870466,1.4444369,17.28053,1297342,1.2582654,0.08893209,5544.412
3200,0.86053914,[1.436 1.066 0.025],-67.30517,2.6445332,0.88125384,1002.3617939949036,32,-80.25038,5.9524536,0.86053914,0.0070064664,-57.07555,43.445633,100,0.010054512,7.006466e-05,-51.755882,-69.98018,-61.425663,5.576771,0.008812539,237.02,-167.46619569092988,1.4080191,37.813858,1321044,1.0054512,0.055767708,4102.614
3300,0.8582396,[ 1.477  1.099 -0.011],-64.84894,18.281435,0.60255873,1020.9430432319641,33,-76.83303,5.4037957,0.8582396,0.0017416183,-39.61277,28.797148,100,0.009474873,1.7416181e-05,-51.26156,-67.41004,-50.563217,5.9545107,0.006025587,210.34,-147.90293448626994,1.40424,5.4700303,1342078,0.94748735,0.059545107,4149.457
3400,0.8607563,[ 1.561  1.003 -0.015],-67.77403,10.432642,0.8027642,1041.3614134788513,34,-78.99483,6.0645638,0.8607563,0.010395132,-52.411087,32.576344,100,0.011548963,0.000103951315,-48.040604,-70.407196,-60.916092,7.3696256,0.008027642,247.08,-174.62757056355477,1.4231421,9.5852995,1366786,1.1548963,0.073696256,5649.3325
3500,0.8560797,[1.546 1.079 0.004],-65.70964,26.84309,0.62677366,1060.7083983421326,35,-75.40899,5.6160827,0.8560797,0.00024357688,-39.975845,27.15586,100,0.010265408,2.4357687e-06,-51.357655,-68.22327,-52.999058,4.992923,0.0062677357,217.74,-153.6767259053886,1.3337566,3.7253535,1388560,1.0265409,0.049929228,4545.196
3600,0.8557662,[ 1.538  1.085 -0.085],-63.86549,1.0892854,0.9892139,1078.0606575012207,36,-74.80433,5.176536,0.8557662,0.44360846,-63.13153,91.55716,100,0.0030039197,0.0044360845,-49.45726,-66.35896,-65.73395,2.0233912,0.009892139,199.19,-140.30381052821875,1.3359827,91.80331,1408479,0.30039197,0.020233912,402.33044
3700,0.85828537,[ 1.575  1.096 -0.083],-63.696922,16.990686,0.71349365,1095.8197891712189,37,-76.94461,6.0204883,0.85828537,0.00022657466,-43.642593,26.04238,100,0.012023785,2.2657466e-06,-44.153114,-66.26174,-54.21472,7.597541,0.0071349363,201.6,-141.47045648679136,1.2716849,5.885577,1428639,1.2023786,0.0759754,5301.918
3800,0.8602698,[ 1.53   1.159 -0.147],-60.52207,20.502335,0.52417666,1112.7791225910187,38,-74.98471,5.6519313,0.8602698,0.0064765643,-31.714243,39.923313,100,0.0064300937,6.476564e-05,-43.643673,-63.021553,-43.03181,3.2886515,0.005241767,172.41,-121.40861932352185,1.3176277,4.8774934,1445880,0.6430094,0.032886513,1506.3345
3900,0.85522586,[ 1.585  1.235 -0.101],-58.410213,8.025741,0.8358844,1129.5660297870636,39,-72.14924,6.037356,0.85522586,0.033064123,-50.989086,24.369259,100,0.014725643,0.00033064123,-44.28299,-60.815193,-57.802315,11.211173,0.008358844,161.23,-113.02429988756776,1.3641642,12.459909,1462003,1.4725643,0.112111725,9583.344
4000,0.86072505,[ 1.582  1.17  -0.055],-61.653378,1.48448,0.9123729,1147.1654353141785,40,-75.558426,6.263009,0.86072505,0.081673756,-55.627754,64.874084,100,0.006713525,0.00081673753,-43.39324,-64.172,-58.696415,4.3600597,0.00912373,183.37,-128.95202482119203,1.3493841,67.363655,1480340,0.67135245,0.043600596,1717.488
4100,0.86088,[ 1.672  1.191 -0.07 ],-61.660744,28.155655,0.50875765,1164.9917736053467,41,-74.54225,5.960921,0.86088,3.48175e-05,-29.603424,30.503756,100,0.007679183,3.48175e-07,-45.01963,-64.145485,-42.787937,4.0547285,0.0050875763,182.93,-128.36762445092202,1.2531819,3.5516844,1498633,0.76791835,0.040547285,1951.8224
4200,0.8600713,[ 1.66   1.224 -0.166],-58.396202,25.550735,0.64775306,1178.136685371399,42,-72.13077,5.440662,0.8600713,0.0007116174,-36.34747,23.82745,100,0.011581637,7.116174e-06,-42.778374,-60.800556,-48.50096,5.808157,0.00647753,160.62,-112.35939241394401,1.165754,3.9137816,1514695,1.1581637,0.058081567,4271.9507
4300,0.8612994,[ 1.465  1.257 -0.253],-55.730865,21.557846,0.5411068,1192.084997177124,43,-69.512794,5.811917,0.8612994,0.0010624806,-30.008984,45.807854,100,0.005885471,1.0624806e-05,-42.02705,-58.047955,-40.767345,2.850729,0.005411068,146.15,-102.0267191888392,1.2147781,4.6386824,1529310,0.5885471,0.028507289,1117.7529
4400,0.8542255,[ 1.285  1.207 -0.204],-57.787773,20.404303,0.47190475,1206.3480463027954,44,-71.1281,6.1262565,0.8542255,0.0020768822,-26.640709,35.33871,100,0.006383387,2.076882e-05,-42.91995,-60.158707,-37.350494,3.016773,0.004719048,154.23,-109.01250218987465,1.2041142,4.900927,1544733,0.63833874,0.030167729,1316.5162
4500,0.85904247,[ 0.94   1.203 -0.215],-56.144394,15.669634,0.6176495,1221.965773820877,45,-67.04538,5.3744254,0.85904247,0.010381584,-35.22499,28.708145,100,0.009733286,0.00010381584,-46.538338,-58.379242,-44.0716,7.3245687,0.0061764955,148.74,-103.63772963553667,1.2793556,6.38177,1559607,0.97332853,0.07324569,3269.2332
4600,0.8621099,[ 0.94   1.164 -0.139],-58.647423,21.881454,0.5543947,1238.5994763374329,46,-71.297195,5.9612813,0.8621099,0.0070562386,-31.95354,37.974854,100,0.0070852465,7.056238e-05,-47.662426,-61.023983,-43.070583,3.3920012,0.005543946,161.05,-113.51066553488374,1.328851,4.5700803,1575712,0.7085247,0.033920012,1661.6318
4700,0.85501397,[ 0.985  1.24  -0.09 ],-58.42446,17.094416,0.74545974,1253.7927477359772,47,-71.13762,6.458074,0.85501397,0.00042044593,-40.411835,22.119434,100,0.013987876,4.204459e-06,-42.838104,-60.795715,-50.215878,8.791107,0.007454598,158.29,-112.03521831989288,1.2741749,5.8498635,1591541,1.3987876,0.08791107,5345.9155
4800,0.86343867,[ 0.974  1.33  -0.145],-55.547596,34.72253,0.45775995,1266.9328033924103,48,-68.60569,5.565923,0.86343867,0.00013804513,-25.452263,23.922716,100,0.008163193,1.3804513e-06,-43.53118,-57.834457,-38.927753,4.2290335,0.004577599,142.87,-100.27561726033687,1.227328,2.8799744,1605828,0.8163193,0.042290334,2048.042
4900,0.86109304,[ 0.921  1.226 -0.192],-56.771137,22.046791,0.5206519,1281.5479400157928,49,-73.788635,5.760877,0.86109304,0.00555354,-30.41092,31.553312,100,0.007668336,5.5535398e-05,-42.33176,-59.230762,-41.959827,5.368329,0.0052065183,148.55,-104.93882129102946,1.3143953,4.5358076,1620683,0.76683366,0.05368329,2276.35
5000,0.86829096,[ 0.876  1.246 -0.105],-57.052383,12.10429,0.6227536,1295.4230659008026,50,-68.14554,5.481774,0.86829096,0.005263416,-33.80165,23.561195,100,0.011216943,5.263416e-05,-46.316242,-59.323895,-41.70454,8.274516,0.006227535,150.42,-105.98673165842891,1.2861209,8.261534,1635725,1.1216943,0.08274516,3496.695
5100,0.8580991,[ 1.011  1.328 -0.133],-55.457077,14.635412,0.6678154,1307.7653176784515,51,-71.14196,5.313285,0.8580991,0.034309924,-36.865692,32.479343,100,0.009628777,0.00034309924,-42.44519,-57.828476,-45.937775,5.2814374,0.0066781547,142.32,-99.89420497357845,1.3718401,6.832742,1649957,0.96287763,0.052814372,2866.92
5200,0.85948,[ 1.023  1.315 -0.047],-57.582775,20.653679,0.6748561,1320.2972159385681,52,-72.85531,5.6080747,0.85948,0.013757109,-38.01895,30.7294,100,0.010132313,0.00013757109,-43.635513,-60.01128,-49.055637,7.525338,0.006748561,154.33,-108.35312890574336,1.4250618,4.8417525,1665390,1.0132313,0.07525338,2969.7368
5300,0.8620733,[0.946 1.4   0.006],-55.91525,22.031733,0.55467725,1333.256243944168,53,-68.089066,5.5805697,0.8620733,0.00080544705,-30.740631,20.16519,100,0.011036602,8.0544705e-06,-42.552425,-58.184883,-41.39384,6.519024,0.0055467724,144.95,-101.83072634294629,1.3927969,4.5389075,1679885,1.1036601,0.06519024,3886.0967
5400,0.86660737,[ 1.377  1.372 -0.026],-56.113625,13.002986,0.7109007,1346.672785282135,54,-69.65978,6.348529,0.86660737,0.001088185,-37.23488,29.137907,100,0.011086304,1.0881849e-05,-37.081985,-58.435616,-45.607903,5.5020866,0.007109007,148.45,-103.84808344572782,1.3204951,7.6905413,1694730,1.1086304,0.055020865,3177.923
5500,0.8562429,[ 1.242  1.442 -0.098],-54.360733,22.164263,0.52211905,1360.4626693725586,55,-67.31151,5.489552,0.8562429,3.9358507e-05,-27.925209,16.587471,100,0.011708334,3.9358505e-07,-37.515293,-56.60444,-38.488388,7.0760818,0.0052211904,138.87,-96.64854938209056,1.2470183,4.5117674,1708617,1.1708333,0.07076082,4221.866
5600,0.8577414,[ 1.399  1.513 -0.172],-53.855846,6.2097125,0.8132548,1373.2701184749603,56,-67.74379,5.398948,0.8577414,0.019409923,-42.38214,24.740946,100,0.01418397,0.00019409922,-42.229736,-56.113968,-48.00923,11.087512,0.008132548,134.9,-94.26449704810977,1.2716885,16.103806,1722107,1.4183971,0.110875115,5210.6646
5700,0.8641606,[ 1.378  1.591 -0.147],-52.423595,12.65636,0.72328585,1386.212052822113,57,-67.623695,5.4296346,0.8641606,0.00027100995,-37.934044,20.299847,100,0.0143315485,2.7100994e-06,-37.91871,-54.677723,-45.953262,9.00446,0.0072328583,128.32,-89.61747122853994,1.2168101,7.901166,1734939,1.4331548,0.0900446,6193.084
5800,0.8662652,[ 1.29   1.507 -0.202],-51.780888,15.166045,0.62781554,1398.1848702430725,58,-67.69309,5.778352,0.8662652,9.2167276e-05,-30.847656,25.503536,100,0.010729998,9.216727e-07,-38.34549,-54.037323,-39.635033,5.698695,0.0062781554,127.42,-88.38768250480294,1.1555494,6.5936766,1747681,1.073,0.05698695,2560.4863
5900,0.8642359,[ 1.385  1.584 -0.263],-51.55085,12.2518015,0.659417,1411.5160191059113,59,-65.16621,5.2383413,0.8642359,0.0092734555,-33.77208,31.463966,100,0.009732241,9.273455e-05,-38.279198,-53.72305,-41.375362,6.907978,0.0065941704,126.05,-87.34695957109332,1.213619,8.162065,1760286,0.97322404,0.06907978,2614.8604
6000,0.86606306,[ 1.291  1.648 -0.205],-50.5824,6.465874,0.88048494,1425.199640750885,60,-65.00206,5.0437713,0.86606306,0.01259378,-43.671127,24.663425,100,0.015388564,0.00012593779,-38.313263,-52.749138,-49.18072,12.1399765,0.00880485,122.04,-84.41705651074648,1.1689583,15.465813,1772490,1.5388565,0.12139976,5502.965
6100,0.86504793,[ 1.24   1.576 -0.25 ],-50.868916,7.1985435,0.83927774,1438.064624786377,61,-61.83116,5.596906,0.86504793,0.016988296,-42.60392,24.613852,100,0.014687966,0.00016988296,-37.86515,-52.92995,-48.13371,9.94936,0.008392777,122.25,-85.11597864657641,1.1491911,13.891699,1784715,1.4687966,0.0994936,5492.239
6200,0.86068845,[ 1.072  1.516 -0.27 ],-50.806095,11.610538,0.59639573,1450.4027166366577,62,-62.476685,5.3800387,0.86068845,0.0041811937,-30.397316,41.73774,100,0.007046343,4.1811934e-05,-41.66054,-52.88865,-37.49347,3.3772323,0.0059639574,121.75,-84.79097135528922,1.232435,8.612865,1796890,0.70463425,0.033772323,1383.4509
6300,0.8644396,[ 0.973  1.507 -0.186],-52.630253,26.806025,0.5740731,1463.1516411304474,63,-69.15691,5.527919,0.8644396,0.00014771798,-29.700787,25.332722,100,0.00985579,1.4771797e-06,-42.307602,-54.935482,-41.63601,4.5877943,0.0057407315,128.89,-90.28222664296626,1.151363,3.7305048,1809779,0.9855791,0.04587794,2620.6997
6400,0.8636159,[ 1.101  1.425 -0.268],-52.15163,2.0173724,0.91628104,1475.4267508983612,64,-64.4064,5.619386,0.8636159,0.1357488,-47.725487,56.708004,100,0.008005904,0.001357488,-37.333374,-54.298508,-50.77479,4.18231,0.00916281,127.33,-88.94874426171184,1.1911919,49.56943,1822512,0.80059046,0.0418231,1767.2942
6500,0.8615713,[ 1.201  1.426 -0.228],-52.20405,16.08253,0.68000746,1487.9126541614532,65,-65.80017,5.7298827,0.8615713,0.003087778,-34.534637,33.19118,100,0.009647599,3.087778e-05,-36.802826,-54.39739,-43.33059,7.1280904,0.0068000746,128.16,-89.28722045049071,1.2668531,6.2179275,1835328,0.9647599,0.071280904,2232.755
6600,0.86351776,[ 1.197  1.478 -0.152],-53.772552,10.151048,0.53672755,1500.6369035243988,66,-74.5876,6.373344,0.86351776,0.00083638384,-28.15674,32.71604,100,0.0076971375,8.363838e-06,-37.692993,-56.25881,-36.078117,3.2333212,0.0053672753,135.06,-94.68202463239432,1.2206868,9.8512,1848834,0.7697138,0.03233321,1664.4104
6700,0.8639188,[ 1.467  1.511 -0.198],-53.31187,17.013046,0.5657777,1516.0881671905518,67,-64.70734,5.2462573,0.8639188,0.013187794,-30.214931,31.15291,100,0.008410838,0.00013187794,-37.540146,-55.46878,-39.111515,5.920618,0.0056577777,134.0,-92.9741641151905,1.3018191,5.877842,1862234,0.8410839,0.05920618,2237.5112
6800,0.86645037,[ 1.42   1.473 -0.117],-54.060547,31.553974,0.5302885,1530.9653494358063,68,-68.69795,5.822907,0.86645037,8.162695e-05,-27.368946,21.27076,100,0.010202081,8.162695e-07,-41.823322,-56.350468,-40.232162,5.7253523,0.0053028855,137.82,-95.8993751296401,1.2128379,3.169173,1876016,1.020208,0.05725352,2606.7683
6900,0.8592865,[ 1.328  1.554 -0.206],-51.501366,21.031605,0.51271415,1543.1756772994995,69,-66.26151,5.31728,0.8592865,0.016231539,-26.438366,40.91028,100,0.0061619054,0.00016231538,-38.452972,-53.710083,-36.567593,4.129456,0.0051271403,124.89,-86.96995504111051,1.2841827,4.754749,1888505,0.6161905,0.04129456,1088.2566
7000,0.8586735,[ 1.317  1.486 -0.135],-53.99708,34.365604,0.45695004,1556.1487865447998,70,-65.49193,6.243203,0.8586735,0.00029359863,-24.425186,23.093113,100,0.008338925,2.9359862e-06,-37.846657,-56.18014,-37.222786,4.9988284,0.0045695,136.4,-95.39860981523991,1.2048289,2.9098864,1902145,0.83389246,0.049988285,1977.9823
7100,0.8631946,[ 1.298  1.394 -0.214],-53.444786,21.097506,0.63387537,1568.7612767219543,71,-68.183754,5.884388,0.8631946,0.0029972286,-31.697128,18.684366,100,0.013223661,2.9972285e-05,-42.987125,-55.717583,-42.13652,10.33284,0.0063387537,132.69,-93.20870420083403,1.1159958,4.739897,1915414,1.3223662,0.1033284,4143.8726
7200,0.8609698,[ 1.271  1.326 -0.303],-54.004288,21.521084,0.56464964,1581.7312483787537,72,-64.5029,5.538817,0.8609698,0.007831485,-30.982063,16.636019,100,0.012639899,7.831485e-05,-41.642944,-56.154377,-40.95654,10.416272,0.005646497,136.72,-95.29409126386047,1.1054101,4.646606,1929086,1.2639899,0.10416272,5179.1875
7300,0.86150503,[ 1.31   1.233 -0.314],-56.16328,25.167692,0.6244066,1595.403913974762,73,-68.73694,6.247622,0.86150503,0.00073088193,-33.61844,21.688215,100,0.011865037,7.308819e-06,-37.30908,-58.45451,-45.112953,7.187544,0.006244065,147.26,-103.23286093488336,1.00024,3.9733481,1943812,1.1865038,0.07187544,4078.0908
7400,0.8604451,[ 1.205  1.254 -0.419],-53.044186,13.656033,0.6904262,1607.6687269210815,74,-70.26814,5.6760583,0.8604451,0.0058896868,-35.839607,25.903969,100,0.011677008,5.8896865e-05,-42.315933,-55.386456,-44.495255,8.33514,0.006904261,133.05,-92.44420934662223,1.0354073,7.322771,1957117,1.1677008,0.0833514,3978.1355
7500,0.8594107,[ 1.146  1.322 -0.383],-52.817974,18.124315,0.68320966,1621.6662447452545,75,-65.194626,5.407839,0.8594107,0.0058205784,-35.340317,30.13346,100,0.010403133,5.8205784e-05,-42.447002,-54.991127,-44.59201,5.311924,0.006832097,129.93,-90.8118126732111,1.0852557,5.51745,1970110,1.0403134,0.05311924,3009.8574
7600,0.86495554,[ 1.117  1.254 -0.333],-54.84167,18.685806,0.5121096,1635.2478766441345,76,-65.66827,5.6100516,0.86495554,0.028066201,-28.535671,28.04895,100,0.008202065,0.000280662,-42.606686,-57.030613,-37.99783,5.945797,0.0051210956,139.36,-97.66557993218302,1.1696612,5.3516555,1984046,0.82020646,0.05945797,2298.279
