IterType,AvgEpLen,MaxVanillaIw,AvgDiscRet,VarNormIw,VarRet,MinVanillaIw,AvgRet,BatchSize,ESSRenyi,VarJ,MinNormIw,AvgNormIw,VarDiscRet,ESSClassic,eRenyi2,VarVanillaIw,EpsThisIter,MaxNormIw,VanillaAvgRet,AvgVanillaIw,Bound,J
2,104.63,1.0,24.26248030426478,5.4391416e-20,1170.1143032726297,1.0,24.26248030426478,500,500.0,35.481,0.0033333334,0.0033333336,1170.1143032726297,299.999969473632,1.0,,100,0.0033333334,24.26248030426478,1.0,15.464008,23.782013
2,104.34,1.0,21.013179353938632,5.434597e-20,1112.7211132326186,1.0,21.013179353938632,500,500.0,34.94298,0.0025,0.0024999997,1112.7211132326186,400.0,1.0,,100,0.0025,21.013179353938632,1.0,15.8862,23.089804
1,105.51,9290884.0,18.242402550033898,0.001999777,1372.1252574574282,0.10673909,18.242402550033898,500,412.3732909231163,0.16805623,1.1487943e-08,0.0020000003,1372.1252574574282,1.0001112949821516,1.2124937,172641000000.0,100,0.9999443,18.242402550033898,18582.803,164.08176,171.17647
2,106.46,1.0,20.91048731169731,3.5044917e-18,1496.1677673797117,1.0,20.91048731169731,500,500.0,38.48644,0.01,0.009999998,1496.1677673797117,100.0,1.0,,100,0.01,20.91048731169731,1.0,10.900362,20.910484
2,103.99,1.0,19.329991505555256,2.179301e-19,1593.584938340953,1.0,19.329991505555256,500,500.0,39.11588,0.005,0.0049999994,1593.584938340953,200.00000010221265,1.0,,100,0.005,19.329991505555256,1.0,11.7592745,20.12024
2,101.15,1.0,14.386774001224289,5.4391416e-20,885.4350047973652,1.0,14.386774001224289,500,500.0,36.325382,0.0033333334,0.0033333336,885.4350047973652,299.999969473632,1.0,,100,0.0033333334,14.386774001224289,1.0,11.382389,18.209087
2,102.69,1.0,26.879164405830764,5.434597e-20,1035.0589630394668,1.0,26.879164405830764,500,500.0,35.495373,0.0025,0.0024999997,1035.0589630394668,400.0,1.0,,100,0.0025,26.879164405830764,1.0,14.464511,20.376606
1,104.32,12094760.0,24.80100435440113,0.001999828,1589.5986257355091,0.12909748,24.80100435440113,500,418.1590292873547,0.11204078,1.0673377e-08,0.0019999999,1589.5986257355091,1.0000859894993195,1.1957173,292566340000.0,100,0.999957,24.80100435440113,24190.56,148.40836,154.77882
2,106.37,1.0,15.165469311708984,3.5044917e-18,1427.0358127358131,1.0,15.165469311708984,500,500.0,37.586773,0.01,0.009999998,1427.0358127358131,100.0,1.0,,100,0.01,15.165469311708984,1.0,6.0548534,15.165469
2,104.1,1.0,19.271790581189045,2.179301e-19,1253.2170947214688,1.0,19.271790581189045,500,500.0,36.48206,0.005,0.0049999994,1253.2170947214688,200.00000010221265,1.0,,100,0.005,19.271790581189045,1.0,9.178283,17.21863
2,100.47,1.0,22.84993790094232,5.4391416e-20,1190.9963833662355,1.0,22.84993790094232,500,500.0,35.879932,0.0033333334,0.0033333336,1190.9963833662355,299.999969473632,1.0,,100,0.0033333334,22.84993790094232,1.0,12.530816,19.095732
2,103.97,1.0,20.908925403420934,5.434597e-20,1162.809168815084,1.0,20.908925403420934,500,500.0,35.410995,0.0025,0.0024999997,1162.809168815084,400.0,1.0,,100,0.0025,20.908925403420934,1.0,13.863648,19.549032
1,110.88,12457572.0,20.965255775446934,0.0019998236,1756.468295541482,0.05162419,20.965255775446934,500,401.56213005514905,0.102140516,4.143818e-09,0.0019999999,1756.468295541482,1.0000881411076092,1.2451373,310382170000.0,100,0.99995595,20.965255775446934,24916.242,137.71587,143.75359
2,105.7,1.0,27.75872485945645,3.5044917e-18,1138.9688085598996,1.0,27.75872485945645,500,500.0,33.579445,0.01,0.009999998,1138.9688085598996,100.0,1.0,,100,0.01,27.75872485945645,1.0,19.05355,27.758724
