MinNormIw,MaxNormIw,AvgNormIw,Bound,IterType,VarJ,VarVanillaIw,VarNormIw,VarDiscRet,VanillaAvgRet,AvgRet,EpsThisIter,ESSClassic,ESSRenyi,AvgVanillaIw,AvgEpLen,VarRet,Delta,AvgDiscRet,MinVanillaIw,MaxVanillaIw,eRenyi2,J,BatchSize
0.00519721,0.0133241,0.01,-653.583,1,43.3758,0.0361608,3.60236e-06,2156.79137924,-514.618646122,-514.618646122,100,96.5564934588,97.072787163,1.0019,500.0,2156.79137924,0.2,-514.618646122,0.52071,1.33495,1.03015,-510.257,100
0.00565453,0.0136216,0.01,-653.513,1,47.9134,0.0300535,2.99236e-06,2396.28870487,-516.759830763,-516.759830763,100,97.1227700224,97.1761868409,1.00217,500.0,2396.28870487,0.2,-516.759830763,0.566679,1.36511,1.02906,-512.841,100
0.0033251,0.0135554,0.01,-648.373,1,56.5577,0.0413284,4.15763e-06,3234.59892283,-517.868287888,-517.868287888,100,96.0466800481,96.7627768535,0.997014,500.0,3234.59892283,0.2,-517.868287888,0.331517,1.3515,1.03346,-513.241,100
0.00116475,0.0162359,0.01,-649.728,1,52.0818,0.0835982,8.85224e-06,2617.43368372,-516.406221435,-516.406221435,100,91.9424422581,94.8902026406,0.971789,500.0,2617.43368372,0.2,-516.406221435,0.113189,1.57779,1.05385,-508.408,100
0.00404711,0.0140339,0.01,-637.095,1,40.2816,0.0438197,4.2467e-06,1884.01678349,-508.489921809,-508.489921809,100,95.9653679244,96.0611925451,1.0158,500.0,1884.01678349,0.2,-508.489921809,0.411106,1.42557,1.041,-503.029,100
0.00523056,0.0141552,0.01,-634.184,1,47.4456,0.0333743,3.2628e-06,2377.5347715,-507.828739355,-507.828739355,100,96.8708928277,97.2054530763,1.01137,500.0,2377.5347715,0.2,-507.828739355,0.529004,1.43161,1.02875,-504.031,100
0.00589643,0.0181181,0.01,-624.993,1,47.1308,0.0469365,4.72148e-06,2353.12227442,-504.120863335,-504.120863335,100,95.5344363503,96.7516053743,0.997049,500.0,2353.12227442,0.2,-504.120863335,0.587902,1.80647,1.03357,-500.062,100
0.00381477,0.0140321,0.01,-627.103,1,44.493,0.0313307,3.18963e-06,2005.18937771,-501.913847657,-501.913847657,100,96.9389260525,97.2637565252,0.991094,500.0,2005.18937771,0.2,-501.913847657,0.378079,1.39071,1.02813,-498.31,100
0.00624589,0.013049,0.01,-618.101,1,42.5404,0.0158978,1.56046e-06,1836.4736943,-493.906602266,-493.906602266,100,98.4786164477,98.4088438597,1.00935,500.0,1836.4736943,0.2,-493.906602266,0.630429,1.3171,1.01617,-491.845,100
0.00419168,0.0163103,0.01,-632.422,1,46.2355,0.0403368,3.81833e-06,2374.88987139,-501.832131773,-501.832131773,100,96.3575247311,96.7672417025,1.02781,500.0,2374.88987139,0.2,-501.832131773,0.430826,1.6764,1.03341,-497.381,100
0.00397801,0.0154124,0.01,-622.983,1,41.6788,0.032708,3.41755e-06,1640.63343197,-503.818171786,-503.818171786,100,96.7273377086,97.4462069246,0.978293,500.0,1640.63343197,0.2,-503.818171786,0.389166,1.50778,1.02621,-500.651,100
0.00563245,0.0145148,0.01,-625.215,1,46.1703,0.0392616,3.85801e-06,2245.47606594,-499.407373796,-499.407373796,100,96.321117679,96.9177020616,1.00879,500.0,2245.47606594,0.2,-499.407373796,0.568199,1.46425,1.0318,-495.238,100
