BatchSize,MinVanillaIw,ESSClassic,AvgVanillaIw,VarNormIw,VarJ,MinNormIw,eRenyi2,VarDiscRet,J,VarRet,VarVanillaIw,MaxNormIw,AvgRet,AvgDiscRet,ESSRenyi,AvgNormIw,AvgEpLen,Bound,MaxVanillaIw
100,1.0,100.0,1.0,3.5044917e-18,7.015644,0.01,1.0,49.71642574558388,-4.4703484e-08,49.71642574558388,,0.01,-8.742224559490463,8.881784197001253e-17,100.0,0.009999998,200.0,-1.2598445,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.2905846,0.01,1.0,53.68952086256907,-3.7252903e-08,53.68952086256907,,0.01,-7.893531434904315,1.021405182655144e-15,100.0,0.009999998,200.0,-1.3556937,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.820778,0.01,1.0,46.99294185423943,1.1175871e-07,46.992941854239426,,0.01,-8.015597487788046,-7.638334409421077e-16,100.0,0.009999998,200.0,-1.3480613,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.253616,0.01,1.0,53.14641502501535,7.4505806e-08,53.146415025015365,,0.01,-7.723855422887689,6.838973831690964e-16,100.0,0.009999998,200.0,-1.3365588,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.091198,0.01,1.0,50.79301629364443,-3.9115548e-08,50.79301629364444,,0.01,-8.255683424880493,2.3803181647963358e-15,100.0,0.009999998,200.0,-1.3005773,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.284004,0.01,1.0,53.592648067231046,,53.592648067231046,,0.01,-8.165485291976394,7.01660951563099e-16,100.0,0.009999998,200.0,-1.3332193,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.1012864,0.01,1.0,37.60171727100935,8.195639e-08,37.60171727100935,,0.01,-6.410920627756676,4.39648317751562e-16,100.0,0.009999998,200.0,-1.4146249,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.8708825,0.01,1.0,47.685887726703605,1.4901161e-08,47.685887726703605,,0.01,-7.920882776853777,-1.2434497875801752e-15,100.0,0.009999998,200.0,-1.3062776,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.2110105,0.01,1.0,38.966316999582176,7.0780516e-08,38.96631699958217,,0.01,-7.543354450606062,-1.0480505352461477e-15,100.0,0.009999998,200.0,-1.3436792,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.6382933,0.01,1.0,44.512062501640315,-6.7055225e-08,44.512062501640315,,0.01,-6.68053805068754,1.8474111129762605e-15,100.0,0.009999998,200.0,-1.4351765,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.841215,0.01,1.0,47.27497155389278,-4.0978193e-08,47.27497155389278,,0.01,-8.236705555525806,-7.283063041541026e-16,100.0,0.009999998,200.0,-1.316012,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.547671,0.01,1.0,57.542761390977994,2.9802322e-08,57.54276139097799,,0.01,-8.015913033769367,1.1812772982011666e-15,100.0,0.009999998,200.0,-1.3145854,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.398468,0.01,1.0,55.29023314070169,-7.450581e-09,55.29023314070168,,0.01,-7.265043425651351,1.2256862191861727e-15,100.0,0.009999998,200.0,-1.3867924,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.9246325,0.01,1.0,48.434886967350465,-4.4703484e-08,48.434886967350465,,0.01,-7.888554148130091,1.1191048088221578e-15,100.0,0.009999998,200.0,-1.3302305,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.7613964,0.01,1.0,46.178265567015096,8.940697e-08,46.178265567015096,,0.01,-7.172927689930507,-9.769962616701378e-17,100.0,0.009999998,200.0,-1.380264,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.3833723,0.01,1.0,55.06484013873518,-9.313226e-09,55.06484013873518,,0.01,-7.942605245969307,1.0036416142611414e-15,100.0,0.009999998,200.0,-1.3331404,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.9500556,0.01,1.0,63.84180415383051,7.4505806e-08,63.84180415383051,,0.01,-9.271422777157674,-6.572520305780927e-16,100.0,0.009999998,200.0,-1.2398814,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.648022,0.01,1.0,44.64262781511677,5.9604645e-08,44.64262781511677,,0.01,-7.330881277659213,8.881784197001253e-18,100.0,0.009999998,200.0,-1.2867773,1.0
