AvgNormIw,VarJ,BatchSize,Bound,VarRet,MaxVanillaIw,VanillaAvgRet,MaxNormIw,VarVanillaIw,ESSRenyi,VarDiscRet,AvgRet,eRenyi2,MinVanillaIw,ESSClassic,AvgDiscRet,MinNormIw,J,EpsThisIter,IterType,VarNormIw,AvgVanillaIw,AvgEpLen,Delta
0.01,180.298,100,-955.253,66800.3946779,4.39618,-833.902610118,0.0408927,1.04345,56.4970463777,66800.3946779,-833.902610118,1.77,0.00125485,52.8033534651,-833.902610118,1.16725e-05,-694.302,100,1,9.02848e-05,1.07505,500.0,0.5
0.01,143.853,100,-887.204,37252.1081285,2.52435,-721.948514651,0.0268654,0.284203,78.7945051485,37252.1081285,-721.948514651,1.26912,0.0559847,75.8335511969,-721.948514651,0.000595817,-666.384,100,1,3.21896e-05,0.939629,500.0,0.5
0.01,125.921,100,-789.352,29425.8922689,16.2849,-710.352528589,0.151824,2.84748,63.8784539306,29425.8922689,-710.352528589,1.56547,0.0256343,28.9834941575,-710.352528589,0.000238988,-627.249,100,1,0.000247499,1.07262,500.0,0.5
0.01,96.7042,100,-843.225,40980.0793632,1.74617,-665.976249417,0.0179793,0.144975,88.024351219,40980.0793632,-665.976249417,1.13605,0.204817,86.7934534158,-665.976249417,0.00210889,-634.245,100,1,1.53698e-05,0.971208,500.0,0.5
0.01,88.7957,100,-815.318,28690.0345626,2.43188,-635.81195681,0.0250849,0.181432,86.7463231397,28690.0345626,-635.81195681,1.15279,0.0971902,83.9551067192,-635.81195681,0.00100252,-604.656,100,1,1.93043e-05,0.969458,500.0,0.5
0.01,338.146,100,-664.635,4527.33378811,37.6506,-603.46371715,0.283267,13.8786,47.1142692083,4527.33378811,-603.46371715,2.1225,0.0253597,11.3929463573,-603.46371715,0.000190796,-542.695,100,1,0.000785592,1.32915,500.0,0.5
0.01,58.6161,100,-647.056,3823.94627407,2.55319,-581.093360468,0.024046,0.181194,85.4312493781,3823.94627407,-581.093360468,1.17053,0.141576,86.2730934023,-581.093360468,0.00133336,-567.923,100,1,1.60717e-05,1.0618,500.0,0.5
0.01,62.6733,100,-636.933,3774.82070048,2.72751,-574.539690855,0.0274028,0.405833,73.2607445453,3774.82070048,-574.539690855,1.36499,0.0291454,71.146686996,-574.539690855,0.000292819,-551.659,100,1,4.09643e-05,0.995339,500.0,0.5
0.01,163.39,100,-610.715,3283.41209418,14.2847,-558.883275589,0.148056,2.56808,48.6731041871,3283.41209418,-558.883275589,2.05452,0.00945545,26.801192172,-558.883275589,9.80021e-05,-509.854,100,1,0.000275876,0.964821,500.0,0.5
0.01,51.8031,100,-607.814,2876.13043041,2.35484,-536.353593541,0.0233066,0.165493,87.7443206197,2876.13043041,-536.353593541,1.13967,0.0651146,86.1704350023,-536.353593541,0.000644461,-526.459,100,1,1.62112e-05,1.01037,500.0,0.5
0.01,55.8068,100,-599.298,4345.30455966,1.89446,-530.138223597,0.0187769,0.151731,86.7207829364,4345.30455966,-530.138223597,1.15313,0.195001,87.1410356725,-530.138223597,0.00193275,-518.438,100,1,1.49055e-05,1.00893,500.0,0.5
0.01,49.6494,100,-580.108,2789.83346935,2.04954,-520.063540576,0.0196742,0.155188,88.1949130321,2789.83346935,-520.063540576,1.13385,0.142759,87.5985832848,-520.063540576,0.00137039,-511.215,100,1,1.43001e-05,1.04174,500.0,0.5
0.01,49.9859,100,-562.925,2434.00303387,3.53517,-508.342343799,0.0365266,0.400306,76.8635564594,2434.00303387,-508.342343799,1.30101,0.0765388,70.2700110445,-508.342343799,0.000790825,-489.794,100,1,4.27356e-05,0.967835,500.0,0.5
0.01,43.3066,100,-561.961,1865.40609497,2.02174,-503.906491311,0.0186262,0.131135,90.9367815114,1865.40609497,-503.906491311,1.09967,0.291064,90.0745628091,-503.906491311,0.00268155,-497.52,100,1,1.11305e-05,1.08543,500.0,0.5
0.01,41.814,100,-564.642,1734.5872438,2.92891,-506.13554551,0.0296424,0.263239,84.4063013572,1734.5872438,-506.13554551,1.18475,0.154052,78.9308548456,-506.13554551,0.00155911,-495.753,100,1,2.69628e-05,0.98808,500.0,0.5
0.01,44.8311,100,-547.521,2084.34540768,1.84913,-490.321890085,0.0188454,0.133049,88.3002073662,2084.34540768,-490.321890085,1.1325,0.231879,87.9653269656,-490.321890085,0.00236319,-482.234,100,1,1.38193e-05,0.981212,500.0,0.5
0.01,57.244,100,-549.663,1936.48380605,4.00286,-496.033004492,0.0392963,0.423727,77.68971174,1936.48380605,-496.033004492,1.28717,0.0864151,71.2108519948,-496.033004492,0.000848341,-481.765,100,1,4.08364e-05,1.01864,500.0,0.5
0.01,92.9825,100,-545.007,1688.62679617,19.8487,-489.514888621,0.167641,3.77491,73.9316557199,1688.62679617,-489.514888621,1.3526,0.0834956,27.2785562655,-489.514888621,0.000705202,-474.28,100,1,0.000269281,1.184,500.0,0.5
0.01,43.9282,100,-529.723,1861.39959423,2.21362,-474.937708922,0.0218569,0.0993069,91.9240574714,1861.39959423,-474.937708922,1.08785,0.303191,91.2534839171,-474.937708922,0.00299366,-470.025,100,1,9.68165e-06,1.01278,500.0,0.5
0.01,68.001,100,-531.368,2140.15507501,5.86544,-476.339262798,0.0584122,0.493617,78.5435772902,2140.15507501,-476.339262798,1.27318,0.230291,67.3557974099,-476.339262798,0.0022934,-463.667,100,1,4.89549e-05,1.00415,500.0,0.5
0.01,52.7721,100,-534.785,2607.357664,3.40798,-476.1307733,0.0302639,0.399548,78.483290296,2607.357664,-476.1307733,1.27416,0.117019,76.2234294257,-476.1307733,0.00103916,-459.437,100,1,3.15084e-05,1.12609,500.0,0.5
0.01,35.8728,100,-522.508,1270.58637091,1.4161,-466.173444461,0.0139157,0.0334342,96.7249984059,1270.58637091,-466.173444461,1.03386,0.552385,96.9026811278,-466.173444461,0.00542814,-464.236,100,1,3.22857e-06,1.01763,500.0,0.5
0.01,41.4575,100,-527.528,1965.47989203,2.14271,-467.497464678,0.0216425,0.0533432,95.2170736311,1965.47989203,-467.497464678,1.05023,0.541003,94.8877591521,-467.497464678,0.00546442,-464.699,100,1,5.44211e-06,0.990047,500.0,0.5
0.01,42.7104,100,-529.382,1863.9924276,2.60152,-471.221965215,0.0262427,0.214272,84.443576492,1863.9924276,-471.221965215,1.18422,0.222795,82.2465372763,-471.221965215,0.00224744,-461.081,100,1,2.18037e-05,0.991329,500.0,0.5
0.01,51.5918,100,-530.84,2617.72789419,1.57728,-471.640575797,0.0162868,0.0966427,91.8506018308,2617.72789419,-471.640575797,1.08872,0.21294,90.7430063323,-471.640575797,0.00219879,-466.239,100,1,1.03044e-05,0.968442,500.0,0.5
0.01,48.7413,100,-522.419,2053.43846283,2.75404,-469.698859335,0.0268181,0.17858,88.0699763305,2053.43846283,-469.698859335,1.13546,0.334183,85.6426147989,-469.698859335,0.00325419,-462.515,100,1,1.69336e-05,1.02693,500.0,0.5
0.01,39.1476,100,-522.823,1595.39816511,1.88155,-463.909272486,0.0193077,0.0668559,94.4460769777,1595.39816511,-463.909272486,1.05881,0.36036,93.4845517447,-463.909272486,0.00369785,-460.286,100,1,7.0399e-06,0.974511,500.0,0.5
0.01,41.2294,100,-515.585,1762.52845713,2.17413,-461.008137907,0.0216805,0.173086,86.5873543525,1762.52845713,-461.008137907,1.1549,0.0861318,85.4410514388,-461.008137907,0.000858908,-452.848,100,1,1.72119e-05,1.00281,500.0,0.5
0.01,41.6753,100,-513.942,2014.802792,1.85857,-455.689763871,0.0179596,0.1477,87.8527272744,2014.802792,-455.689763871,1.13827,0.181717,87.9865937864,-455.689763871,0.00175595,-447.344,100,1,1.37916e-05,1.03486,500.0,0.5
0.01,37.6828,100,-514.426,1604.27256782,1.65657,-455.419645276,0.0160915,0.032142,96.8283510593,1604.27256782,-455.419645276,1.03276,0.726766,97.0850139927,-455.419645276,0.00705965,-453.376,100,1,3.03284e-06,1.02947,500.0,0.5
0.01,40.8525,100,-513.655,1623.10526475,1.66751,-455.499226504,0.0163396,0.0522682,95.1084597764,1623.10526475,-455.499226504,1.05143,0.520608,95.2667513264,-455.499226504,0.00510134,-452.71,100,1,5.01862e-06,1.02053,500.0,0.5
0.01,42.0071,100,-515.296,1594.86611478,1.71714,-460.327046861,0.017464,0.143829,90.2055371518,1594.86611478,-460.327046861,1.10858,0.124952,87.1623217849,-460.327046861,0.00127081,-454.157,100,1,1.48772e-05,0.983247,500.0,0.5
0.01,39.7829,100,-506.105,1601.33913995,1.41467,-449.795856671,0.0141795,0.0183972,97.7966455197,1601.33913995,-449.795856671,1.02253,0.719073,98.2031110955,-449.795856671,0.00720737,-448.568,100,1,1.84824e-06,0.997691,500.0,0.5
0.01,38.0152,100,-508.975,1537.8438289,1.60163,-452.645889083,0.0162351,0.0620423,93.8125343608,1537.8438289,-452.645889083,1.06596,0.288945,94.0635486061,-452.645889083,0.00292892,-448.964,100,1,6.37487e-06,0.986525,500.0,0.5
0.01,39.6671,100,-507.568,1634.02807702,1.95515,-453.067684931,0.0200347,0.0783885,92.4054259688,1634.02807702,-453.067684931,1.08219,0.3176,92.4652480896,-453.067684931,0.00325448,-448.584,100,1,8.23104e-06,0.975885,500.0,0.5
0.01,40.2796,100,-505.394,1689.39735061,1.62036,-446.70105408,0.0159155,0.0478524,96.1236270174,1689.39735061,-446.70105408,1.04033,0.414494,95.6293702771,-446.70105408,0.00407123,-444.298,100,1,4.61657e-06,1.0181,500.0,0.5
0.01,36.0651,100,-502.862,1198.69560102,1.52271,-450.246660907,0.0154326,0.0547893,94.6181641978,1198.69560102,-450.246660907,1.05688,0.336472,94.7225470319,-450.246660907,0.00341013,-447.505,100,1,5.62782e-06,0.986683,500.0,0.5
0.01,39.3547,100,-491.058,1482.04891433,1.72141,-440.357380646,0.0168978,0.130724,90.6861050373,1482.04891433,-440.357380646,1.1027,0.170156,88.9122641452,-440.357380646,0.0016703,-434.756,100,1,1.25964e-05,1.01872,500.0,0.5
0.01,34.8603,100,-491.997,1180.51585063,1.86711,-440.777349471,0.0178209,0.103938,90.7675393013,1180.51585063,-440.777349471,1.10172,0.256913,91.4293317761,-440.777349471,0.00245215,-435.376,100,1,9.46879e-06,1.04771,500.0,0.5
0.01,36.9715,100,-492.815,1397.5501091,1.77921,-440.510580961,0.0172961,0.0685538,95.3231952774,1397.5501091,-440.510580961,1.04906,0.411168,93.9728527275,-440.510580961,0.00399706,-437.873,100,1,6.47848e-06,1.02868,500.0,0.5
0.01,33.506,100,-491.25,1141.94617957,2.07997,-440.205243382,0.0208669,0.108831,91.0205432408,1141.94617957,-440.205243382,1.09865,0.14204,90.2169079206,-440.205243382,0.00142499,-434.758,100,1,1.09535e-05,0.99678,500.0,0.5
0.01,35.94,100,-501.598,1343.27008252,1.78902,-447.161199803,0.017997,0.0511248,94.2339686363,1343.27008252,-447.161199803,1.06119,0.615659,95.1275933083,-447.161199803,0.00619336,-443.759,100,1,5.17373e-06,0.994063,500.0,0.5
0.01,0.0157691,100,-450.557,1101.33581332,0.0507781,-442.540854328,0.999923,2.57842e-05,99.9999046327,1101.33581332,-442.540854328,1.0,,1.00015421722,-442.540854328,,-397.924,100,1,0.00999844,0.00050782,500.0,0.5
nan,nan,200,nan,1101.33581332,inf,-442.540854328,nan,nan,9957481.93636,3761.62336349,-442.540854328,2.00854e-05,19.6935,nan,-500.241006091,nan,nan,100,,nan,inf,500.0,0.5
0.005,37.2162,200,-483.466,1381.3779033,2.07736,-444.410495549,0.0101717,0.0629857,188.722021789,1381.3779033,-444.410495549,1.05976,0.470601,188.661240724,-444.410495549,0.00230427,-441.098,100,1,1.51009e-06,1.02115,500.0,0.5
0.01,39.2701,200,-494.035,1557.72099431,1.0,-436.219027142,0.01,,200.0,1557.72099431,-436.219027142,1.0,1.0,100.0,-436.219027142,0.01,-436.219,100,2,3.50449e-18,1.0,500.0,0.5
0.005,48.1608,200,-475.565,1357.94648751,5.35174,-436.795887998,0.0263353,0.270317,170.618294964,1357.94648751,-436.795887998,1.17221,0.313223,158.66454334,-436.795887998,0.00154133,-431.303,100,1,6.54577e-06,1.01608,500.0,0.5
0.01,35.6114,200,-498.425,1280.97827243,1.0,-445.569220468,0.01,,200.0,1280.97827243,-445.569220468,1.0,1.0,100.0,-445.569220468,0.01,-445.569,100,2,3.50449e-18,1.0,500.0,0.5
0.005,39.0713,200,-479.036,1621.42901108,1.88669,-442.322786608,0.0100239,0.122099,180.191518015,1621.42901108,-442.322786608,1.10993,0.163335,175.874639059,-442.322786608,0.000867791,-439.66,100,1,3.44656e-06,0.941094,500.0,0.5
0.01,41.878,200,-492.453,1771.48105261,1.0,-435.223524023,0.01,,200.0,1771.48105261,-435.223524023,1.0,1.0,100.0,-435.223524023,0.01,-435.224,100,2,3.50449e-18,1.0,500.0,0.5
0.005,41.0378,200,-473.178,1558.07244689,2.20315,-436.949851564,0.0114958,0.219538,168.257043147,1558.07244689,-436.949851564,1.18866,0.0196089,161.565100277,-436.949851564,0.000102317,-429.058,100,1,5.97717e-06,0.958246,500.0,0.5
0.01,42.4566,200,-498.231,1820.772358,1.0,-441.077368488,0.01,,200.0,1820.772358,-441.077368488,1.0,1.0,100.0,-441.077368488,0.01,-441.077,100,2,3.50449e-18,1.0,500.0,0.5
0.005,40.5911,200,-478.647,1484.00425737,1.91279,-437.54537438,0.00949062,0.0628547,189.532328758,1484.00425737,-437.54537438,1.05523,0.385519,188.397515582,-437.54537438,0.00191281,-437.132,100,1,1.54736e-06,1.00773,500.0,0.5
0.01,31.2928,200,-487.78,989.132036323,1.0,-435.155179941,0.01,,200.0,989.132036323,-435.155179941,1.0,1.0,100.0,-435.155179941,0.01,-435.155,100,2,3.50449e-18,1.0,500.0,0.5
0.005,38.656,200,-473.206,1507.38318745,3.16273,-431.380533775,0.0153933,0.113169,185.858558108,1507.38318745,-431.380533775,1.07609,0.55423,180.718035123,-431.380533775,0.00269748,-430.549,100,1,2.68082e-06,1.02731,500.0,0.5
0.01,41.1341,200,-493.361,1709.10350615,1.0,-438.536215675,0.01,,200.0,1709.10350615,-438.536215675,1.0,1.0,100.0,-438.536215675,0.01,-438.536,100,2,3.50449e-18,1.0,500.0,0.5
0.005,42.5756,200,-473.1,1415.15027192,2.43031,-435.436662295,0.0123948,0.208194,168.531817166,1415.15027192,-435.436662295,1.18672,0.0890119,164.537603514,-435.436662295,0.000453967,-430.472,100,1,5.41527e-06,0.98038,500.0,0.5
0.01,37.9042,200,-485.691,1451.23731085,1.0,-432.613766373,0.01,,200.0,1451.23731085,-432.613766373,1.0,1.0,100.0,-432.613766373,0.01,-432.614,100,2,3.50449e-18,1.0,500.0,0.5
0.005,38.1143,200,-466.636,1200.94554655,2.88274,-427.431253353,0.0136121,0.100153,185.697954991,1200.94554655,-427.431253353,1.07702,0.493942,183.675727013,-427.431253353,0.00233236,-427.056,100,1,2.23306e-06,1.05889,500.0,0.5
0.01,40.0795,200,-487.774,1622.59139486,1.0,-433.813433179,0.01,,200.0,1622.59139486,-433.813433179,1.0,1.0,100.0,-433.813433179,0.01,-433.813,100,2,3.50449e-18,1.0,500.0,0.5
0.005,38.335,200,-471.785,1327.74276113,1.55881,-434.281191946,0.00774271,0.0554985,190.554774507,1327.74276113,-434.281191946,1.04957,0.267796,189.664144118,-434.281191946,0.00133016,-432.175,100,1,1.36924e-06,1.00663,500.0,0.5
0.01,44.6675,200,-484.432,2015.34290703,1.0,-429.888576642,0.01,,200.0,2015.34290703,-429.888576642,1.0,1.0,100.0,-429.888576642,0.01,-429.889,100,2,3.50449e-18,1.0,500.0,0.5
0.005,44.7777,200,-467.831,1695.9823033,1.60382,-427.523948152,0.00801216,0.0675965,188.060988053,1695.9823033,-427.523948152,1.06348,0.169563,187.416337654,-427.523948152,0.000847086,-426.495,100,1,1.687e-06,1.00086,500.0,0.5
0.01,37.1039,200,-495.209,1390.60415303,1.0,-436.992014744,0.01,,200.0,1390.60415303,-436.992014744,1.0,1.0,100.0,-436.992014744,0.01,-436.992,100,2,3.50449e-18,1.0,500.0,0.5
0.005,35.777,200,-473.085,1207.32597663,2.10213,-428.505064277,0.010108,0.0448324,192.088707958,1207.32597663,-428.505064277,1.04119,0.645287,192.075815104,-428.505064277,0.00310282,-431.08,100,1,1.03657e-06,1.03984,500.0,0.5
0.01,42.9955,200,-498.684,1867.29000863,1.0,-440.820054469,0.01,,200.0,1867.29000863,-440.820054469,1.0,1.0,100.0,-440.820054469,0.01,-440.82,100,2,3.50449e-18,1.0,500.0,0.5
0.005,38.1889,200,-473.996,1354.89405933,1.90336,-430.820446562,0.00954039,0.105608,182.352996161,1354.89405933,-430.820446562,1.09677,0.128259,180.896897596,-430.820446562,0.000642883,-431.146,100,1,2.65331e-06,0.997527,500.0,0.5
0.01,34.2924,200,-479.2,1187.84418598,1.0,-428.544160924,0.01,,200.0,1187.84418598,-428.544160924,1.0,1.0,100.0,-428.544160924,0.01,-428.544,100,2,3.50449e-18,1.0,500.0,0.5
0.005,33.2606,200,-464.989,1054.69729055,1.83167,-429.913625722,0.00900883,0.0725462,189.40747507,1054.69729055,-429.913625722,1.05592,0.403247,186.942809889,-429.913625722,0.00198332,-427.41,100,1,1.75493e-06,1.0166,500.0,0.5
0.01,40.4431,200,-477.978,1652.16263489,1.0,-425.698605233,0.01,,200.0,1652.16263489,-425.698605233,1.0,1.0,100.0,-425.698605233,0.01,-425.699,100,2,3.50449e-18,1.0,500.0,0.5
0.005,40.336,200,-465.996,1075.90088152,3.35954,-434.566824559,0.0166512,0.190792,173.960238823,1075.90088152,-434.566824559,1.14969,0.097114,168.557242761,-434.566824559,0.000481334,-425.022,100,1,4.68695e-06,1.0088,500.0,0.5
0.01,40.1059,200,-492.299,1624.73310185,1.0,-430.494536534,0.01,,200.0,1624.73310185,-430.494536534,1.0,1.0,100.0,-430.494536534,0.01,-430.495,100,2,3.50449e-18,1.0,500.0,0.5
0.005,38.3742,200,-471.848,1426.37989091,1.68084,-427.421598179,0.00835272,0.0477597,192.239698287,1426.37989091,-427.421598179,1.04037,0.345922,191.032825617,-427.421598179,0.00171901,-427.272,100,1,1.17941e-06,1.00616,500.0,0.5
0.01,40.6261,200,-489.979,1667.15436853,1.0,-436.416357704,0.01,,200.0,1667.15436853,-436.416357704,1.0,1.0,100.0,-436.416357704,0.01,-436.416,100,2,3.50449e-18,1.0,500.0,0.5
0.005,38.0247,200,-468.612,1076.76397232,1.86571,-426.871895778,0.00942487,0.0606471,189.330184679,1076.76397232,-426.871895778,1.05636,0.471089,188.39551809,-426.871895778,0.00237976,-429.685,100,1,1.54765e-06,0.98978,500.0,0.5
0.01,40.6319,200,-484.023,1667.62535118,1.0,-428.351053732,0.01,,200.0,1667.62535118,-428.351053732,1.0,1.0,100.0,-428.351053732,0.01,-428.351,100,2,3.50449e-18,1.0,500.0,0.5
0.005,47.7904,200,-463.013,1461.99974567,25.03,-426.281669305,0.127927,4.29936,199.999880791,1461.99974567,-426.281669305,1.0,0.00152174,36.5642551204,-426.281669305,7.77754e-06,-422.883,100,1,0.000112307,0.978291,500.0,0.5
0.01,35.6736,200,-476.349,1285.46172444,1.0,-425.200159071,0.01,,200.0,1285.46172444,-425.200159071,1.0,1.0,100.0,-425.200159071,0.01,-425.2,100,2,3.50449e-18,1.0,500.0,0.5
0.005,40.2941,200,-463.711,1565.61677467,2.95574,-427.119805092,0.0146233,0.111736,185.72408268,1565.61677467,-427.119805092,1.07687,0.478232,180.36684539,-427.119805092,0.00236601,-423.496,100,1,2.73496e-06,1.01063,500.0,0.5
0.01,45.9341,200,-493.188,2131.25321764,1.0,-428.861832368,0.01,,200.0,2131.25321764,-428.861832368,1.0,1.0,100.0,-428.861832368,0.01,-428.862,100,2,3.50449e-18,1.0,500.0,0.5
0.005,42.0484,200,-469.761,1290.20799423,2.50562,-424.11989443,0.0129236,0.127872,179.077253276,1290.20799423,-424.11989443,1.11684,0.273121,176.150502,-424.11989443,0.00140871,-421.691,100,1,3.40182e-06,0.969399,500.0,0.5
0.01,39.5818,200,-476.965,1582.54618101,1.0,-422.120604496,0.01,,200.0,1582.54618101,-422.120604496,1.0,1.0,100.0,-422.120604496,0.01,-422.121,100,2,3.50449e-18,1.0,500.0,0.5
0.005,41.2975,200,-460.935,1617.51917694,2.56848,-425.433223805,0.0131865,0.095174,184.203155118,1617.51917694,-425.433223805,1.08576,0.249934,181.844486688,-425.433223805,0.00128316,-420.526,100,1,2.50857e-06,0.973904,500.0,0.5
0.01,40.0423,200,-477.173,1619.58469,1.0,-424.424197245,0.01,,200.0,1619.58469,-424.424197245,1.0,1.0,100.0,-424.424197245,0.01,-424.424,100,2,3.50449e-18,1.0,500.0,0.5
0.005,41.1776,200,-461.646,1436.16455961,2.0923,-428.447233218,0.0108816,0.0945209,181.473872945,1436.16455961,-428.447233218,1.10209,0.145061,181.528800681,-428.447233218,0.00075443,-422.489,100,1,2.55662e-06,0.961393,500.0,0.5
0.01,37.6316,200,-478.902,1430.4409915,1.0,-423.343788811,0.01,,200.0,1430.4409915,-423.343788811,1.0,1.0,100.0,-423.343788811,0.01,-423.344,100,2,3.50449e-18,1.0,500.0,0.5
0.005,39.7427,200,-461.655,1674.24205181,2.85594,-426.645950441,0.0140083,0.169364,176.557428097,1674.24205181,-426.645950441,1.13278,0.304853,172.091593602,-426.645950441,0.00149529,-419.843,100,1,4.07466e-06,1.01938,500.0,0.5
0.01,40.7734,200,-474.1,1679.25980441,1.0,-420.69054153,0.01,,200.0,1679.25980441,-420.69054153,1.0,1.0,100.0,-420.69054153,0.01,-420.691,100,2,3.50449e-18,1.0,500.0,0.5
0.005,40.6059,200,-465.306,1598.76550337,1.77234,-424.608271863,0.0089378,0.0604758,188.959552116,1598.76550337,-424.608271863,1.05843,0.40991,188.463839691,-424.608271863,0.00206715,-420.271,100,1,1.53798e-06,0.991484,500.0,0.5
0.01,43.2441,200,-477.515,1888.93958299,1.0,-423.417813118,0.01,,200.0,1888.93958299,-423.417813118,1.0,1.0,100.0,-423.417813118,0.01,-423.418,100,2,3.50449e-18,1.0,500.0,0.5
0.005,41.6676,200,-457.798,1288.80046171,2.66372,-419.225931297,0.0129133,0.115304,182.232173639,1288.80046171,-419.225931297,1.0975,0.52769,180.529902388,-419.225931297,0.00255815,-417.723,100,1,2.7098e-06,1.03139,500.0,0.5
0.01,41.05,200,-478.67,1702.12691333,1.0,-421.780240235,0.01,,200.0,1702.12691333,-421.780240235,1.0,1.0,100.0,-421.780240235,0.01,-421.78,100,2,3.50449e-18,1.0,500.0,0.5
0.005,290.714,200,-430.19,1794.47885498,220.683,-412.510424206,0.535445,241.83,87.6981153694,1794.47885498,-412.510424206,2.28055,0.121494,3.46854461992,-412.510424206,0.000294783,-369.441,100,1,0.00142364,2.06075,500.0,0.5
0.01,34.918,200,-469.414,1231.58468233,1.0,-418.926794852,0.01,,200.0,1231.58468233,-418.926794852,1.0,1.0,100.0,-418.926794852,0.01,-418.927,100,2,3.50449e-18,1.0,500.0,0.5
0.005,36.7028,200,-453.046,1493.81633552,1.77853,-416.724967061,0.00893837,0.0774717,184.127264247,1493.81633552,-416.724967061,1.08621,0.20004,185.549530106,-416.724967061,0.00100535,-414.94,100,1,1.95677e-06,0.994883,500.0,0.5
0.01,43.6257,200,-474.615,1922.42611703,1.0,-418.317131313,0.01,,200.0,1922.42611703,-418.317131313,1.0,1.0,100.0,-418.317131313,0.01,-418.317,100,2,3.50449e-18,1.0,500.0,0.5
0.005,40.2817,200,-456.184,1554.54191947,2.01073,-417.185043696,0.00987609,0.0653789,187.255829444,1554.54191947,-417.185043696,1.06806,0.286328,188.186728534,-417.185043696,0.00140636,-415.043,100,1,1.57725e-06,1.01798,500.0,0.5
0.01,36.7665,200,-473.399,1365.43176112,1.0,-418.949562757,0.01,,200.0,1365.43176112,-418.949562757,1.0,1.0,100.0,-418.949562757,0.01,-418.95,100,2,3.50449e-18,1.0,500.0,0.5
0.005,43.7895,200,-459.206,2440.39117842,3.29392,-416.721848636,0.0165322,0.12739,184.025110543,2440.39117842,-416.721848636,1.08681,0.478283,177.349234523,-416.721848636,0.00240051,-414.275,100,1,3.209e-06,0.996213,500.0,0.5
0.01,37.0752,200,-468.873,1388.45312101,1.0,-416.825618772,0.01,,200.0,1388.45312101,-416.825618772,1.0,1.0,100.0,-416.825618772,0.01,-416.826,100,2,3.50449e-18,1.0,500.0,0.5
0.005,39.052,200,-451.769,1469.67457258,1.52485,-414.779881894,0.00779604,0.0393957,191.277724909,1469.67457258,-414.779881894,1.0456,0.501062,192.125677334,-414.779881894,0.00256176,-414.136,100,1,1.02978e-06,0.977963,500.0,0.5
