AvgNormIw,Bound,AvgEpLen,MinVanillaIw,eRenyi2,IterType,Delta,AvgVanillaIw,VarNormIw,AvgDiscRet,MaxVanillaIw,MinNormIw,ESSRenyi,VanillaAvgRet,VarRet,BatchSize,AvgRet,EpsThisIter,VarVanillaIw,ESSClassic,VarJ,J,MaxNormIw,VarDiscRet
0.01,-1244.45,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-1113.60468322,1.0,0.01,200.0,-1113.60468322,21563.2650943,200,-1113.60468322,100,,100.0,146.108,-1113.6,0.01,21563.2650943
0.005,-1180.67,500.0,0.0148403,2.65139,1,0.7,1.07199,5.36043e-05,-1132.90364366,13.0177,6.92188e-05,75.4320414929,-1132.90364366,14595.1937609,200,-1132.90364366,100,2.46398,63.8273359312,471.824,-1030.01,0.0607176,14595.1937609
0.01,-1218.73,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-1089.91183358,1.0,0.01,200.0,-1089.91183358,48396.041633,200,-1089.91183358,100,,100.0,218.888,-1089.91,0.01,48396.041633
0.005,-1051.61,500.0,1.77278e-11,6.98498,1,0.7,1.11486,0.000189947,-1108.23604966,22.3393,7.95071e-14,28.6328817234,-1108.23604966,65066.5853721,200,-1108.23604966,100,9.44345,23.3648416989,552.56,-810.872,0.100189,65066.5853721
0.01,-1031.68,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-903.327093768,1.0,0.01,200.0,-903.327093768,115084.12644,200,-903.327093768,100,,100.0,337.54,-903.327,0.01,115084.12644
0.005,-858.479,500.0,1.14011e-05,5.00429,1,0.7,0.908122,0.000295608,-899.637129069,40.306,6.27731e-08,39.9657352486,-899.637129069,136016.739034,200,-899.637129069,100,9.75136,15.6675981368,529.365,-655.131,0.22192,136016.739034
0.01,-855.074,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-726.754922749,1.0,0.01,200.0,-726.754922749,42136.9634987,200,-726.754922749,100,,100.0,204.244,-726.755,0.01,42136.9634987
0.005,-759.977,500.0,0.00144192,1.69454,1,0.7,1.0443,1.68224e-05,-697.198892467,4.32931,6.90374e-06,118.025905146,-697.198892467,29207.9037702,200,-697.198892467,100,0.733836,119.794157158,93.0403,-641.85,0.0207283,29207.9037702
0.01,-781.045,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-652.7245932,1.0,0.01,200.0,-652.7245932,41249.632849,200,-652.7245932,100,,100.0,202.082,-652.725,0.01,41249.632849
0.005,-721.497,500.0,0.0440782,1.36281,1,0.7,1.04564,9.25716e-06,-661.961695787,3.25193,0.000210772,146.755329292,-661.961695787,42105.1420804,200,-661.961695787,100,0.404854,146.152360345,94.8288,-615.301,0.01555,42105.1420804
0.01,-708.255,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-615.944948431,1.0,0.01,200.0,-615.944948431,12060.8943912,200,-615.944948431,100,,100.0,109.272,-615.945,0.01,12060.8943912
0.005,-668.47,500.0,0.0115178,1.40763,1,0.7,1.01214,1.21041e-05,-610.6766354,5.88015,5.68985e-05,142.082458085,-610.6766354,4593.01750029,200,-610.6766354,100,0.495989,134.976167142,90.0757,-591.027,0.0290481,4593.01750029
0.01,-646.623,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-596.155123132,1.0,0.01,200.0,-596.155123132,4957.42348935,200,-596.155123132,100,,100.0,70.056,-596.155,0.01,4957.42348935
0.005,-676.8,500.0,0.313917,1.1829,1,0.7,1.0986,4.17511e-06,-591.274900067,2.35552,0.00142872,169.075972454,-591.274900067,21871.794248,200,-591.274900067,100,0.20156,171.501621905,101.374,-578.031,0.0107206,21871.794248
0.01,-666.601,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-596.818214297,1.0,0.01,200.0,-596.818214297,8945.88937442,200,-596.818214297,100,,100.0,94.1086,-596.818,0.01,8945.88937442
0.005,-676.602,500.0,0.0269054,1.19788,1,0.7,0.974564,5.91921e-06,-594.793014722,2.75065,0.000138038,166.962060084,-594.793014722,22251.5358259,200,-594.793014722,100,0.224877,161.866655564,84.1408,-577.261,0.0141122,22251.5358259
0.01,-624.329,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-577.486051924,1.0,0.01,200.0,-577.486051924,2988.33400981,200,-577.486051924,100,,100.0,54.3916,-577.486,0.01,2988.33400981
0.005,-598.294,500.0,0.0229753,1.47896,1,0.7,1.03702,1.26039e-05,-570.924236326,3.37582,0.000110775,135.229994831,-570.924236326,1890.57351248,200,-570.924236326,100,0.542174,133.188181723,54.5284,-558.011,0.0162766,1890.57351248
0.01,-698.762,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-570.288341907,1.0,0.01,200.0,-570.288341907,22734.6931291,200,-570.288341907,100,,100.0,150.025,-570.288,0.01,22734.6931291
0.005,-652.396,500.0,0.177037,1.12806,1,0.7,1.0063,3.05743e-06,-566.206718457,2.3316,0.000879638,177.295873805,-566.206718457,3083.27192763,200,-566.206718457,100,0.123844,178.30308766,78.1473,-555.91,0.011585,3083.27192763
0.01,-600.211,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-554.755130776,1.0,0.01,200.0,-554.755130776,3014.39284125,200,-554.755130776,100,,100.0,54.6283,-554.755,0.01,3014.39284125
0.005,-575.813,500.0,0.0217227,1.72477,1,0.7,1.16349,2.05474e-05,-554.175264038,5.09898,9.33513e-05,115.957509381,-554.175264038,3525.73820893,200,-554.175264038,100,1.11261,110.023986033,82.8091,-533.601,0.0219124,3525.73820893
0.01,-578.588,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-534.81052675,1.0,0.01,200.0,-534.81052675,2589.34700693,200,-534.81052675,100,,100.0,50.6306,-534.811,0.01,2589.34700693
0.005,-553.264,500.0,0.00464537,3.06254,1,0.7,1.09117,8.47464e-05,-546.351498002,18.4287,2.12863e-05,65.3052276518,-546.351498002,2771.49405208,200,-546.351498002,100,4.03611,45.7361850619,136.025,-497.677,0.084445,2771.49405208
0.01,-562.419,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-519.58580343,1.0,0.01,200.0,-519.58580343,2683.71048453,200,-519.58580343,100,,100.0,51.5449,-519.586,0.01,2683.71048453
0.005,-551.285,500.0,0.0994668,1.52729,1,0.7,1.0371,1.3056e-05,-537.369078544,5.07943,0.000479542,130.950890887,-537.369078544,2956.62754082,200,-537.369078544,100,0.561708,131.6112349,74.4055,-512.966,0.0244886,2956.62754082
0.01,-569.148,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-524.837769666,1.0,0.01,200.0,-524.837769666,2537.99850964,200,-524.837769666,100,,100.0,50.126,-524.838,0.01,2537.99850964
0.005,-543.443,500.0,0.0126231,1.56295,1,0.7,0.975361,1.27192e-05,-512.012519249,3.23735,6.471e-05,127.962881861,-512.012519249,2702.80649681,200,-512.012519249,100,0.484007,132.782240863,61.6923,-503.985,0.0165956,2702.80649681
0.01,-552.854,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-509.888264362,1.0,0.01,200.0,-509.888264362,2767.53450574,200,-509.888264362,100,,100.0,52.3437,-509.888,0.01,2767.53450574
0.005,-531.874,500.0,0.00186182,2.12525,1,0.7,0.971648,3.59867e-05,-507.278016731,7.77593,9.58073e-06,94.1066979076,-507.278016731,1912.22702046,200,-507.278016731,100,1.359,82.22767942,83.05,-487.583,0.0400141,1912.22702046
0.01,-539.739,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-498.851604187,1.0,0.01,200.0,-498.851604187,1830.68975772,200,-498.851604187,100,,100.0,42.5721,-498.852,0.01,1830.68975772
0.005,-521.714,500.0,0.222566,1.18276,1,0.7,0.983989,4.57382e-06,-492.109762063,2.80137,0.00113094,169.09565478,-492.109762063,2062.3749278,200,-492.109762063,100,0.177141,169.199285141,46.0458,-490.271,0.0142348,2062.3749278
0.01,-529.665,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-490.722708603,1.0,0.01,200.0,-490.722708603,1989.21278718,200,-490.722708603,100,,100.0,44.377,-490.723,0.01,1989.21278718
0.005,-514.241,500.0,8.78185e-05,1.7493,1,0.7,0.901451,3.0452e-05,-495.714841355,9.27965,4.87095e-07,114.331602492,-495.714841355,2012.77017998,200,-495.714841355,100,0.989829,90.4163008506,66.1659,-475.473,0.0514706,2012.77017998
0.01,-525.781,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-483.487455029,1.0,0.01,200.0,-483.487455029,2426.92386578,200,-483.487455029,100,,100.0,49.0169,-483.487,0.01,2426.92386578
0.005,-511.133,500.0,0.00411865,1.41591,1,0.7,0.943769,1.10548e-05,-489.248340112,2.4206,2.18202e-05,141.251570295,-489.248340112,1768.00042821,200,-489.248340112,100,0.39386,138.890859256,47.6852,-475.547,0.0128241,1768.00042821
0.01,-519.112,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-479.893550409,1.0,0.01,200.0,-479.893550409,1668.44839813,200,-479.893550409,100,,100.0,40.6419,-479.894,0.01,1668.44839813
0.005,-504.052,500.0,0.129108,1.25772,1,0.7,0.983689,6.65478e-06,-479.282288209,3.00269,0.000656244,159.017665074,-479.282288209,2253.45879626,200,-479.282288209,100,0.257578,158.120155659,51.2643,-472.923,0.0152624,2253.45879626
0.01,-502.759,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-464.378440204,1.0,0.01,200.0,-464.378440204,1615.51825156,200,-464.378440204,100,,100.0,39.992,-464.378,0.01,1615.51825156
0.005,-494.552,500.0,0.212269,1.12482,1,0.7,0.964151,3.98461e-06,-473.305084416,3.0835,0.00110081,177.805473968,-473.305084416,1826.89421766,200,-473.305084416,100,0.148162,172.623957137,42.6276,-465.769,0.0159907,1826.89421766
0.01,-506.83,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-468.532136508,1.0,0.01,200.0,-468.532136508,2224.67098963,200,-468.532136508,100,,100.0,46.93,-468.532,0.01,2224.67098963
0.005,-492.434,500.0,0.0223546,1.37491,1,0.7,1.01938,1.01153e-05,-470.870928704,3.94559,0.000109648,145.464394976,-470.870928704,1607.9966009,200,-470.870928704,100,0.420448,142.593542409,50.141,-460.668,0.0193528,1607.9966009
0.01,-504.444,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-465.18998533,1.0,0.01,200.0,-465.18998533,1645.0687485,200,-465.18998533,100,,100.0,40.3561,-465.19,0.01,1645.0687485
0.005,-493.987,500.0,0.0304539,1.42936,1,0.7,0.984027,1.04729e-05,-476.216748003,2.92292,0.000154741,139.923109584,-476.216748003,1969.59172365,200,-476.216748003,100,0.405639,141.16115457,48.2643,-460.802,0.0148518,1969.59172365
0.01,-510.015,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-468.008609012,1.0,0.01,200.0,-468.008609012,2595.55050615,200,-468.008609012,100,,100.0,50.6912,-468.009,0.01,2595.55050615
0.005,-495.939,500.0,0.0378284,1.36681,1,0.7,1.01189,1.1396e-05,-471.555792787,3.91387,0.000186919,146.325916658,-471.555792787,2565.59898528,200,-471.555792787,100,0.46675,137.593028561,53.5773,-459.728,0.0193393,2565.59898528
0.01,-507.987,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-469.702114088,1.0,0.01,200.0,-469.702114088,1921.3390109,200,-469.702114088,100,,100.0,43.6134,-469.702,0.01,1921.3390109
0.005,-490.42,500.0,0.00371897,1.32412,1,0.7,0.964116,9.09516e-06,-463.592532357,2.39925,1.92869e-05,151.044101303,-463.592532357,1689.9891436,200,-463.592532357,100,0.338166,146.844234002,43.3271,-459.269,0.0124427,1689.9891436
0.01,-499.221,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-461.384036633,1.0,0.01,200.0,-461.384036633,1686.5553626,200,-461.384036633,100,,100.0,40.8618,-461.384,0.01,1686.5553626
0.005,-477.66,500.0,0.00660704,2.29444,1,0.7,1.10435,0.000151978,-452.810635499,37.4269,2.99136e-05,87.1671020203,-452.810635499,1316.93696904,200,-452.810635499,100,7.41406,28.3740109871,149.801,-437.133,0.169451,1316.93696904
0.01,-491.907,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-455.613769372,1.0,0.01,200.0,-455.613769372,1548.51208832,200,-455.613769372,100,,100.0,39.1539,-455.614,0.01,1548.51208832
0.005,-461.372,500.0,0.00604966,4.67229,1,0.7,2.02336,0.00164285,-462.572924797,232.279,1.49495e-05,42.8055897558,-462.572924797,1861.94090998,200,-462.572924797,100,269.032,3.01271755122,324.33,-399.667,0.573993,1861.94090998
0.01,-492.758,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-451.883072916,1.0,0.01,200.0,-451.883072916,2013.6978796,200,-451.883072916,100,,100.0,44.6493,-451.883,0.01,2013.6978796
0.005,-484.562,500.0,0.0705852,1.29692,1,0.7,1.07537,7.17662e-06,-457.465945558,2.79771,0.00032819,154.211197407,-457.465945558,2469.37967591,200,-457.465945558,100,0.331969,155.565800166,44.7457,-445.749,0.0130081,2469.37967591
0.01,-485.533,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-447.418216716,1.0,0.01,200.0,-447.418216716,1492.2208214,200,-447.418216716,100,,100.0,38.4356,-447.418,0.01,1492.2208214
0.005,-472.951,500.0,0.217976,1.10089,1,0.7,0.994905,2.27937e-06,-447.476720547,2.04053,0.00109546,181.670557134,-447.476720547,1095.48538737,200,-447.476720547,100,0.0902481,183.365336312,35.5258,-444.673,0.0102549,1095.48538737
0.01,-492.199,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-454.112568985,1.0,0.01,200.0,-454.112568985,2012.95268637,200,-454.112568985,100,,100.0,44.641,-454.113,0.01,2012.95268637
0.005,-474.259,500.0,0.0439521,1.21094,1,0.7,0.994182,5.05996e-06,-446.0291828,2.19216,0.000221047,165.160477371,-446.0291828,1375.75971894,200,-446.0291828,100,0.20005,166.474358703,41.5713,-444.623,0.011025,1375.75971894
0.01,-498.397,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-458.639583511,1.0,0.01,200.0,-458.639583511,2277.05880181,200,-458.639583511,100,,100.0,47.4793,-458.64,0.01,2277.05880181
0.005,-477.442,500.0,0.116795,1.25291,1,0.7,1.02678,7.0927e-06,-443.163025592,4.66275,0.000568744,159.628641027,-443.163025592,1873.83255056,200,-443.163025592,100,0.299106,155.971078708,55.3057,-444.311,0.0227057,1873.83255056
0.01,-479.562,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-442.257574241,1.0,0.01,200.0,-442.257574241,1716.84164098,200,-442.257574241,100,,100.0,41.2271,-442.258,0.01,1716.84164098
0.005,-469.096,500.0,0.0979218,1.23609,1,0.7,1.01284,6.53614e-06,-447.153314702,4.3679,0.000483404,161.800195678,-447.153314702,2035.07142914,200,-447.153314702,100,0.268201,158.712732756,54.0608,-438.774,0.0215627,2035.07142914
0.01,-483.909,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-447.711152084,1.0,0.01,200.0,-447.711152084,1517.61375927,200,-447.711152084,100,,100.0,38.7613,-447.711,0.01,1517.61375927
0.005,-470.6,500.0,0.0485252,1.6787,1,0.7,1.02824,3.80992e-05,-450.672872825,13.8489,0.000235963,119.139880363,-450.672872825,1703.800274,200,-450.672872825,100,1.61125,79.4802621853,74.1187,-436.163,0.0673428,1703.800274
0.01,-479.87,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-443.355502532,1.0,0.01,200.0,-443.355502532,1642.77281201,200,-443.355502532,100,,100.0,40.328,-443.355,0.01,1642.77281201
0.005,-465.924,500.0,0.0443977,1.37748,1,0.7,1.03981,2.16978e-05,-442.810347037,11.4863,0.000213489,145.193019332,-442.810347037,1558.85459522,200,-442.810347037,100,0.938393,107.320675326,52.3288,-435.62,0.0552326,1558.85459522
0.01,-469.445,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-435.026164305,1.0,0.01,200.0,-435.026164305,1557.1601124,200,-435.026164305,100,,100.0,39.2631,-435.026,0.01,1557.1601124
0.005,-448.153,500.0,0.123868,2.70123,1,0.7,1.92515,0.00119915,-440.666601066,189.085,0.00032171,74.0402844219,-440.666601066,1402.48690481,200,-440.666601066,100,177.773,4.10455484241,184.521,-407.037,0.491091,1402.48690481
0.01,-472.749,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-437.462601434,1.0,0.01,200.0,-437.462601434,1512.06695281,200,-437.462601434,100,,100.0,38.6904,-437.463,0.01,1512.06695281
0.005,-457.197,500.0,0.0162932,1.8715,1,0.7,1.09952,3.56377e-05,-437.259779869,11.812,7.40925e-05,106.865985906,-437.259779869,1426.73176163,200,-437.259779869,100,1.72335,82.6999957818,85.3591,-422.74,0.0537145,1426.73176163
0.01,-479.929,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-442.162046862,1.0,0.01,200.0,-442.162046862,1708.26300652,200,-442.162046862,100,,100.0,41.124,-442.162,0.01,1708.26300652
0.005,-458.209,500.0,0.00158563,1.33774,1,0.7,0.997473,1.00079e-05,-427.077284594,3.04436,7.94821e-06,149.505769358,-427.077284594,1492.91974687,200,-427.077284594,100,0.398295,143.02942087,46.5169,-427.322,0.0152604,1492.91974687
0.01,-468.064,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-434.132518463,1.0,0.01,200.0,-434.132518463,1186.93832775,200,-434.132518463,100,,100.0,34.2793,-434.133,0.01,1186.93832775
0.005,-451.212,500.0,0.0484352,2.37974,1,0.7,1.38761,0.000603072,-432.528653901,96.6769,0.000174528,84.042887219,-432.528653901,1427.80639382,200,-432.528653901,100,46.4474,7.99928042793,184.991,-410.873,0.348358,1427.80639382
0.01,-464.871,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-426.269826263,1.0,0.01,200.0,-426.269826263,1409.73212724,200,-426.269826263,100,,100.0,37.3582,-426.27,0.01,1409.73212724
0.005,-451.444,500.0,0.497858,1.0628,1,0.7,1.02924,1.98995e-06,-423.6893826,2.50864,0.00241857,188.182489237,-423.6893826,1438.70222966,200,-423.6893826,100,0.0843212,185.322449932,36.7257,-423.304,0.0121868,1438.70222966
0.01,-469.069,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-429.371319709,1.0,0.01,200.0,-429.371319709,1595.70948845,200,-429.371319709,100,,100.0,39.7461,-429.371,0.01,1595.70948845
0.005,-454.414,500.0,0.0995153,1.25399,1,0.7,1.006,6.53434e-06,-429.161431249,3.20074,0.000494607,159.491504622,-429.161431249,1788.71157607,200,-429.161431249,100,0.264522,158.721777071,43.4578,-422.98,0.0159082,1788.71157607
0.01,-468.308,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-432.214204301,1.0,0.01,200.0,-432.214204301,1834.93320757,200,-432.214204301,100,,100.0,42.6214,-432.214,0.01,1834.93320757
0.005,-453.449,500.0,0.0226107,1.53253,1,0.7,1.03184,1.50387e-05,-431.207713884,4.67346,0.000109565,130.503159159,-431.207713884,1285.85452407,200,-431.207713884,100,0.640462,125.11403341,48.2726,-421.854,0.0226463,1285.85452407
0.01,-475.66,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-437.441252907,1.0,0.01,200.0,-437.441252907,1720.96808961,200,-437.441252907,100,,100.0,41.2766,-437.441,0.01,1720.96808961
0.005,-458.39,500.0,0.164534,1.09471,1,0.7,1.00012,2.85476e-06,-427.757899956,2.02477,0.000822574,182.696589595,-427.757899956,1659.48841102,200,-427.757899956,100,0.114217,179.594576671,41.4246,-430.114,0.0101227,1659.48841102
0.01,-472.981,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-433.085389744,1.0,0.01,200.0,-433.085389744,2148.54787032,200,-433.085389744,100,,100.0,46.1201,-433.085,0.01,2148.54787032
0.005,-452.473,500.0,0.00737941,1.74782,1,0.7,1.04952,4.56027e-05,-429.731847065,15.2918,3.51562e-05,114.428507657,-429.731847065,1766.79339635,200,-429.731847065,100,2.00923,71.0482314971,61.2435,-415.178,0.0728514,1766.79339635
0.01,-465.646,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-426.152187517,1.0,0.01,200.0,-426.152187517,1753.43904825,200,-426.152187517,100,,100.0,41.6642,-426.152,0.01,1753.43904825
0.005,-450.825,500.0,0.13445,1.24767,1,0.7,1.07816,6.9511e-06,-426.179510614,5.03975,0.000623516,160.298407069,-426.179510614,1605.48106568,200,-426.179510614,100,0.323206,156.659570878,40.6808,-419.632,0.023372,1605.48106568
0.01,-458.774,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-421.121585775,1.0,0.01,200.0,-421.121585775,1988.30828775,200,-421.121585775,100,,100.0,44.3669,-421.122,0.01,1988.30828775
0.005,-444.694,500.0,0.0190982,1.39662,1,0.7,0.928531,9.86896e-06,-421.363536397,3.00319,0.000102841,143.202969693,-421.363536397,1957.651445,200,-421.363536397,100,0.340349,143.597235526,43.9124,-411.605,0.0161717,1957.651445
0.01,-457.018,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-421.285433536,1.0,0.01,200.0,-421.285433536,1570.98068648,200,-421.285433536,100,,100.0,39.4369,-421.285,0.01,1570.98068648
0.005,-446.288,500.0,0.194246,1.13836,1,0.7,1.01517,3.73946e-06,-421.170035841,3.29929,0.000956713,175.690789866,-421.170035841,1881.25674299,200,-421.170035841,100,0.154152,174.090131744,40.6796,-417.375,0.0162499,1881.25674299
0.01,-450.452,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-415.140647248,1.0,0.01,200.0,-415.140647248,1654.24372718,200,-415.140647248,100,,100.0,40.4685,-415.141,0.01,1654.24372718
0.005,-439.767,500.0,0.032411,1.28789,1,0.7,1.03034,7.07407e-06,-419.15880703,2.25497,0.000157283,155.293144549,-419.15880703,1312.34735951,200,-419.15880703,100,0.300395,156.061210585,42.0169,-411.431,0.0109428,1312.34735951
0.01,-460.939,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-420.472694987,1.0,0.01,200.0,-420.472694987,1910.25011579,200,-420.472694987,100,,100.0,43.4873,-420.473,0.01,1910.25011579
0.005,-442.602,500.0,0.13861,1.14714,1,0.7,0.973013,3.41018e-06,-411.851759757,2.3252,0.00071227,174.3471212,-411.851759757,1208.8815703,200,-411.851759757,100,0.129144,176.098913366,39.0054,-411.955,0.0119484,1208.8815703
0.01,-448.671,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-415.442597741,1.0,0.01,200.0,-415.442597741,1124.13289224,200,-415.442597741,100,,100.0,33.36,-415.443,0.01,1124.13289224
0.005,-439.614,500.0,0.0721893,1.18007,1,0.7,1.04295,4.00259e-06,-416.228671535,2.02047,0.000346081,169.481944703,-416.228671535,1787.92741554,200,-416.228671535,100,0.174153,172.517464699,38.5635,-411.716,0.00968628,1787.92741554
0.01,-448.039,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-414.335607302,1.0,0.01,200.0,-414.335607302,1386.71427002,200,-414.335607302,100,,100.0,37.052,-414.336,0.01,1386.71427002
0.005,-437.677,500.0,0.0280297,1.45919,1,0.7,1.091,1.92303e-05,-417.256010609,9.87351,0.000128459,137.06247614,-417.256010609,1551.42036122,200,-417.256010609,100,0.915574,113.290878381,48.0866,-406.44,0.0452499,1551.42036122
0.01,-449.399,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-414.417695653,1.0,0.01,200.0,-414.417695653,1439.6730917,200,-414.417695653,100,,100.0,37.7528,-414.418,0.01,1439.6730917
0.005,-439.737,500.0,0.308062,1.1504,1,0.7,1.07203,3.72091e-06,-414.209014239,2.97375,0.00143681,173.852296361,-414.209014239,1433.74994223,200,-414.209014239,100,0.171051,174.20200448,39.9874,-410.263,0.0138697,1433.74994223
0.01,-444.621,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-409.252005822,1.0,0.01,200.0,-409.252005822,1273.92100786,200,-409.252005822,100,,100.0,35.5131,-409.252,0.01,1273.92100786
0.005,-435.014,500.0,0.270148,1.18989,1,0.7,1.00927,5.39264e-06,-415.083127389,3.48216,0.00133834,168.08346739,-415.083127389,1266.63227885,200,-415.083127389,100,0.219721,164.659516799,36.8583,-407.733,0.017251,1266.63227885
0.01,-456.429,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-419.657011975,1.0,0.01,200.0,-419.657011975,1907.72514553,200,-419.657011975,100,,100.0,43.4586,-419.657,0.01,1907.72514553
0.005,-440.43,500.0,0.0269943,2.02656,1,0.7,1.11276,0.00023386,-418.149748673,48.3273,0.000121294,98.689563935,-418.149748673,1305.91690152,200,-418.149748673,100,11.5829,19.4030830345,134.803,-403.415,0.217151,1305.91690152
