J,EpsThisIter,AvgDiscRet,VarDiscRet,eRenyi2,MinNormIw,VanillaAvgRet,IterType,AvgRet,VarNormIw,AvgVanillaIw,Bound,AvgNormIw,ESSClassic,MinVanillaIw,AvgEpLen,VarRet,BatchSize,VarJ,Delta,VarVanillaIw,MaxVanillaIw,MaxNormIw,ESSRenyi
-107.342,100,-107.366675862,8.73519219274,1.00072,0.00932667,-107.366675862,1,-107.366675862,5.97927e-08,1.00172,-144.396,0.01,99.9408514052,0.93427,16.22,8.73519219274,100,2.90804,0.1,0.000599985,1.08661,0.0108475,99.9280493953
-107.757,100,-107.838886394,15.1880329422,1.00188,0.00797718,-107.838886394,1,-107.838886394,1.67715e-07,1.00271,-148.088,0.01,99.8342287313,0.79988,16.21,15.1880329422,100,3.48531,0.1,0.00168626,1.05931,0.0105645,99.8119440346
-107.473,100,-107.539777334,21.0073444438,1.00156,0.00910537,-107.539777334,1,-107.539777334,2.40655e-07,0.996649,-149.761,0.01,99.7623411175,0.907486,17.3,21.0073444438,100,4.42183,0.1,0.00239045,1.18776,0.0119176,99.8442694638
-108.201,100,-108.285378397,11.4000073634,1.00218,0.00693103,-108.285378397,1,-108.285378397,2.99967e-07,0.99992,-144.952,0.01,99.7039054882,0.693048,16.7,11.4000073634,100,3.16854,0.1,0.00299919,1.07474,0.0107482,99.7827254221
-107.705,100,-107.75442108,22.1721775046,1.00125,0.00922443,-107.75442108,1,-107.75442108,1.01697e-07,0.998161,-146.384,0.01,99.8994498158,0.920746,17.05,22.1721775046,100,4.71974,0.1,0.00101323,1.10606,0.011081,99.8747845758
-107.08,100,-107.10935662,6.5795361846,1.00084,0.00884871,-107.10935662,1,-107.10935662,9.09272e-08,1.00371,-140.879,0.01,99.9100623836,0.888152,16.29,6.5795361846,100,2.5584,0.1,0.000916027,1.08373,0.0107973,99.915659096
-107.781,100,-107.876439372,20.7924859449,1.00228,0.0079242,-107.876439372,1,-107.876439372,2.79175e-07,0.996905,-149.514,0.01,99.7244057638,0.789967,17.18,20.7924859449,100,4.25456,0.1,0.00277449,1.07045,0.0107377,99.7727325709
-107.052,100,-107.104585979,14.41180414,1.0015,0.00851551,-107.104585979,1,-107.104585979,1.80643e-07,1.00179,-141.873,0.01,99.8214676329,0.853079,19.14,14.41180414,100,3.80891,0.1,0.00181292,1.05914,0.0105725,99.8500572239
-106.874,100,-106.8943632,12.090323962,1.00057,0.00911624,-106.8943632,1,-106.8943632,7.64131e-08,0.996851,-142.679,0.01,99.9244071845,0.908753,19.6,12.090323962,100,3.41454,0.1,0.000759326,1.05107,0.0105439,99.9434433549
-107.143,100,-107.162033177,6.4124238663,1.00057,0.00928672,-107.162033177,1,-107.162033177,4.96037e-08,0.999917,-141.459,0.01,99.9509073936,0.928595,17.58,6.4124238663,100,2.50903,0.1,0.000495954,1.06772,0.0106781,99.9432528361
-108.053,100,-108.137743279,10.8979475592,1.00225,0.00815317,-108.137743279,1,-108.137743279,3.27247e-07,0.99946,-144.919,0.01,99.6770621999,0.814876,16.45,10.8979475592,100,3.10676,0.1,0.00326894,1.13957,0.0114019,99.7758299033
-107.48,100,-107.676165215,21.1444949522,1.00417,0.00658437,-107.676165215,1,-107.676165215,6.75207e-07,0.990727,-149.818,0.01,99.3359848913,0.652331,16.8,21.1444949522,100,3.6499,0.1,0.00662742,1.081,0.0109111,99.5842528203
-107.272,100,-107.318701035,6.76506851706,1.00131,0.00744501,-107.318701035,1,-107.318701035,2.44438e-07,1.00091,-141.702,0.01,99.7586115709,0.745179,17.31,6.76506851706,100,2.53169,0.1,0.00244883,1.08201,0.0108102,99.8689582796
-107.597,100,-107.615891467,7.22449930463,1.00055,0.00849184,-107.615891467,1,-107.615891467,7.54453e-08,0.999642,-142.237,0.01,99.9253538197,0.84888,16.66,7.22449930463,100,2.66915,0.1,0.000753912,1.05196,0.0105234,99.9450389785
-107.622,100,-107.687254858,8.13932746243,1.00188,0.00829238,-107.687254858,1,-107.687254858,2.58436e-07,0.995573,-142.544,0.01,99.7448332984,0.825567,18.2,8.13932746243,100,2.77341,0.1,0.00256153,1.0843,0.0108912,99.812775371
-107.894,100,-107.988859248,12.8634901406,1.00254,0.00783424,-107.988859248,1,-107.988859248,3.41937e-07,0.998602,-144.629,0.01,99.6626072311,0.782329,16.82,12.8634901406,100,3.38755,0.1,0.00340982,1.08253,0.0108404,99.7465019613
-106.983,100,-107.113591455,25.9680670919,1.00301,0.00746696,-107.113591455,1,-107.113591455,3.7774e-07,0.994868,-149.646,0.01,99.6274152828,0.742865,17.46,25.9680670919,100,4.74556,0.1,0.00373873,1.07658,0.0108214,99.6995562218
-107.049,100,-107.074082486,8.74523725503,1.00077,0.00940645,-107.074082486,1,-107.074082486,6.81069e-08,0.99566,-141.16,0.01,99.9325721604,0.936563,17.25,8.74523725503,100,2.94847,0.1,0.000675171,1.0659,0.0107055,99.923538066
-107.527,100,-107.545346823,6.20196113699,1.00053,0.00915012,-107.545346823,1,-107.545346823,6.46614e-08,1.00047,-142.49,0.01,99.9360199704,0.915446,16.3,6.20196113699,100,2.45731,0.1,0.000647229,1.05808,0.0105758,99.9469561757
-107.528,100,-107.542832929,7.0609002968,1.00035,0.00937939,-107.542832929,1,-107.542832929,3.23314e-08,0.999998,-142.236,0.01,99.9679984994,0.937937,16.58,7.0609002968,100,2.62758,0.1,0.000323312,1.03755,0.0103755,99.9647026718
-106.989,100,-107.005604107,6.1792920627,1.00047,0.00939207,-107.005604107,1,-107.005604107,5.43997e-08,1.0015,-142.347,0.01,99.9461704612,0.940618,17.27,6.1792920627,100,2.45021,0.1,0.000545633,1.06908,0.0106748,99.9532203265
-107.688,100,-107.708380081,11.5323371953,1.0005,0.00876311,-107.708380081,1,-107.708380081,6.27838e-08,1.00436,-145.81,0.01,99.937860805,0.880128,17.81,11.5323371953,100,3.32619,0.1,0.000633319,1.06722,0.0106259,99.9502429706
-106.854,100,-106.865879557,5.99851382697,1.00035,0.00945864,-106.865879557,1,-106.865879557,2.97193e-08,1.00268,-141.123,0.01,99.9705749719,0.948403,16.62,5.99851382697,100,2.42329,0.1,0.00029879,1.08182,0.0107892,99.9654412532
-106.862,100,-106.894332105,5.29993208465,1.00093,0.00878107,-106.894332105,1,-106.894332105,1.02267e-07,1.00291,-141.108,0.01,99.8988967789,0.880666,16.09,5.29993208465,100,2.23926,0.1,0.00102863,1.04022,0.010372,99.9073887045
-107.317,100,-107.349028062,8.47076417596,1.00092,0.00902335,-107.349028062,1,-107.349028062,1.17095e-07,1.00041,-142.731,0.01,99.8841774227,0.902704,17.02,8.47076417596,100,2.84294,0.1,0.00117191,1.05063,0.0105021,99.9078170652
-107.626,100,-107.64990129,6.49983078077,1.00069,0.00910181,-107.64990129,1,-107.64990129,8.29529e-08,0.999753,-142.393,0.01,99.9179646848,0.909956,16.73,6.49983078077,100,2.5167,0.1,0.00082912,1.03454,0.010348,99.9315254202
-107.328,100,-107.363787384,6.67489528021,1.00103,0.00807766,-107.363787384,1,-107.363787384,1.2591e-07,0.996951,-141.823,0.01,99.8754840872,0.805303,16.16,6.67489528021,100,2.55634,0.1,0.00125144,1.06383,0.0106709,99.8967641534
-107.426,100,-107.446547096,7.11855411951,1.00054,0.00902172,-107.446547096,1,-107.446547096,6.71079e-08,0.996782,-143.754,0.01,99.9336114434,0.899269,16.98,7.11855411951,100,2.65409,0.1,0.000666767,1.07758,0.0108106,99.9457415453
-106.999,100,-107.037137462,6.82400464152,1.00111,0.00807093,-107.037137462,1,-107.037137462,1.49447e-07,0.996133,-141.356,0.01,99.8522415912,0.803972,16.25,6.82400464152,100,2.53253,0.1,0.00148294,1.03491,0.0103892,99.8895317095
-107.067,100,-107.079227242,4.90519789668,1.00035,0.00931091,-107.079227242,1,-107.079227242,3.72908e-08,0.999548,-141.035,0.01,99.9630901612,0.93067,15.93,4.90519789668,100,2.20149,0.1,0.000372572,1.03449,0.0103496,99.9650838738
-107.157,100,-107.179882848,7.10533202683,1.00068,0.00898885,-107.179882848,1,-107.179882848,8.15602e-08,1.00056,-141.492,0.01,99.9193101229,0.899388,16.6,7.10533202683,100,2.63554,0.1,0.000816513,1.10021,0.010996,99.9317873223
-107.275,100,-107.302585042,15.2728120435,1.00071,0.00828119,-107.302585042,1,-107.302585042,1.04373e-07,1.00061,-146.071,0.01,99.8967803505,0.828628,16.29,15.2728120435,100,3.79897,0.1,0.00104501,1.04014,0.0103951,99.9289659948
-106.774,100,-106.783458369,7.05094693294,1.00027,0.00939951,-106.783458369,1,-106.783458369,2.32795e-08,0.999799,-142.065,0.01,99.9769357038,0.939763,17.73,7.05094693294,100,2.65054,0.1,0.000232702,1.05636,0.0105657,99.9726132077
-108.074,100,-108.111824825,8.77527898561,1.00123,0.00932213,-108.111824825,1,-108.111824825,1.20923e-07,0.994316,-143.41,0.01,99.8804314304,0.926914,16.42,8.77527898561,100,2.91688,0.1,0.00119552,1.10889,0.0111523,99.8768893438
-107.364,100,-107.396374671,7.22895354638,1.00092,0.00929504,-107.396374671,1,-107.396374671,1.06936e-07,1.0027,-142.938,0.01,99.8941993632,0.932015,17.31,7.22895354638,100,2.63687,0.1,0.00107514,1.08704,0.0108411,99.9085786045
-106.97,100,-106.985858532,5.39107769583,1.0009,0.00861184,-106.985858532,1,-106.985858532,1.03709e-07,0.999902,-141.267,0.01,99.8974535182,0.8611,17.25,5.39107769583,100,2.31464,0.1,0.00103689,1.05482,0.0105493,99.9099708236
-107.03,100,-107.064536542,5.29670024451,1.00101,0.00887957,-107.064536542,1,-107.064536542,1.03716e-07,0.998017,-141.372,0.01,99.8974240809,0.886196,17.62,5.29670024451,100,2.25587,0.1,0.00103305,1.07145,0.0107358,99.8995717658
-106.931,100,-106.976837945,10.6335083033,1.00134,0.00926514,-106.976837945,1,-106.976837945,1.82989e-07,1.00166,-141.836,0.01,99.8191731176,0.928055,18.03,10.6335083033,100,3.29074,0.1,0.00183598,1.15338,0.0115147,99.8659264965
-107.024,100,-107.039581745,5.76553923598,1.00046,0.00945756,-107.039581745,1,-107.039581745,4.07558e-08,1.00245,-141.225,0.01,99.9596715336,0.948076,16.69,5.76553923598,100,2.3697,0.1,0.00040956,1.06097,0.0105838,99.9536848101
-107.515,100,-107.524637956,6.62524645588,1.00027,0.00952447,-107.524637956,1,-107.524637956,1.7203e-08,0.999975,-141.796,0.01,99.9829691236,0.952423,16.17,6.62524645588,100,2.54993,0.1,0.000172021,1.0424,0.0104242,99.9729110686
-106.727,100,-106.759715884,10.6729075048,1.00092,0.00844223,-106.759715884,1,-106.759715884,1.22691e-07,1.00272,-141.389,0.01,99.8786752912,0.846516,17.25,10.6729075048,100,3.21483,0.1,0.00123359,1.04233,0.0103951,99.9083763195
-106.955,100,-106.99360807,8.15302637376,1.0011,0.00828185,-106.99360807,1,-106.99360807,1.69393e-07,0.997868,-141.277,0.01,99.8326397092,0.82642,17.39,8.15302637376,100,2.855,0.1,0.00168671,1.06862,0.010709,99.8897814968
-106.82,100,-106.844761387,6.92455514379,1.00072,0.00946877,-106.844761387,1,-106.844761387,6.29162e-08,0.997309,-141.513,0.01,99.9377773184,0.944329,16.02,6.92455514379,100,2.65587,0.1,0.00062578,1.12545,0.0112849,99.9277518016
-106.581,100,-106.597222524,4.01952547131,1.00049,0.00922636,-106.597222524,1,-106.597222524,3.201e-08,1.00412,-140.389,0.01,99.9683158247,0.926435,17.07,4.01952547131,100,1.98366,0.1,0.000322742,1.06109,0.0105674,99.9507788816
-107.176,100,-107.222676735,8.08976090104,1.00138,0.00867815,-107.222676735,1,-107.222676735,1.83529e-07,0.997173,-141.336,0.01,99.8186385612,0.865362,16.84,8.08976090104,100,2.92006,0.1,0.00182493,1.15208,0.0115535,99.8618011892
-107.394,100,-107.427220262,6.91218946572,1.001,0.00869815,-107.427220262,1,-107.427220262,1.38435e-07,0.995936,-141.605,0.01,99.8631435964,0.86628,17.09,6.91218946572,100,2.5843,0.1,0.00137312,1.03783,0.0104206,99.8999762654
-107.086,100,-107.115845493,4.26167492484,1.00087,0.00856853,-107.115845493,1,-107.115845493,1.25555e-07,0.999946,-141.086,0.01,99.8758757141,0.856807,16.09,4.26167492484,100,2.02706,0.1,0.00125541,1.06047,0.0106053,99.9133146877
-106.643,100,-106.652898426,5.57465193459,1.00031,0.00953396,-106.652898426,1,-106.652898426,2.75946e-08,1.0006,-141.302,0.01,99.9727125848,0.953969,16.72,5.57465193459,100,2.33387,0.1,0.000276278,1.04486,0.0104423,99.9688126585
-107.048,100,-107.053228957,5.10680828467,1.00014,0.00943067,-107.053228957,1,-107.053228957,1.9581e-08,0.999514,-141.527,0.01,99.9806300049,0.942609,16.04,5.10680828467,100,2.2444,0.1,0.00019562,1.01449,0.0101498,99.9861617167
-106.917,100,-106.926119709,6.14617709688,1.00025,0.00926768,-106.926119709,1,-106.926119709,2.37733e-08,1.0011,-141.166,0.01,99.9764856153,0.927784,16.14,6.14617709688,100,2.4666,0.1,0.000238254,1.03508,0.0103395,99.9749723146
-107.263,100,-107.302941604,7.31148335655,1.00113,0.00913656,-107.302941604,1,-107.302941604,1.1515e-07,1.00293,-142.789,0.01,99.8861353489,0.916333,17.07,7.31148335655,100,2.65596,0.1,0.00115826,1.11504,0.0111179,99.8866414039
-106.566,100,-106.586894958,7.24442059941,1.00063,0.00919028,-106.586894958,1,-106.586894958,6.65573e-08,0.998818,-140.941,0.01,99.9341587983,0.917942,17.03,7.24442059941,100,2.67816,0.1,0.000664001,1.03925,0.0104048,99.9366446642
-106.738,100,-106.762554065,9.15056347286,1.0007,0.00934593,-106.762554065,1,-106.762554065,7.14943e-08,0.99925,-141.258,0.01,99.92926382,0.933892,17.33,9.15056347286,100,3.01743,0.1,0.000713871,1.0963,0.0109712,99.9295611983
-107.529,100,-107.572201279,6.44786490524,1.00123,0.0088607,-107.572201279,1,-107.572201279,1.31155e-07,1.0019,-142.147,0.01,99.8703028652,0.887751,16.41,6.44786490524,100,2.48108,0.1,0.00131653,1.1011,0.0109901,99.8772342012
-107.047,100,-107.089787259,5.63727044992,1.00118,0.00925564,-107.089787259,1,-107.089787259,1.79469e-07,1.00393,-141.503,0.01,99.8226242309,0.929203,16.81,5.63727044992,100,2.35299,0.1,0.00180883,1.23647,0.0123163,99.8818127068
-107.195,100,-107.230555408,6.21984336721,1.00106,0.00876546,-107.230555408,1,-107.230555408,1.17524e-07,1.00049,-141.499,0.01,99.8837563929,0.876973,15.9,6.21984336721,100,2.42732,0.1,0.00117638,1.04251,0.01042,99.8940637599
-107.0,100,-107.025600531,6.89504457159,1.00073,0.0091241,-107.025600531,1,-107.025600531,7.14169e-08,1.00464,-141.526,0.01,99.9293583907,0.916641,15.57,6.89504457159,100,2.57243,0.1,0.000720807,1.0601,0.0105521,99.9273232699
-105.281,100,-106.151919063,95.5689460769,1.02909,0.00815127,-106.151919063,1,-106.151919063,3.77615e-06,0.994644,-140.358,0.01,96.3963251837,0.810761,21.24,95.5689460769,100,17.2276,0.1,0.0373581,1.97583,0.0198647,97.1730799572
-106.701,100,-106.721250083,5.86804561327,1.00063,0.00924448,-106.721250083,1,-106.721250083,7.64146e-08,1.00203,-140.456,0.01,99.9244176747,0.926327,17.35,5.86804561327,100,2.43726,0.1,0.000767257,1.10038,0.0109815,99.9373113951
-106.243,100,-106.699952408,12.4761930326,1.01657,0.0075721,-106.699952408,1,-106.699952408,5.95169e-06,1.02531,-140.902,0.01,94.4356813224,0.776376,20.39,12.4761930326,100,5.41368,0.1,0.0625678,2.93197,0.0285959,98.3697002005
-106.625,100,-106.695254971,7.61684044681,1.00204,0.00923287,-106.695254971,1,-106.695254971,2.92417e-07,0.999258,-141.424,0.01,99.7113606287,0.922602,16.19,7.61684044681,100,2.92201,0.1,0.00291983,1.24093,0.0124185,99.7968636219
-106.774,100,-106.847314164,15.12102995,1.00202,0.00790365,-106.847314164,1,-106.847314164,2.69062e-07,0.998097,-143.868,0.01,99.7343189854,0.788862,18.48,15.12102995,100,3.87788,0.1,0.00268039,1.08708,0.0108916,99.7987632655
-106.845,100,-106.892047086,10.6601071536,1.00124,0.00870026,-106.892047086,1,-106.892047086,1.78696e-07,0.993196,-144.856,0.01,99.8234291578,0.864106,17.58,10.6601071536,100,3.12845,0.1,0.00176273,1.04577,0.0105294,99.8765801632
-106.23,100,-106.264775564,7.56496111402,1.00101,0.00950327,-106.264775564,1,-106.264775564,1.85487e-07,1.00525,-141.582,0.01,99.8166695502,0.955319,17.59,7.56496111402,100,2.94602,0.1,0.00187441,1.22336,0.0121696,99.8995122809
-106.722,100,-106.780856152,11.2206968299,1.00177,0.0091374,-106.780856152,1,-106.780856152,2.41631e-07,1.00708,-141.06,0.01,99.7614052965,0.92021,19.81,11.2206968299,100,3.4861,0.1,0.00245065,1.20185,0.011934,99.8237621882
-107.14,100,-107.185363524,11.5576526237,1.00109,0.00821182,-107.185363524,1,-107.185363524,1.66694e-07,1.00008,-144.904,0.01,99.8352396665,0.821251,17.67,11.5576526237,100,3.21786,0.1,0.00166722,1.06739,0.010673,99.8913278272
-106.751,100,-106.791444154,10.6116976988,1.0012,0.00900825,-106.791444154,1,-106.791444154,1.25914e-07,1.00092,-141.086,0.01,99.8755024115,0.901658,17.6,10.6116976988,100,3.32544,0.1,0.00126147,1.12068,0.0111965,99.8802547786
-106.819,100,-106.848648776,9.40929153857,1.0009,0.009168,-106.848648776,1,-106.848648776,9.7373e-08,0.999853,-140.973,0.01,99.9036999728,0.916665,18.56,9.40929153857,100,3.08983,0.1,0.000973443,1.10186,0.0110202,99.9097685329
-107.23,100,-107.24853255,6.84117972685,1.00053,0.00945301,-107.24853255,1,-107.24853255,3.96412e-08,1.00491,-141.636,0.01,99.9607867187,0.949939,16.73,6.84117972685,100,2.59576,0.1,0.000400312,1.06168,0.010565,99.9471824336
-107.776,100,-108.237104961,199.356248656,1.0058,0.00718436,-108.237104961,1,-108.237104961,5.26972e-07,1.01683,-181.262,0.01,99.4809851345,0.73053,22.25,199.356248656,100,10.3547,0.1,0.00544864,1.13048,0.0111177,99.4236501148
-107.156,100,-107.175629581,5.07518647674,1.00059,0.00876957,-107.175629581,1,-107.175629581,8.0872e-08,0.995676,-141.13,0.01,99.91999764,0.873165,17.11,5.07518647674,100,2.22965,0.1,0.000801742,1.03203,0.0103651,99.941311967
-106.776,100,-106.818450791,10.8175868743,1.00124,0.00814032,-106.818450791,1,-106.818450791,1.8943e-07,0.996371,-141.155,0.01,99.8128229202,0.811078,19.88,10.8175868743,100,3.27823,0.1,0.00188058,1.12875,0.0113287,99.8764969227
-106.739,100,-106.754215872,9.10743514492,1.00043,0.0091241,-106.754215872,1,-106.754215872,4.95148e-08,0.999223,-142.748,0.01,99.9510221164,0.911702,17.98,9.10743514492,100,2.98419,0.1,0.000494378,1.06754,0.0106837,99.9565432652
-106.874,100,-106.90521332,8.03337091824,1.00091,0.00874914,-106.90521332,1,-106.90521332,1.18312e-07,1.00355,-140.963,0.01,99.8829837122,0.878018,20.14,8.03337091824,100,2.79788,0.1,0.00119153,1.06112,0.0105737,99.9087451928
-107.116,100,-107.145494364,6.29723998033,1.00084,0.00872337,-107.145494364,1,-107.145494364,9.33017e-08,0.998285,-141.601,0.01,99.9077234151,0.870841,16.77,6.29723998033,100,2.4605,0.1,0.00092982,1.03524,0.0103702,99.9162184381
-107.04,100,-107.050664168,5.60752364812,1.0003,0.00956852,-107.050664168,1,-107.050664168,2.03061e-08,1.00361,-141.213,0.01,99.9799225315,0.960309,16.5,5.60752364812,100,2.34253,0.1,0.000204531,1.0276,0.010239,99.9699801946
-106.66,100,-106.676987359,8.2224216743,1.00052,0.00967701,-106.676987359,1,-106.676987359,5.82722e-08,1.00101,-140.956,0.01,99.9423513863,0.968675,17.02,8.2224216743,100,2.96301,0.1,0.000583896,1.09748,0.0109638,99.9483137387
-106.728,100,-106.774340212,10.3284231076,1.0014,0.00906147,-106.774340212,1,-106.774340212,1.17215e-07,1.00188,-141.101,0.01,99.8841272055,0.907852,20.89,10.3284231076,100,3.34491,0.1,0.00117656,1.1248,0.0112268,99.8606718417
-107.096,100,-107.122836442,8.8176371245,1.00073,0.00908297,-107.122836442,1,-107.122836442,9.31641e-08,1.00194,-141.347,0.01,99.9078510256,0.910063,17.65,8.8176371245,100,2.97819,0.1,0.000935266,1.09137,0.0108925,99.9272994627
-106.476,100,-106.579009974,21.2710234269,1.00306,0.00869945,-106.579009974,1,-106.579009974,3.20535e-07,0.992756,-140.895,0.01,99.6837009836,0.863643,17.95,21.2710234269,100,5.06997,0.1,0.00315907,1.174,0.0118257,99.6951128928
-106.646,100,-106.692667205,12.7156358694,1.00133,0.00846078,-106.692667205,1,-106.692667205,1.52534e-07,0.996667,-141.732,0.01,99.8491586738,0.843258,17.37,12.7156358694,100,3.58743,0.1,0.00151519,1.09602,0.0109968,99.8667825107
