ESSClassic,MaxIWNorm,EpThisIter,MinIWNorm,J_sample_variance,MeanEntropy,EpRewMean,InitialBound,EpLenMean,InitialReturnMin,InitialReturnStd,VarianceInit,TimestepsSoFar,Bound,Iteration,InitialReturnMax,OptimizationReturnMean,MinIW,ReturnMeanIW,MaxIW,MeanIWNorm,TimeElapsed,MeanIW,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMax,LearnableVariance,StdIWNorm,StdIW,OptimizationReturnMin,ESSRenyi,Weights,EmpiricalD2,InitialReturnMean,ReturnStepMax
88.60372,0.02026967,100,0.004156147,79506.77,0.695311,349.84674037752075,135.29549,37.78,220.69266,112.29189,-1,78704,150.74591,29,715.1709,129.15408,0.41561472,378.84952,2.026967,0.010482455,85.9164810180664,1.0482455,2900,9.359822,494.47824,True,0.0037594012,0.3759401,,88.470375,[ 0.051  0.042 -0.011  0.015 -0.011  0.049  0.06  -0.293  0.     0.  0.    -0.686],1.1303219,349.8467,9.359822
96.33633,0.015457549,100,0.005109385,58006.21,0.6888192,340.3923039020478,104.21425,36.76,202.83426,99.99023,-1,82380,110.41235,30,787.26013,137.55804,0.5109385,351.24957,1.5457549,0.010124344,90.75107550621033,1.0124344,3000,9.359987,584.4259,True,0.001974367,0.1974367,,96.16827,[ 0.051  0.04  -0.008  0.023 -0.007  0.05   0.06  -0.297  0.     0.  0.    -0.724],1.039844,340.39227,9.359987
22.696554,0.26452875,100,0.0011568937,432562.47,0.7436524,334.2488582112661,150.55464,36.07,211.19595,84.71006,-1,85987,256.72763,31,612.314,123.05291,0.11568937,559.5476,26.452877,0.015975617,94.56378316879272,1.5975618,3100,9.359848,401.11807,True,0.02948337,2.9483376,,36.797802,[ 0.053  0.051 -0.01   0.027 -0.003  0.053  0.067 -0.303  0.     0.  0.    -0.73 ],2.7175536,334.24887,9.359848
49.057014,0.116996594,100,0.0028133034,202110.58,0.7546586,347.5454153079126,114.73386,37.53,192.41852,106.394035,-1,89740,153.10178,32,776.0386,155.12689,0.28133035,425.96436,11.699659,0.011858701,100.68886423110962,1.1858699,3200,9.359577,583.62006,True,0.012084501,1.2084501,,72.79829,[ 0.045  0.079 -0.012  0.043  0.01   0.087  0.128 -0.289  0.     0.  0.    -0.675],1.3736588,347.54538,9.359577
80.600945,0.031637922,100,0.0030341754,84420.93,0.74283326,332.228701397347,136.80722,35.88,202.21739,93.76294,-1,93328,174.34035,33,651.40497,130.0113,0.30341753,392.04443,3.1637924,0.011331018,105.912034034729,1.1331018,3300,9.359909,449.18756,True,0.0055589047,0.5558905,,80.57707,[ 0.063  0.074 -0.013  0.028  0.001  0.078  0.117 -0.265  0.     0.  0.    -0.664],1.2410479,332.22867,9.359909
97.09422,0.014789953,100,0.006617037,58703.22,0.7548219,364.0428950707189,132.39638,39.28,193.7235,118.25041,-1,97256,142.917,34,772.15515,170.3194,0.6617037,379.00308,1.4789953,0.010391699,111.87697720527649,1.0391699,3400,9.359687,578.43164,True,0.0017977125,0.17977124,,96.27442,[ 0.095  0.079 -0.006  0.024 -0.005  0.096  0.157 -0.262  0.     0.  0.    -0.676],1.0386975,364.04288,9.359687
95.08182,0.01596379,100,0.0025901496,49079.793,0.74111456,338.42745154657933,93.03644,36.53,172.91826,99.44977,-1,100909,99.060455,35,817.97003,165.50919,0.25901496,350.97397,1.5963789,0.010210591,117.97312927246094,1.0210592,3500,9.3599415,645.05176,True,0.0023222198,0.23222198,,94.88866,[ 0.087  0.09  -0.012  0.029 -0.002  0.092  0.157 -0.264  0.     0.  0.    -0.664],1.0538667,338.42746,9.3599415
93.598434,0.022768544,100,0.005640457,57067.46,0.75626045,346.4155479832893,128.10054,37.39,194.23994,102.98107,-1,104648,138.07631,36,727.7167,152.1756,0.5640457,362.24454,2.2768545,0.010494414,123.64149880409241,1.0494413,3600,9.359539,533.47675,True,0.002744526,0.2744526,,94.846,[ 0.085  0.09  -0.013  0.034  0.003  0.095  0.153 -0.276  0.     0.  0.    -0.678],1.0543407,346.41556,9.359539
2.032952,2.4499571,100,1.5500447e-05,139081780.0,0.71188724,333.4268882062312,133.99466,35.99,183.80444,102.91954,-1,108247,902.54114,37,664.7741,149.62245,0.0015500447,1996.6259,244.99571,0.03508774,129.06024312973022,3.5087738,3700,9.359648,480.96967,True,0.2435745,24.35745,,3.3226817,[ 0.096  0.081 -0.013  0.042  0.008  0.09   0.153 -0.279  0.     0.  0.    -0.663],30.096172,333.42688,9.359648
29.049906,0.17732985,100,0.0002585519,959776.06,0.6272644,367.1748585526728,130.08844,39.6,220.60382,111.71035,-1,112207,287.36273,38,790.28815,146.57103,0.025855191,668.13965,17.732986,0.015176836,136.0528016090393,1.5176837,3800,9.359884,569.6843,True,0.0237184,2.3718402,,38.767887,[ 0.129  0.069 -0.015  0.048 -0.003  0.075  0.215 -0.33   0.     0.  0.    -0.707],2.5794544,367.1749,9.359884
