Iteration,InitialReturnMean,StdIWNorm,InitialReturnMin,EpLenMean,InitialReturnStd,J_sample_variance,EmpiricalD2,EpThisIter,MaxIWNorm,MeanEntropy,EpisodesSoFar,TimeElapsed,OptimizationReturnMax,OptimizationReturnMean,MeanIWNorm,EpRewMean,Weights,ReturnStepMaxmin,TimestepsSoFar,InitialReturnMax,MinIW,MaxIW,ESSClassic,ReturnMeanIW,ESSRenyi,Bound,VarianceInit,InitialBound,LearnableVariance,ReturnStepMax,MinIWNorm,StdIW,MeanIW,OptimizationReturnMin
17,279.06454,0.0028252031,163.92921,30.21,66.79954,37362.902,1.0966951,100,0.019448305,1.0303774,1700,71.3646993637085,365.06183,115.13533,0.010508187,279.06453830104937,[-0.075  0.123  0.004 -0.018 -0.007 -0.115  0.183 -0.207  0.     0.  0.    -0.349],9.359876,39357,528.991,0.46308675,1.9448305,93.25886,298.0706,91.18305,131.87769,-1,120.36725,True,9.359876,0.0046308674,0.28252035,1.0508187,
18,291.37537,0.0023731673,173.33186,31.53,78.562225,43067.207,1.0579153,100,0.019101726,1.0296586,1800,75.63091826438904,435.87677,118.043495,0.010299197,291.3753519925021,[-0.083  0.12  -0.003 -0.019 -0.011 -0.125  0.178 -0.213  0.     0.  0.    -0.389],9.35979,42510,609.2086,0.5068981,1.9101727,94.95823,305.98364,94.52552,118.00316,-1,108.61276,True,9.35979,0.005068981,0.23731677,1.0299196,
19,287.77863,0.029934151,154.45285,31.14,79.07933,896791.75,2.5572793,100,0.2547822,0.91411936,1900,80.26749014854431,450.00443,133.32576,0.014550921,287.7786146038604,[-0.092  0.13  -0.017 -0.005 -0.003 -0.149  0.165 -0.221  0.     0.  0.    -0.389],9.35958,45624,604.4573,0.03900374,25.47822,19.11289,517.9523,39.104057,227.96701,-1,106.44142,True,9.35958,0.0003900374,2.9934154,1.4550922,
20,304.1042,0.018796623,201.63344,32.89,69.01973,200377.17,2.2002466,100,0.12811317,0.8244825,2000,85.29024267196655,328.5794,102.47077,0.013030502,304.10421602173864,[-0.091  0.151 -0.012  0.018  0.015 -0.125  0.207 -0.225  0.     0.  0.    -0.505],9.359713,48913,530.2128,0.02168865,12.811317,32.45874,434.44302,45.44945,198.5,-1,145.04034,True,9.359713,0.00021688649,1.8796623,1.30305,
21,313.67914,0.0045721866,211.79639,33.91,71.7985,68035.195,1.1706634,100,0.024264326,0.77960694,2100,91.61617803573608,363.4585,101.882774,0.010578793,313.67916300011314,[-8.121e-02  1.517e-01 -1.001e-02  8.527e-03  1.301e-04 -9.879e-02  2.142e-01 -2.373e-01  0.000e+00  0.000e+00  0.000e+00 -5.945e-01],9.359912,52304,575.2549,0.2645869,2.4264326,84.26023,343.39316,85.42165,156.67027,-1,141.1027,True,9.359912,0.0026458688,0.45721868,1.0578793,
22,312.68365,59.70296,201.90456,33.78,59.711567,1425291100000.0,45092.156,100,600.0424,0.39076722,2200,98.93100261688232,310.12506,110.7791,6.0055346,312.68365330243415,[-0.096  0.162 -0.011  0.003 -0.006 -0.101  0.223 -0.241  0.     0.  0.    -0.639],9.35994,55682,512.0296,3.4984805e-19,60004.242,1.001704,240050.88,0.0022176807,207432.16,-1,159.07478,True,9.35994,3.4984804e-21,5970.2964,600.5535,
23,286.67438,0.0074866475,191.92682,31.0,46.781395,62465.184,1.3606018,100,0.043626223,0.34407458,2300,105.51832222938538,316.37308,94.74755,0.0116219735,286.67437847546813,[-0.059  0.162  0.023  0.092  0.055 -0.074  0.288 -0.162  0.     0.  0.    -1.028],9.359813,58782,508.2999,0.17009279,4.3626223,70.67294,343.9452,73.49689,166.07352,-1,134.18442,True,9.359813,0.0017009279,0.7486648,1.1621972,
24,302.1111,0.004364255,212.23532,32.66,59.294712,63000.633,1.1502708,100,0.029956302,0.3499317,2400,110.7843234539032,364.9733,89.8758,0.010549805,302.1111058874817,[-0.053  0.176  0.028  0.085  0.038 -0.043  0.303 -0.148  0.     0.  0.    -1.075],9.359918,62048,577.2086,0.36212972,2.9956303,85.387474,331.58438,86.93605,145.86635,-1,128.94853,True,9.359918,0.0036212972,0.4364255,1.0549805,
25,304.1175,0.003809744,220.706,32.86,69.679405,69217.51,1.1269386,100,0.02315024,0.37035114,2500,115.97343468666077,366.14337,83.41148,0.010691826,304.1174808797243,[-0.058  0.177  0.027  0.072  0.027 -0.045  0.294 -0.145  0.     0.  0.    -1.069],9.359881,65334,586.84937,0.5118906,2.315024,88.73382,334.7872,88.73598,147.89206,-1,128.0627,True,9.359881,0.0051189056,0.3809744,1.0691826,
26,304.6317,0.003832035,229.46167,32.92,62.567802,65415.23,1.0878448,100,0.03106785,0.3584325,2600,122.92096328735352,325.97968,75.17007,0.0106846085,304.6317331142199,[-0.063  0.175  0.025  0.065  0.019 -0.044  0.279 -0.146  0.     0.  0.    -1.049],9.359906,68626,555.44135,0.46700305,3.106785,88.60301,322.92935,91.92487,149.1321,-1,137.99931,True,9.359906,0.0046700304,0.3832035,1.0684608,
27,317.01575,0.0066572726,212.17458,34.26,73.87266,88460.56,1.3145102,100,0.054618597,0.36817428,2700,130.70918536186218,345.4928,104.84117,0.011422549,317.0157445194236,[-0.064  0.184  0.026  0.069  0.023 -0.033  0.288 -0.136  0.     0.  0.    -1.061],9.359802,72052,557.66736,0.19142926,5.4618597,74.64484,365.374,76.07396,173.5608,-1,149.71555,True,9.359802,0.0019142926,0.6657273,1.1422551,
28,312.63815,0.006031392,210.31342,33.78,82.712036,72692.28,1.1992732,100,0.03675279,0.34872773,2800,136.31832814216614,456.33563,102.32475,0.010496748,312.63816717543267,[-0.065  0.175  0.027  0.078  0.031 -0.049  0.303 -0.155  0.     0.  0.    -1.051],9.359964,75430,666.64905,0.24988648,3.6752791,75.17887,349.27612,83.383835,130.25925,-1,112.64345,True,9.359964,0.0024988647,0.6031392,1.0496746,
29,331.8248,0.037855256,220.44153,35.83,71.728386,1175213.6,2.4272878,100,0.37970474,0.34957603,2900,142.0255823135376,372.9383,111.38329,0.015519473,331.824803622088,[-0.052  0.173  0.031  0.069  0.016 -0.047  0.321 -0.154  0.     0.  0.    -1.07 ],9.359961,79013,593.3798,0.043410942,37.970474,14.389015,590.2325,41.198246,312.8911,-1,153.81087,True,9.359961,0.00043410942,3.7855258,1.5519474,
30,340.5442,0.012913063,230.2435,36.79,70.30832,203470.05,1.6261673,100,0.09006345,0.32257155,3000,148.6643102169037,375.21957,110.30068,0.01231215,340.5441811719105,[-0.045  0.183  0.029  0.057  0.001 -0.032  0.326 -0.161  0.     0.  0.    -1.069],9.359961,82692,605.4631,0.075363025,9.006346,47.61916,456.51712,61.49429,224.88889,-1,158.90524,True,9.359961,0.00075363024,1.2913064,1.2312151,
31,345.14746,0.0024596083,238.38014,37.27,73.529434,68189.96,1.0541122,100,0.018819604,0.32342216,3100,154.85789012908936,328.4173,106.76731,0.010373981,345.14745473909875,[-0.054  0.182  0.029  0.042 -0.01  -0.053  0.324 -0.169  0.     0.  0.    -1.096],9.359957,86419,566.7974,0.6283828,1.8819604,94.67784,355.52298,94.86656,180.94377,-1,175.10825,True,9.359957,0.006283828,0.24596085,1.0373982,
32,360.15973,0.008046051,247.93362,38.87,79.233025,128869.95,1.3963552,100,0.052716188,0.308651,3200,161.2176332473755,364.91373,112.226105,0.011749761,360.15972790522517,[-0.054  0.188  0.031  0.037 -0.015 -0.047  0.324 -0.161  0.     0.  0.    -1.096],9.359959,90306,612.84735,0.19675465,5.271619,68.0768,437.38098,71.61502,220.12512,-1,176.30554,True,9.359959,0.0019675465,0.804605,1.1749762,
33,351.23117,0.0076906686,239.96323,37.93,94.24955,236818.53,1.291942,100,0.05694305,0.2953184,3300,168.95355010032654,660.5005,111.26792,0.010879958,351.2311417747771,[-0.05   0.195  0.034  0.023 -0.029 -0.043  0.343 -0.159  0.     0.  0.    -1.11 ],9.359776,94099,900.4637,0.13329105,5.6943054,66.681816,424.81055,77.402855,117.76065,-1,81.09204,True,9.359776,0.0013329105,0.76906693,1.0879958,
34,353.9109,0.002543618,239.8013,38.18,69.81631,69799.55,1.0668178,100,0.015845444,0.2795562,3400,175.91554069519043,356.2203,114.10962,0.010303569,353.9109205540815,[-0.035  0.195  0.035  0.025 -0.027 -0.038  0.358 -0.169  0.     0.  0.    -1.124],9.359973,97917,596.0216,0.4278359,1.5845444,94.25573,368.84552,93.736725,184.16191,-1,175.10445,True,9.359973,0.004278359,0.25436184,1.030357,
35,368.04355,0.004973735,248.66858,39.72,85.89768,98903.07,1.2002778,100,0.03248469,0.29702762,3500,181.9486701488495,519.26355,119.37494,0.0112994155,368.0435295361638,[-0.035  0.195  0.032  0.025 -0.024 -0.041  0.363 -0.176  0.     0.  0.    -1.139],9.359958,101889,767.9321,0.38835415,3.2484694,83.76926,422.22003,83.31405,169.82257,-1,137.6639,True,9.359958,0.0038835413,0.49737355,1.1299416,
36,370.5704,0.004092303,250.03162,40.0,85.0983,92325.586,1.0905297,100,0.038662504,0.3056183,3600,188.9758050441742,401.70496,120.53878,0.0103868535,370.57039909480505,[-0.038  0.198  0.032  0.029 -0.02  -0.051  0.378 -0.184  0.     0.  0.    -1.122],9.359803,105889,651.7366,0.48251513,3.8662505,86.563065,391.8714,91.698555,187.69191,-1,175.04944,True,9.359803,0.004825151,0.4092303,1.0386853,
37,367.01407,0.00330671,250.1537,39.63,80.633644,82234.55,1.1002517,100,0.020287301,0.28978372,3700,195.0947060585022,471.37036,116.86033,0.010645704,367.01403798301976,[-0.053  0.205  0.031  0.02  -0.02  -0.061  0.369 -0.19   0.     0.  0.    -1.113],9.3598585,109852,721.52405,0.3407055,2.0287302,91.200836,390.88336,90.8883,163.83516,-1,150.55681,True,9.3598585,0.003407055,0.330671,1.0645704,
38,369.55585,0.004578384,240.95584,39.87,81.14163,87405.18,1.1498721,100,0.028266242,0.2815433,3800,200.81606721878052,420.50504,128.6,0.010731468,369.55584524771325,[-0.05   0.203  0.033  0.021 -0.027 -0.064  0.38  -0.198  0.     0.  0.    -1.129],9.359926,113839,661.4609,0.38685045,2.8266242,84.601326,399.82245,86.966194,187.03296,-1,171.11757,True,9.359926,0.0038685044,0.45783845,1.0731469,
39,360.65866,0.0036264488,267.61575,38.92,73.10981,90080.21,1.1051258,100,0.030943057,0.2854614,3900,207.8607542514801,468.70224,93.04291,0.01053174,360.65866491914954,[-0.053  0.209  0.034  0.015 -0.029 -0.053  0.37  -0.186  0.     0.  0.    -1.137],9.359876,117731,736.318,0.49759367,3.0943058,89.4001,384.318,90.487434,152.10179,-1,139.76324,True,9.359876,0.0049759364,0.3626449,1.053174,
40,355.70462,0.007860036,221.26044,38.4,69.73182,117361.22,1.4088248,100,0.05811659,0.26472938,4000,215.05555129051208,375.10065,134.44415,0.011102213,355.7045987358945,[-0.057  0.209  0.031  0.02  -0.026 -0.066  0.373 -0.192  0.     0.  0.    -1.133],9.359691,121571,596.3611,0.08785336,5.811659,66.61242,416.1135,70.98115,203.7602,-1,176.79628,True,9.359691,0.0008785336,0.7860036,1.1102213,
41,379.8542,0.0009630826,257.65118,40.98,81.598206,74776.516,1.0075505,100,0.013363733,0.2622822,4100,221.47914814949036,420.69,122.20299,0.010093762,379.85417497179844,[-0.068  0.222  0.037  0.027 -0.03  -0.074  0.4   -0.208  0.     0.  0.    -1.154],9.3599615,125669,678.3412,0.7923187,1.3363733,99.097855,382.0974,99.25061,177.82823,-1,176.3518,True,9.3599615,0.007923187,0.09630826,1.0093763,
42,380.9862,0.009606445,268.8817,41.1,81.07512,127426.72,1.3136901,100,0.09059341,0.28924236,4200,228.83436393737793,443.10828,112.104515,0.012032955,380.9862320725676,[-0.072  0.224  0.036  0.026 -0.03  -0.073  0.394 -0.209  0.     0.  0.    -1.157],9.359981,129779,711.99,0.26646155,9.059341,61.074142,454.8438,76.12145,210.02681,-1,167.38925,True,9.359981,0.0026646154,0.9606445,1.2032955,
43,355.24835,0.0057712123,267.59186,38.33,80.11665,103611.54,1.1727912,100,0.0392602,0.3032371,4300,234.6875774860382,543.8177,87.65649,0.010958297,355.2483436397156,[-0.075  0.227  0.034  0.02  -0.041 -0.069  0.384 -0.213  0.     0.  0.    -1.13 ],9.359984,133612,811.40955,0.4868761,3.9260204,78.286316,390.9,85.26667,127.28403,-1,111.8255,True,9.359984,0.0048687607,0.57712126,1.0958298,
44,363.6812,0.13353571,249.36264,39.27,83.17979,5971928.5,17.117094,100,0.94879806,0.15619473,4400,240.17676496505737,533.70264,114.31854,0.037647888,363.68119750401377,[-0.077  0.225  0.034  0.03  -0.042 -0.056  0.375 -0.208  0.     0.  0.    -1.116],9.359914,137539,783.06525,3.0524112e-05,94.87981,7.363251,1530.1287,5.842113,558.20044,-1,128.76166,True,9.359914,3.0524112e-07,13.353572,3.7647889,
45,379.8375,0.0024985252,258.3742,40.99,66.26152,77645.24,1.0541161,100,0.02038122,0.16121517,4500,246.7374243736267,351.08203,121.46331,0.01028414,379.83751264768455,[-0.094  0.242  0.036  0.04  -0.044 -0.09   0.415 -0.224  0.     0.  0.    -1.263],9.359943,141638,609.45624,0.56095403,2.038122,94.426544,390.5609,94.86621,202.84201,-1,197.00064,True,9.359943,0.0056095403,0.24985252,1.0284141,
46,383.45703,0.0025131754,275.95447,41.38,70.8145,90821.48,1.0526018,100,0.021936635,0.1509339,4600,253.20827674865723,367.37634,107.50258,0.010281012,383.4570496623128,[-0.094  0.246  0.036  0.043 -0.039 -0.085  0.41  -0.219  0.     0.  0.    -1.258],9.3598585,145776,643.3308,0.60414094,2.1936636,94.361435,396.654,95.002686,198.64375,-1,190.4578,True,9.3598585,0.0060414094,0.25131756,1.0281013,
47,377.1046,0.00746977,257.19327,40.71,65.3698,112137.56,1.2550981,100,0.069499165,0.14396834,4700,261.12113404273987,442.24643,119.91131,0.01136511,377.10457541966343,[-0.105  0.248  0.036  0.041 -0.039 -0.092  0.409 -0.223  0.     0.  0.    -1.268],9.359967,149847,699.4397,0.36557868,6.9499164,69.833206,436.61298,79.67505,201.53587,-1,167.27266,True,9.359967,0.0036557866,0.746977,1.136511,
48,395.9582,0.0015244705,258.17688,42.72,86.30504,79841.164,1.0226228,100,0.014566066,0.1354746,4800,269.72038555145264,457.948,137.78133,0.010105801,395.95820116974517,[-0.1    0.261  0.037  0.043 -0.037 -0.073  0.416 -0.205  0.     0.  0.    -1.275],9.359845,154119,716.1249,0.5481477,1.4566066,97.77503,403.56705,97.787766,186.31306,-1,181.12077,True,9.359845,0.0054814764,0.15244704,1.0105801,
49,376.1171,0.0017614766,268.84976,40.57,66.16832,80992.15,1.0340436,100,0.015168342,0.14140488,4900,277.77432799339294,354.46744,107.26729,0.010208584,376.1170494398746,[-0.101  0.272  0.035  0.042 -0.038 -0.07   0.415 -0.202  0.     0.  0.    -1.283],9.359979,158176,623.3172,0.5425831,1.5168343,97.10877,384.1867,96.707726,194.0352,-1,189.12189,True,9.359979,0.005425831,0.17614767,1.0208584,
50,380.65677,0.008619492,248.53906,41.1,76.27267,105252.734,1.3684338,100,0.060295217,0.13913782,5000,283.84978580474854,454.52124,132.11769,0.011523791,380.6567474825122,[-0.103  0.272  0.034  0.04  -0.037 -0.074  0.417 -0.209  0.     0.  0.    -1.278],9.359955,162286,703.0603,0.12717624,6.029522,64.12457,440.10907,73.07624,193.37692,-1,169.73863,True,9.359955,0.0012717624,0.86194927,1.1523792,
51,389.17007,0.042869035,267.72986,42.01,75.48486,464233.1,2.865337,100,0.4176065,0.14630085,5100,291.05294609069824,465.3318,121.440254,0.015044703,389.17010555252915,[-0.106  0.278  0.033  0.043 -0.038 -0.065  0.414 -0.216  0.     0.  0.    -1.28 ],9.359915,166487,733.06165,0.037464984,41.76065,10.965722,595.142,34.89991,222.87927,-1,169.25159,True,9.359915,0.00037464983,4.2869034,1.5044705,
52,402.2056,0.024681846,276.5974,43.37,75.07456,342643.7,3.0199955,100,0.18459018,0.1326675,5200,299.33865761756897,403.96643,125.608154,0.01481141,402.20557443687335,[-0.107  0.283  0.034  0.047 -0.035 -0.046  0.419 -0.224  0.     0.  0.    -1.273],9.359848,170824,680.56384,0.050244235,18.459019,26.47664,609.17694,33.112633,254.36905,-1,198.03642,True,9.359848,0.00050244236,2.468185,1.4811411,
53,392.33472,0.0013069607,276.34406,42.31,64.15302,82951.51,1.0163285,100,0.013385367,0.12890863,5300,305.6945598125458,345.5229,115.9907,0.010054291,392.3347609123486,[-0.107  0.281  0.032  0.047 -0.031 -0.053  0.44  -0.257  0.     0.  0.    -1.286],9.359905,175055,621.86694,0.6719107,1.3385367,98.33833,396.72626,98.39339,208.64923,-1,205.77467,True,9.359905,0.006719107,0.13069609,1.0054291,
54,399.87265,0.0025907857,303.76105,43.15,65.586525,101525.32,1.0353669,100,0.025211006,0.13103668,5400,315.268057346344,320.78754,96.11162,0.0101515725,399.87266259231575,[-0.108  0.283  0.033  0.044 -0.03  -0.051  0.446 -0.258  0.     0.  0.    -1.29 ],9.359957,179370,624.5486,0.5004545,2.5211008,93.88503,407.59872,96.58412,216.94969,-1,212.50812,True,9.359957,0.0050045447,0.2590786,1.0151572,
55,409.19165,0.003435744,249.73227,44.15,87.50616,88616.29,1.1022395,100,0.020548746,0.12334953,5500,326.04413962364197,523.729,159.45941,0.010356312,409.1916765047876,[-0.102  0.28   0.034  0.045 -0.035 -0.045  0.447 -0.252  0.     0.  0.    -1.288],9.359562,183785,773.4613,0.44937086,2.0548747,90.08519,434.48813,90.72439,190.87662,-1,177.15327,True,9.359562,0.0044937087,0.3435744,1.0356313,
56,413.43805,0.0030330622,257.19113,44.59,87.588005,83797.29,1.0714817,100,0.01800456,0.116994254,5600,333.0705897808075,503.4341,156.2469,0.010419284,413.4380375698288,[-0.095  0.284  0.033  0.042 -0.037 -0.05   0.457 -0.26   0.     0.  0.    -1.296],9.359955,188244,760.62524,0.4470974,1.8004562,92.18801,433.6384,93.328705,197.43597,-1,185.25049,True,9.359955,0.0044709737,0.30330622,1.0419285,
57,399.4699,0.008466195,295.19577,43.07,66.03339,146934.22,1.4442707,100,0.05848662,0.11598154,5700,341.6596472263336,318.17166,104.274124,0.011753891,399.46989525789996,[-0.096  0.288  0.035  0.041 -0.038 -0.051  0.471 -0.261  0.     0.  0.    -1.302],9.359969,192551,613.36743,0.16075931,5.8486624,65.84077,479.87674,69.2391,258.73724,-1,215.45966,True,9.359969,0.0016075931,0.8466195,1.1753892,
58,425.67987,0.007439368,267.56097,45.88,96.291626,150125.7,1.2119778,100,0.06730297,0.11602022,5800,350.0325264930725,493.52753,158.11887,0.01108333,425.6798519484954,[-0.09   0.288  0.033  0.043 -0.042 -0.039  0.467 -0.264  0.     0.  0.    -1.303],9.359927,197139,761.0885,0.271368,6.730297,68.93994,474.8483,82.50976,223.4839,-1,197.35333,True,9.359927,0.0027136798,0.7439368,1.1083331,
59,410.74277,0.00324949,258.65103,44.31,85.95919,85238.45,1.0951155,100,0.020350942,0.11356083,5900,359.060742855072,485.1384,152.09174,0.010547387,410.7427689073131,[-0.093  0.298  0.036  0.049 -0.035 -0.028  0.477 -0.257  0.     0.  0.    -1.303],9.359908,201570,743.7894,0.40328586,2.0350943,91.331184,432.40814,91.31457,198.90044,-1,187.60593,True,9.359908,0.0040328586,0.324949,1.0547389,
60,418.60532,0.0013156264,266.48782,45.15,115.57883,90316.61,1.0160903,100,0.016417667,0.12236834,6000,365.4368374347687,746.7748,152.11746,0.0102100335,418.6052912411355,[-0.09   0.299  0.035  0.048 -0.028 -0.038  0.477 -0.266  0.     0.  0.    -1.305],9.35996,206085,1013.26263,0.73404837,1.6417668,98.36671,426.3617,98.41645,119.94711,-1,114.626495,True,9.35996,0.0073404834,0.13156264,1.0210034,
61,391.71332,0.016080113,267.90298,42.24,82.73089,169672.77,1.7868408,100,0.10063141,0.11755366,6100,372.06401896476746,431.22488,123.81037,0.013097622,391.71334576288757,[-0.087  0.298  0.033  0.048 -0.028 -0.041  0.472 -0.265  0.     0.  0.    -1.297],9.359805,210309,699.12787,0.05943961,10.063141,39.883896,503.20377,55.964695,222.8407,-1,181.975,True,9.359805,0.0005943961,1.6080112,1.3097622,
