TimestepsSoFar,TimeElapsed,Iteration,EmpiricalD2,Weights,MaxIW,InitialBound,InitialReturnStd,EpThisIter,OptimizationReturnMean,EpisodesSoFar,MinIWNorm,ReturnStepMax,Bound,InitialReturnMean,EpLenMean,InitialReturnMax,ReturnStepMaxmin,OptimizationReturnMax,StdIW,MeanIWNorm,ESSClassic,MeanEntropy,OptimizationReturnMin,LearnableVariance,MaxIWNorm,StdIWNorm,InitialReturnMin,ESSRenyi,EpRewMean,MeanIW,MinIW,J_sample_variance,ReturnMeanIW,VarianceInit
23712,13.156874418258667,11,1.6958934,[ 0.057  0.037  0.01   0.057  0.044  0.045  0.009 -0.151  0.     0.  0.    -0.207],14.547206,91.66554,57.763577,100,113.55086,1100,0.0019222003,9.35986,147.09427,194.6107,21.19,343.15054,9.35986,262.0907,1.8512428,0.01447861,37.95308,1.2304649,,True,0.14547205,0.01851243,81.059845,58.96597,194.61070087637344,1.4478608,0.19222003,118814.02,281.15613,-1
25816,14.542199611663818,12,47.014965,[ 0.081  0.077  0.024  0.104  0.082  0.111  0.08  -0.104  0.     0.  0.    -0.188],1414.3334,47.246048,61.890186,100,102.71477,1200,8.768906e-08,9.359026,5970.291,193.11838,21.04,486.2411,9.359026,395.83746,140.68343,0.14591226,1.0642675,0.9815511,,True,14.143333,1.4068341,90.40361,2.1269825,193.11836953965002,14.591225,8.768906e-06,3135457800.0,6970.5005,-1
28766,16.390456676483154,13,1.3420248,[ 0.095  0.115  0.007  0.035  0.01   0.165  0.16  -0.121  0.     0.  0.    -0.437],3.5287464,95.20192,93.476814,100,145.52838,1300,0.0017246085,9.359438,123.924164,272.3954,29.5,590.645,9.359438,463.778,0.58594656,0.011152907,78.3687,0.97131765,,True,0.035287462,0.005859466,126.867004,74.514275,272.39539089280606,1.1152909,0.17246085,65575.63,329.19537,-1
31568,17.75440764427185,14,1.0426518,[ 0.106  0.108  0.008  0.03   0.003  0.163  0.164 -0.149  0.     0.  0.    -0.448],1.5047634,110.96175,72.11192,100,123.58274,1400,0.004826902,9.359716,116.874664,258.70007,28.02,492.46112,9.359716,357.34378,0.20378996,0.01005901,96.05738,0.94830436,,True,0.015047633,0.0020378998,135.11734,95.9093,258.70008487200835,1.005901,0.4826902,27245.879,267.73074,-1
34579,19.035909175872803,15,1.1577686,[ 0.096  0.115  0.003  0.029 -0.001  0.159  0.161 -0.155  0.     0.  0.    -0.471],1.9709033,111.08281,72.42844,100,103.00799,1500,0.002328567,9.359704,130.45935,278.43225,30.11,557.8315,9.359704,382.40723,0.37745407,0.010994665,89.45669,0.9537403,,True,0.019709032,0.0037745405,175.42427,86.37305,278.43226307552385,1.0994667,0.2328567,48714.84,310.52676,-1
37641,20.26234531402588,16,89.84699,[ 0.085  0.116 -0.011  0.031  0.002  0.15   0.134 -0.181  0.     0.  0.    -0.465],841.26855,121.576935,79.65732,100,117.294914,1600,3.4392738e-07,9.359647,2856.982,283.00754,30.62,538.10205,9.359647,372.38943,83.637405,0.09218361,1.2002243,0.7956603,,True,8.412685,0.836374,165.71262,1.1130033,283.0075338113034,9.218362,3.439274e-05,748331800.0,4387.145,-1
41256,22.17260456085205,17,1.1862187,[ 0.048  0.117 -0.029  0.025  0.006  0.147  0.098 -0.288  0.     0.  0.    -0.623],3.3862686,134.52097,108.418205,100,152.07155,1700,0.002896226,9.359568,160.45296,334.69318,36.15,667.24054,9.359568,484.61896,0.45818642,0.0109228995,85.03707,0.8048286,,True,0.033862684,0.004581864,182.62158,84.30148,334.69313924665056,1.09229,0.2896226,68634.18,378.4678,-1
44974,23.428585290908813,18,1.2130661,[ 0.038  0.122 -0.034  0.03   0.01   0.169  0.106 -0.308  0.     0.  0.    -0.614],2.2802892,121.07361,98.76939,100,132.54803,1800,0.0024792145,9.359966,161.9678,344.35742,37.18,744.2793,9.359966,532.4699,0.4855701,0.011632028,85.160164,0.7597294,,True,0.022802891,0.0048557012,211.80939,82.43574,344.35740333128996,1.1632028,0.24792145,94346.72,407.89096,-1
48662,25.05185341835022,19,1.194236,[ 0.019  0.13  -0.043  0.027  0.003  0.161  0.09  -0.308  0.     0.  0.    -0.659],2.8221838,107.957504,112.985245,100,139.41757,1900,0.0015671264,9.359864,125.23747,341.6754,36.88,779.05994,9.359864,576.80206,0.48778915,0.010676753,82.73144,0.74306893,,True,0.028221838,0.0048778914,202.25789,83.73554,341.675461192917,1.0676754,0.15671264,86821.82,380.64706,-1
52614,26.571097135543823,20,1.1284287,[ 0.02   0.134 -0.047  0.018 -0.012  0.168  0.097 -0.323  0.     0.  0.    -0.676],3.1194398,120.95473,119.15259,100,173.17848,2000,0.0034373354,9.359316,140.09659,366.30023,39.52,817.8184,9.359316,624.69666,0.41433886,0.010793457,87.156334,0.74723303,,True,0.031194398,0.0041433885,193.12175,88.618805,366.300234764902,1.0793458,0.34373355,69880.54,400.72107,-1
56676,28.108790397644043,21,1.2120386,[ 0.03   0.142 -0.05   0.012 -0.018  0.169  0.115 -0.319  0.     0.  0.    -0.672],4.320352,120.33896,129.4878,100,173.13063,2100,0.003697554,9.359765,148.3562,376.42535,40.62,853.62134,9.359765,650.3266,0.5981194,0.011166938,77.70702,0.7603961,,True,0.04320352,0.0059811934,203.29474,82.50562,376.42537097769093,1.1166939,0.36975542,150702.83,430.28842,-1
60686,29.814216136932373,22,1.0817025,[ 0.047  0.136 -0.05   0.026 -0.005  0.171  0.107 -0.318  0.     0.  0.    -0.659],2.5081751,142.38315,111.09031,100,160.15779,2200,0.0030718418,9.359984,169.12096,371.50916,40.1,763.7533,9.359984,552.402,0.35580078,0.0108636115,90.312485,0.74240476,,True,0.02508175,0.0035580075,211.35132,92.44686,371.5091129430993,1.0863613,0.3071842,79116.79,407.42328,-1
64598,31.241250038146973,23,1.0768774,[ 8.029e-02  1.140e-01 -4.671e-02  3.196e-02  6.135e-04  1.534e-01  9.710e-02 -3.242e-01  0.000e+00  0.000e+00  0.000e+00 -6.765e-01],1.9823228,101.94882,122.13616,100,159.35849,2300,0.0052273846,9.359876,115.613464,362.3726,39.12,868.07916,9.359876,665.06506,0.26609826,0.010431209,93.89008,0.7428981,,True,0.019823227,0.0026609825,203.0141,92.861084,362.37259456331276,1.0431209,0.52273846,71904.52,385.8622,-1
68702,32.73870348930359,24,1.0147713,[ 0.088  0.11  -0.048  0.026 -0.008  0.151  0.094 -0.339  0.     0.  0.    -0.676],1.3090055,128.97221,111.44662,100,177.92244,2400,0.0071455645,9.359883,131.99991,380.24042,41.04,837.56085,9.359883,635.24286,0.12325791,0.010057616,98.52033,0.74839175,,True,0.0130900545,0.0012325791,202.318,98.544365,380.24044379738496,1.0057617,0.71455646,57229.062,385.11716,-1
72612,34.28661322593689,25,1.3214059,[ 0.093  0.097 -0.051  0.025 -0.011  0.154  0.099 -0.343  0.     0.  0.    -0.671],7.905129,175.84236,90.27662,100,150.2615,2500,0.0028089755,9.359776,215.85672,362.34943,39.1,621.69025,9.359776,409.60233,0.80172676,0.011283612,66.45211,0.72772205,,True,0.079051286,0.008017267,212.08792,75.67697,362.3494218954569,1.1283612,0.28089756,170331.3,430.25113,-1
76524,36.22008395195007,26,1.1766106,[ 0.056  0.104 -0.067  0.023 -0.013  0.141  0.067 -0.36   0.     0.  0.    -0.691],3.9512393,145.40405,98.0519,100,149.76784,2600,0.0023697102,9.359512,163.92111,362.17108,39.12,722.5568,9.359512,510.1536,0.5226157,0.010823302,81.09277,0.71307904,,True,0.039512392,0.005226157,212.40323,84.98988,362.1710674050821,1.0823302,0.23697102,100310.59,399.05197,-1
80581,38.27027106285095,27,1.3971313,[ 0.043  0.111 -0.07   0.016 -0.024  0.148  0.059 -0.354  0.     0.  0.    -0.706],5.861657,152.82443,112.306725,100,155.0059,2700,0.0032402813,9.359963,187.96634,376.08157,40.57,744.1904,9.359963,523.1148,0.9173976,0.011760171,62.168236,0.74090743,,True,0.05861657,0.009173975,221.07564,71.57523,376.0815409644129,1.176017,0.32402813,156282.3,451.85693,-1
84564,39.85629200935364,28,1.4209563,[ 0.026  0.135 -0.072  0.033 -0.012  0.159  0.087 -0.328  0.     0.  0.    -0.678],5.112667,120.126785,114.78444,100,175.77744,2800,0.00054727116,9.359956,189.67236,368.66702,39.83,828.4675,9.359956,635.57794,0.7746148,0.0123341195,71.71458,0.71853936,,True,0.05112667,0.007746148,192.8896,70.375145,368.66704607400663,1.233412,0.054727115,155340.66,485.94196,-1
88673,41.492258071899414,29,1.2410903,[ 0.024  0.133 -0.079  0.044 -0.002  0.172  0.071 -0.351  0.     0.  0.    -0.7  ],3.127892,145.98805,125.93794,100,159.32477,2900,0.0029787757,9.359865,189.66241,380.62683,41.09,782.12933,9.359865,560.8273,0.55818486,0.01125746,80.26629,0.7053563,,True,0.03127892,0.005581848,221.30206,80.57432,380.62683490701244,1.1257459,0.29787758,131356.61,451.05997,-1
93044,43.03792858123779,30,4.965058,[ 0.021  0.122 -0.088  0.031 -0.012  0.157  0.057 -0.366  0.     0.  0.    -0.714],87.569565,166.54713,132.9843,100,184.11671,3000,0.0005200147,9.359852,469.79962,404.9177,43.71,794.5685,9.359852,573.7675,9.48448,0.023787925,5.918225,0.729153,,True,0.87569565,0.09484481,220.80096,20.140753,404.9176858413934,2.3787923,0.052001476,5115896.0,1000.94666,-1
97053,44.875001192092896,31,1.0573735,[ 0.056  0.127 -0.072  0.029 -0.015  0.181  0.121 -0.319  0.     0.  0.    -0.69 ],1.5485461,167.48499,102.437744,100,141.29889,3100,0.0029164483,9.359935,174.67523,371.42438,40.09,679.79803,9.359935,449.67255,0.23430942,0.01041283,95.18062,0.71163,,True,0.015485461,0.0023430942,230.12549,94.57396,371.4243925389679,1.0412831,0.29164484,70072.25,384.3834,-1
101252,46.78998112678528,32,1.5205945,[ 0.067  0.125 -0.068  0.031 -0.017  0.194  0.133 -0.322  0.     0.  0.    -0.707],7.8207397,182.191,105.91102,100,177.7133,3200,0.0015399901,9.359911,243.59793,389.22113,41.99,690.1003,9.359911,478.5925,1.0087816,0.012615663,60.99784,0.67633015,,True,0.078207396,0.010087814,211.50778,65.763756,389.2210783810597,1.2615663,0.15399902,191681.44,498.89166,-1
105256,48.909037590026855,33,1.1089337,[ 0.066  0.127 -0.065  0.017 -0.033  0.183  0.145 -0.315  0.     0.  0.    -0.743],3.0925016,34.08795,125.07595,100,187.47498,3300,0.00551401,9.359917,55.6344,371.0275,40.04,1123.132,9.359917,939.57947,0.41475582,0.01108968,87.72877,0.6791608,,True,0.030925015,0.004147558,183.55252,90.17672,371.0275171714389,1.108968,0.551401,79882.266,410.4517,-1
109475,51.30009841918945,34,1.0562936,[ 0.067  0.131 -0.066  0.026 -0.023  0.184  0.148 -0.302  0.     0.  0.    -0.74 ],2.395592,152.13278,118.03263,100,188.38918,3400,0.005939818,9.359906,161.96779,391.05807,42.19,796.4176,9.359906,593.7487,0.28923482,0.010556308,93.01706,0.6922613,,True,0.023955919,0.002892348,202.66888,94.67065,391.0580594755214,1.0556309,0.5939818,64326.676,407.52597,-1
113545,53.389822244644165,35,1.2410284,[ 0.061  0.121 -0.07   0.026 -0.024  0.169  0.132 -0.303  0.     0.  0.    -0.727],4.0927954,118.03311,116.18851,100,157.02052,3500,0.002893342,9.359937,144.00488,377.2097,40.7,863.9218,9.359937,643.73267,0.6268535,0.010767957,74.688446,0.69015706,,True,0.040927954,0.006268535,220.18913,80.57833,377.2096644190281,1.0767957,0.2893342,125462.45,432.7313,-1
117692,55.20890545845032,36,1.40881,[ 0.068  0.117 -0.067  0.031 -0.025  0.198  0.155 -0.324  0.     0.  0.    -0.729],5.3651404,181.65973,109.629616,100,163.04985,3600,0.0007621745,9.359913,205.60097,384.34964,41.47,675.63306,9.359913,454.33328,0.7703078,0.010987771,67.04733,0.66479486,,True,0.053651404,0.0077030775,221.29977,70.98189,384.34963071263127,1.0987773,0.07621745,148159.05,446.18033,-1
121973,57.45502853393555,37,1.0706046,[ 0.056  0.125 -0.074  0.026 -0.034  0.199  0.172 -0.339  0.     0.  0.    -0.754],1.7112019,139.90857,111.13708,100,166.86201,3700,0.006622255,9.359912,157.08179,396.7316,42.81,856.0769,9.359912,626.2073,0.20744562,0.010429377,96.194244,0.65976155,,True,0.017112019,0.002074456,229.8696,93.40517,396.7316102255303,1.0429376,0.6622255,82926.76,422.81668,-1
126121,59.596606731414795,38,1.0450621,[ 0.05   0.127 -0.081  0.025 -0.033  0.194  0.162 -0.354  0.     0.  0.    -0.759],1.7241911,152.12105,104.51612,100,162.8055,3800,0.0046439846,9.359996,162.891,384.4526,41.48,774.4386,9.359996,552.7915,0.22117893,0.010371337,95.64988,0.6628649,,True,0.01724191,0.0022117891,221.64711,95.688095,384.4525991784035,1.0371338,0.46439847,70722.91,400.39957,-1
130455,61.67432999610901,39,1.4251126,[ 0.065  0.116 -0.077  0.03  -0.029  0.206  0.168 -0.357  0.     0.  0.    -0.756],8.496979,150.3092,123.68981,100,199.40678,3900,0.00083057064,9.359781,189.01807,401.6657,43.34,837.855,9.359781,635.59607,0.9931711,0.011252268,56.20962,0.68258375,,True,0.08496979,0.009931711,202.25893,70.16989,401.6656972279692,1.1252269,0.08305707,231115.16,489.0826,-1
134457,64.29072594642639,40,1.0604607,[ 0.034  0.14  -0.086  0.029 -0.037  0.223  0.178 -0.381  0.     0.  0.    -0.736],1.7365783,124.996216,107.942764,100,149.9,4000,0.005718097,9.359692,133.74886,370.8885,40.02,819.64087,9.359692,598.6524,0.24462417,0.010191522,94.55255,0.67770094,,True,0.017365783,0.002446242,220.98846,94.29864,370.8884545288481,1.0191522,0.5718097,69588.13,386.96542,-1
138837,66.58318662643433,41,1.1219075,[ 0.029  0.146 -0.09   0.029 -0.036  0.232  0.181 -0.397  0.     0.  0.    -0.741],3.8856204,170.20949,113.103134,100,184.89264,4100,0.0042459196,9.359786,184.13757,405.97003,43.8,785.8684,9.359786,564.791,0.42877656,0.010521677,85.758125,0.6927545,,True,0.0388562,0.0042877654,221.07736,89.13391,405.96999997912013,1.0521678,0.42459196,93883.97,433.85544,-1
143341,69.10219192504883,42,1.6646247,[ 0.014  0.128 -0.089  0.023 -0.041  0.222  0.167 -0.405  0.     0.  0.    -0.726],11.734077,183.21596,127.09466,100,187.17174,4200,0.0008071688,9.359641,241.67361,417.56067,45.04,781.1492,9.359641,550.76025,1.4968683,0.013019025,43.06752,0.6835649,,True,0.11734077,0.014968682,230.38895,60.0736,417.56069060675736,1.3019027,0.08071688,250868.83,544.026,-1
147615,71.45897817611694,43,1.1244168,[ 0.034  0.127 -0.087  0.023 -0.045  0.238  0.161 -0.386  0.     0.  0.    -0.735],2.463695,169.64275,97.99278,100,155.70511,4300,0.0048147505,9.359889,192.15822,396.18134,42.74,755.12866,9.359889,514.6524,0.37179086,0.010684285,89.19894,0.6518188,,True,0.02463695,0.0037179089,240.47624,88.93499,396.1813500025086,1.0684284,0.48147509,90065.65,432.3764,-1
151960,74.5388994216919,44,1.1948241,[ 0.04   0.123 -0.087  0.021 -0.05   0.244  0.172 -0.389  0.     0.  0.    -0.767],2.6573327,180.46017,108.52958,100,162.7816,4400,0.0028863044,9.359548,213.98613,402.8361,43.45,741.2532,9.359548,501.19867,0.49221325,0.011061878,83.47297,0.62439615,,True,0.026573326,0.0049221325,240.0545,83.69433,402.8361099940115,1.1061877,0.28863046,97563.695,457.06085,-1
156268,77.08136868476868,45,1.6501033,[ 0.051  0.102 -0.085  0.031 -0.037  0.234  0.167 -0.39   0.     0.  0.    -0.795],11.698454,161.43468,105.54998,100,177.96603,4500,0.0012993978,9.359942,233.10492,398.97903,43.08,791.8146,9.359942,570.80164,1.6660836,0.012657851,36.596508,0.6261616,,True,0.11698454,0.016660836,221.01297,60.602264,398.97902239459273,1.2657851,0.12993978,360931.3,538.2457,-1
160456,79.50028681755066,46,2.198842,[ 0.047  0.09  -0.089  0.038 -0.032  0.239  0.141 -0.395  0.     0.  0.    -0.793],26.025959,123.23813,106.52687,100,166.627,4600,7.804237e-05,9.359922,190.9256,388.09204,41.88,882.84644,9.359922,661.38135,2.7026377,0.013773532,20.617643,0.606195,,True,0.2602596,0.027026378,221.46506,45.47848,388.09205180637946,1.3773532,0.007804238,997207.5,583.66406,-1
164805,82.58701801300049,47,1.116343,[ 0.051  0.09  -0.087  0.053 -0.02   0.217  0.151 -0.401  0.     0.  0.    -0.813],3.3457415,139.74564,103.55765,100,162.98495,4700,0.0024495323,9.35994,152.75348,403.30542,43.49,878.5327,9.35994,638.2123,0.4250624,0.010255374,85.3394,0.60035014,,True,0.033457413,0.0042506238,240.32047,89.5782,403.3054227761079,1.0255374,0.24495323,117073.06,431.2232,-1
169260,86.12971806526184,48,5.5841064,[ 0.044  0.095 -0.093  0.058 -0.016  0.221  0.145 -0.422  0.     0.  0.    -0.819],91.04561,126.02945,118.56492,100,173.22754,4800,4.869738e-05,9.3599825,325.675,413.0184,44.55,956.63,9.3599825,716.8391,9.272776,0.02088133,4.826294,0.595939,,True,0.91045606,0.09272776,239.7909,17.907969,413.01842201366856,2.0881333,0.004869738,8669289.0,1003.8505,-1
173726,89.08843064308167,49,1.0278692,[ 0.034  0.077 -0.102  0.043 -0.029  0.196  0.087 -0.399  0.     0.  0.    -0.823],1.4483769,173.85475,119.358536,100,182.49965,4900,0.005368759,9.359592,180.7519,413.61246,44.66,799.1924,9.359592,568.0795,0.1496578,0.0101970695,97.891396,0.59561783,,True,0.0144837685,0.0014965781,231.11284,97.28864,413.6124896371923,1.0197071,0.5368759,73367.93,423.82758,-1
178176,91.6422266960144,50,3.9348416,[ 0.039  0.075 -0.103  0.038 -0.034  0.193  0.085 -0.404  0.     0.  0.    -0.823],100.76639,178.59813,109.300865,100,201.2686,5000,0.0001279419,9.35991,600.02454,412.50226,44.5,779.68036,9.35991,568.4467,10.009485,0.021222115,4.30187,0.5518102,,True,1.0076638,0.10009486,211.23364,25.413984,412.5022533152421,2.1222117,0.012794189,15063013.0,1064.0068,-1
182839,95.33641934394836,51,1.1564599,[-0.02   0.075 -0.115  0.047 -0.03   0.156  0.047 -0.42   0.     0.  0.    -0.867],2.483321,180.85007,131.29056,100,191.8018,5100,0.0044282405,9.359867,206.55609,432.2648,46.63,838.0491,9.359867,597.58606,0.419507,0.010866171,87.02859,0.5581366,,True,0.02483321,0.00419507,240.46301,86.47079,432.26480063489066,1.0866172,0.44282407,101830.35,476.92453,-1
187631,99.32946825027466,52,1.4890926,[-0.013  0.073 -0.116  0.035 -0.04   0.158  0.054 -0.419  0.     0.  0.    -0.861],8.981585,162.26382,152.69841,100,194.55455,5200,0.001113948,9.35989,206.54697,444.39462,47.92,940.43604,9.35989,690.59595,1.1425037,0.011443298,50.07985,0.524332,,True,0.08981584,0.011425038,249.84009,67.15499,444.39463242236053,1.1443298,0.11139479,292941.56,550.8266,-1
192707,104.10523700714111,53,1.0789037,[-0.045  0.08  -0.127  0.038 -0.039  0.158  0.031 -0.431  0.     0.  0.    -0.895],2.2984037,167.37723,148.68068,100,250.08322,5300,0.0036489584,9.359987,187.54785,470.5593,50.76,1010.60706,9.359987,790.131,0.29257166,0.010465953,92.75181,0.5165993,,True,0.022984037,0.0029257168,220.47609,92.68668,470.55932823647555,1.0465953,0.36489585,94668.516,502.46396,-1
197567,107.94069910049438,54,1.2899612,[-0.036  0.07  -0.128  0.044 -0.035  0.149  0.017 -0.436  0.     0.  0.    -0.902],10.065987,208.49522,136.09204,100,229.824,5400,0.0020422072,9.359982,246.13504,450.45923,48.6,806.54663,9.359982,585.9114,0.9875696,0.010816425,54.536934,0.5311045,,True,0.10065986,0.009875696,220.63522,77.52171,450.45921532529474,1.0816425,0.20422071,412591.2,520.94916,-1
202484,112.59392213821411,55,1.0661037,[-0.053  0.082 -0.139  0.046 -0.034  0.163  0.01  -0.45   0.     0.  0.    -0.888],2.3135793,177.05334,149.21812,100,216.24681,5500,0.0055783708,9.359852,195.05151,455.94476,49.17,929.63806,9.359852,689.9401,0.2504347,0.010328147,94.446945,0.53097546,,True,0.023135792,0.002504347,239.69794,93.79951,455.94475956942836,1.0328146,0.55783707,104571.305,483.0133,-1
207593,117.52011847496033,56,1.1319045,[-0.065  0.087 -0.147  0.045 -0.031  0.157 -0.002 -0.456  0.     0.  0.    -0.888],2.6086876,148.20563,159.12048,100,215.15,5600,0.0028107122,9.359991,180.07431,473.58136,51.09,1084.5857,9.359991,826.15436,0.38771763,0.010845464,88.66813,0.53726256,,True,0.026086876,0.0038771762,258.43134,88.34668,473.5813558094293,1.0845466,0.28107122,160302.58,526.24475,-1
212665,122.380774974823,57,1.1177307,[-0.068  0.084 -0.15   0.05  -0.025  0.156 -0.018 -0.465  0.     0.  0.    -0.882],2.2856946,150.95007,153.30217,100,221.7071,5700,0.0032138657,9.359966,171.1998,469.93008,50.72,1063.2667,9.359966,815.04376,0.38240597,0.010547311,88.38203,0.53378105,,True,0.022856945,0.0038240592,248.22296,89.46699,469.93007967435534,1.054731,0.32138658,128118.42,508.43436,-1
218039,127.65841126441956,58,1.0496105,[-0.074  0.084 -0.154  0.044 -0.029  0.149 -0.032 -0.469  0.     0.  0.    -0.885],1.5040355,207.03027,161.95634,100,258.55707,5800,0.0059212274,9.359922,223.98318,498.0714,53.74,970.1374,9.359922,730.62305,0.17489547,0.01042417,97.26209,0.51894224,,True,0.015040355,0.0017489546,239.51437,95.27344,498.0714617401079,1.0424169,0.59212273,96075.9,522.1564,-1
223237,133.10607743263245,59,1.0673774,[-0.078  0.088 -0.158  0.045 -0.026  0.154 -0.034 -0.472  0.     0.  0.    -0.9  ],2.35251,157.63327,147.97902,100,260.8297,5900,0.0033643788,9.359958,175.43417,482.00363,51.98,1081.2345,9.359958,860.0606,0.2703707,0.010592046,93.88291,0.5208341,,True,0.023525098,0.0027037067,221.17387,93.68757,482.00358972162866,1.0592046,0.33643788,84950.195,510.55402,-1
228089,137.78358221054077,60,8.936179,[-0.072  0.094 -0.159  0.044 -0.028  0.161 -0.021 -0.47   0.     0.  0.    -0.898],193.53735,191.84018,120.2355,100,199.42789,6000,4.599918e-05,9.359852,976.0702,449.4873,48.52,858.8237,9.359852,608.7643,19.223587,0.029260995,2.2644453,0.48103866,,True,1.9353735,0.19223586,250.05942,11.190465,449.4873047312058,2.9260988,0.004599918,65866040.0,1746.2661,-1
233587,144.753338098526,61,1.02786,[-0.073  0.084 -0.164  0.036 -0.033  0.121 -0.05  -0.496  0.     0.  0.    -0.938],1.683755,157.38159,181.7662,100,270.39594,6100,0.0054868013,9.359756,162.90512,509.5618,54.98,1173.934,9.359756,934.76807,0.18234365,0.010227309,96.91916,0.4856346,,True,0.01683755,0.0018234364,239.16586,97.28951,509.56178784379654,1.0227307,0.5486801,98546.24,519.95746,-1
