Bound,ReturnMeanIW,LearnableVariance,ESSRenyi,OptimizationReturnMin,StdIW,MinIW,MeanIW,EpThisIter,TimeElapsed,TimestepsSoFar,MeanIWNorm,InitialReturnMin,Iteration,J_sample_variance,OptimizationReturnMax,MeanEntropy,Weights,InitialReturnMax,ESSClassic,MaxIWNorm,MaxIW,EpLenMean,EpisodesSoFar,StdIWNorm,ReturnStepMaxmin,ReturnStepMax,InitialReturnMean,EpRewMean,OptimizationReturnMean,MinIWNorm,VarianceInit,InitialReturnStd,InitialBound,EmpiricalD2
2928.0244,7230.6064,True,0.59620374,,69.157555,1.89539e-07,7.6551824,100,87.5269148349762,64991,0.076551825,155.02274,24,3466089500.0,952.3793,0.7944883,[-0.104  0.152 -0.127 -0.004 -0.002  0.093  0.011 -0.407  0.     0.  0.    -0.526],1107.402,1.210439,6.9566584,695.66583,42.39,2400,0.6915756,9.359951,9.359951,392.49564,392.4955979167327,237.47287,1.8953898e-09,-1,160.02074,60.275024,167.72789
132.5481,646.46796,True,62.748955,,1.1300044,0.05786692,1.1908484,100,95.31467247009277,69746,0.011908483,183.61078,25,659583.8,1173.3816,0.75046164,[-0.15   0.161 -0.148 -0.005 -0.01   0.099 -0.084 -0.445  0.     0.  0.    -0.624],1356.9924,52.619816,0.06955775,6.955775,47.55,2500,0.011300044,9.359817,9.359817,440.5592,440.55922842536296,256.94843,0.0005786692,-1,178.783,33.461517,1.593652
296.08466,1156.7042,True,20.238537,,6.1636934,0.020856602,1.728399,100,103.71163725852966,74767,0.017283991,230.06268,26,32025800.0,1060.5012,0.743857,[-0.171  0.169 -0.16   0.003 -0.002  0.116 -0.093 -0.475  0.     0.  0.    -0.668],1290.5638,7.290079,0.6091953,60.91953,50.21,2600,0.061636936,9.359945,9.359945,464.95804,464.95802339075146,234.89536,0.00020856602,-1,202.61522,77.78888,4.9410686
153.36026,456.91846,True,91.96254,,0.3595192,0.40308917,1.0681168,100,111.7523684501648,79337,0.010681166,201.91861,27,89248.96,768.4264,0.73407024,[-0.158  0.186 -0.185  0.002 -0.004  0.107 -0.126 -0.444  0.     0.  0.    -0.675],970.34503,89.82354,0.025130998,2.5131,45.7,2700,0.003595192,9.359733,9.359733,423.0123,423.01231499922403,221.0937,0.0040308917,-1,157.18211,131.90881,1.0873992
152.20602,450.55768,True,96.85128,,0.22090496,0.5919087,1.0353626,100,119.66457676887512,84070,0.010353625,202.51242,28,77037.45,776.2108,0.7233068,[-0.163  0.186 -0.186  0.009  0.003  0.1   -0.125 -0.44   0.     0.  0.    -0.685],978.72327,95.64597,0.019696929,1.969693,47.33,2800,0.0022090496,9.359746,9.359746,438.28653,438.2865402387287,235.77412,0.0059190867,-1,172.80428,144.66959,1.0325109
139.93942,443.30997,True,97.18004,,0.16126144,0.47709787,1.0155663,100,127.46437358856201,88702,0.010155664,220.68732,29,85645.664,776.1876,0.7318944,[-0.162  0.186 -0.187  0.006  0.001  0.099 -0.119 -0.43   0.     0.  0.    -0.696],996.87494,97.5406,0.015128537,1.5128537,46.32,2900,0.0016126144,9.359786,9.359786,429.03214,429.03217009379625,208.34485,0.0047709784,-1,162.03383,129.96967,1.0290179
110.29016,427.75623,True,93.3585,,0.28813726,0.41267908,1.0414158,100,134.8400218486786,93011,0.010414158,212.44223,30,104507.28,810.0333,0.70995915,[-0.167  0.187 -0.193  0.007  0.003  0.099 -0.126 -0.439  0.     0.  0.    -0.687],1022.4756,92.889244,0.018166231,1.8166232,43.09,3000,0.0028813723,9.359915,9.359915,398.95743,398.95739064660955,186.51515,0.0041267904,-1,170.79689,92.21475,1.0711398
216.86362,501.69168,True,88.779564,,0.33250734,0.29667673,1.0711242,100,141.94229936599731,97880,0.0107112415,221.47028,31,120654.66,673.1073,0.7065814,[-0.163  0.189 -0.196  0.002 -0.002  0.105 -0.122 -0.441  0.     0.  0.    -0.709],894.5776,91.210434,0.019924082,1.9924082,48.69,3100,0.0033250735,9.359854,9.359854,450.6606,450.6606296833677,229.19037,0.0029667672,-1,172.708,182.28735,1.1263853
154.48001,537.0448,True,84.20906,,0.4678295,0.29095167,1.0615774,100,150.1217908859253,102866,0.010615774,193.41467,32,228500.83,976.7936,0.68544704,[-1.851e-01  1.974e-01 -2.065e-01  4.961e-03  9.101e-05  1.089e-01 -1.328e-01 -4.601e-01  0.000e+00  0.000e+00  0.000e+00 -7.124e-01],1170.2083,83.737366,0.035361934,3.5361934,49.86,3200,0.004678295,9.359598,9.359598,461.60242,461.60241312869556,268.18774,0.0029095167,-1,198.95714,110.53992,1.1875206
39.947784,538.5847,True,93.25,,0.2528004,0.37183928,1.0491489,100,159.76875805854797,108150,0.01049149,229.91096,33,150986.5,1375.1354,0.67206407,[-0.195  0.201 -0.213  0.007  0.002  0.116 -0.134 -0.48   0.     0.  0.    -0.733],1605.0464,94.51254,0.01865645,1.865645,52.84,3300,0.0025280039,9.359923,9.359923,489.10403,489.10399446776296,259.19305,0.0037183927,-1,219.5229,7.590088,1.072386
