EpLenMean,MeanIW,EpThisIter,EpisodesSoFar,ESSClassic,EpRewMean,MinIW,OptimizationReturnMax,InitialBound,MaxIWNorm,InitialReturnMean,TimeElapsed,TimestepsSoFar,ReturnStepMaxmin,MeanEntropy,InitialReturnMax,VarianceInit,LearnableVariance,Bound,J_sample_variance,InitialReturnMin,ESSRenyi,StdIW,MeanIWNorm,OptimizationReturnMin,EmpiricalD2,ReturnStepMax,Iteration,Weights,OptimizationReturnMean,MinIWNorm,InitialReturnStd,MaxIW,ReturnMeanIW,StdIWNorm
27.75,1.1040103,100,1300,90.39965,256.04461365325903,0.1163239,429.48993,88.97362,0.025249537,256.04462,50.18646788597107,24745,9.359205,1.2238322,556.9034,-1,True,110.2798,35586.754,127.41344,86.98277,0.3597771,0.011040103,,1.149653,9.359205,13,[ 0.082  0.035  0.156  0.059  0.032  0.053  0.097 -0.23   0.     0.  0.    -0.169],128.63118,0.001163239,76.6065,2.5249538,289.41647,0.003597771
27.03,1.0381114,100,1400,93.53608,249.41427236635948,0.55228454,401.8465,85.385254,0.019656451,249.41428,56.010518074035645,27448,9.359977,1.2247884,546.76337,-1,True,95.42334,31193.465,144.91687,93.45228,0.27289942,0.010381115,,1.0700649,9.359977,14,[ 0.072  0.026  0.146  0.057  0.042  0.003  0.078 -0.246  0.     0.  0.    -0.195],104.49741,0.0055228453,71.609085,1.9656452,265.1014,0.0027289942
28.41,1.0454743,100,1500,87.60347,262.3610231748059,0.32156605,411.28168,103.64734,0.025620932,262.36102,61.045753955841064,30289,9.359967,1.1886631,529.04565,-1,True,117.39545,30961.0,117.763985,88.10199,0.39328057,0.010454743,,1.1350482,9.359967,15,[ 0.092  0.038  0.148  0.044  0.022  0.023  0.094 -0.245  0.     0.  0.    -0.194],144.59705,0.0032156603,70.916435,2.5620933,286.48685,0.0039328057
29.43,1.0116345,100,1600,96.09055,271.9268944076919,0.45788866,490.0759,89.411606,0.018900037,271.9269,66.71316766738892,33232,9.359867,1.1987432,608.3844,-1,True,94.48015,27965.86,118.3085,96.0237,0.20405237,0.010116344,,1.0414096,9.359867,16,[ 0.128  0.035  0.159  0.04   0.014  0.045  0.111 -0.252  0.     0.  0.    -0.23 ],153.6184,0.0045788866,79.80817,1.8900037,280.73608,0.0020405236
29.77,1.1288278,100,1700,80.423355,275.07554031469226,0.20111069,403.62024,102.049225,0.031413257,275.07553,72.3126654624939,36209,9.3594265,1.1559001,576.7544,-1,True,128.91202,58626.844,173.13416,77.63973,0.55693656,0.011288278,,1.2880003,9.3594265,17,[ 0.119  0.046  0.145  0.051  0.018  0.037  0.116 -0.257  0.     0.  0.    -0.22 ],101.941376,0.0020111068,74.59381,3.141326,325.27975,0.0055693653
31.42,1.1399444,100,1800,70.49155,290.4600117327832,0.21898875,546.34674,85.93872,0.06214922,290.46002,77.67223262786865,39351,9.359662,1.1151564,681.7376,-1,True,123.21681,103610.41,135.39087,78.704926,0.7375446,0.011399444,,1.2705685,9.359662,18,[ 0.116  0.052  0.14   0.034  0.001  0.042  0.133 -0.272  0.     0.  0.    -0.263],155.06915,0.0021898875,99.010925,6.214922,353.75217,0.0073754457
32.34,1.0300412,100,1900,95.30385,299.0188507836445,0.5721213,473.16077,110.396286,0.022307038,299.01886,84.61672520637512,42585,9.359968,1.125444,628.74194,-1,True,120.114365,41655.87,155.58118,95.44851,0.2286501,0.010300411,,1.0476853,9.359968,19,[ 0.17   0.017  0.143  0.038  0.002  0.049  0.123 -0.291  0.     0.  0.    -0.304],143.43768,0.0057212133,83.39805,2.2307038,313.18182,0.002286501
31.34,1.0453931,100,2000,94.6843,289.91910232637287,0.5326581,375.0158,122.43063,0.019255558,289.9191,91.37377333641052,45719,9.359703,1.1237626,558.2948,-1,True,129.38673,44747.145,183.27899,94.983185,0.2476968,0.010453931,,1.052818,9.359703,20,[ 1.411e-01  5.476e-02  1.374e-01  3.341e-02  2.748e-04  7.294e-02  1.421e-01 -2.856e-01  0.000e+00  0.000e+00  0.000e+00 -2.935e-01],106.64011,0.0053265807,80.88891,1.9255558,301.24146,0.0024769679
30.62,1.2300013,100,2100,27.743898,283.1111462025174,0.18245535,444.0293,100.62366,0.16514705,283.11115,98.35317420959473,48781,9.359981,1.074018,608.2917,-1,True,141.7768,175104.12,164.26239,64.21518,1.9849935,0.012300012,,1.5572642,9.359981,21,[ 0.124  0.073  0.125  0.043  0.01   0.073  0.126 -0.294  0.     0.  0.    -0.295],118.84876,0.0018245535,81.37633,16.514706,369.50366,0.019849934
32.19,1.0772659,100,2200,88.00429,297.74266514556007,0.26230395,428.69186,111.46806,0.02513309,297.74265,104.06193661689758,52000,9.359929,1.0670166,620.9154,-1,True,125.08905,58467.562,192.22354,87.75906,0.39772633,0.010772658,,1.1394835,9.359929,22,[ 0.175  0.11   0.136  0.031 -0.015  0.14   0.193 -0.255  0.     0.  0.    -0.345],105.51912,0.0026230395,81.90824,2.513309,323.93085,0.0039772633
32.31,1.0596595,100,2300,86.43623,298.99132936638796,0.40185583,430.69543,111.881454,0.023813384,298.99133,110.32723069190979,55231,9.359719,1.0869316,623.69965,-1,True,127.29115,59291.79,193.00421,88.42414,0.41976717,0.010596595,,1.1309129,9.359719,23,[ 0.176  0.121  0.138  0.019 -0.022  0.143  0.223 -0.25   0.     0.  0.    -0.352],105.98713,0.004018558,82.586975,2.3813384,326.27203,0.0041976715
33.06,1.1978079,100,2400,61.055626,305.8652859742573,0.0713961,423.13287,121.54938,0.05968007,305.86526,115.82103943824768,58537,9.359839,1.0148158,614.38635,-1,True,160.79318,120791.234,191.2535,62.369473,0.95663595,0.011978079,,1.6033485,9.359839,24,[ 0.153  0.139  0.128  0.013 -0.026  0.144  0.232 -0.265  0.     0.  0.    -0.332],114.61179,0.00071396097,86.38473,5.968007,394.18024,0.00956636
33.56,1.1747656,100,2500,79.66099,310.7906434096151,0.2047478,440.59442,123.895325,0.03534799,310.79065,122.2042338848114,61893,9.359747,1.029845,622.9844,-1,True,165.4423,81378.52,182.38997,77.77443,0.5935991,0.011747655,,1.2857697,9.359747,25,[ 0.158  0.119  0.122  0.016 -0.025  0.129  0.222 -0.301  0.     0.  0.    -0.404],128.40068,0.002047478,94.593544,3.534799,377.36624,0.005935991
35.27,1.0564835,100,2600,92.5285,326.72484355339765,0.612087,438.87485,140.03381,0.024390914,326.72485,128.23143100738525,65420,9.359782,1.0303907,622.3034,-1,True,151.23001,47343.07,183.42856,95.41516,0.3002119,0.010564837,,1.0480515,9.359782,26,[ 0.159  0.106  0.117  0.031 -0.011  0.094  0.208 -0.324  0.     0.  0.    -0.389],143.2963,0.00612087,86.48262,2.4390914,342.3538,0.0030021188
35.14,1.1583246,100,2700,63.587845,325.5731238107356,0.04982832,513.71954,121.95062,0.05210764,325.57312,133.45963716506958,68934,9.359826,1.0103152,678.7418,-1,True,151.23633,96582.9,165.02228,67.0566,0.8765291,0.011583244,,1.4912775,9.359826,27,[ 0.192  0.083  0.126  0.022 -0.019  0.092  0.22  -0.317  0.     0.  0.    -0.389],160.55084,0.0004982832,87.74925,5.210764,399.89584,0.008765291
36.1,1.097763,100,2800,82.61437,334.5185261895656,0.22532465,401.80914,147.89694,0.029065691,334.51852,138.63309836387634,72544,9.359939,0.96088046,622.0719,-1,True,172.83386,77960.9,220.26277,82.528694,0.503589,0.01097763,,1.2116997,9.359939,28,[ 0.203  0.093  0.126  0.012 -0.027  0.101  0.245 -0.352  0.     0.  0.    -0.409],114.25576,0.0022532465,82.45901,2.9065692,378.26172,0.0050358893
36.68,1.1931461,100,2900,66.41304,339.81569985254185,0.26501092,446.47742,139.80057,0.05882181,339.8157,144.1646990776062,76212,9.359997,0.98494357,666.71704,-1,True,178.05672,122026.164,220.23962,71.576996,0.8485009,0.0119314585,,1.3970969,9.359997,29,[ 0.239  0.081  0.132  0.011 -0.032  0.103  0.248 -0.362  0.     0.  0.    -0.458],119.57608,0.0026501091,94.05043,5.882181,414.4723,0.00848501
37.22,1.1133313,100,3000,63.046017,344.91291847282844,0.118677564,464.74243,144.86897,0.058828566,344.91293,150.1264533996582,79934,9.3598385,0.9643961,666.81323,-1,True,169.83261,103585.96,202.07079,69.79014,0.85236627,0.011133312,,1.4328672,9.3598385,30,[ 0.26   0.069  0.137  0.038 -0.006  0.098  0.237 -0.373  0.     0.  0.    -0.434],142.84213,0.0011867756,88.29165,5.882857,409.2901,0.008523663
36.51,1.1149064,100,3100,74.463936,338.24560225238235,0.16330375,405.5892,147.23782,0.046726458,338.24557,155.21540021896362,83585,9.359897,0.9383717,636.6926,-1,True,180.04202,111111.78,231.10342,77.43443,0.6528936,0.011149065,,1.2914152,9.359897,31,[ 0.266  0.067  0.134  0.049  0.004  0.075  0.243 -0.4    0.     0.  0.    -0.455],107.14218,0.0016330375,77.57862,4.672646,397.10413,0.006528936
40.13,1.1754274,100,3200,63.995975,371.9805299385731,0.1619459,574.1583,141.57487,0.04996767,371.98056,161.36872029304504,87598,9.359934,0.87401885,768.0189,-1,True,190.81253,175487.25,193.86063,67.53302,0.8816476,0.011754274,,1.4807571,9.359934,32,[ 0.264  0.09   0.133  0.029 -0.017  0.102  0.271 -0.4    0.     0.  0.    -0.481],178.1199,0.0016194589,113.94448,4.996767,471.1848,0.008816476
38.66,1.1042916,100,3300,76.263214,358.1210418987508,0.047617532,579.0974,118.31741,0.046661895,358.12106,167.32129073143005,91464,9.359879,0.8478813,799.34546,-1,True,157.4527,158931.05,220.24808,83.00634,0.61608034,0.011042915,,1.2047273,9.359879,33,[ 0.234  0.112  0.117  0.023 -0.024  0.105  0.258 -0.416  0.     0.  0.    -0.545],137.87297,0.0004761753,103.69518,4.6661897,420.66132,0.006160803
38.73,9.018324,100,3400,2.3887634,358.9139557384631,0.0023363598,438.1597,155.7057,4.28907,358.91394,173.01131415367126,95337,9.359759,0.91240937,677.36084,-1,True,2118.6252,172898300.0,239.20114,1.5970688,57.64865,0.09018323,,62.61471,9.359759,34,[ 0.28   0.094  0.126  0.025 -0.027  0.108  0.263 -0.4    0.     0.  0.    -0.571],119.7128,2.3363598e-05,95.93702,428.90704,3726.601,0.57648647
35.54,1.5149045,100,3500,27.002058,329.21350936400637,0.011030906,472.8705,126.76102,0.15271434,329.2135,179.31508874893188,98891,9.359869,0.80169654,674.8417,-1,True,241.26358,622898.94,201.97116,36.74079,2.4908187,0.015149044,,2.7217705,9.359869,35,[ 0.303  0.085  0.138  0.071  0.019  0.084  0.277 -0.345  0.     0.  0.    -0.507],127.24234,0.000110309054,92.61622,15.271435,575.26544,0.024908189
38.88,1.0700265,100,3600,89.9633,360.3330012004182,0.38886,606.2169,106.211044,0.023462769,360.333,185.8706350326538,102779,9.359782,0.80358857,847.07324,-1,True,119.84598,83308.41,240.85635,90.16976,0.35740232,0.010700264,,1.1090193,9.359782,36,[ 0.32   0.065  0.137  0.067  0.013  0.054  0.262 -0.38   0.     0.  0.    -0.617],119.47666,0.0038885998,95.59993,2.346277,387.4618,0.003574023
37.01,1.0510685,100,3700,88.23115,342.8457656860893,0.3446161,419.93347,153.38684,0.028965754,342.8458,193.1583411693573,106480,9.359887,0.83245736,631.5298,-1,True,167.7794,73863.17,211.59631,88.50846,0.38387242,0.010510686,,1.1298355,9.359887,37,[ 0.334  0.055  0.142  0.078  0.025  0.058  0.267 -0.396  0.     0.  0.    -0.615],131.24945,0.0034461608,84.25609,2.8965755,369.16235,0.0038387242
37.68,1.3847466,100,3800,22.679235,349.3050474829491,0.021254975,522.9626,126.23576,0.22576004,349.30505,199.5968451499939,110248,9.359978,0.8179078,743.56433,-1,True,228.14676,1546772.4,220.60175,34.771954,2.5568435,0.013847467,,2.875881,9.359978,38,[ 0.341  0.046  0.14   0.083  0.028  0.052  0.266 -0.412  0.     0.  0.    -0.586],128.70331,0.00021254976,100.76746,22.576004,606.4371,0.025568435
40.17,1.4086918,100,3900,44.498093,372.47804013236987,0.20902714,540.9313,138.11717,0.09008809,372.478,205.51818823814392,114265,9.359955,0.8116697,781.2029,-1,True,226.85068,265600.28,240.27158,50.377075,1.5732554,0.014086916,,1.9850299,9.359955,39,[ 3.505e-01  5.675e-02  1.369e-01  5.261e-02 -3.278e-04  5.059e-02  3.072e-01 -4.345e-01  0.000e+00  0.000e+00  0.000e+00 -6.010e-01],132.20648,0.0020902713,91.51179,9.008809,557.04425,0.015732553
40.48,1.4162658,100,4000,14.917979,375.5140532160096,0.052574117,459.05988,166.12346,0.3223948,375.51407,213.32403945922852,118313,9.359922,0.7616778,697.9686,-1,True,323.7151,2208038.2,238.90875,49.16042,3.3822732,0.014162657,,2.0341568,9.359922,40,[ 0.356  0.079  0.143  0.028 -0.023  0.068  0.363 -0.437  0.     0.  0.    -0.607],136.6053,0.00052574114,94.42683,32.23948,622.356,0.03382273
39.05,1.4687642,100,4100,14.965777,361.95770402899126,0.074227735,452.9593,151.42575,0.25210667,361.95773,221.6848623752594,122218,9.359414,0.8146316,701.7732,-1,True,255.4429,1522976.1,248.8139,33.269203,3.501058,0.0146876415,,3.0057828,9.359414,41,[ 0.402  0.087  0.157  0.008 -0.04   0.093  0.42  -0.426  0.     0.  0.    -0.657],113.1438,0.00074227736,91.624535,25.210669,620.4462,0.03501058
39.3,1.0219488,100,4200,93.297905,364.4261385905755,0.5292448,475.81656,152.27032,0.0169552,364.42618,227.24054551124573,126148,9.359825,0.7961615,707.1861,-1,True,159.61348,71695.41,231.36954,93.47212,0.27390382,0.010219488,,1.0698377,9.359825,42,[ 0.365  0.102  0.148  0.013 -0.032  0.113  0.388 -0.402  0.     0.  0.    -0.604],133.0566,0.0052924477,101.67139,1.69552,379.05252,0.002739038
42.74,1.0684043,100,4300,86.52777,396.3066923872909,0.21319503,427.8353,198.43683,0.024192942,396.30664,234.32138395309448,130422,9.359824,0.771667,659.56616,-1,True,217.15479,85875.01,231.73087,86.31582,0.42157778,0.010684042,,1.1585362,9.359824,43,[ 0.383  0.107  0.149  0.018 -0.027  0.121  0.395 -0.409  0.     0.  0.    -0.623],164.57582,0.00213195,96.096954,2.4192944,430.13263,0.0042157774
40.95,1.0375562,100,4400,93.79291,379.75714226578873,0.32408112,484.4704,162.69655,0.01881735,379.7572,241.75334119796753,134517,9.359874,0.77121556,723.53534,-1,True,175.07603,76223.66,239.06496,92.544106,0.26691365,0.01037556,,1.0805658,9.359874,44,[ 0.411  0.099  0.148  0.022 -0.018  0.119  0.409 -0.419  0.     0.  0.    -0.647],140.69218,0.0032408112,95.5334,1.8817351,400.71112,0.0026691363
41.9,1.6729089,100,4500,8.315025,388.39269906972504,0.08759203,570.99457,147.84889,0.55338705,388.39273,247.81398677825928,138707,9.359793,0.7786241,801.8126,-1,True,394.41217,9225398.0,230.81807,27.835197,5.555071,0.01672909,,3.592574,9.359793,45,[ 0.418  0.096  0.146  0.028 -0.011  0.118  0.405 -0.435  0.     0.  0.    -0.648],157.57463,0.0008759203,105.609604,55.338703,850.34094,0.05555071
42.23,1.0694079,100,4600,90.85799,391.8734590786504,0.31712276,504.77533,173.79982,0.021756269,391.87344,255.34317302703857,142930,9.359922,0.7723647,726.91223,-1,True,195.56506,81070.54,222.13692,91.87232,0.33922082,0.010694079,,1.0884671,9.359922,46,[ 0.391  0.108  0.139  0.006 -0.031  0.143  0.439 -0.476  0.     0.  0.    -0.64 ],169.73654,0.0031712274,102.49296,2.175627,423.0805,0.0033922081
41.68,1.0546515,100,4700,89.64814,386.5420210279175,0.2869928,412.08746,194.05025,0.029482543,386.542,262.6764738559723,147098,9.359972,0.76043576,641.6393,-1,True,209.14822,75780.88,229.55182,89.71798,0.35838315,0.010546515,,1.1146038,9.359972,47,[ 0.406  0.086  0.139 -0.001 -0.038  0.122  0.421 -0.482  0.     0.  0.    -0.647],156.9902,0.0028699278,85.12543,2.9482543,412.37103,0.0035838315
42.81,1.2635598,100,4800,39.993595,396.954652305352,0.1025648,632.6736,132.43155,0.10702871,396.95468,268.96949458122253,151379,9.359921,0.81571156,881.74365,-1,True,197.78821,549707.3,249.07004,53.686584,1.5477452,0.0126356,,1.8626628,9.359921,48,[ 0.425  0.084  0.141 -0.003 -0.038  0.141  0.429 -0.476  0.     0.  0.    -0.659],147.88461,0.001025648,116.64645,10.702871,558.80774,0.0154774515
40.8,1.179538,100,4900,66.23335,378.4556346427281,0.06178474,688.8323,107.95477,0.06334705,378.45563,277.1437909603119,155459,9.359933,0.7889642,901.66956,-1,True,150.29715,159017.47,212.8373,71.48807,0.84220445,0.011795379,,1.3988348,9.359933,49,[ 0.416  0.098  0.128  0.005 -0.037  0.132  0.404 -0.453  0.     0.  0.    -0.603],165.61835,0.00061784737,103.3778,6.3347054,470.22485,0.008422045
41.36,1.06078,100,5000,91.12495,383.57169108526284,0.35490727,485.68933,168.4052,0.0202227,383.5717,282.9588887691498,159595,9.359907,0.77044547,717.2217,-1,True,186.03648,77122.36,231.53235,89.81606,0.33104888,0.010607801,,1.1133866,9.359907,50,[ 0.425  0.103  0.129 -0.006 -0.045  0.166  0.406 -0.461  0.     0.  0.    -0.63 ],152.03935,0.0035490727,94.6774,2.02227,413.074,0.0033104888
41.29,1.2419657,100,5100,60.827885,382.80190750258646,0.07646936,400.44284,190.53964,0.05306782,382.80188,288.7716715335846,163724,9.359984,0.75671375,640.87415,-1,True,242.48262,152388.47,240.4313,63.110577,0.99665934,0.012419657,,1.5845205,9.359984,51,[ 0.426  0.098  0.121 -0.009 -0.05   0.156  0.398 -0.479  0.     0.  0.    -0.648],142.3706,0.0007646936,93.51592,5.306782,484.498,0.009966593
40.18,1.2673423,100,5200,61.416214,372.5242396262749,0.11705827,354.74582,188.7526,0.060707282,372.52426,294.7471704483032,167742,9.359888,0.7103256,612.57214,-1,True,248.04259,158066.3,257.82632,62.51368,1.0045112,0.012673425,,1.5996499,9.359888,52,[ 0.4    0.124  0.118 -0.005 -0.039  0.148  0.403 -0.433  0.     0.  0.    -0.662],114.69791,0.0011705827,75.56906,6.0707283,480.47192,0.010045112
40.32,1.0897712,100,5300,86.244385,373.73991444478423,0.36769158,609.84644,121.9332,0.025216721,373.73993,301.56009697914124,171774,9.359849,0.7362656,839.35583,-1,True,144.58722,87732.49,229.5094,86.82692,0.43522123,0.01089771,,1.1517166,9.359849,53,[ 4.318e-01  9.821e-02  1.230e-01 -2.808e-05 -2.700e-02  1.314e-01  3.915e-01 -4.016e-01  0.000e+00  0.000e+00  0.000e+00 -7.086e-01],144.23051,0.0036769158,98.56995,2.5216722,414.82132,0.004352212
42.79,1.0537312,100,5400,94.86517,396.9023929368354,0.59252894,464.48694,191.45564,0.017719308,396.90244,309.9304850101471,176053,9.359836,0.7234428,684.8226,-1,True,206.59773,66514.86,220.33563,93.16593,0.24515459,0.0105373105,,1.0733538,9.359836,54,[ 0.452  0.095  0.122  0.01  -0.023  0.136  0.403 -0.41   0.     0.  0.    -0.683],176.56676,0.0059252894,93.551704,1.7719308,419.44632,0.002451546
42.08,2.5096385,100,5500,2.5743604,390.3346219259284,0.0010712376,385.5297,200.31097,1.5440837,390.3346,316.8327214717865,180261,9.359929,0.6974828,633.41223,-1,True,499.80835,12407300.0,247.88254,9.347855,15.4387865,0.025096385,,10.697641,9.359929,55,[ 0.469  0.085  0.118  0.009 -0.029  0.123  0.382 -0.422  0.     0.  0.    -0.696],142.45209,1.0712376e-05,93.5243,154.40837,1121.3235,0.15438788
41.16,2.1237218,100,5600,3.4241917,381.48191914204637,0.0067516672,519.4138,156.16339,1.1401881,381.4819,328.2737777233124,184377,9.359852,0.7040631,751.06177,-1,True,589.09766,17702628.0,231.64798,22.270718,11.278537,0.02123722,,4.490201,9.359852,56,[ 0.431  0.06   0.105  0.01  -0.017  0.119  0.294 -0.395  0.     0.  0.    -0.721],149.83394,6.7516674e-05,94.781425,114.01881,1066.5498,0.11278536
41.21,13.688305,100,5700,1.1652696,382.05640221700514,0.0028896038,503.34402,162.02216,12.676963,382.0564,336.1130647659302,188498,9.359869,0.7532411,733.4475,-1,True,2788.381,419405000.0,230.10349,0.7446568,126.06405,0.13688304,,134.29005,9.359869,57,[ 0.454  0.049  0.097  0.004 -0.031  0.072  0.289 -0.417  0.     0.  0.    -0.715],151.95293,2.8896038e-05,99.331764,1267.6963,5338.217,1.2606406
38.97,9.344863,100,5800,1.3906256,361.31763901545173,5.579698e-05,450.17163,151.725,7.8587494,361.31766,343.13855361938477,192395,9.359758,0.58553904,698.6421,-1,True,2950.843,1257897700.0,248.47046,0.45232132,78.69133,0.09344862,,221.08177,9.359758,58,[ 0.477  0.009  0.103  0.049  0.02   0.061  0.225 -0.419  0.     0.  0.    -0.666],112.84719,5.5796977e-07,84.07467,785.87494,6067.238,0.7869133
38.58,2.3297303,100,5900,3.9882102,357.68968451480663,0.025167013,315.58313,190.75081,1.1512136,357.6897,351.3254668712616,196253,9.359954,0.61530304,556.4629,-1,True,386.49405,1884701.2,240.87976,16.659502,11.4308605,0.023297302,,6.0025806,9.359954,59,[ 0.575 -0.093  0.12   0.04  -0.024 -0.035  0.075 -0.433  0.     0.  0.    -0.833],116.80992,0.0002516701,72.46428,115.12137,795.497,0.1143086
39.12,1.2536216,100,6000,38.096157,362.7136766869642,0.11718885,421.7337,167.2709,0.12611118,362.7137,360.0339469909668,200165,9.359927,0.5957272,651.4759,-1,True,209.67258,219276.1,229.74219,56.003494,1.598029,0.012536215,,1.7856029,9.359927,60,[ 0.571 -0.095  0.122  0.033 -0.028 -0.075  0.07  -0.396  0.     0.  0.    -0.804],132.97148,0.0011718884,86.91559,12.611118,470.83582,0.01598029
38.01,1.0487182,100,6100,86.70674,352.3758886293163,0.561669,560.5431,115.09621,0.042503066,352.37585,367.60226941108704,203966,9.359827,0.5999754,790.9323,-1,True,130.8136,98492.04,230.38925,94.0037,0.41062748,0.010487181,,1.0637879,9.359827,61,[ 0.57  -0.09   0.124  0.042 -0.016 -0.055  0.069 -0.416  0.     0.  0.    -0.823],121.98664,0.0056166896,96.65142,4.2503066,375.5441,0.004106275
