VarRet,AvgVanillaIw,MinNormIw,Delta,VarVanillaIw,J,AvgRet,VarDiscRet,IterType,VarJ,AvgDiscRet,Bound,AvgNormIw,MaxVanillaIw,ESSClassic,ESSRenyi,AvgEpLen,MinVanillaIw,EpsThisIter,eRenyi2,VanillaAvgRet,BatchSize,MaxNormIw,VarNormIw
6067.66203959,1.0069,0.00379136,0.7,0.0928224,-80.6742,-83.4787917581,6067.66203959,1,69.0668,-83.4787917581,-109.141,0.01,2.48976,91.6893650416,92.0255564137,115.65,0.381753,100,1.08665,-83.4787917581,100,0.0247269,9.15541e-06
9268.04423391,1.05332,0.00129961,0.7,0.246437,-89.4749,-94.3500469972,9268.04423391,1,89.2486,-94.3500469972,-119.452,0.01,2.94286,81.9742690077,82.9850203505,127.96,0.136891,100,1.20504,-94.3500469972,100,0.0279387,2.22116e-05
6029.22367484,1.13747,0.00503809,0.7,1.24044,-78.0964,-84.6886324273,6029.22367484,1,57.5125,-84.6886324273,-108.212,0.01,10.8596,51.3045579871,82.2280419842,116.72,0.573066,100,1.21613,-84.6886324273,100,0.0954716,9.58732e-05
7183.17156185,0.974026,0.00787618,0.7,0.0664366,-83.0493,-86.0467260712,7183.17156185,1,72.389,-86.0467260712,-111.554,0.01,2.43866,93.5167552589,91.7786893469,118.38,0.767161,100,1.08958,-86.0467260712,100,0.0250369,7.00271e-06
6050.20139796,1.04007,0.000358833,0.7,0.119237,-78.3916,-82.3938493636,6050.20139796,1,68.3357,-82.3938493636,-107.212,0.01,2.22998,90.1612931604,89.77949323,114.22,0.0373213,100,1.11384,-82.3938493636,100,0.0214405,1.10225e-05
2586.45807086,0.990913,0.000295563,0.7,0.180788,-67.7306,-71.991922202,2586.45807086,1,23.932,-71.991922202,-97.4708,0.01,1.83139,84.5825282036,84.3127870151,101.69,0.0292877,100,1.18606,-71.991922202,100,0.0184818,1.84119e-05
4926.93896427,0.997071,0.000480492,0.7,0.326474,-67.4772,-79.0488185357,4926.93896427,1,20.3895,-79.0488185357,-98.6168,0.01,1.89338,75.4654235579,76.9074657911,110.43,0.0479085,100,1.30026,-79.0488185357,100,0.0189894,3.28394e-05
4919.48377725,0.985363,0.00871512,0.7,0.0176986,-78.3346,-79.1689568795,4919.48377725,1,65.1684,-79.1689568795,-106.022,0.01,1.5405,98.2273786202,97.2808110693,110.98,0.858755,100,1.02795,-79.1689568795,100,0.0156339,1.82283e-06
4937.05307177,1.01518,0.00323208,0.7,0.113471,-75.6448,-78.3570903648,4937.05307177,1,63.3056,-78.3570903648,-104.265,0.01,2.78164,90.1712198082,91.0386301177,109.65,0.328116,100,1.09843,-78.3570903648,100,0.0274003,1.10102e-05
2536.75393164,1.02416,0.00247259,0.7,0.236116,-69.8025,-73.3845202483,2536.75393164,1,33.3015,-73.3845202483,-99.0598,0.01,4.21193,81.7756465865,87.1108631772,104.71,0.253232,100,1.14796,-73.3845202483,100,0.0411259,2.25109e-05
3786.9775723,0.93528,0.000267986,0.7,0.274101,-67.7095,-76.5437366267,3786.9775723,1,29.6133,-76.5437366267,-98.3513,0.01,1.79187,76.3233545421,79.4264665823,107.47,0.0250642,100,1.25903,-76.5437366267,100,0.0191586,3.13348e-05
9264.69863558,1.04058,0.00696553,0.7,0.181245,-88.1931,-95.2077218172,9264.69863558,1,78.1035,-95.2077218172,-117.915,0.01,3.99589,85.7845836952,84.416901921,129.29,0.72482,100,1.1846,-95.2077218172,100,0.0384006,1.67384e-05
6067.80263212,1.13549,0.00155691,0.7,0.285383,-76.7172,-82.7662768598,6067.80263212,1,57.3366,-82.7662768598,-106.105,0.01,4.26623,82.0259048491,86.3491728868,114.56,0.176785,100,1.15809,-82.7662768598,100,0.0375716,2.2134e-05
1346.31958001,1.00728,0.00903341,0.7,0.0136169,-69.681,-70.1072691686,1346.31958001,1,33.4659,-70.1072691686,-97.1766,0.01,1.58298,98.688771413,98.6399770092,100.51,0.909921,100,1.01379,-70.1072691686,100,0.0157153,1.34206e-06
