MaxVanillaIw,MaxNormIw,Bound,Delta,EpsThisIter,VarDiscRet,eRenyi2,AvgRet,IterType,MinNormIw,VarJ,AvgVanillaIw,ESSClassic,AvgDiscRet,VarVanillaIw,VanillaAvgRet,MinVanillaIw,AvgNormIw,BatchSize,VarNormIw,ESSRenyi,AvgEpLen,J,VarRet
305.324,0.36267,-40.9296,0.9,100,1247.6075544,103.472,-100.551810835,1,,375.367,1.68376,4.26869118897,-100.551810835,329.898,-100.551810835,,0.002,500,0.000465458,4.83221017283,88.88,12.2623,1247.6075544
1.0,0.01,-76.2976,0.9,100,3412.01439993,1.0,-72.0763286795,2,0.01,58.1197,1.0,100.0,-72.0763286795,,-72.0763286795,1.0,0.01,500,3.50449e-18,500.0,145.63,-72.0763,3412.01439993
1.0,0.005,-83.7539,0.9,100,1191.85142526,1.0,-89.3796007929,2,0.005,48.5156,1.0,200.000000102,-89.3796007929,,-89.3796007929,1.0,0.005,500,2.1793e-19,500.0,111.38,-80.728,1191.85142526
1.0,0.00333333,-77.8165,0.9,100,4218.52354773,1.0,-64.5815631618,2,0.00333333,54.9475,1.0,299.999969474,-64.5815631618,,-64.5815631618,1.0,0.00333333,500,5.43914e-20,500.0,165.26,-75.3458,4218.52354773
1.0,0.0025,-78.7498,0.9,100,3270.99931676,1.0,-78.0330071465,2,0.0025,55.4558,1.0,400.0,-78.0330071465,,-78.0330071465,1.0,0.0025,500,5.4346e-20,500.0,128.97,-76.0176,3270.99931676
1355.61,0.878686,57.8712,0.9,100,3144.2374957,279.336,-72.7889559054,1,,251.912,3.08555,1.28950901339,-72.7889559054,3689.42,-72.7889559054,,0.002,500,0.00155008,1.78996003289,142.25,98.7135,3144.2374957
1.0,0.01,-58.9275,0.9,100,7446.26964078,1.0,-53.808048473,2,0.01,85.8592,1.0,100.0,-53.808048473,,-53.808048473,1.0,0.01,500,3.50449e-18,500.0,154.05,-53.8081,7446.26964078
1.0,0.005,-62.6164,0.9,100,6490.22338459,1.0,-62.7153683667,2,0.005,83.1769,1.0,200.000000102,-62.7153683667,,-62.7153683667,1.0,0.005,500,2.1793e-19,500.0,139.5,-58.2617,6490.22338459
1.0,0.00333333,-56.0534,0.9,100,8799.1166645,1.0,-40.422505898,2,0.00333333,87.1016,1.0,299.999969474,-40.422505898,,-40.422505898,1.0,0.00333333,500,5.43914e-20,500.0,187.65,-52.3153,8799.1166645
1.0,0.0025,-51.7897,0.9,100,8869.53416083,1.0,-37.2637841913,2,0.0025,89.0377,1.0,400.0,-37.2637841913,,-37.2637841913,1.0,0.0025,500,5.4346e-20,500.0,193.48,-48.5524,8869.53416083
1078.48,0.791996,67.6781,0.9,100,7923.17508339,140.864,-49.5722091069,1,,301.69,2.72346,1.57873601918,-49.5722091069,2346.38,-49.5722091069,,0.002,500,0.00126537,3.54951606322,163.31,102.044,7923.17508339
1.0,0.01,-43.4464,0.9,100,7066.38595494,1.0,-39.3737581738,2,0.01,83.6404,1.0,100.0,-39.3737581738,,-39.3737581738,1.0,0.01,500,3.50449e-18,500.0,211.46,-39.3738,7066.38595494
1.0,0.005,-39.1368,0.9,100,7413.29101358,1.0,-33.140234731,2,0.005,84.7181,1.0,200.000000102,-33.140234731,,-33.140234731,1.0,0.005,500,2.1793e-19,500.0,223.41,-36.257,7413.29101358
1.0,0.00333333,-39.411,0.9,100,6765.01606575,1.0,-38.6649809087,2,0.00333333,83.7766,1.0,299.999969474,-38.6649809087,,-38.6649809087,1.0,0.00333333,500,5.43914e-20,500.0,224.07,-37.0597,6765.01606575
1.0,0.0025,-38.9831,0.9,100,6571.95127392,1.0,-35.9440797921,2,0.0025,83.0101,1.0,400.0,-35.9440797921,,-35.9440797921,1.0,0.0025,500,5.4346e-20,500.0,229.37,-36.7808,6571.95127392
61.5477,0.136525,20.2596,0.9,100,7366.84241713,46.9678,-35.5576269224,1,5.52434e-24,385.866,0.901633,16.9510685728,-35.5576269224,23.2126,-35.5576269224,2.49046e-21,0.002,500,0.000114215,10.6455834214,228.4,33.7597,7366.84241713
1.0,0.01,-31.6733,0.9,100,8404.66930349,1.0,-27.7325589552,2,0.01,91.2174,1.0,100.0,-27.7325589552,,-27.7325589552,1.0,0.01,500,3.50449e-18,500.0,225.18,-27.7326,8404.66930349
1.0,0.005,-37.3602,0.9,100,7780.64644942,1.0,-40.7894021096,2,0.005,89.746,1.0,200.000000102,-40.7894021096,,-40.7894021096,1.0,0.005,500,2.1793e-19,500.0,197.71,-34.261,7780.64644942
1.0,0.00333333,-32.3287,0.9,100,8568.64527928,1.0,-20.8726334857,2,0.00333333,90.7582,1.0,299.999969474,-20.8726334857,,-20.8726334857,1.0,0.00333333,500,5.43914e-20,500.0,242.72,-29.7982,8568.64527928
1.0,0.0025,-31.5717,0.9,100,8054.03202425,1.0,-28.1262007578,2,0.0025,90.3974,1.0,400.0,-28.1262007578,,-28.1262007578,1.0,0.0025,500,5.4346e-20,500.0,230.72,-29.3802,8054.03202425
985.484,0.640866,34.672,0.9,100,7519.39444176,190.313,-38.0396538491,1,4.0314e-41,102.331,3.07548,2.25659110657,-38.0396538491,2090.49,-38.0396538491,6.19925e-38,0.002,500,0.000884061,2.62725337609,202.49,61.7129,7519.39444176
1.0,0.01,-15.8249,0.9,100,7694.78932152,1.0,-11.9521557002,2,0.01,87.2802,1.0,100.0,-11.9521557002,,-11.9521557002,1.0,0.01,500,3.50449e-18,500.0,274.54,-11.9522,7694.78932152
1.0,0.005,-19.9987,0.9,100,7870.40165681,1.0,-22.4129023125,2,0.005,87.9325,1.0,200.000000102,-22.4129023125,,-22.4129023125,1.0,0.005,500,2.1793e-19,500.0,255.36,-17.1825,7870.40165681
1.0,0.00333333,-23.2285,0.9,100,7769.77113427,1.0,-28.4223377104,2,0.00333333,88.0162,1.0,299.999969474,-28.4223377104,,-28.4223377104,1.0,0.00333333,500,5.43914e-20,500.0,233.07,-20.9291,7769.77113427
1.0,0.0025,-23.8095,0.9,100,8057.33739164,1.0,-24.4855255172,2,0.0025,88.3555,1.0,400.0,-24.4855255172,,-24.4855255172,1.0,0.0025,500,5.4346e-20,500.0,246.17,-21.8182,8057.33739164
396.022,0.491879,50.1211,0.9,100,7689.39526145,134.208,-14.2191877661,1,,97.174,1.61024,2.73761653768,-14.2191877661,471.917,-14.2191877661,,0.002,500,0.000728018,3.72554655296,269.55,70.7547,7689.39526145
1.0,0.01,-36.8169,0.9,100,7500.86026415,1.0,-32.9908818607,2,0.01,86.1734,1.0,100.0,-32.9908818607,,-32.9908818607,1.0,0.01,500,3.50449e-18,500.0,228.82,-32.9909,7500.86026415
1.0,0.005,-35.8469,0.9,100,7200.84672856,1.0,-32.961667719,2,0.005,85.3074,1.0,200.000000102,-32.961667719,,-32.961667719,1.0,0.005,500,2.1793e-19,500.0,225.09,-32.9763,7200.84672856
1.0,0.00333333,-33.6092,0.9,100,7578.07155051,1.0,-27.7304971035,2,0.00333333,85.7814,1.0,299.999969474,-27.7304971035,,-27.7304971035,1.0,0.00333333,500,5.43914e-20,500.0,242.47,-31.2277,7578.07155051
1.0,0.0025,-33.384,0.9,100,7571.77165164,1.0,-31.5658255007,2,0.0025,85.9818,1.0,400.0,-31.5658255007,,-31.5658255007,1.0,0.0025,500,5.4346e-20,500.0,229.39,-31.3122,7571.77165164
54.7308,0.107909,-12.0379,0.9,100,7857.19377609,8.45877,-27.7744892792,1,4.20068e-08,241.16,1.01439,58.2238455841,-27.7744892792,7.8231,-27.7744892792,2.13056e-05,0.002,500,3.0411e-05,59.1102169777,237.96,-6.64834,7857.19377609
1.0,0.01,-24.5382,0.9,100,8227.89522987,1.0,-20.5960607026,2,0.01,90.2531,1.0,100.0,-20.5960607026,,-20.5960607026,1.0,0.01,500,3.50449e-18,500.0,255.27,-20.5961,8227.89522987
1.0,0.005,-25.3551,0.9,100,7957.39314996,1.0,-23.837544231,2,0.005,89.5229,1.0,200.000000102,-23.837544231,,-23.837544231,1.0,0.005,500,2.1793e-19,500.0,242.36,-22.2168,7957.39314996
1.0,0.00333333,-25.8126,0.9,100,7951.07435542,1.0,-25.3170237508,2,0.00333333,89.2686,1.0,299.999969474,-25.3170237508,,-25.3170237508,1.0,0.00333333,500,5.43914e-20,500.0,242.84,-23.2502,7951.07435542
1.0,0.0025,-29.6,0.9,100,7301.69567805,1.0,-39.7728726034,2,0.0025,88.5157,1.0,400.0,-39.7728726034,,-39.7728726034,1.0,0.0025,500,5.4346e-20,500.0,206.11,-27.3809,7301.69567805
95.5482,0.16003,2.51758,0.9,100,7862.42527596,9.22968,-30.6343484762,1,0.00022184,353.533,1.19413,31.0034675953,-30.6343484762,21.6139,-30.6343484762,0.132453,0.002,500,6.06301e-05,54.1730643251,230.13,8.5476,7862.42527596
1.0,0.01,-16.8838,0.9,100,8161.7568824,1.0,-12.7781593917,2,0.01,89.8896,1.0,100.0,-12.7781593917,,-12.7781593917,1.0,0.01,500,3.50449e-18,500.0,273.86,-12.7782,8161.7568824
1.0,0.005,-27.5343,0.9,100,7459.81346284,1.0,-36.4842920073,2,0.005,88.7309,1.0,200.000000102,-36.4842920073,,-36.4842920073,1.0,0.005,500,2.1793e-19,500.0,214.0,-24.6312,7459.81346284
1.0,0.00333333,-29.1501,0.9,100,7478.68836655,1.0,-31.0767724101,2,0.00333333,87.8976,1.0,299.999969474,-31.0767724101,,-31.0767724101,1.0,0.00333333,500,5.43914e-20,500.0,228.1,-26.7797,7478.68836655
1.0,0.0025,-29.2316,0.9,100,8085.92890344,1.0,-28.3350536671,2,0.0025,88.2961,1.0,400.0,-28.3350536671,,-28.3350536671,1.0,0.0025,500,5.4346e-20,500.0,237.7,-27.1686,8085.92890344
224.43,0.265382,31.5256,0.9,100,6770.2659019,62.3511,-43.0160170613,1,,257.447,1.69137,9.01170330436,-43.0160170613,156.176,-43.0160170613,,0.002,500,0.00021837,8.01910704962,198.62,46.0963,6770.2659019
1.0,0.01,-22.5762,0.9,100,8037.16868367,1.0,-18.4456381627,2,0.01,89.2009,1.0,100.0,-18.4456381627,,-18.4456381627,1.0,0.01,500,3.50449e-18,500.0,264.71,-18.4456,8037.16868367
1.0,0.005,-31.737,0.9,100,7382.01446218,1.0,-39.1868779205,2,0.005,87.9775,1.0,200.000000102,-39.1868779205,,-39.1868779205,1.0,0.005,500,2.1793e-19,500.0,206.84,-28.8163,7382.01446218
1.0,0.00333333,-33.6224,0.9,100,7500.47229409,1.0,-36.080313913,2,0.00333333,87.4466,1.0,299.999969474,-36.080313913,,-36.080313913,1.0,0.00333333,500,5.43914e-20,500.0,214.34,-31.2376,7500.47229409
1.0,0.0025,-33.3502,0.9,100,7575.70073722,1.0,-31.4267232672,2,0.0025,87.2363,1.0,400.0,-31.4267232672,,-31.4267232672,1.0,0.0025,500,5.4346e-20,500.0,227.95,-31.2849,7575.70073722
1657.14,0.761289,45.9513,0.9,100,7451.74070351,238.725,-34.1562302601,1,1.21196e-28,224.597,4.35351,1.70579303183,-34.1562302601,5547.63,-34.1562302601,2.63814e-25,0.002,500,0.00117082,2.09445621703,219.27,74.4929,7451.74070351
1.0,0.01,-28.7558,0.9,100,8226.71895442,1.0,-24.8500779736,2,0.01,90.2466,1.0,100.0,-24.8500779736,,-24.8500779736,1.0,0.01,500,3.50449e-18,500.0,235.97,-24.8501,8226.71895442
1.0,0.005,-22.4537,0.9,100,8215.50465485,1.0,-14.3877365501,2,0.005,90.3674,1.0,200.000000102,-14.3877365501,,-14.3877365501,1.0,0.005,500,2.1793e-19,500.0,264.87,-19.6189,8215.50465485
1.0,0.00333333,-20.0258,0.9,100,8283.13939896,1.0,-13.8958274715,2,0.00333333,90.4704,1.0,299.999969474,-13.8958274715,,-13.8958274715,1.0,0.00333333,500,5.43914e-20,500.0,263.85,-17.7112,8283.13939896
1.0,0.0025,-22.2844,0.9,100,7924.60993923,1.0,-27.9859038494,2,0.0025,90.11,1.0,400.0,-27.9859038494,,-27.9859038494,1.0,0.0025,500,5.4346e-20,500.0,233.77,-20.2799,7924.60993923
511.344,0.585059,58.9822,0.9,100,8159.49041755,139.786,-29.0569462382,1,,106.711,1.74801,2.70497500057,-29.0569462382,562.869,-29.0569462382,,0.002,500,0.000736852,3.57690833212,229.8,80.1795,8159.49041755
1.0,0.01,-23.9495,0.9,100,8462.2075796,1.0,-20.1782924615,2,0.01,91.5292,1.0,100.0,-20.1782924615,,-20.1782924615,1.0,0.01,500,3.50449e-18,500.0,246.09,-20.1783,8462.2075796
1.0,0.005,-28.06,0.9,100,7952.52656926,1.0,-30.2063306508,2,0.005,90.2798,1.0,200.000000102,-30.2063306508,,-30.2063306508,1.0,0.005,500,2.1793e-19,500.0,226.32,-25.1923,7952.52656926
1.0,0.00333333,-32.5255,0.9,100,7391.63758386,1.0,-40.1675042607,2,0.00333333,89.0095,1.0,299.999969474,-40.1675042607,,-40.1675042607,1.0,0.00333333,500,5.43914e-20,500.0,202.48,-30.184,7391.63758386
1.0,0.0025,-30.501,0.9,100,8396.08644695,1.0,-23.3407480851,2,0.0025,89.6038,1.0,400.0,-23.3407480851,,-23.3407480851,1.0,0.0025,500,5.4346e-20,500.0,242.13,-28.4732,8396.08644695
21.6646,0.043813,-2.49645,0.9,100,7816.8419921,6.06026,-29.5495273383,1,2.37182e-18,198.579,0.988958,97.9508926224,-29.5495273383,4.0225,-29.5495273383,1.17282e-15,0.002,500,1.64513e-05,82.5046615493,224.15,1.96843,7816.8419921
1.0,0.01,-46.0939,0.9,100,7175.01843211,1.0,-42.1156405192,2,0.01,84.2809,1.0,100.0,-42.1156405192,,-42.1156405192,1.0,0.01,500,3.50449e-18,500.0,194.77,-42.1156,7175.01843211
1.0,0.005,-32.5262,0.9,100,8499.28317707,1.0,-17.2214903189,2,0.005,88.959,1.0,200.000000102,-17.2214903189,,-17.2214903189,1.0,0.005,500,2.1793e-19,500.0,256.54,-29.6686,8499.28317707
1.0,0.00333333,-31.266,0.9,100,7994.40471498,1.0,-27.4611066319,2,0.00333333,88.9665,1.0,299.999969474,-27.4611066319,,-27.4611066319,1.0,0.00333333,500,5.43914e-20,500.0,228.51,-28.9327,7994.40471498
1.0,0.0025,-29.3165,0.9,100,7980.82990177,1.0,-22.3502865758,2,0.0025,88.9925,1.0,400.0,-22.3502865758,,-22.3502865758,1.0,0.0025,500,5.4346e-20,500.0,242.96,-27.2871,7980.82990177
131.331,0.213118,2.67082,0.9,100,8175.68110039,17.9661,-29.8765096124,1,8.34645e-30,339.203,1.23247,16.3754906426,-29.8765096124,44.9509,-29.8765096124,5.14339e-27,0.002,500,0.00011837,27.8302581866,225.38,10.3646,8175.68110039
1.0,0.01,-33.2344,0.9,100,7743.6785514,1.0,-29.1008736789,2,0.01,87.5571,1.0,100.0,-29.1008736789,,-29.1008736789,1.0,0.01,500,3.50449e-18,500.0,228.06,-29.1009,7743.6785514
1.0,0.005,-24.5226,0.9,100,8571.36475438,1.0,-14.0986155872,2,0.005,90.1788,1.0,200.000000102,-14.0986155872,,-14.0986155872,1.0,0.005,500,2.1793e-19,500.0,265.79,-21.5997,8571.36475438
1.0,0.00333333,-28.3485,0.9,100,7898.16047969,1.0,-34.6864720773,2,0.00333333,89.8105,1.0,299.999969474,-34.6864720773,,-34.6864720773,1.0,0.00333333,500,5.43914e-20,500.0,216.44,-25.962,7898.16047969
1.0,0.0025,-28.671,0.9,100,8224.82686232,1.0,-28.5311351649,2,0.0025,89.924,1.0,400.0,-28.5311351649,,-28.5311351649,1.0,0.0025,500,5.4346e-20,500.0,228.42,-26.6043,8224.82686232
1756.74,0.725151,37.1081,0.9,100,8421.26388742,69.8523,-23.6383933998,1,2.00659e-06,347.431,4.84517,1.88769448868,-23.6383933998,6207.02,-23.6383933998,0.00486112,0.002,500,0.00105761,7.15796252337,242.49,52.558,8421.26388742
1.0,0.01,-33.9353,0.9,100,8343.90402843,1.0,-30.113955721,2,0.01,90.8871,1.0,100.0,-30.113955721,,-30.113955721,1.0,0.01,500,3.50449e-18,500.0,228.87,-30.114,8343.90402843
1.0,0.005,-26.6514,0.9,100,8489.2774166,1.0,-17.5228932726,2,0.005,91.499,1.0,200.000000102,-17.5228932726,,-17.5228932726,1.0,0.005,500,2.1793e-19,500.0,255.38,-23.8184,8489.2774166
1.0,0.00333333,-30.4397,0.9,100,7267.68443417,1.0,-36.7429533917,2,0.00333333,89.5368,1.0,299.999969474,-36.7429533917,,-36.7429533917,1.0,0.00333333,500,5.43914e-20,500.0,206.36,-28.1266,7267.68443417
1.0,0.0025,-31.9606,0.9,100,7832.77464179,1.0,-35.4498537816,2,0.0025,89.2261,1.0,400.0,-35.4498537816,,-35.4498537816,1.0,0.0025,500,5.4346e-20,500.0,212.44,-29.9574,7832.77464179
