MinNormIw,VarJ,MaxVanillaIw,VarVanillaIw,AvgRet,AvgNormIw,AvgEpLen,VanillaAvgRet,eRenyi2,AvgDiscRet,Bound,ESSRenyi,AvgVanillaIw,VarRet,BatchSize,MaxNormIw,J,VarDiscRet,ESSClassic,VarNormIw,MinVanillaIw
0.0007687072,30.11719,1.2088454,0.039473504,4960.864166739229,0.01,496.11,4960.864166739229,1.0296166,3.228706191293895e-13,-293.7628,97.12353176142317,0.97976416,152143.82732984138,100,0.012338126,36.011486,152143.82732984138,96.08829335682202,4.1120893e-06,0.07531518
1.301206e-07,0.118552454,4.6843443,1.2802083,4999.8548627035925,0.009999998,500.0,4999.8548627035925,2.2903013,-3.54702933691442e-13,-0.006851785,43.66237708484711,0.9248455,0.024220882270793054,100,0.05065002,0.06391733,0.024220882270793057,40.294011045763504,0.00014967259,1.2034145e-05
0.0011297228,22.938263,1.400429,0.07152269,4978.009080434281,0.01,497.83,4978.009080434281,1.0670336,-2.0463630789890886e-13,-115.02379,93.71775683121983,0.98671335,28108.45359561624,100,0.014192866,18.693632,28108.45359561623,93.22033412418392,7.346183e-06,0.11147125
5.129784e-05,0.11323721,12.573547,2.7798796,4999.896456287892,0.01,500.0,4999.896456287892,2.754588,-3.4560798667371273e-13,-0.013676722,36.30307110896113,1.0803024,0.010208767599550674,100,0.11638915,0.037638508,0.010208767599550674,29.77834397433395,0.00023819649,0.0055417176
1.5543446e-05,0.117746666,63.749454,40.219177,4999.909751590448,0.01,500.0,4999.909751590448,2.4129372,1.1823431123048067e-13,0.007052036,41.44326735036844,1.6355916,0.00789015410031406,100,0.3897639,0.037683364,0.00789015410031406,6.295657732124595,0.001503431,0.0025422731
,0.0355034,0.00087551394,7.6708515e-09,4999.895802137139,0.01,500.0,4999.895802137139,1.0000496,3.4560798667371273e-13,0.0765914,99.99504113946986,9.801487e-06,0.008116457357840109,100,0.89324605,0.098332696,0.008116457357840107,1.2492394201224981,0.007984721,
1.4204138e-06,385.75116,5.3915825,2.0115216,4078.6165862087096,0.009999999,408.39,4078.6165862087096,2.9274862,-4.411049303598702e-13,330.61014,34.158999840944944,1.052724,1562863.928997866,100,0.051215537,772.51697,1562863.928997866,35.7535045399864,0.00018150794,0.00014953037
0.00014498008,80.987946,1.9415715,0.3111507,4889.119421369786,0.01,489.03,4889.119421369786,1.2951742,5.366018740460276e-13,-145.84349,77.20968872705197,0.96894526,163674.43750064058,100,0.02003799,87.79021,163674.43750064058,75.29548158690163,3.3141518e-05,0.014047775
0.0011220211,33.952175,1.8446423,0.14425096,4986.631959948128,0.01,498.7,4986.631959948128,1.1430322,-1.0186340659856797e-12,-35.35643,87.4865997618593,0.99519193,5854.02385116975,100,0.018535543,8.453676,5854.02385116975,87.39793653678768,1.4564815e-05,0.11166263
0.00058875175,63.505394,1.790758,0.15241706,4960.212908905415,0.010000002,496.09,4960.212908905415,1.1410385,3.092281986027956e-13,-92.56709,87.63945892720487,1.0050505,34984.97835186336,100,0.01781759,27.03241,34984.97835186336,87.00341821726502,1.50889055e-05,0.059172526
