J,AvgRet,VarRet,IterType,VanillaAvgRet,VarNormIw,ESSRenyi,Bound,MaxNormIw,AvgDiscRet,ESSClassic,Delta,VarVanillaIw,BatchSize,VarJ,AvgVanillaIw,AvgEpLen,MaxVanillaIw,MinNormIw,eRenyi2,EpsThisIter,MinVanillaIw,VarDiscRet,AvgNormIw
-1086.93,-1121.00088883,22996.7930332,1,-1121.00088883,1.61598e-05,89.9828017442,-1458.91,0.0269883,-1121.00088883,86.2082634888,0.2,0.187914,100,225.59,1.07836,500.0,2.9103,0.00483829,1.11132,100,0.52174,22996.7930332,0.01
-1123.69,-1138.78322654,22956.7937399,1,-1138.78322654,5.54355e-06,96.1320539575,-1523.44,0.0214857,-1138.78322654,94.7974186645,0.2,0.0558868,100,155.417,1.00406,500.0,2.1573,0.00355615,1.04024,100,0.35706,22956.7937399,0.01
-1124.18,-1135.02780783,19535.8548972,1,-1135.02780783,1.15144e-05,96.5772033762,-1522.86,0.0338426,-1135.02780783,89.7672075253,0.2,0.126072,100,161.742,1.04638,500.0,3.54122,0.00341627,1.03544,100,0.357472,19535.8548972,0.01
-999.467,-1071.57453547,27709.8701488,1,-1071.57453547,4.2568e-05,78.0964976706,-1366.32,0.0460867,-1071.57453547,70.3519994346,0.2,0.41053,100,334.494,0.982043,500.0,4.52592,0.000984991,1.28047,100,0.0967304,27709.8701488,0.01
-1127.74,-1133.27016904,26135.8953507,1,-1133.27016904,1.43603e-06,98.5220415933,-1522.87,0.0137374,-1133.27016904,98.5982038935,0.2,0.0140037,100,170.159,0.987505,500.0,1.35658,0.00704881,1.015,100,0.696073,26135.8953507,0.01
-1048.55,-1093.35171973,50415.0269571,1,-1093.35171973,1.55211e-05,89.5234141508,-1463.13,0.0194868,-1093.35171973,86.6807684713,0.2,0.144408,100,244.905,0.964572,500.0,1.87965,0.000881089,1.11703,100,0.0849874,50415.0269571,0.01
-999.699,-1073.14329583,70757.9129591,1,-1073.14329583,5.99254e-05,80.886680555,-1435.69,0.0748749,-1073.14329583,62.7643439265,0.2,0.763758,100,349.473,1.12894,500.0,8.45296,0.00282718,1.2363,100,0.319173,70757.9129591,0.01
-951.926,-1038.06864159,74283.2513219,1,-1038.06864159,3.76992e-05,78.0025286684,-1395.98,0.0248541,-1038.06864159,72.8214281533,0.2,0.360675,100,339.885,0.97812,500.0,2.43103,0.00029418,1.28201,100,0.0287743,74283.2513219,0.01
-1058.7,-1085.98738021,83424.4134609,1,-1085.98738021,8.09987e-06,92.4950268782,-1466.42,0.0175583,-1085.98738021,92.5764215702,0.2,0.0832391,100,287.181,1.01374,500.0,1.77994,0.00263706,1.08114,100,0.267328,83424.4134609,0.01
-948.132,-1032.19798788,88991.9317877,1,-1032.19798788,3.29641e-05,76.8361904835,-1395.55,0.024808,-1032.19798788,75.3951797162,0.2,0.302796,100,308.957,0.958417,500.0,2.37764,0.000596787,1.30147,100,0.057197,88991.9317877,0.01
-786.379,-907.045002659,118647.80228,1,-907.045002659,3.92045e-05,76.2788165128,-1235.5,0.0229749,-907.045002659,72.0396313037,0.2,0.453379,100,272.754,1.07538,500.0,2.47068,0.000338692,1.31098,100,0.0364223,118647.80228,0.01
-783.974,-822.952783283,41363.0026345,1,-822.952783283,9.92059e-06,90.9212676506,-1195.34,0.0168547,-822.952783283,91.0569402216,0.2,0.0924388,100,208.503,0.965291,500.0,1.62697,0.00279306,1.09985,100,0.269611,41363.0026345,0.01
-740.467,-787.540784833,80698.2759765,1,-787.540784833,1.15434e-05,88.3452350636,-1157.68,0.0161644,-787.540784833,89.7440576205,0.2,0.127611,100,209.97,1.05142,500.0,1.69955,0.00181521,1.13192,100,0.190855,80698.2759765,0.01
-702.094,-747.936138822,53834.2252878,1,-747.936138822,1.29174e-05,89.8850919321,-1115.52,0.0179463,-747.936138822,88.661759331,0.2,0.129725,100,167.698,1.00213,500.0,1.79846,0.00155844,1.11253,100,0.156177,53834.2252878,0.01
-674.94,-694.02434501,33024.820577,1,-694.02434501,5.13416e-06,95.2819974602,-1076.52,0.0140479,-694.02434501,95.1630368346,0.2,0.0525968,100,150.234,1.01215,500.0,1.42186,0.00369168,1.04952,100,0.373654,33024.820577,0.01
-665.426,-682.896413621,18473.1402417,1,-682.896413621,5.70303e-06,94.0184165456,-941.572,0.0160665,-682.896413621,94.6557381448,0.2,0.0632277,100,105.866,1.05293,500.0,1.6917,0.00386688,1.06362,100,0.407157,18473.1402417,0.01
-633.608,-647.55343178,10887.2577122,1,-647.55343178,8.66675e-06,93.7912102717,-850.298,0.0183032,-647.55343178,92.0979440298,0.2,0.0918909,100,86.3511,1.02969,500.0,1.88467,0.00376857,1.0662,100,0.388047,10887.2577122,0.01
-666.754,-680.52074727,25840.0871783,1,-680.52074727,4.50812e-06,96.5700100247,-1065.8,0.0144033,-680.52074727,95.72762485,0.2,0.0419834,100,149.204,0.96503,500.0,1.38996,0.00465624,1.03552,100,0.449341,25840.0871783,0.01
-655.458,-694.559215826,57588.2009858,1,-694.559215826,1.02129e-05,91.7080623998,-1065.07,0.0162289,-694.559215826,90.817598612,0.2,0.100998,100,147.626,0.994445,500.0,1.61388,0.00188536,1.09042,100,0.187489,57588.2009858,0.01
-629.95,-644.024411211,26234.1160362,1,-644.024411211,3.63514e-06,97.1191014379,-1027.56,0.0132989,-644.024411211,96.5262141274,0.2,0.0369406,100,98.9639,1.00807,500.0,1.34062,0.00300278,1.02966,100,0.302702,26234.1160362,0.01
-621.958,-638.552272055,25023.7792583,1,-638.552272055,4.66857e-06,96.3130880781,-1021.73,0.0141383,-638.552272055,95.582302652,0.2,0.0444843,100,98.5111,0.976139,500.0,1.3801,0.00455369,1.03828,100,0.444503,25023.7792583,0.01
-618.187,-629.517013256,23016.8385515,1,-629.517013256,3.31493e-06,97.3718245308,-1015.38,0.0134245,-629.517013256,96.8225334482,0.2,0.0324872,100,106.468,0.989964,500.0,1.32898,0.00500623,1.02699,100,0.495598,23016.8385515,0.01
-613.004,-626.711295427,22937.4455612,1,-626.711295427,3.65879e-06,97.565391872,-1009.91,0.0126994,-626.711295427,96.5043810051,0.2,0.0360602,100,74.4612,0.992762,500.0,1.26074,0.00269724,1.02495,100,0.267772,22937.4455612,0.01
-607.273,-617.428716963,7701.71076994,1,-617.428716963,5.37819e-06,95.8176371173,-836.464,0.0148098,-617.428716963,94.9447427016,0.2,0.0552142,100,73.9248,1.01323,500.0,1.50057,0.00451643,1.04365,100,0.457617,7701.71076994,0.01
-602.943,-608.078964981,3574.803794,1,-608.078964981,3.59971e-06,96.9139174958,-772.727,0.014011,-608.078964981,96.5589238932,0.2,0.0349936,100,54.9038,0.985962,500.0,1.38143,0.00496247,1.03184,100,0.489281,3574.803794,0.01
-591.272,-598.642094718,8032.24500269,1,-598.642094718,2.37145e-06,98.0332367953,-861.0,0.0131496,-598.642094718,97.7060904053,0.2,0.022734,100,53.5718,0.97911,500.0,1.28749,0.00314655,1.02006,100,0.308082,8032.24500269,0.01
-611.702,-618.077425517,23356.8334323,1,-618.077425517,1.71426e-06,98.4057269202,-1007.04,0.0133308,-618.077425517,98.3312032032,0.2,0.0172942,100,124.037,1.00441,500.0,1.33896,0.00513005,1.0162,100,0.515268,23356.8334323,0.01
-591.653,-600.271366239,4256.25167789,1,-600.271366239,6.27587e-06,95.5762174204,-764.584,0.015667,-600.271366239,94.1503331689,0.2,0.0624827,100,56.3131,0.997799,500.0,1.56325,0.00190536,1.04629,100,0.190116,4256.25167789,0.01
-600.179,-604.714426841,5911.95766948,1,-604.714426841,2.5504e-06,98.0351844606,-812.578,0.0143919,-604.714426841,97.5372704457,0.2,0.0246116,100,65.6571,0.982349,500.0,1.41379,0.0058191,1.02004,100,0.571638,5911.95766948,0.01
-587.943,-592.520175431,5883.89225051,1,-592.520175431,2.79045e-06,98.2255806868,-821.871,0.012473,-592.520175431,97.3117128231,0.2,0.0270169,100,61.0829,0.983968,500.0,1.22731,0.00480942,1.01806,100,0.473231,5883.89225051,0.01
-582.703,-585.733713214,2142.22916072,1,-585.733713214,2.78023e-06,98.0165129729,-721.014,0.0141284,-585.733713214,97.3213125494,0.2,0.028078,100,44.9042,1.00495,500.0,1.41982,0.0043441,1.02024,100,0.436559,2142.22916072,0.01
-599.385,-604.735486099,21486.260949,1,-604.735486099,1.67428e-06,98.7587066891,-993.818,0.0119909,-604.735486099,98.3694817587,0.2,0.0169736,100,109.437,1.00687,500.0,1.20733,0.00524401,1.01257,100,0.528003,21486.260949,0.01
-580.385,-586.889085703,2292.49943441,1,-586.889085703,6.39458e-06,95.6118830984,-735.973,0.0204745,-586.889085703,94.0463087325,0.2,0.0648765,100,47.2302,1.00725,500.0,2.06229,0.0042614,1.0459,100,0.429229,2292.49943441,0.01
-574.78,-578.634773816,2840.73295462,1,-578.634773816,3.04448e-06,97.6069756236,-726.158,0.016994,-578.634773816,97.0741381242,0.2,0.0323804,100,51.263,1.0313,500.0,1.75259,0.00670176,1.02452,100,0.691153,2840.73295462,0.01
-577.397,-584.781441735,3270.64468613,1,-584.781441735,6.49668e-06,95.6896248846,-738.161,0.017537,-584.781441735,93.956965023,0.2,0.0645658,100,52.5863,0.996909,500.0,1.74828,0.00470213,1.04505,100,0.468759,3270.64468613,0.01
-587.281,-589.828433958,2590.51514897,1,-589.828433958,1.29746e-06,98.4277228787,-749.232,0.0138721,-589.828433958,98.7317970197,0.2,0.0130498,100,49.5718,1.00289,500.0,1.39123,0.00760645,1.01597,100,0.762846,2590.51514897,0.01
-558.917,-579.210914534,2621.27702088,1,-579.210914534,0.000186388,83.576995555,-711.609,0.137595,-579.210914534,35.146384843,0.2,2.5454,100,94.5005,1.16861,500.0,16.0795,0.00279625,1.1965,100,0.326772,2621.27702088,0.01
-565.409,-567.805781303,2205.99745478,1,-567.805781303,1.62116e-06,98.374833723,-707.521,0.013756,-567.805781303,98.4203995891,0.2,0.0159264,100,47.2303,0.991166,500.0,1.36345,0.00766917,1.01652,100,0.760142,2205.99745478,0.01
-551.968,-559.607206837,2669.9097277,1,-559.607206837,1.50748e-05,94.4173432584,-697.765,0.0328419,-559.607206837,87.0139586221,0.2,0.158554,100,57.2757,1.02556,500.0,3.36814,0.00507304,1.05913,100,0.520273,2669.9097277,0.01
-558.293,-565.746930141,2702.33835541,1,-565.746930141,1.12623e-05,95.2946940675,-708.07,0.0248561,-565.746930141,89.9687544719,0.2,0.118151,100,48.9438,1.02425,500.0,2.54588,0.00339395,1.04938,100,0.347625,2702.33835541,0.01
-567.39,-571.593866117,4390.87387312,1,-571.593866117,2.70269e-06,97.8829161067,-767.53,0.0151267,-571.593866117,97.3940703277,0.2,0.0260544,100,58.3237,0.981844,500.0,1.4852,0.0040909,1.02163,100,0.401662,4390.87387312,0.01
-552.486,-559.476466154,3193.04530468,1,-559.476466154,5.60049e-06,95.2164900102,-698.314,0.0171994,-559.476466154,94.7467710383,0.2,0.0575808,100,58.6199,1.01397,500.0,1.74397,0.00569372,1.05024,100,0.577327,3193.04530468,0.01
-559.56,-564.064264658,2192.44481145,1,-564.064264658,4.47754e-06,96.7741518686,-703.709,0.0167231,-564.064264658,95.7553714717,0.2,0.0426605,100,47.1145,0.976098,500.0,1.63234,0.00546536,1.03333,100,0.533473,2192.44481145,0.01
-552.603,-557.046244126,2344.46270723,1,-557.046244126,2.57694e-06,96.8272892806,-692.925,0.0141696,-557.046244126,97.5122615394,0.2,0.0259938,100,49.0272,1.00434,500.0,1.42312,0.00524033,1.03277,100,0.526309,2344.46270723,0.01
-546.635,-553.924305756,2270.55460176,1,-553.924305756,1.01643e-05,94.7932362221,-692.855,0.0286662,-553.924305756,90.8573320411,0.2,0.101119,100,56.6999,0.997418,500.0,2.85922,0.00409241,1.05493,100,0.408184,2270.55460176,0.01
-545.385,-550.018595411,2387.9002177,1,-550.018595411,3.7731e-06,96.6129191641,-685.671,0.0172494,-550.018595411,96.3991812086,0.2,0.0384302,100,49.8882,1.00922,500.0,1.74085,0.00546164,1.03506,100,0.551202,2387.9002177,0.01
-545.707,-555.523460659,2517.76549232,1,-555.523460659,1.22831e-05,92.481240226,-682.546,0.0211589,-555.523460659,89.1580821627,0.2,0.115989,100,54.551,0.971748,500.0,2.05611,0.00441316,1.0813,100,0.428847,2517.76549232,0.01
-543.706,-546.730093088,2266.64716794,1,-546.730093088,2.54612e-06,97.7031068105,-676.701,0.013824,-546.730093088,97.5413062557,0.2,0.0250829,100,49.2716,0.992544,500.0,1.37209,0.00597801,1.02351,100,0.593343,2266.64716794,0.01
-538.664,-542.719544116,2097.48046738,1,-542.719544116,3.41678e-06,97.0926965496,-677.236,0.0149254,-542.719544116,96.7280684053,0.2,0.0328766,100,45.7921,0.980924,500.0,1.46407,0.00592912,1.02994,100,0.581602,2097.48046738,0.01
-535.857,-539.944267292,2335.86571753,1,-539.944267292,3.10115e-06,97.1336758008,-670.89,0.0131369,-539.944267292,97.0213473855,0.2,0.0308969,100,47.3217,0.998149,500.0,1.31126,0.00519199,1.02951,100,0.518238,2335.86571753,0.01
-542.143,-549.962605024,4562.33669959,1,-549.962605024,5.29884e-06,96.6494519908,-743.554,0.0135921,-549.962605024,95.0156139094,0.2,0.0520558,100,50.8156,0.991161,500.0,1.34719,0.00275656,1.03467,100,0.273219,4562.33669959,0.01
-539.942,-542.679075861,2110.03582162,1,-542.679075861,2.32591e-06,97.8510946794,-672.268,0.0163907,-542.679075861,97.7491518898,0.2,0.0225099,100,47.3119,0.983763,500.0,1.61245,0.0073544,1.02196,100,0.723499,2110.03582162,0.01
-516.466,-525.908680339,2139.70418987,1,-525.908680339,1.41375e-05,93.1056324936,-643.897,0.0258261,-525.908680339,87.7222913437,0.2,0.164908,100,56.2323,1.08003,500.0,2.7893,0.00461456,1.07405,100,0.498386,2139.70418987,0.01
-512.691,-518.922377509,2200.04722355,1,-518.922377509,5.68253e-06,95.1768637593,-639.852,0.0175877,-518.922377509,94.6739070026,0.2,0.0606766,100,46.998,1.03333,500.0,1.81739,0.00503573,1.05068,100,0.520357,2200.04722355,0.01
-522.659,-526.142245612,2048.58539768,1,-526.142245612,2.67818e-06,97.4713887365,-656.46,0.0131987,-526.142245612,97.4171177557,0.2,0.0267253,100,44.2477,0.998944,500.0,1.31847,0.00536277,1.02594,100,0.535711,2048.58539768,0.01
-521.71,-527.719765024,1939.71432344,1,-527.719765024,6.49856e-06,95.3230003024,-655.099,0.0147023,-527.719765024,93.9553167795,0.2,0.0618751,100,42.6501,0.975775,500.0,1.43462,0.00441908,1.04906,100,0.431202,1939.71432344,0.01
-512.22,-519.112297518,2205.90845112,1,-519.112297518,9.54426e-06,94.6536736797,-642.023,0.0241308,-519.112297518,91.3669030373,0.2,0.0964972,100,51.3045,1.00551,500.0,2.42637,0.00477878,1.05648,100,0.480511,2205.90845112,0.01
-513.707,-517.606361727,2260.59505655,1,-517.606361727,3.21035e-06,97.1548254004,-642.661,0.0143962,-517.606361727,96.9196335422,0.2,0.0320495,100,46.0134,0.999159,500.0,1.43841,0.00373889,1.02928,100,0.373575,2260.59505655,0.01
-506.424,-514.755131468,2772.14723706,1,-514.755131468,1.1803e-05,93.6853314571,-655.265,0.0282584,-514.755131468,89.5375553172,0.2,0.124633,100,62.2017,1.02759,500.0,2.90381,0.00514834,1.0674,100,0.529039,2772.14723706,0.01
-503.586,-506.978224951,2680.92694197,1,-506.978224951,2.31504e-06,97.6833103252,-651.471,0.0126772,-506.978224951,97.7594446582,0.2,0.0232008,100,50.3405,1.00109,500.0,1.2691,0.00644682,1.02372,100,0.645383,2680.92694197,0.01
-508.56,-512.388568803,1703.45327381,1,-512.388568803,4.11422e-06,97.415177829,-642.162,0.0162563,-512.388568803,96.086309675,0.2,0.04036,100,37.0613,0.990448,500.0,1.61011,0.00448652,1.02653,100,0.444367,1703.45327381,0.01
-498.538,-502.971496198,1970.0211581,1,-502.971496198,4.37608e-06,96.6880184012,-628.607,0.0164664,-502.971496198,95.8475661919,0.2,0.0448588,100,43.8976,1.01247,500.0,1.66717,0.00429439,1.03425,100,0.434793,1970.0211581,0.01
-503.356,-505.482748962,1510.02339295,1,-505.482748962,2.19112e-06,98.4743683506,-632.318,0.0125496,-505.482748962,97.8768551872,0.2,0.0213827,100,37.3265,0.987866,500.0,1.23973,0.00380879,1.01549,100,0.376257,1510.02339295,0.01
-497.756,-501.750855309,2183.09037104,1,-501.750855309,3.33921e-06,96.6595529255,-622.933,0.0139604,-501.750855309,96.7999734701,0.2,0.0329231,100,47.7386,0.992953,500.0,1.3862,0.00499569,1.03456,100,0.496049,2183.09037104,0.01
-497.836,-503.831358345,5473.67820272,1,-503.831358345,2.61874e-06,97.9520651173,-718.736,0.0134544,-503.831358345,97.4729226863,0.2,0.0257124,100,48.8641,0.990889,500.0,1.33318,0.00329236,1.02091,100,0.326236,5473.67820272,0.01
-488.729,-493.147902916,1728.55429201,1,-493.147902916,4.02772e-06,96.2606901235,-611.346,0.0166588,-493.147902916,96.1654383318,0.2,0.0394641,100,43.193,0.989854,500.0,1.64898,0.00521156,1.03885,100,0.515868,1728.55429201,0.01
-500.657,-503.104443483,1975.14332025,1,-503.104443483,2.53337e-06,98.1530819683,-634.243,0.0134851,-503.104443483,97.5533167565,0.2,0.0245501,100,42.8193,0.984412,500.0,1.32749,0.00641153,1.01882,100,0.631159,1975.14332025,0.01
-495.783,-501.191783337,1862.91053049,1,-501.191783337,5.54245e-06,95.8679760055,-633.079,0.0141131,-501.191783337,94.798375486,0.2,0.0524733,100,41.7104,0.973012,500.0,1.37322,0.00516774,1.0431,100,0.502828,1862.91053049,0.01
-492.786,-496.200386783,1768.207686,1,-496.200386783,3.71802e-06,97.2943168255,-614.653,0.019257,-496.200386783,96.4498403148,0.2,0.03879,100,42.2715,1.02142,500.0,1.96694,0.00490795,1.02781,100,0.501308,1768.207686,0.01
-485.7,-491.068910062,1904.62098736,1,-491.068910062,6.3655e-06,95.8780567059,-616.772,0.0216916,-491.068910062,94.0717718251,0.2,0.0601971,100,44.3614,0.972459,500.0,2.10942,0.00314694,1.04299,100,0.306028,1904.62098736,0.01
-482.714,-487.466758983,1770.83206954,1,-487.466758983,4.40816e-06,96.1726561563,-604.036,0.0148795,-487.466758983,95.8183979776,0.2,0.0440176,100,42.3159,0.999274,500.0,1.48687,0.00510422,1.0398,100,0.510051,1770.83206954,0.01
-491.063,-495.144696042,1635.55812212,1,-495.144696042,4.6924e-06,96.6709371043,-612.434,0.0139982,-495.144696042,95.5607817523,0.2,0.044728,100,39.5901,0.97632,500.0,1.36667,0.00353594,1.03444,100,0.345221,1635.55812212,0.01
-483.258,-486.786346194,1542.55016759,1,-486.786346194,3.88236e-06,97.2657639586,-606.984,0.0132575,-486.786346194,96.2987298679,0.2,0.0377228,100,37.0261,0.985722,500.0,1.30682,0.00351652,1.02811,100,0.346631,1542.55016759,0.01
-478.314,-484.137888807,2594.55110586,1,-484.137888807,6.37222e-06,95.0047629181,-601.505,0.0171977,-484.137888807,94.0658471924,0.2,0.0597701,100,51.6551,0.968493,500.0,1.66559,0.00449084,1.05258,100,0.434935,2594.55110586,0.01
-474.388,-479.438376211,1568.00806913,1,-479.438376211,8.07268e-06,95.8687648534,-590.308,0.0186039,-479.438376211,92.5994906592,0.2,0.0804205,100,40.4761,0.998101,500.0,1.85686,0.00386253,1.04309,100,0.38552,1568.00806913,0.01
-478.631,-484.880842627,2138.96158962,1,-484.880842627,7.63573e-06,94.7563161216,-601.854,0.0206939,-484.880842627,92.9719124237,0.2,0.0740761,100,48.5279,0.984949,500.0,2.03824,0.00448621,1.05534,100,0.441869,2138.96158962,0.01
-471.1,-475.328533317,1267.70254151,1,-475.328533317,6.42656e-06,96.168444454,-586.897,0.016931,-475.328533317,94.0182884706,0.2,0.0613055,100,38.7055,0.976699,500.0,1.65365,0.00486373,1.03984,100,0.47504,1267.70254151,0.01
-471.531,-476.746462642,1890.6397519,1,-476.746462642,5.72271e-06,95.907675545,-597.699,0.0162817,-476.746462642,94.6382775034,0.2,0.0573982,100,41.5346,1.00149,500.0,1.6306,0.00532847,1.04267,100,0.533643,1890.6397519,0.01
-474.251,-476.165126444,1382.15621122,1,-476.165126444,2.00855e-06,98.3294235334,-589.61,0.0141229,-476.165126444,98.0502834142,0.2,0.0204719,100,37.2364,1.00957,500.0,1.42581,0.00754084,1.01699,100,0.761302,1382.15621122,0.01
-465.72,-471.252656158,1852.87612061,1,-471.252656158,6.94345e-06,95.3102528356,-583.746,0.0153751,-471.252656158,93.568114918,0.2,0.0645192,100,44.0844,0.963956,500.0,1.48209,0.00375098,1.04921,100,0.361578,1852.87612061,0.01
-461.368,-463.861099783,1275.39637559,1,-463.861099783,2.52853e-06,98.0522699477,-574.447,0.0127038,-463.861099783,97.5579111652,0.2,0.0248451,100,34.564,0.991258,500.0,1.25928,0.00210437,1.01986,100,0.208597,1275.39637559,0.01
-463.398,-466.2693112,1125.7673554,1,-466.2693112,2.84443e-06,97.4172480832,-576.359,0.0155463,-466.2693112,97.2611246396,0.2,0.0270423,100,35.1536,0.975043,500.0,1.51583,0.00623654,1.02651,100,0.608089,1125.7673554,0.01
-466.51,-469.198959137,1288.86560337,1,-469.198959137,2.77768e-06,97.5799075338,-583.706,0.0131912,-469.198959137,97.3236948505,0.2,0.0266844,100,36.3533,0.980139,500.0,1.29293,0.00569596,1.0248,100,0.558283,1288.86560337,0.01
-461.345,-463.967641276,1568.14312891,1,-463.967641276,2.35833e-06,97.7480199537,-574.029,0.0140521,-463.967641276,97.7185103034,0.2,0.0236609,100,38.3991,1.00164,500.0,1.40752,0.00586999,1.02304,100,0.587964,1568.14312891,0.01
-456.112,-457.776790817,1367.67552436,1,-457.776790817,1.5525e-06,98.486184052,-566.971,0.0126907,-457.776790817,98.4863162012,0.2,0.0154588,100,37.2775,0.997864,500.0,1.26636,0.00673143,1.01537,100,0.671705,1367.67552436,0.01
-452.335,-461.519442887,2146.72061102,1,-461.519442887,1.50096e-05,92.4163085996,-572.052,0.0170927,-461.519442887,87.062866939,0.2,0.123537,100,43.3776,0.907223,500.0,1.55069,0.00292491,1.08206,100,0.265355,2146.72061102,0.01
-453.496,-456.528935089,1741.68248777,1,-456.528935089,3.45921e-06,97.4143972642,-564.948,0.0152169,-456.528935089,96.6888147565,0.2,0.0368657,100,42.6797,1.03234,500.0,1.5709,0.00572689,1.02654,100,0.59121,1741.68248777,0.01
-458.782,-460.595477251,1297.28988795,1,-460.595477251,2.34121e-06,98.3178067389,-569.031,0.0129909,-460.595477251,97.7346752863,0.2,0.022028,100,36.4025,0.96999,500.0,1.2601,0.00565571,1.01711,100,0.548598,1297.28988795,0.01
-460.037,-461.88948212,1285.53576069,1,-461.88948212,1.78752e-06,98.398985771,-574.017,0.0123248,-461.88948212,98.2611277834,0.2,0.0180385,100,35.0353,1.00456,500.0,1.2381,0.00516214,1.01627,100,0.518566,1285.53576069,0.01
-453.866,-456.415743426,1445.72145624,1,-456.415743426,3.91727e-06,97.561420395,-567.452,0.0190071,-456.415743426,96.266683912,0.2,0.0395768,100,39.5344,1.00514,500.0,1.91049,0.006653,1.025,100,0.668723,1445.72145624,0.01
-455.309,-458.88581602,1454.54076318,1,-458.88581602,5.13848e-06,96.9863233529,-568.251,0.0145956,-458.88581602,95.1591734741,0.2,0.0472829,100,36.9529,0.959257,500.0,1.40009,0.00504911,1.03107,100,0.484339,1454.54076318,0.01
-448.93,-453.236353559,1615.26021878,1,-453.236353559,6.70045e-06,96.0482688863,-560.736,0.0259736,-453.236353559,93.7792092268,0.2,0.068384,100,44.1411,1.01024,500.0,2.62397,0.00469158,1.04114,100,0.473963,1615.26021878,0.01
-455.398,-458.475322597,1364.07695524,1,-458.475322597,4.32323e-06,97.2508004234,-568.756,0.0195247,-458.475322597,95.895642723,0.2,0.044615,100,37.725,1.01587,500.0,1.98345,0.00691721,1.02827,100,0.702696,1364.07695524,0.01
-454.891,-456.19233271,1247.98936946,1,-456.19233271,1.36854e-06,98.7835129219,-563.254,0.0130313,-456.19233271,98.6632255679,0.2,0.0140592,100,36.1758,1.01356,500.0,1.32081,0.00682583,1.01231,100,0.691842,1247.98936946,0.01
-448.45,-450.712147504,1614.10906105,1,-450.712147504,2.79176e-06,97.9688012772,-563.328,0.0131637,-450.712147504,97.3105080069,0.2,0.0274926,100,40.4375,0.992359,500.0,1.30631,0.0057729,1.02073,100,0.572879,1614.10906105,0.01
-450.508,-454.994795504,1774.35265908,1,-454.994795504,6.26596e-06,96.2659372958,-568.056,0.0187197,-454.994795504,94.1590037312,0.2,0.0666827,100,43.6741,1.0316,500.0,1.93113,0.00604781,1.03879,100,0.623894,1774.35265908,0.01
