renyi2,VarDiscRet,IterType,VanillaAvgRet,ESSClassic,EpsThisIter,VarNormIw,SamplesThisIter,MinVanillaIw,MinNormIw,VarRet,J,AvgEpLen,Bound,AvgVanillaIw,AvgNormIw,MaxVanillaIw,BatchSize,delta,ESSRenyi,AvgDiscRet,MaxNormIw,AvgRet,VarJ,VarVanillaIw
nan,27731.5447395,1,376.775151437,6.46168748811,1229,3.76898e-08,50000,,,27731.5447395,139533.0,40.6834825061,652.887,65.2605,4.52039e-06,310572.0,100,0.5,nan,376.775151437,0.0215123,376.775151437,6119.0,7.85551e+06
nan,41681.3154663,1,385.333265847,9.07691006705,1201,1.26075e-07,50000,,,41681.3154663,180951.0,41.6319733555,900.214,80968.5,4.62577e-06,8.70677e+08,100,0.5,nan,385.333265847,0.0497423,385.333265847,5441.4,3.86272e+13
nan,44016.3522212,1,391.041580308,9.98939676871,1183,4.17914e-07,50000,,,44016.3522212,190486.0,42.2654268808,967.583,721691.0,4.69616e-06,1.44896e+10,100,0.5,nan,391.041580308,0.0942862,391.041580308,3328.61,9.86972e+15
nan,21119.4673515,1,348.340129538,9.99999936362,1327,4.18602e-07,50000,,,21119.4673515,153784.0,37.6789751319,756.16,1.72453e+15,4.18655e-06,4.11903e+19,100,0.5,nan,348.340129538,0.0999955,348.340129538,1805.41,inf
nan,36664.674871,1,371.930113263,9.27313033328,1242,1.78309e-07,50000,,,36664.674871,166022.0,40.2576489533,807.204,41124.7,4.47307e-06,5.58993e+08,100,0.5,nan,371.930113263,0.0608008,371.930113263,5669.84,1.50719e+13
nan,75443.9866923,1,398.355599836,9.99999611177,1159,4.77808e-07,50000,,,75443.9866923,268681.0,43.1406384814,1366.99,6.50646e+12,4.7934e-06,1.35524e+17,100,0.5,nan,398.355599836,0.0998422,398.355599836,8922.74,8.80349e+29
nan,40886.3464554,1,400.112306562,10.000002974,1156,4.80372e-07,50000,,,40886.3464554,179765.0,43.2525951557,895.873,4.51913e+07,4.80584e-06,9.40152e+11,100,0.5,nan,400.112306562,0.09998,400.112306562,5033.52,4.24763e+19
nan,75112.7238731,1,397.602692584,8.69506741001,1163,2.68755e-07,50000,,,75112.7238731,252228.0,42.9922613929,1241.22,4.86963e+07,4.77692e-06,7.13027e+11,100,0.5,nan,397.602692584,0.0699452,397.602692584,8553.94,2.79289e+19
nan,127074.03727,1,555.687988257,7.31474443177,832,1.31406e-08,50000,,,127074.03727,232103.0,60.0961538462,1102.53,13.9596,6.67735e-06,22652.5,100,0.5,nan,555.687988257,0.0108355,555.687988257,10963.5,57431.7
nan,93385.4337422,1,513.86645184,4.9800556798,900,1.80831e-08,50000,,,93385.4337422,217150.0,55.5555555556,1010.02,32.8764,6.17284e-06,59364.7,100,0.5,nan,513.86645184,0.0111463,513.86645184,12446.6,512944.0
